aah: aah
affection: affection
affectionate: affectionate
affectionately: affectionately
affianced: affianced
affirmative: affirmative
affirmatively: affirmatively
afflict: afflicted
afford: afforded
affront: affronts
affronted: affronted
aflame: aflame
afloat: afloat
afraid: afraid
afresh: afresh
africa: africa
afterglow: afterglow
afternoon: afternoon
agate: agate
age: age,aged,ages
aged: aged
aggression: aggression
aggressor: aggressor
aghast: aghast
agile: agile
agility: agility
agitate: agitated,agitating
agitated: agitated
agitation: agitation
aglow: aglow
agonizing: agonizing
agonizingly: agonizingly
agony: agony
agree: agree,agreed
agreeable: agreeable
agreeably: agreeably
agreement: agreement
agricultural: agricultural
ague: ague
aid: aid,aided
aide: aide,aides
ail: ailing
aim: aim,aimed,aiming,aims
air: air,airs
airiness: airiness
akimbo: akimbo
akin: akin
alarm: alarm,alarmed
alarmed: alarmed
alarming: alarming
albanian: albanians
album: album,albums
alcohol: alcohol
alder: alders
alert: alert
alexander: alexander
alexanders: alexanders
algebra: algebra
alien: alien
alienate: alienating
alienated: alienated
alight: alight,alighted
align: aligning
alike: alike
aliment: aliment
alimony: alimony
aline: aline
alive: alive
allay: allay
allege: alleged
alleged: alleged
allegory: allegories
alley: alley
allez: allez
alliance: alliance,alliances
allies: allies
allot: allotted
allowance: allowance
allude: allude,alluded,alluding
allurement: allurement
allusion: allusion,allusions
ally: allied,allies,ally
almighty: almighty
almond: almonds
alms: alms
almshouse: almshouses
aloft: aloft
aloud: aloud
alphabet: alphabet
alphonse: alphonse
alsatian: alsatian
altar: altar
alter: alter,altered,altering
alteration: alterations
altercation: altercation
altered: altered
alternate: alternate,alternated
alternately: alternately
altogether: altogether
amant: amant
amaze: amazed
amazed: amazed
amazement: amazement
amazing: amazing
amazingly: amazingly
ambassador: ambassador,ambassadors
amber: amber
ambition: ambition
ambitious: ambitious
amble: amble,ambling
ambush: ambush
america: america
ami: ami
amiability: amiability
amiable: amiable
amiably: amiably
amicable: amicable
amie: amie
ammunition: ammunition
amorous: amorous
amputate: amputated
amulet: amulet
amuse: amuse,amused,amuses,amusing
amused: amused
amusement: amusement,amusements
amusing: amusing
amusingly: amusingly
analogy: analogy
analyze: analyze
anarchy: anarchy
anathematize: anathematized
anatole: anatole
ancestor: ancestor
ancestral: ancestral
ancient: ancient
andrew: andrew
anecdote: anecdote,anecdotes
anew: anew
angel: angel,angels
angelic: angelic
angelically: angelically
anger: anger,angered
anglaise: anglaise
angle: angle,angles
angling: angling
angrily: angrily
angry: angrier,angry
animal: animal,animals
animate: animated
animated: animated
animation: animation
animosity: animosity
anna: anna
annals: annals
anne: anne
annette: annette
annihilate: annihilate
anniversary: anniversary
announcement: announcement
annoy: annoyed
annoyance: annoyance
anoint: anointed
anonymous: anonymous
answer: answer,answered,answering,answers
ant: ants
antagonist: antagonist,antagonists
antechamber: antechamber,antechambers
anteroom: anteroom,anterooms
antichrist: antichrist
anticipate: anticipated
anticipation: anticipation
antidote: antidotes
antipathetic: antipathetic
antipathy: antipathies,antipathy
antique: antique
anxiety: anxieties,anxiety
anxious: anxious
anxiously: anxiously
apartment: apartment,apartments
apathetic: apathetic
apologize: apologize,apologizing
apology: apologies,apology
apoplectic: apoplectic
appal: appalled
apparent: apparent
apparition: apparition
appeal: appeal,appealed,appeals
appealing: appealing
appearance: appearance
appease: appeased
appetizing: appetizing
applaud: applauding
applause: applause
apple: apple,apples
application: application
apply: applied,apply,applying
appoint: appointed
appointment: appointment,appointments
apportion: apportioned
appraise: appraised,appraising
appreciation: appreciation
appreciative: appreciative
apprehend: apprehended
apprehension: apprehension
apprenticeship: apprenticeship
approach: approach,approached,approaches,approaching
approbation: approbation
approval: approval
approve: approve,approved,approving
approvingly: approvingly
april: april
apron: apron,aprons
apt: apt
aptitude: aptitude
arab: arab
arbiter: arbiters
arbitrariness: arbitrariness
arch: arch,arched,arching
archduchess: archduchess
archduchy: archduchy
archduke: archduke
architect: architect
archives: archives
ardent: ardent
ardently: ardently
ardor: ardor
arduous: arduous
argue: argue,argued,arguing
argument: argument,arguments
argumentative: argumentative
aria: aria
aristocracy: aristocracy
aristocratic: aristocratic
arithmetic: arithmetic
arm: arm,armed,arms
armchair: armchair,armchairs
armed: armed
arming: arming
armistice: armistice
armpit: armpits
army: armies,army
aromatic: aromatic
arouse: arouse,aroused,arouses,arousing
arrange: arrange,arranged,arranging
arrangement: arrangement,arrangements
array: array
arrears: arrears
arrest: arrest,arrested
arrival: arrival,arrivals
arrive: arrive,arrived,arrives,arriving
arrogant: arrogant
arrow: arrow
arsenic: arsenic
art: art,arts
article: articles
articles: articles
articulate: articulating
artificial: artificial
artificiality: artificiality
artificially: artificially
artillery: artillery
artilleryman: artilleryman,artillerymen
artist: artist
artistic: artistic
artless: artless
ascend: ascended,ascending
ascent: ascent
ascertain: ascertain
ascribe: ascribe
ashamed: ashamed
asia: asia
askance: askance
asleep: asleep
asparagus: asparagus
aspect: aspect,aspects
aspen: aspen
aspersion: aspersion
assassination: assassination
assault: assault
assemble: assembled,assembling
assent: assent,assented
assented: assented
assessor: assessor
assiduity: assiduity
assiduous: assiduous
assign: assigned
assimilate: assimilated
assist: assist,assisted
assistance: assistance
assistant: assistant
associate: associate,associates,associating
association: associations
assume: assume,assumed,assumes,assuming
assumption: assumption
assurance: assurance,assurances
assure: assure,assured,assuring
astir: astir
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounded: astounded
astraea: astraea
astray: astray
astride: astride
astute: astute
asylum: asylum,asylums
atheist: atheist
atheistic: atheistic
athletic: athletic
atmosphere: atmosphere
atom: atom
atone: atone
atrocity: atrocities
att: att
attach: attach,attached,attaches,attaching
attachment: attachment,attachments
attack: attack,attacked,attacking,attacks
attain: attain,attained,attaining
attainment: attainment
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending
attendance: attendance
attendant: attendant,attendants
attention: attention,attentions
attentive: attentive
attentively: attentively
attire: attire
attitude: attitude
attract: attract,attracted,attracting,attracts
attraction: attraction,attractions
attractive: attractive
attractively: attractively
attribute: attribute,attributed,attributes
auction: auction
audacity: audacity
audible: audible
audibly: audibly
audience: audience,audiences
auditing: auditing
auditor: auditor
august: august
aunt: aunt
auntie: auntie
austere: austere
austerity: austerity
austerlitz: austerlitz
austria: austria
austrian: austrian,austrians
authentic: authentic
author: author
authoritatively: authoritatively
authority: authorities,authority
authorize: authorized
autocratic: autocratic
autumn: autumn
autumnal: autumnal
avail: avail,availing
avenge: avenge,avenged
avenue: avenue,avenues
average: average
aversion: aversion
avert: avert,averted
avoid: avoid,avoided,avoiding
await: await,awaited,awaiting
awake: awake,awoke
awaken: awaken,awakened
awakening: awakening
award: awarded,awards
aware: aware
awe: awe
awed: awed
awful: awful
awhile: awhile
awkward: awkward
awkwardly: awkwardly
awkwardness: awkwardness
awl: awl
awoke: awoke
awry: awry
ax: ax
axle: axles
baby: babies,baby
babyhood: babyhood
bacchus: bacchus
bachelor: bachelor,bachelors
backbiter: backbiter
background: background
backwardness: backwardness
bad: bad,worse,worst
badge: badge
badly: badly
badness: badness
bag: bag,bags
baggage: baggage
bah: bah
bait: bait
baize: baize
bake: baked
baker: bakers
bal: bal
balance: balance
bald: bald
balk: balk
ball: ball,balls
ballet: ballet
balloon: balloon
ballroom: ballroom
baltic: baltic
band: band,bands
bandage: bandage,bandaged
bandaged: bandaged
bandsman: bandsmen
bandy: bandy
bane: bane
bang: bang,banged,banging
banish: banished
banister: banister
bank: bank,banks
banner: banner,banners
banquet: banquet
banter: banter
banteringly: banteringly
baptize: baptized
bar: bar,bars
barbaric: barbaric
barcarolle: barcarolle
bare: bare,baring
barefoot: barefoot
barefooted: barefooted
barely: barely
bargain: bargain,bargained
bargaining: bargaining
baritone: baritone
bark: bark
barked: barked
barn: barn
baron: baron
baroness: baroness
barracks: barracks
barrel: barrel,barrels
barren: barren
barrier: barrier,barriers
base: base,based
baseness: baseness
bashful: bashful
bashfulness: bashfulness
basin: basins
basis: bases,basis
basket: basket
bass: bass
bast: bast
bastard: bastard
bated: bated
bath: bath,bathed,baths
bathe: bathe
bathhouse: bathhouse
batiste: batiste
batman: batman
battalion: battalion,battalions
battered: battered
battery: batteries,battery
battle: battle,battles
battlefield: battlefield
bay: bay
bayonet: bayonet,bayonets
beam: beamed,beaming,beams
bear: bear,bearing,bears,bore,born,borne
beard: beard,beards
bearded: bearded
beardless: beardless
bearer: bearers
bearing: bearing,bearings
bearskin: bearskin,bearskins
beast: beast,beasts
beat: beat,beaten,beating,beats
beatific: beatific
beating: beating
beau: beau
beaucoup: beaucoup
beautiful: beautiful
beauty: beauty
beaux: beaux
beaver: beaver
beckon: beckoned
bed: bed,beds
bedchamber: bedchamber
bedclothes: bedclothes
bedding: bedding
bedouin: bedouin
bedroom: bedroom
bedstead: bedstead,bedsteads
bee: bees
beef: beef
befall: befallen,befalls
befit: befits
befitting: befitting
befriend: befriend,befriended
beg: beg,begged,begging
beggar: beggar,beggars
beggarly: beggarly
behalf: behalf
behave: behave,behaved,behaves,behaving
behavior: behavior
behead: beheaded
behindhand: behindhand
belabor: belabor
belated: belated
belie: belying
belief: belief,beliefs
bell: bell,bells
belle: belle
bells: bells
belly: belly
belong: belong,belonged,belonging,belongs
belongings: belongings
beloved: beloved
belt: belt,belted
bench: bench,benches
bend: bend,bending,bent
beneath: beneath
benediction: benediction
benefactor: benefactor,benefactors
beneficent: beneficent
benefit: benefit,benefits
benevolence: benevolence
benevolent: benevolent
bent: bent
benumbed: benumbed
berg: berg
bergs: bergs
berlin: berlin
beseech: beseech
beset: beset
bespatter: bespattered,bespattering
besprinkle: besprinkled
bestow: bestow,bestowed
bet: bet,bets,betted,betting
betake: betook
betoken: betokening
betray: betray,betrayed,betraying,betrays
betrayal: betrayal
betroth: betrothed
betrothal: betrothal
bewail: bewail
beware: beware
bewilder: bewildered
bewilderment: bewilderment
bewitching: bewitching
bewitchingly: bewitchingly
bible: bible
bid: bade,bid,bids
bien: bien
bigwig: bigwigs
bile: bile
bilious: bilious
billet: billet,billeted
bind: bind,binding,bound
birch: birch,birches
birchwood: birchwood
bird: bird,birds
birdie: birdie
birth: birth
biscuit: biscuit,biscuits
bit: bit
bitch: bitch
bite: biting,bitten
bitter: bitter,bitterest
bitterly: bitterly
bivouac: bivouac,bivouacking,bivouacs
black: black,blackest
blacken: blackened
blackguard: blackguard,blackguards
bladder: bladder
blade: blades
blame: blame,blamed,blaming
blamelessly: blamelessly
blameworthy: blameworthy
blandly: blandly
blank: blank
blanket: blanket
blasphemous: blasphemous
blast: blast
blaze: blaze
bleed: bled,bleed,bleeding
bleeding: bleeding
blend: blend,blended
bless: bless
blessed: blessed
blessedness: blessedness
blessing: blessing
blind: blind
blindfold: blindfolded
blindness: blindness
blink: blink,blinked,blinking
bliss: bliss
blissful: blissful
blissfully: blissfully
blister: blister,blisters
block: blocked,blocking
blockhead: blockhead
blockhouse: blockhouses
blood: blood
bloodshed: bloodshed
bloodshot: bloodshot
bloodstained: bloodstained
bloodthirsty: bloodthirsty
bloody: bloody
bloom: bloom
blossom: blossom,blossoming
blotch: blotches
blow: blew,blow,blowing,blown,blows
blubberer: blubberers
bludgeon: bludgeon
blue: blue
bluebeard: bluebeard
bluestocking: bluestocking
bluff: bluff
bluish: bluish
blunder: blunder,blundered,blunders
bluntly: bluntly
bluntness: bluntness
blurt: blurt
blush: blush,blushed,blushes,blushing
blushed: blushed
board: board,boards
boast: boast,boasting
boasting: boasting
boat: boats
bobtail: bobtailed
bodice: bodice,bodices
body: bodies,body
bog: bog
bohemia: bohemia
bohemian: bohemian
boil: boiled,boiling
boiler: boiler,boilers
boisterous: boisterous
bold: bold,bolder,boldest
boldly: boldly
boldness: boldness
bolt: bolted
bonapartist: bonapartist
bond: bond,bonds
bone: bone,boned,bones
bonfire: bonfire,bonfires
bonjour: bonjour
bonne: bonne
bons: bons
bony: bony
book: book,booked,books
bookcase: bookcase,bookcases
bookshop: bookshop
boom: boomed
boon: boon
boot: boot,booted,boots
booth: booth
booty: booty
bordeaux: bordeaux
border: bordered
bore: bore,bored
bored: bored
borrow: borrow,borrowed,borrowing
borrowing: borrowing
borzoi: borzoi,borzois
borzois: borzois
bosom: bosom
boss: boss
boston: boston
botanist: botanist
bother: bother,bothering
bottle: bottle,bottles
boulevard: boulevard,boulevards
bound: bound,bounded,bounds
boundary: boundary
boundless: boundless
bouquet: bouquet
bourbon: bourbon
bourbons: bourbons
bout: bout,bouts
bow: bow,bowed,bowing,bows
bower: bower
bowl: bowl,bowled
box: box,boxes
boy: boy,boys
boyhood: boyhood
boyish: boyish
brace: braces
bracelet: bracelets
brag: brag
braggart: braggart
bragging: bragging
braid: braided
braided: braided
braiding: braiding
brain: brain,brains
branch: branches
brand: brand
brandish: brandishing
brandy: brandy
bravado: bravado
brave: brave,braved,braver,bravest
bravely: bravely
bravery: bravery
bravo: bravo
brawler: brawler
brazen: brazen
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breakfast: breakfast
breakfasting: breakfasting
breast: breast
breath: breath
breathe: breathe,breathed,breathing
breathing: breathing
breathless: breathless
breathlessly: breathlessly
breech: breeches
breeches: breeches
breed: bred
breeding: breeding
breeze: breeze
brethren: brethren
brick: brick
bridge: bridge,bridges
bridgehead: bridgehead
bridle: bridle,bridled,bridles
brigade: brigade
brigadier: brigadier
brigand: brigands
bright: bright,brighter
brighten: brightened,brightening
brightly: brightly
brightness: brightness
brilliance: brilliance
brilliancy: brilliancy
brilliant: brilliant
brilliantly: brilliantly
brimful: brimful
brindle: brindled
bring: bring,bringing,brings,brought
brink: brink
brisk: brisk,brisker
briskly: briskly
briskness: briskness
bristle: bristling
bristly: bristly
broad: broad
broadcloth: broadcloth
broaden: broadened
broadly: broadly
broken: broken
bronze: bronze
brood: brood,brooding
brook: brook
broom: broom
brother: brother,brothers
brotherhood: brotherhood
brotherly: brotherly
brothers: brothers
brow: brow,brows
browed: browed
brown: brown
brownish: brownish
bruin: bruin
bruise: bruised
brumaire: brumaire
brunette: brunette
brunt: brunt
brush: brush,brushed
brushwood: brushwood
brusque: brusque
brutal: brutal
brute: brute,brutes
bubble: bubbles
bucharest: bucharest
buckle: buckled
buckled: buckled
buckwheat: buckwheat
budge: budge
budget: budget
buffoon: buffoon
bugle: bugle
bugler: bugler
build: build,building,built
building: building,buildings
bulge: bulged,bulging
bull: bull
bullet: bullet,bullets
bully: bully
bump: bump
bundle: bundles
bunt: bunting
burden: burden,burdened,burdening
burglary: burglaries
burn: burn,burned,burning,burns,burnt
burning: burning
burst: burst,bursting,bursts
bury: buried,bury
bush: bush,bushes
bushes: bushes
bushy: bushy
busily: busily
business: business
businesslike: businesslike
businessman: businessmen
bust: bust,busts
bustle: bustle,bustled,bustling
bustling: bustling
bustlingly: bustlingly
busy: busied,busy
butler: butler
butt: butt,butts
buttermilk: buttermilk
button: button,buttoned,buttoning,buttons
buzz: buzz,buzzing
buzzing: buzzing
cab: cab
cabbage: cabbage
cabinet: cabinet
cabman: cabman
cabriolet: cabriolet
cackle: cackle
cadet: cadet,cadets
caesar: caesar
caisson: caissons
cake: cake,cakes
calamity: calamity
calculate: calculated
calculation: calculation
caldron: caldrons
calf: calf
caller: callers
callous: callous
calm: calm,calmed,calmer,calming,calms
calmly: calmly
calmness: calmness
cambric: cambric
camel: camel
camlet: camlet
camp: camp,camps
campaign: campaign,campaigning,campaigns
campfire: campfire,campfires
campo: campo
canal: canal
cancel: canceled
candidly: candidly
candle: candle,candles
candlestick: candlesticks
candor: candor
cannon: cannon
cannonade: cannonade,cannonading
cannonading: cannonading
canonize: canonized
canopy: canopy
cantata: cantata
canteen: canteen
canter: canter
canvas: canvas
cap: cap,caps
capable: capable
capacity: capacity
caper: caper,capered,capers
capital: capital,capitals
capitally: capitally
capitulation: capitulation
capless: capless
capote: capotes
caprice: caprice
capriciously: capriciously
captain: captain,captains
captaincy: captaincy
captivate: captivated
captive: captive
capture: capture,captured
car: car
card: card,cards
cardboard: cardboard
cardinal: cardinal
care: care,cared,cares
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
carelessness: carelessness
caress: caress,caressing
careworn: careworn
caroline: caroline
carousal: carousal,carousals
carpenter: carpenter
carpet: carpet,carpeted,carpets
carriage: carriage,carriages
carrier: carrier
carrot: carrot
carry: carried,carries,carry,carrying
carrying: carryings
cart: cart,carts
carve: carved
casement: casement
cash: cash
casket: casket
cassock: cassock
cast: cast,casting
castanet: castanet
castanets: castanets
castle: castle
casual: casual
casually: casually
cat: cat
catacomb: catacombs
catacombs: catacombs
catch: catch,catches,catching,caught
category: categories,category
cathedral: cathedral
catherine: catherine
catholic: catholic
catholics: catholics
cattle: cattle
caucasus: caucasus
caustic: caustic
cautious: cautious
cautiously: cautiously
cavalcade: cavalcade
cavalry: cavalry
cavalryman: cavalryman
cavity: cavities
ce: ce
cease: cease,ceased,ceases
ceaseless: ceaseless
ceaselessly: ceaselessly
ceiling: ceiling
celebrate: celebrated,celebrating
celebrated: celebrated
celebration: celebration
celebrity: celebrity
cellular: cellular
censer: censer
censure: censure,censured,censuring
center: center,centered
century: centuries,century
ceremonial: ceremonial
ceremonies: ceremonies
ceremonious: ceremonious
ceremoniously: ceremoniously
ceremony: ceremonies,ceremony
certainty: certainty
chafe: chafing
chaff: chaffing
chaffingly: chaffingly
chagrin: chagrin
chain: chain,chains
chained: chained
chair: chair,chairs
chairman: chairman
chaise: chaise
chalk: chalk
challenge: challenge,challenged,challenges,challenging
challenging: challenging
chamber: chamber
chamberlain: chamberlain
chamois: chamois
champagne: champagne
championship: championship
chance: chance,chanced,chances
chancellor: chancellor
chancery: chancery
chandelier: chandelier
change: change,changed,changing
changed: changed
channel: channel
chant: chanting
chantry: chantry
chaos: chaos
chap: chap
chapel: chapel
chapter: chapter
character: character,characters
characteristic: characteristic,characteristics
characteristically: characteristically
characterize: characterized
charcoal: charcoal
charge: charge,charged,charges,charging
charitable: charitable
charity: charity
charles: charles
charm: charm,charmed
charmed: charmed
charmer: charmer
charming: charming
charmingly: charmingly
charter: charter,charters
chary: chary
chase: chase,chased
chasseur: chasseur,chasseurs
chasseurs: chasseurs
chat: chat,chatted
chatter: chatter,chattered,chattering
chatty: chatty
cheap: cheaper
cheat: cheat
check: check,checked,checking
cheek: cheek,cheeks
cheekbone: cheekbones
cheeked: cheeked
cheer: cheer,cheered
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cheerless: cheerless
cheery: cheery
cheese: cheese
chef: chef
chemistry: chemistry
cher: cher
cherish: cherish
cherished: cherished
cherry: cherry
chess: chess
chessman: chessmen
chessmen: chessmen
chest: chest
chestnut: chestnut
chew: chewed
chi: chi
chicken: chicken,chickens
chide: chiding
chief: chief
chiefly: chiefly
child: child,children
childbearing: childbearing
childhood: childhood
childish: childish
childishly: childishly
childishness: childishness
childlike: childlike
chill: chill
chime: chimed,chimes
chimerical: chimerical
chin: chin
china: china
chinese: chinese
chintz: chintz
chip: chip
chirp: chirping
chisel: chisel
chit: chit
chivalrous: chivalrous
choice: choice,choicest
choir: choir,choirs
choke: choked,choking
choking: choking
choleric: choleric
choose: choose,choosing,chose,chosen
chord: chord,chords
chorus: chorus
christ: christ
christian: christian
christianity: christianity
christmas: christmas
chromatic: chromatic
chronicle: chronicles
chuckle: chuckle
church: church,churches
churlish: churlish
cigar: cigar
circassian: circassian
circle: circle,circles
circuit: circuits
circular: circular
circulate: circulated
circumspectly: circumspectly
circumstance: circumstance,circumstances
circumstantially: circumstantially
citizenship: citizenship
city: cities,city
civil: civil
civilian: civilian,civilians
clad: clad
claim: claiming
clamber: clamber,clambered
clang: clang
clanging: clanging
clank: clanking
clap: clapped
clapping: clapping
claret: claret
clash: clash,clashed
clasp: clasping
clasped: clasped
class: class,classes
classic: classic
classically: classically
clatter: clatter,clattering
clavichord: clavichord
clay: clay
clean: clean,cleaned,cleanest,cleaning
cleanliness: cleanliness
cleanly: cleanly
cleanse: cleanse
clearheadedness: clearheadedness
clearing: clearing
clearness: clearness
cleave: cleaving
clench: clenched,clenching
clergy: clergy
clerical: clerical
clerk: clerk
clever: clever,cleverer,cleverest
cleverly: cleverly
cleverness: cleverness
cliff: cliffs
climate: climate
climax: climax
climb: climb,climbed
cling: cling,clinging,clung
clink: clink,clinking
clinking: clinking
cloak: cloak,cloaks
clock: clock
cloister: cloister
close: close,closed,closer,closest,closing
closed: closed
closely: closely
closeness: closeness
closing: closing
cloth: cloth,cloths
clothe: clad,clothed
clothes: clothes
clothing: clothing
cloud: cloud,clouded,clouds
cloudless: cloudless
cloudy: cloudy
clown: clown,clowns
club: club
cluck: clucked
clumsy: clumsy
clung: clung
clutch: clutch,clutched,clutching
coach: coach
coachman: coachman,coachmen
coal: coal
coarse: coarse,coarsest
coarseness: coarseness
coat: coat,coats
coax: coax
cob: cob
cock: cock,cocking,cocks
cockcrow: cockcrow
cocked: cocked
cocotte: cocottes
code: code,codes
coerce: coerce
coffee: coffee
coffin: coffin
cog: cogs
cognizable: cognizable
cogwheel: cogwheels
coiffure: coiffure,coiffures
coil: coiling
coin: coin,coins
coincide: coincided,coincides,coinciding
coincidence: coincidence
coincident: coincident
cold: cold,colder
coldly: coldly
coldness: coldness
collapse: collapsed
collar: collar,collars
collect: collect,collected,collecting
collection: collection,collections
collective: collective
collector: collector
collegiate: collegiate
collide: collide
colloquy: colloquies
cologne: cologne
colonel: colonel
color: color,colored,coloring,colors
column: column,columns
comb: comb,combed
combat: combat
combatant: combatants
combination: combination
combine: combine,combined
comedian: comedian
comedy: comedy
comet: comet
comfort: comfort,comforted,comforting,comforts
comfortable: comfortable
comfortably: comfortably
comforting: comforting
comic: comic
comical: comical
command: command,commanded,commanding,commands
commander: commander,commanders
commanding: commanding
comme: comme
commence: commence,commencing
commencement: commencement
commendation: commendation
commentary: commentaries
commercial: commercial
commiseration: commiseration
commissariat: commissariat
commission: commission,commissioned,commissions
commissioner: commissioner
commit: commit,committed,committing
committee: committee,committees
committeeman: committeeman,committeemen
common: common
commonly: commonly
commonplace: commonplace
commotion: commotion
communicate: communicate,communicated
communication: communication,communications
communion: communion
commute: commuted
companion: companion,companions
company: companies,company
comparatively: comparatively
compare: compared
comparison: comparison
compass: compasses
compassionately: compassionately
compel: compelled
compensate: compensate
competent: competent
complacency: complacency
complacent: complacent
complacently: complacently
complain: complain,complained,complaining
complaint: complaint,complaints
complete: complete,completed
completely: completely
complex: complex
complexion: complexion
complicated: complicated
compliment: compliment,complimented,compliments
comply: complied,comply
compose: compose,composed,composing
composition: composition
composure: composure
comprehend: comprehend,comprehended
comprehensible: comprehensible
comprehension: comprehension
compress: compressed,compressing
compressed: compressed
compression: compression
compromise: compromise,compromised,compromising
compulsory: compulsory
comrade: comrade,comrades
comte: comte
conceal: conceal,concealed,concealing
conceit: conceit
conceited: conceited
conceive: conceive,conceived
concentrate: concentrate,concentrated,concentrating
concentrated: concentrated
concentration: concentration
concept: concept
conception: conception
concern: concern,concerned
concerned: concerned
concert: concerts
concession: concessions
concise: concise
concisely: concisely
conclude: conclude,concluded,concluding
conclusion: conclusion,conclusions
conclusive: conclusive
conclusiveness: conclusiveness
concurrence: concurrence
condemn: condemn,condemned
condemnation: condemnations
condescend: condescend
condescending: condescending
condescendingly: condescendingly
condescension: condescension
condition: condition,conditions
conduce: conduce,conduced,conducing
conduct: conduct,conducted,conducting,conducts
conductor: conductor,conductors
confer: confer,conferred,conferring,confers
confess: confess,confessed
confession: confession
confessor: confessor
confidant: confidant
confidante: confidante
confide: confide,confided,confiding
confidence: confidence
confident: confident
confidential: confidential
confidentially: confidentially
confidently: confidently
confine: confine,confined
confinement: confinement
confirm: confirm,confirmed,confirming
confirmation: confirmation
conflagration: conflagration,conflagrations
conflict: conflict
confluence: confluence
conform: conform
confound: confound
confront: confronted
confuse: confused,confusing
confused: confused
confusion: confusion
confute: confuted
congeal: congealed
congested: congested
congratulate: congratulate,congratulated,congratulating
congratulation: congratulation,congratulations
conjecture: conjecture,conjectures
conjugal: conjugal
conjunction: conjunction
conjure: conjure
conjuror: conjuror
connect: connected,connecting
connected: connected
connection: connection,connections
connoisseur: connoisseur,connoisseurs
conquer: conquer,conquered
conqueror: conqueror
conquest: conquest
conscience: conscience
conscientious: conscientious
conscientiously: conscientiously
conscious: conscious
consciously: consciously
consciousness: consciousness
conscript: conscripted,conscripts
conscription: conscription
consent: consent,consented,consents
consequence: consequence,consequences
consequent: consequent
conservatory: conservatories,conservatory
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consign: consigned
consigne: consigne
consist: consist,consisted,consisting,consists
consistent: consistent
consolation: consolation,consolations
console: console,consoled,consoling
consoler: consoler
conspicuous: conspicuous
conspiracy: conspiracy
conspirator: conspirators
conspire: conspired
constant: constant
constantine: constantine
constantly: constantly
consternation: consternation
constitute: constituted,constitutes
constitution: constitution
constitutional: constitutional
constrain: constrained
constrained: constrained
constraint: constraint
constrict: constricted
construct: constructed,constructing
construction: construction
consul: consul
consult: consult,consulting
consultation: consultation,consultations
contact: contact
contemplate: contemplated
contemplation: contemplation
contemporary: contemporaries
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
contemptuously: contemptuously
content: content
contented: contented
