abide: abide
contrary: contrary
contribution: contributions
conversation: conversation
conversationally: conversationally
converse: converse
convert: convert,converted
convey: conveyed
conviction: conviction
cool: cool
copying: copying
copyright: copyright
coquette: coquette,coquettes
corkscrew: corkscrew
corner: corner,corners
corporation: corporation
correspond: corresponds
corrupt: corrupt
corso: corso
cost: cost,costs
costume: costume
count: count,counted
countenance: countenance
country: countries,country
countryman: countryman
countrywoman: countrywoman
couple: couple
courier: courier,couriers
cousin: cousins
cover: covered
coveted: coveted
crack: crack,cracked
cravat: cravat
craziness: craziness
crazy: crazy
create: created,creating
creation: creation
creature: creatures
credence: credence
credit: credit
crest: crest
crimson: crimson
critical: critical
criticism: criticism
cross: cross,crossed
crowd: crowd
crowded: crowded
crudity: crudity
cruel: cruel
culture: culture
cup: cup
cure: cure
curiosity: curiosities,curiosity
curl: curl,curled,curling
current: current
cursory: cursory
curtain: curtain
custodian: custodian
custom: custom
cut: cut,cuts
cynical: cynical
cynicism: cynicism
cypress: cypresses
daisy: daisies,daisy
damage: damage
damaged: damaged
damages: damages
dance: dance,dancing
dancing: dancing
danger: danger
dangerous: dangerous
dangerously: dangerously
dark: dark
darkness: darkness
datum: data
daughter: daughter
david: david
davis: davis
day: day,days
daylight: daylight
deal: deal
death: death
decide: decided
decidedly: decidedly
decision: decision
deck: deck
declare: declare,declared
decline: decline
decorate: decorated,decorating
deductible: deductible
deep: deep,deeper
deeply: deeply
defect: defect,defects
defective: defective
deferential: deferential
defiance: defiance
defiant: defiant
definite: definite
defy: defied
degree: degree
delay: delayed
deletion: deletions
delicacy: delicacy
delicate: delicate
delighted: delighted
delightfully: delightfully
deliver: delivered
delusive: delusive
demand: demand,demanded
demonstrative: demonstrative
dent: dent
deny: denied,deny
depart: depart,departed
depend: depend,depends
deportment: deportment
deposit: depositing
deprecate: deprecated
derisive: derisive
derivative: derivative
derive: derive,derived
descend: descended
description: description
design: design
designing: designing
desire: desire,desired
desolation: desolation
dessert: dessert
destroy: destroy
desultory: desultory
detach: detach,detached
determine: determine,determined
deucedly: deucedly
devil: devil
devoted: devoted
devoutly: devoutly
diamond: diamonds
dictate: dictate
die: die,died,dying
difference: difference,differences
difficult: difficult
diffuse: diffuse
dignity: dignity
diminutive: diminutive
dimly: dimly
dimple: dimples
dine: dine,dined,dines
dinner: dinner,dinners
direct: direct
director: director
disagreeable: disagreeable
disagreeably: disagreeably
disappointed: disappointed
disapprove: disapproved
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclosure: disclosures
discontinue: discontinue
discover: discover,discovered
discretion: discretion
disgusted: disgusted
dishabituated: dishabituated
disk: disk
dislike: dislike
dismiss: dismissed
disorder: disorder
dispassionate: dispassionate
display: display,displayed,displaying
displease: displease
displeasure: displeasure
dispose: disposed
disposed: disposed
dissuade: dissuade
distance: distance
distant: distant
distinction: distinction
distinctly: distinctly
distinguish: distinguish,distinguished
distinguished: distinguished
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
diversely: diversely
divide: divided
docility: docility
doctor: doctors
dollar: dollars
domain: domain
donate: donate
donation: donation,donations
donor: donors
door: door
doria: doria
doubt: doubt
dover: dover
download: downloading
downstairs: downstairs
dozen: dozen
drag: dragging
draw: draw,drawing,drawn,drew
drawing: drawing
dreadful: dreadful
dreadfully: dreadfully
dream: dreams
dress: dress,dressed,dresses
dressed: dressed
drink: drinking
drive: drive,driving,drove
driver: driver
drop: drop,dropped
du: du
dusk: dusk
dusky: dusky
duty: duty
dying: dying
dyspepsia: dyspepsia
ear: ear,ears
earnest: earnest
earnestly: earnestly
earnestness: earnestness
earth: earth
easily: easily
easy: easy
eat: eat
eccentricity: eccentricities
echo: echo
edge: edge,edges
edify: edified
edition: edition,editions
education: education
educational: educational
efficient: efficient
effort: effort,efforts
ejaculate: ejaculated
ejaculation: ejaculation
elder: elder
elect: elect
electronic: electronic
electronically: electronically
elegance: elegance
elegant: elegant
element: element
elle: elle
elope: elope
eloquence: eloquence
email: email
embank: embanked
embark: embarked
embarrassed: embarrassed
embarrassing: embarrassing
embrasure: embrasure,embrasures
embroider: embroidered
embroidery: embroidery
emerge: emerged
eminently: eminently
emphasis: emphasis
emphatic: emphatic
employee: employee,employees
enable: enables
enchanting: enchanting
encircle: encircles
enclosure: enclosure
encode: encoding
encounter: encounter,encountered
endeavor: endeavored
endow: endowed
enemy: enemies
engage: engaged
engaged: engaged
engagement: engagements
england: england
english: english
enjoy: enjoy,enjoyed,enjoying
enormous: enormous
enshrine: enshrined
ensure: ensuring
enter: enter,entered,enters
enterprise: enterprise
entertain: entertained
entertainment: entertainment
entity: entity
entrance: entrance
enumerate: enumerated
equalize: equalize
equipment: equipment
error: errors
escapade: escapade
escort: escort
essentially: essentially
establish: established
establishment: establishments
esteem: esteem
europe: europe
european: european,europeans
evade: evaded
evening: evening
event: events
evidence: evidence
evident: evident
evidently: evidently
evoke: evoke
exacting: exacting
examine: examining
exceed: exceeded
exceedingly: exceedingly
excellent: excellent
exchange: exchange,exchanging
excite: excited
excited: excited
exciting: exciting
exclaim: exclaim,exclaimed
exclamation: exclamation
exclusion: exclusion
exclusive: exclusive
excursion: excursion
executive: executive
exempt: exempt
exert: exerted
exhilarate: exhilarated
exiguous: exiguous
exist: exist,exists
existence: existence
expect: expect,expected,expecting,expects
expectation: expectation
expend: expend
expense: expense,expenses
expensiveness: expensiveness
expire: expire
explain: explain,explained
explanation: explanation
export: exporting
expose: expose,exposed
express: express,expressed,expressing
expression: expression
expressive: expressive
expressly: expressly
exquisite: exquisite
extent: extent
extraordinary: extraordinary
extreme: extreme
extremely: extremely
eye: eye,eyes
eyebrow: eyebrows
eyeglass: eyeglass
ezra: ezra
facility: facility
fair: fair
fairbanks: fairbanks
familiar: familiar
familiarity: familiarities
familiarly: familiarly
family: family
famous: famous
fan: fan,fanning
fancy: fancied,fancy
farewell: farewell
fashion: fashion
fast: fast
fastidious: fastidious
fatal: fatal
father: father
fault: fault
faut: faut
favor: favor
favorable: favorable
fear: fear,fears
fearful: fearful
fearfully: fearfully
feasible: feasible
feature: features
federal: federal
fee: fee,fees
feel: feel,feeling,feels
fellow: fellow
feminine: feminine
feudal: feudal
fever: fever
figure: figure
file: file,files
financial: financial
fine: fine,finest
finger: fingering
finish: finish,finished
fireplace: fireplace
fitness: fitness
flag: flags
flash: flashed
flat: flat,flatter
flatter: flattered
flattered: flattered
flattering: flattering
flirt: flirt,flirted,flirting,flirts
flit: flitted,flitting
floor: floor
florence: florence
florid: florid
flounce: flounces
flourish: flourish
flower: flower,flowering,flowers
flush: flush,flushed
flutter: fluttered
fly: flying
fold: folded
follow: follow
folly: folly
fond: fond
foot: feet,foot
force: force
forefront: forefront
forehead: forehead
foreign: foreign
foreigner: foreigner,foreigners
forget: forget,forgot,forgotten
forgivingly: forgivingly
form: form,formed,forming,forms
formal: formal
format: format,formats
formula: formula
fortunate: fortunate
fortune: fortune
forum: forum
foundation: foundation
fragment: fragments
frankly: frankly
frankness: frankness
frederick: frederick
freedom: freedom
freely: freely
freight: freighted
frequently: frequently
fresh: fresh
freshly: freshly
freshness: freshness
friday: friday
friend: friend,friends
friendly: friendliest
friendship: friendships
frightened: frightened
frightful: frightful
frigidity: frigidity
frigidly: frigidly
frill: frills
frizzle: frizzled
fro: fro
function: functions
functionary: functionary
funeral: funeral
furbelow: furbelows
fuss: fuss
future: future
gaiety: gaiety
gallantly: gallantly
gallantry: gallantry
gallery: gallery
garden: garden
gardens: gardens
garrulity: garrulity
gate: gate
gather: gathered
gay: gay
gaze: gazing
generation: generations
generic: generic
generous: generous
generously: generously
geneva: geneva
gentleman: gentleman,gentlemen
gently: gently
german: german,germans
gigantic: gigantic
girl: girl,girls
glad: glad
glance: glance,glanced,glancing
glass: glass
gleam: gleaming
gloom: gloom
glove: gloves
goal: goals
gold: gold
golden: golden
goodbye: goodbye
goodness: goodness
goose: goose
gossip: gossip
govern: govern
governor: governors
grace: grace
graceful: graceful
gracious: gracious
gradually: gradually
grand: grand
granddaughter: granddaughters
grant: granted
grateful: grateful
gratefully: gratefully
gratification: gratification
gratified: gratified
grave: grave
gravel: gravel
gravely: gravely
greatly: greatly
greeting: greeting
gregory: gregory
grimly: grimly
grin: grin,grinning
gross: gross
ground: ground
grow: grown
guarantee: guarantee
guard: guard
guess: guess
guest: guests
guide: guide,guiding
guilty: guilty
habit: habit,habits
habitual: habitual
hair: hair
hall: hall
hamburg: hamburg
hand: hand,hands
handsome: handsome,handsomest
hang: hanged,hangs
hannibal: hannibal
happen: happened
happily: happily
happy: happy
hard: hard
harm: harm
harmless: harmless
harmony: harmony
harshness: harshness
hart: hart
hasten: hastened
hasty: hasty
hat: hat
hate: hate
head: head,heads
headache: headache,headaches
health: health
healthy: healthy
hear: hear,heard,hearing
hearing: hearing
heart: heart
heaven: heaven
heed: heed
heiress: heiresses
henry: henry
hesitate: hesitated
hesitation: hesitation
hide: hidden
hierarchical: hierarchical
highly: highly
hilarity: hilarity
hill: hill
hint: hint
hire: hired
historian: historian
historic: historic
history: history
hitherto: hitherto
hold: held,hold,holding
holder: holder
honest: honest
honor: honor
hope: hope,hoped,hopes
hopelessly: hopelessly
hornpipe: hornpipe
horrible: horrible
horrid: horrid
horror: horror
hospitable: hospitable
hostess: hostess
hotel: hotel,hotels
hour: hour,hours
house: house,houses
hover: hovered
hum: humming
humbly: humbly
humid: humid
humility: humility
humor: humor
hungry: hungry
hunter: hunters
hurry: hurried,hurrying
hurt: hurt
husband: husbands
idea: idea,ideas
identification: identification
identify: identify
idiom: idiom
idle: idle
idly: idly
ignorant: ignorant
illumination: illumination
image: image
imagination: imagination
imagine: imagine,imagined
imbecile: imbecile
imbibe: imbibed
imitation: imitation
immature: immature
immensely: immensely
immodest: immodest
impartial: impartial
impatience: impatience
impatient: impatient
imperial: imperial
imperious: imperious
impertinent: impertinent
imperturbable: imperturbable
impiety: impiety
imply: implied,imply
impose: imposed
impossible: impossible
impregnate: impregnated
impress: impress
impression: impression
impressive: impressive
impressively: impressively
improper: improper
impulse: impulse
imputation: imputation
inaccurate: inaccurate
inaudibly: inaudibly
incapable: incapable
incident: incidents
incidental: incidental
inclination: inclination
incline: inclined
include: include,included,includes,including
including: including
incomplete: incomplete
incongruous: incongruous
inconsequent: inconsequent
increase: increasing
indebtedness: indebtedness
indelicate: indelicate
indemnify: indemnify
indemnity: indemnity
indication: indications
indifference: indifference
indifferent: indifferent
indignation: indignation
indirect: indirect
indirectly: indirectly
indiscretion: indiscretion
indispensable: indispensable
indispose: indisposed
indistinct: indistinct
individual: individual
indolent: indolent
indoors: indoors
induce: induce
induction: induction
ineffaceable: ineffaceable
inevitable: inevitable
inexhaustible: inexhaustible
infancy: infancy
infant: infant
inform: inform,informing
informant: informant
infringement: infringement
ingenious: ingenious
inhale: inhaling
initiate: initiating
injure: injured
injury: injury
injustice: injustice
inn: inn
innocence: innocence
innocent: innocent
inquire: inquired
inquiry: inquiries
inscribe: inscribed
inscription: inscriptions
inscrutable: inscrutable
insipid: insipid
inspect: inspected
instance: instance
instant: instant
instantly: instantly
instinct: instinct
instinctive: instinctive
instinctively: instinctively
instruction: instruction
instrument: instrument
intellectual: intellectual
intellectually: intellectually
intelligent: intelligent
intend: intend,intending,intends
intensely: intensely
intention: intentions
intently: intently
intercourse: intercourse
interfere: interfere
interference: interference
interfusion: interfusion
interior: interior
interlocutor: interlocutor
internal: internal
international: international
interpose: interposed
interpret: interpreted
interrogation: interrogation
interrupt: interrupted
interval: interval
interview: interview,interviews
intimacy: intimacy
intimate: intimate,intimated
intimation: intimation
intime: intime
intrigue: intrigue
introduce: introduce,introduced,introducing
introduction: introduction,introductions
invalidity: invalidity
invidious: invidious
invisible: invisible
invite: invite
ironical: ironical
ironically: ironically
irony: irony
irrelevant: irrelevant
irrelevantly: irrelevantly
irresponsible: irresponsible
irs: irs
italian: italian,italians
italy: italy
james: james
january: january
jealous: jealous
jest: jested
jocosely: jocosely
joke: joke
journey: journey
judge: judged
judicious: judicious
judith: judith
july: july
jump: jump,jumped,jumping
june: june
justice: justice
justly: justly
kick: kicking
kindly: kindly
kinswoman: kinswoman
kiss: kiss,kissed
knee: knee
knickerbockers: knickerbockers
knock: knocking
knot: knot,knots
lady: ladies,lady
lake: lake
lance: lance
land: land,landed
landing: landing
language: language
lap: lap
largeness: largeness
late: late
laugh: laugh,laughed,laughing
law: law,laws
lawless: lawless
laxity: laxity
lead: led
lean: leaned,leaning
learn: learn,learned,learning
learning: learning
leave: leave,leaving,left
ledge: ledge
legal: legal
legally: legally
legation: legation
lesson: lessons
letter: letter,letters
lettering: lettering
level: leveled
liability: liability
liable: liable
liberal: liberal
liberty: liberty
library: library
license: license
licensed: licensed
lieu: lieu
life: life
lift: lifted
light: light,lights,lit
lighted: lighted
lightly: lightly
limit: limited
limitation: limitation,limitations
limited: limited
linger: linger,lingered
link: linked,links
lion: lions
lip: lips
listen: listen,listened
literally: literally
literary: literary
live: live,lived,lives
lived: lived
lively: lively
liver: liver
locate: located
location: locations
logic: logic
logical: logical
lonesome: lonesome
loose: loose
lose: losing,lost
lot: lot,lots
loud: loud
loudly: loudly
lounge: lounging
lounger: loungers
love: love
loveliness: loveliness
lovely: lovely
lover: lover
lucidly: lucidly
luck: luck
luminous: luminous
lump: lump,lumps
luncheon: luncheon
luxury: luxury
machine: machine
madam: madam
madame: madame
mademoiselle: mademoiselle
magnificent: magnificent
magnitude: magnitude
main: main
maintain: maintaining
majestically: majestically
malaria: malaria
mamma: mamma
manage: managed
manfred: manfred
manifest: manifesting
manner: manner
manners: manners
marble: marble
marchese: marchese
margin: margin
mark: marked
married: married
marry: married,marry,marrying
martyr: martyrs
mass: massed
master: master
maternity: maternity
matrimony: matrimony
matron: matrons
matter: matter,mattered,matters
maturity: maturity
maximum: maximum
meaning: meaning
measure: measure
meddle: meddle
medicine: medicine
meditate: meditated
meditation: meditations
meditatively: meditatively
medium: medium
meet: meet,meeting,met
melancholy: melancholy
menial: menials
mental: mental
mentally: mentally
mention: mentioned
mere: mere
merit: merit
message: message,messages
metaphysician: metaphysicians
method: method,methods
metropolis: metropolis
miasma: miasma
michael: michael
middle: middle
midi: midi
midnight: midnight
mila: mila
mild: mild
miller: miller
mind: mind,minds
minded: minded
mingle: mingled
minute: minute,minutes
minutely: minutely
misfortune: misfortune
mission: mission
mississippi: mississippi
mistake: mistake
mixture: mixture
mockery: mockery
modest: modest
modification: modification
modify: modified
moment: moment,moments
monde: monde
money: money
monotone: monotone
monotonous: monotonous
monstrous: monstrous
month: month
monument: monuments
monumental: monumental
moon: moon
moonlight: moonlight
moonshine: moonshine
moor: moored
morning: morning
morrow: morrow
morsel: morsels
mortal: mortals
mortify: mortified
mossy: mossy
mother: mother
motive: motives
mound: mounds
mountain: mountain,mountains
mourner: mourners
movement: movement,movements
moving: moving
muffle: muffled
murmur: murmur,murmured
music: music
muslin: muslin
mustache: mustache
mysterious: mysterious
mystery: mystery
mystifying: mystifying
narrate: narrated
national: national
native: native,natives
natural: natural
naturally: naturally
neat: neat
negligence: negligence
neighbor: neighbors
neighboring: neighboring
nephew: nephew
nervous: nervous
nest: nest
network: network
newport: newport
news: news
newsletter: newsletter
nice: nice,nicer
night: night
nocturnal: nocturnal
nod: nodded
nonproprietary: nonproprietary
nonsense: nonsense
nook: nook
north: north
nose: nose
nosegay: nosegay
notice: notice,noticed,noticing
notify: notifies
numerous: numerous
nurse: nurse,nursing
obey: obey
object: object,objects
objection: objection
objective: objective
oblige: obliged
obsequious: obsequious
observance: observance
observant: observant
observation: observation,observations
observe: observe,observed,observing
obsolete: obsolete
obvious: obvious
occasion: occasion,occasions
occupation: occupations
occupy: occupied
occur: occur,occurred,occurring
ocean: ocean
odd: odd
odor: odors
offend: offended
offended: offended
offense: offense
offensively: offensively
offer: offer,offered,offering,offers
office: office
official: official
online: online
opinion: opinion
opportunity: opportunities,opportunity
opposition: opposition
oppressively: oppressively
optical: optical
opulence: opulence
organ: organ
organism: organism
organize: organized
original: original
originator: originator
ornament: ornamented
ornamental: ornamental
ostracism: ostracism
oubliette: oubliettes
outdated: outdated
overhang: overhangs
overlook: overlooked,overlooks
overmuch: overmuch
overtake: overtook
owe: owed
owner: owner
pain: pains
painful: painful
pair: pair,paired
palace: palace
palatine: palatine
pale: pale
papal: papal
paper: paper
paperwork: paperwork
paragraph: paragraph,paragraphs
parapet: parapet
parasol: parasol
pardon: pardon
parent: parent
parental: parental
paris: paris
parlor: parlor
partisan: partisan
partner: partners
party: parties,party
pass: passed,passing
passe: passe
passion: passion,passions
passionate: passionate
pat: pats
patch: patches
paternally: paternally
path: path
pathological: pathological
patience: patience
patient: patient
pause: pause,paused
pave: paved
pavement: pavement
pay: paid,pay,paying
payment: payments
pebble: pebbles
peculiar: peculiar
pedestrian: pedestrians
penetrate: penetrating
penny: penny
pension: pension
pensive: pensive
pensiveness: pensiveness
perceive: perceive,perceived
perfect: perfect
perfection: perfection
perfectly: perfectly
perform: perform,performed,performing
performance: performance,performances
perfume: perfume
perilous: perilous
period: period
periodic: periodic
permanent: permanent
permissible: permissible
permission: permission
permit: permitted
perpetually: perpetually
perplexed: perplexed
perplexing: perplexing
persiflage: persiflage
person: people,person,persons
personage: personage
personal: personal
personality: personality
persuade: persuade
peter: peter
philosophic: philosophic
phrase: phrase
physical: physical
piano: piano
pick: pick,picked
picture: picture,pictures
picturesque: picturesque
piece: piece
pilaster: pilasters
pill: pills
pincian: pincian
pine: pine
pink: pink
pitched: pitched
pitiful: pitiful
pity: pity
placidity: placidity
placidly: placidly
plaguy: plaguy
plain: plain
play: play,played
pleadingly: pleadingly
pleasant: pleasant
pleasanter: pleasanter
pleasantry: pleasantries
pleased: pleased
pleasure: pleasure
plenty: plenty
pluck: pluck
pocket: pocket
poet: poets
poise: poised
poke: poked,poking
poky: poky
pole: pole
polish: polish
polite: polite
politeness: politeness
poor: poor
portable: portable
porter: porter
portrait: portrait
possess: possessed
possession: possession
possibility: possibilities,possibility
post: posted
potential: potential
practically: practically
practice: practice,practiced
prattle: prattle
pray: pray
preach: preaching
precede: preceded
prefer: prefer,preferred
preference: preference
pregnantly: pregnantly
preoccupy: preoccupied
prepare: prepare,prepared
prepared: prepared
presence: presence
presently: presently
preserve: preserve
presume: presume
pretend: pretending,pretends
pretext: pretext,pretexts
prettily: prettily
prettiness: prettiness
pretty: prettier,prettiest,pretty
prevail: prevailed
prevent: prevent
previous: previous
princess: princess,princesses
principal: principal
print: print,printed
private: private
privilege: privilege
privileged: privileged
probable: probable
proceed: proceeded
processing: processing
proclaim: proclaimed
produce: produce,produced
production: production
profess: professed
professor: professor
profit: profit,profits
profundity: profundity
program: program
progress: progress
prohibition: prohibition
project: project,projected
prolong: prolonged
prominently: prominently
promise: promise,promised,promising
promote: promoting
promotion: promotion
pronounce: pronounce,pronounced,pronouncing
pronounced: pronounced
proof: proof
proofread: proofread
proper: proper
property: property
proportion: proportion
propose: propose,proposed
proprietary: proprietary
prospect: prospect
protect: protect
protest: protested,protesting
protestant: protestant
protestation: protestations
protuberance: protuberance
prove: prove,proved
provide: provide,providing
provincial: provincial
provision: provision,provisions
prudent: prudent
public: public
publicity: publicity
publicly: publicly
puerility: puerility
puff: puffs
pull: pulling
punctiliously: punctiliously
punitive: punitive
purely: purely
purpose: purpose,purposes
pursue: pursued
pursuit: pursuit
push: pushed
puzzle: puzzled
puzzled: puzzled
quaint: quaint
quarter: quarter
queer: queer
queerest: queerest
querulous: querulous
question: question,questions
qui: qui
quick: quick
quicken: quickened
quiet: quiet
quit: quitted
quotation: quotation
racket: rackets
radiance: radiance
radiant: radiant
raise: raise,raised
randolph: randolph
rapid: rapid
rapidity: rapidity
rapidly: rapidly
rarely: rarely
rate: rate
rattle: rattle
raw: raw
reach: reached,reaching
read: read,reading
readable: readable
reader: reader
ready: ready
reaffirm: reaffirm
real: real
reason: reason
reasonable: reasonable
reassure: reassure,reassured
rebuke: rebuke
receipt: receipt
receive: receive,received,receiving
reciprocate: reciprocated
reckless: reckless
recklessness: recklessness
recommend: recommended
record: recorded
recur: recurred
red: red
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reduce: reduced
refer: referring
reference: references
reflect: reflected,reflecting
reflection: reflections
refund: refund
refusal: refusal
refuse: refused
regard: regard,regarded
region: region
register: registered
regret: regret
regular: regular
regulate: regulating
rejoin: rejoin,rejoined
relate: relate
relation: relations
release: release,released
relief: relief
relieve: relieve
relish: relish
remain: remain,remained,remaining
remark: remark,remarked,remarks
remarkable: remarkable
remarkably: remarkably
remedy: remedies
remember: remember,remembered
remind: reminding
remonstrate: remonstrate
remotely: remotely
remove: remove,removed
rename: renamed
rendezvous: rendezvous
repair: repaired
repeat: repeated,repeating
replace: replace
replacement: replacement
reply: replied,reply
report: report,reported,reports
representation: representations
representative: representative
reproach: reproaches
reprobate: reprobate
reputation: reputation
request: request
require: require,required
requirement: requirements
reside: reside,residing
residence: residence
resolve: resolved
respect: respect
respectability: respectability
respectable: respectable
respectfully: respectfully
respond: responded,responding
response: response
rest: rest,rested,resting
restriction: restrictions
resume: resumed,resuming
retire: retired
retort: retort
retrace: retraced
retreat: retreat
return: return,returned,returns
revenge: revenge
revenue: revenue
revert: reverted
revolving: revolving
revulsion: revulsion
reward: reward
ribbon: ribbon,ribbons
rich: rich
richmond: richmond
rid: rid
riddle: riddle
ride: ride
rise: rise,risen,rose
risk: risk,risked
roll: roll,rolled
roman: roman
romancer: romancers
romantic: romantic
rome: rome
roof: roof
