aback: aback
conclusive: conclusive
concoct: concoct
concrete: concrete
concretely: concretely
concussion: concussion
condemn: condemned
condescension: condescension
condition: condition
conducive: conducive
conduct: conduct
conduit: conduits
confess: confess
confidence: confidence,confidences
confident: confident
confidential: confidential
confidently: confidently
confine: confined
confirm: confirmed
confirmation: confirmation
conflict: conflict
confront: confronted
congenial: congenial
congo: congo
congratulate: congratulate,congratulated,congratulating
congregate: congregate
congregation: congregation
connect: connect,connected
connection: connection
conscience: conscience
conscious: conscious
consciously: consciously
consciousness: consciousness
consequential: consequential
conservative: conservative
considerable: considerable
consideration: consideration,considerations
consist: consisted,consisting
consistent: consistent
consolation: consolation,consolations
conspire: conspire
constancy: constancy
constant: constant
constantly: constantly
constatation: constatation
constitution: constitution
construct: constructed
consult: consulted
consummate: consummated
contact: contact,contacts
contemplation: contemplation
contemporary: contemporary
contempt: contempt
content: content
contented: contented
contentment: contentment
contents: contents
context: context
continent: continent
continental: continental
contingency: contingencies
contingent: contingent
continual: continual
continue: continue,continued,continuing
continuous: continuous
continuously: continuously
contract: contract
contraction: contraction
contrast: contrasted,contrasting
contribution: contributions
contrive: contriving
contrived: contrived
control: control,controlled
controller: controller
conveniently: conveniently
conversation: conversation
conversational: conversational
convert: convert,converted,converting
conviction: conviction
convince: convinced
convinced: convinced
convincing: convincing
cooing: cooing
cook: cook
cool: cool,cooler,coolest
copse: copse
copying: copying
copyright: copyright
cork: cork
corkscrewed: corkscrewed
corn: corn
corner: corner,corners
cornish: cornish
coronet: coronet
corporal: corporal
corporation: corporation
corpulent: corpulent
corpuscle: corpuscles
corridor: corridor,corridors
corrupt: corrupt
corsair: corsair
corsican: corsican
cosmology: cosmology
cosmos: cosmos
cost: cost,costs
costume: costume
cottage: cottage
cough: cough,coughed,coughing
counsel: counsels
count: count,counted,counts
countenance: countenance
counteract: counteract
countless: countless
country: countries,country
countryman: countrymen
countryside: countryside
county: county
couple: couple,coupled,couples
courage: courage
court: court
courtship: courtship
courtyard: courtyard
cover: cover,covered
covered: covered
covert: covert
cow: cows
cowshed: cowsheds
crab: crab
crack: cracked
crackle: crackling
craft: crafts
cram: crammed
cramped: cramped
cranny: crannies
crash: crash,crashed
crass: crass
creak: creaking
cream: cream
create: create,created,creating
creation: creation
creative: creative
creature: creature,creatures
credit: credit
creed: creed
creep: creep,crept
cremona: cremona
crescendo: crescendo
crest: crest
crew: crew
cricket: cricket
crime: crimes
crisis: crisis
critic: critic
critical: critical
critically: critically
criticism: criticism
crocodile: crocodile
crome: crome
crooked: crooked
crookedly: crookedly
cross: cross,crossed,crosses,crossing
croup: croup
crowd: crowd,crowds
crown: crowned,crowns
crucial: crucial
crucified: crucified
crucifixion: crucifixion
crude: crude
cruel: cruel
cruelly: cruelly
cruelty: cruelty
crumble: crumbled
crumple: crumple
crunch: crunched
crusade: crusade,crusades
crush: crushed
cryptic: cryptic
crystal: crystal
cubism: cubism
cubist: cubist
cuckoo: cuckoo,cuckooed
culminate: culminating
cultivate: cultivate,cultivating
cultivation: cultivation
culture: culture,cultured
cumbrous: cumbrous
cunningly: cunningly
cup: cup,cups
cupboard: cupboard
curate: curates
cure: cure
curiosity: curiosity
curious: curious
curiously: curiously
curl: curls
curly: curly
current: current
curtain: curtain,curtains
curtly: curtly
curtseying: curtseying
curve: curves
curved: curved
cushion: cushions
custom: custom,customs
customarily: customarily
customary: customary
cut: cut,cuts,cutting
cutter: cutters
cylinder: cylinder
cymbal: cymbals
cypress: cypress
cyprian: cyprian
da: da
dabble: dabbles
daily: daily
dally: dallied
damage: damage
damaged: damaged
damages: damages
damn: damn
damnable: damnable
damned: damned
damp: damp,damped
dampness: dampness
dance: dance,danced,dances,dancing
dancer: dancer,dancers
dancing: dancing
dandelion: dandelion
danger: danger
dangerous: dangerous
dangle: dangling
dark: dark
darkness: darkness
darling: darling
dart: darted
darts: darts
darwin: darwin
dash: dashed,dashing
dateless: dateless
datum: data
daughter: daughter,daughters
david: david
dawn: dawn,dawns
day: day,days
daylight: daylight
days: days
daze: dazed
dazed: dazed
dazzle: dazzling
dazzling: dazzling
dead: dead
deaf: deaf
deafness: deafness
deal: deal,dealing
death: death
debutante: debutante,debutantes
decade: decade
decanter: decanter
decay: decay
decaying: decaying
december: december
decency: decencies,decency
decently: decently
deceptively: deceptively
decide: decide,decided
decidedly: decidedly
decision: decision
decisive: decisive
decisively: decisively
deck: deck
declare: declare,declared
decline: decline,declined
decolletage: decolletage
decorously: decorously
dedicate: dedicated,dedicating
deductible: deductible
deep: deep,deeper
deepen: deepened
deeply: deeply
defect: defect,defects
defective: defective
define: defined
definition: definition
deformity: deformity
degas: degas
degrading: degrading
degree: degree,degrees
dejected: dejected
dejectedly: dejectedly
delay: delay
delectation: delectation
deletion: deletions
deliberate: deliberate
deliberately: deliberately
delicate: delicate
delicately: delicately
delicious: delicious
deliciously: deliciously
delight: delight,delights
delighted: delighted
delightful: delightful
delineation: delineation
delirium: delirium
deliver: deliver,delivered
dell: dell
delusion: delusion
delving: delving
demand: demand,demanded,demanding
demon: demon
demonstration: demonstration
den: den
denial: denial
denigration: denigration
denis: denis
dense: dense
deny: denies
depart: depart,departed
departure: departure
depend: depend,depended,depends
deplorable: deplorable
deplore: deplore
deposit: deposit
deprecate: deprecating
deprecatingly: deprecatingly
depress: depressed
depressed: depressed
depressing: depressing
depression: depression,depressions
depth: depth
depths: depths
derange: deranged
derby: derby
derivation: derivations
derivative: derivative
derive: derive,derived
descant: descant
descend: descend,descended,descending
descendant: descendants
descent: descent
description: description,descriptions
descriptive: descriptive
descry: descry
desecrate: desecrated
desert: deserted
deserted: deserted
deserve: deserved
desiccation: desiccation
design: design,designs
desirability: desirability
desirable: desirable
desire: desire,desired,desires
desk: desk
desolate: desolate,desolated
despair: despair
despairing: despairing
despairingly: despairingly
desperate: desperate
desperately: desperately
despise: despised
destination: destination
destine: destined
destiny: destinies,destiny
destroy: destroy,destroyed
destruction: destruction
detach: detach
detached: detached
detachment: detachment
detailed: detailed
detect: detect
deter: deterred
determine: determine,determined
determined: determined
deterrent: deterrent
develop: develop,developed
development: development
devil: devil
devise: devising
devote: devote,devoted,devoting
devotions: devotions
devour: devour
dew: dew
di: di
dia: dia
diabolic: diabolic
dialect: dialect
diamond: diamonds
diary: diaries,diary
dictate: dictated
dictionary: dictionaries,dictionary
didactically: didactically
die: die,died,dies,dying
diet: diet
difference: difference,differences
difficult: difficult
difficulty: difficulty
dig: digs,dug
dignified: dignified
dignity: dignity
dilemma: dilemma
dilettante: dilettante
dim: dim
dimension: dimension,dimensions
diminish: diminish,diminishing
diminishingly: diminishingly
diminutive: diminutive
dimpled: dimpled
dine: dine,dined
dining: dining
dinner: dinner
dinted: dinted
dip: dipping
dipsomaniac: dipsomaniac,dipsomaniacs
direct: direct,directing
direction: direction
director: director,directors
dirt: dirt
dirtily: dirtily
disagree: disagree
disagreeable: disagreeable
disappear: disappear,disappeared,disappears
disappointed: disappointed
disappointment: disappointment,disappointments
disastrous: disastrous
discharge: discharged
disciple: disciples
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discomfort: discomfort
disconcertingly: disconcertingly
discontent: discontent
discontinue: discontinue
discourse: discourse,discoursed,discourses,discoursing
discover: discover,discovered
discovery: discoveries,discovery
discreet: discreet
discreetly: discreetly
discrete: discrete
discretion: discretion
discuss: discuss,discussed
discussion: discussion
disease: disease,diseases
disembowel: disembowelled
disengage: disengaged
disguise: disguised
disgust: disgust
disgusting: disgusting
dish: dish
disinterested: disinterested
disk: disk
dislike: dislike
dismal: dismal
dismantle: dismantled
dismay: dismay
dismember: dismembered
disobey: disobeyed
disorder: disorder
disorganised: disorganised
disparage: disparaging
disparagement: disparagement
dispassionately: dispassionately
dispense: dispensing
disperse: dispersed
display: display,displayed,displaying
displeasure: displeasure
disport: disport
disquiet: disquiet
disquieting: disquieting
disregard: disregard,disregarded
dissatisfied: dissatisfied
dissect: dissected
dissent: dissent
dissipate: dissipated
dissociate: dissociate,dissociating
dissolution: dissolution
dissolve: dissolving
distance: distance,distances
distant: distant
distended: distended
distinct: distinct
distinguish: distinguished
distinguished: distinguished
distract: distracted
distractingly: distractingly
distress: distress,distressed
distressed: distressed
distressing: distressing
distressingly: distressingly
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district
disturb: disturb,disturbed,disturbs
disturbed: disturbed
disused: disused
ditchwater: ditchwater
divagate: divagate
dive: dived
diver: divers
diversify: diversified
diversion: diversions
divide: divided,dividing
divine: divine
divinely: divinely
divinity: divinity
divulge: divulge,divulged
dizzy: dizzy
docket: docketed
dog: dog,dogs
dogma: dogma
doings: doings
doll: doll
dollish: dollish
dolly: dolly
domain: domain
dominant: dominant
donate: donate
donation: donation,donations
donne: donne
donor: donors
doom: doomed
door: door,doors
doorway: doorway
doris: doris
dose: dose
double: double
doubt: doubt
downfall: downfall
downhill: downhill
downily: downily
download: downloading
downstairs: downstairs
doze: dozing
dozen: dozen,dozens
dozy: dozy
drag: dragged
dragon: dragon
drain: drain
drainpipe: drainpipes
dramatically: dramatically
draught: draught
draw: draw,drawn,drew
drawer: drawer
drawing: drawing,drawings
dread: dreads
dreadfully: dreadfully
dream: dream,dreaming,dreamt
drearily: drearily
dreary: dreary
dress: dress,dressed,dresses
dressing: dressing
dressy: dressy
drift: drift
drink: drank,drink,drinking
drinking: drinking
drive: drive,driven,drives,driving,drove
driver: driver
droop: drooped,drooping
droopy: droopy
drop: drop,dropped,drops
drown: drown,drowned
drowsily: drowsily
drowsiness: drowsiness
drowsy: drowsy
drudge: drudge
drug: drugged
drum: drum,drummed,drumming,drums
drumming: drumming
drumstick: drumstick,drumsticks
drunk: drunk
drunken: drunken
dry: dry
drying: drying
du: du
ducal: ducal
duck: duck,ducks
dug: dugs
dull: dull
duly: duly
dummy: dummy
dung: dung
dust: dust,dusted
dusty: dusty
duty: duties
dwarf: dwarf,dwarfs
dwarfish: dwarfish
dwelt: dwelt
dynamo: dynamo
eager: eager
eagerly: eagerly
ear: ear,ears
earnest: earnest
earnestly: earnestly
earnestness: earnestness
earth: earth
earthquake: earthquakes
earthward: earthward
earthy: earthy
easel: easel
easily: easily
east: east
eastern: eastern
eastward: eastward
easy: easier,easiest,easy
eat: ate,eat,eaten,eating,eats
ebb: ebbing
eccentric: eccentric,eccentrics
eccentricity: eccentricities,eccentricity
ecclesiastical: ecclesiastical
ecclesiastically: ecclesiastically
echo: echo,echoed,echoes,echoing
economical: economical
ecstasy: ecstasies
ecstatic: ecstatic
eddy: eddy
edge: edge,edges
edgeway: edgeways
edinburgh: edinburgh
edition: edition,editions
editor: editor
educate: educated
education: education
educational: educational
efficiency: efficiency
effort: effort,efforts
egeria: egeria
eglantine: eglantine
egypt: egypt
egyptian: egyptian,egyptians
eighteen: eighteen
eighteenth: eighteenth
einstein: einstein
elaborate: elaborate
elaboration: elaboration
elan: elan
elapse: elapsed
elastic: elastic
elbow: elbow,elbows
eld: eldest
elect: elect,elected
electric: electric
electrical: electrical
electricity: electricity
electronic: electronic
electronically: electronically
elegance: elegance,elegances
elegant: elegant
elegantly: elegantly
elegiac: elegiac
element: element,elements
elephant: elephants
elevate: elevated
elisha: elisha
elizabeth: elizabeth
elizabethan: elizabethan
elm: elms
eloquence: eloquence
email: email
embalm: embalmed
embark: embarked
embarrassing: embarrassing
embarrassment: embarrassment
embay: embayed
embayed: embayed
embed: embedded
emblazon: emblazon
embody: embodied
embolden: emboldened
embower: embowered
