abandon: abandon
appealingly: appealingly
appearance: appearance
appetite: appetite
applaud: applauded
apple: apple,apples
applicable: applicable
application: application
apply: applied,apply
appoint: appoint
appointment: appointment
apposite: apposite
apprehend: apprehended
apprehension: apprehension
approach: approach,approaches,approaching
appropriateness: appropriateness
approval: approval
approve: approved,approves
april: april
apt: apt
aptly: aptly
arab: arab,arabs
arabian: arabian,arabians
arbiter: arbiter
arbour: arbour,arbours
arc: arc
arcadia: arcadia
arcadian: arcadian
arcady: arcady
arch: arches
archangel: archangel
archer: archer
architect: architect
architecture: architecture
archive: archive
archway: archway
ardent: ardent
ardour: ardour
argue: argue,argued,argues
argument: argument,arguments
aria: aria
arid: arid
ariel: ariel
aright: aright
aristo: aristo
arizona: arizona
arm: arm,armed,arms
armada: armada
armed: armed
armour: armour
arnold: arnold
aroma: aroma
aromatic: aromatic
arrange: arrange,arranged,arranging
arrangement: arrangement,arrangements
arrant: arrant
array: array
arrival: arrival
arrive: arrive,arrived,arriving
arrogate: arrogate
arrow: arrow,arrows
art: art,arts
artful: artful
arthur: arthur
article: article,articles
articulated: articulated
artifice: artifice
artificial: artificial
artillery: artillery
artisan: artisan
artist: artist,artists
artistic: artistic
artistically: artistically
artists: artists
ascii: ascii
ashamed: ashamed
asher: asher
ashore: ashore
asleep: asleep
aspect: aspect,aspects
aspiration: aspiration,aspirations
aspire: aspires
ass: ass
assault: assault
assert: assert
assistance: assistance
assistant: assistant
association: association
assorted: assorted
assortment: assortment
assurance: assurance
assure: assure
assuredly: assuredly
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounding: astounding
atheist: atheist
athwart: athwart
atlantic: atlantic
atmosphere: atmosphere
atrabilious: atrabilious
atrocious: atrocious
attach: attach,attached,attaching
attachment: attachment
attack: attack,attacked,attacking,attacks
attain: attain,attains
attempt: attempt,attempted,attempts
attend: attend,attended,attends
attention: attention,attentions
attentive: attentive
attenuate: attenuated
attest: attests
attic: attic
attire: attired
attitude: attitude,attitudes
attorney: attorney
attract: attracted,attracts
attraction: attraction
attractively: attractively
attribute: attribute,attributed
audible: audible
audience: audience
aught: aught
augment: augment
augur: augured
august: august
augustin: augustin
augustine: augustine
auld: auld
aunt: aunt
aurore: aurore
austere: austere
austerity: austerity
austin: austin
autem: autem
author: author,authors
authorise: authorising
authority: authorities,authority
authorship: authorship
autobiographical: autobiographical
autobiography: autobiography
automatically: automatically
autumn: autumn
autumnal: autumnal
ava: ava
avail: avail,avails
avast: avast
avatar: avatars
avenue: avenues
average: average
aversion: aversion
aviary: aviary
avocation: avocation
avoid: avoid
avow: avowed
awa: awa
await: await,awaits
awake: awake,awoke
awaken: awaken,awakened
awakening: awakening
aware: aware
awful: awful
awhile: awhile
awkward: awkward
axe: axe
axle: axles
ay: ay
aye: aye
ayont: ayont
babble: babble,babbled
babe: babe
baby: baby
babylon: babylon
backbiting: backbiting
background: background
backside: backside
backslidden: backslidden
bacon: bacon
bad: bad,worse,worst
badge: badge
badly: badly,worse
baffle: baffled
bag: bag
bagful: bagful
baggage: baggage
bagman: bagman,bagmen
bain: bain
bairn: bairn
baith: baith
baker: baker
balance: balance,balanced
balcony: balcony
bald: bald
ball: ball
ballroom: ballroom
balm: balm
balsam: balsam
balzacian: balzacian
band: band
bandusia: bandusia
bang: bang
banish: banish
bank: bank,banks
bankrupt: bankrupt
bankruptcy: bankruptcy
banlieue: banlieue
banner: banner
bannock: bannock
baptize: baptized
bar: bar,bars
barbiton: barbiton
bard: bard
bare: bare
bargain: bargain,bargains
bark: bark
barnabas: barnabas
baron: baron
baronet: baronet
barrel: barrel
barren: barren
barrenness: barrenness
base: base,based
baseless: baseless
baseness: baseness
basin: basin
basis: basis
bask: basking
basket: basket
bass: bass
batch: batches
bath: bath,baths
bathe: bathe
bathing: bathing
batten: batten
battle: battle
bauble: bauble
bavarian: bavarian
bawl: bawled
baxter: baxter
bay: bay,bays
bazaar: bazaar
beach: beach
beam: beam,beams
beanstalk: beanstalk
bear: bear,bearing,bears,bore,born,borne
beard: beard,beards
bearded: bearded
bearers: bearers
beast: beast,beasts
beastly: beastly
beat: beat,beaten,beating
beatitude: beatitude
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
beckett: beckett
bed: bed,beds
bedevil: bedevilled
bedevilled: bedevilled
bedlamite: bedlamite
bedmaker: bedmaker
bedpost: bedpost
bedroom: bedroom,bedrooms
bedtime: bedtime
beech: beech,beeches
beef: beef
beefsteak: beefsteak
beer: beer
beethoven: beethoven
befall: befall,befallen
beg: beg,begged,begs
begad: begad
beget: begot
beggar: beggar,beggared
beggary: beggary
beginner: beginner
behave: behave,behaved
beheld: beheld
behold: behold
bein: bein
belabour: belabour
belated: belated
belaud: belaud
belial: belial
belief: belief,beliefs
bell: bell,bells
belle: belles
belles: belles
bellow: bellows
belly: bellies,belly
belong: belong,belongs
beloved: beloved
belt: belt
belvedere: belvedere
ben: ben
bench: bench
bend: bend
beneath: beneath
beneficent: beneficent
beneficial: beneficial
benefit: benefits
benevolent: benevolent
benignity: benignity
benjamin: benjamin
bennet: bennet
bent: bent
berceau: berceau
bereave: bereaved
bereavement: bereavement,bereavements
berry: berry
beseech: beseech
besiege: besieged
besotted: besotted
bestial: bestial
bethink: bethought
betray: betrayed
betterment: betterment
betters: betters
beulah: beulah
bevel: bevel
beware: beware
bewilder: bewildered
bewildering: bewildering
bible: bible
bicker: bicker
bicycler: bicycler
bid: bid,bidding,bids
biennial: biennial
bile: bile
billow: billows
bimini: bimini
binary: binary
bind: bound
binder: binders
biographer: biographers
biography: biography
bird: bird,birds
birth: birth
birthday: birthday
birthmark: birthmark
birthright: birthright
biscuit: biscuits
bismarck: bismarck
bit: bit,bits
bitch: bitch
bite: bite,biting,bitten
biting: biting
bitter: bitter
bitterly: bitterly
bitterness: bitterness
bittie: bittie
blab: blabbing
black: black,blackest,blacking,blacks
blackbeard: blackbeard
blackbird: blackbird,blackbirds
blacken: blackening
blacker: blacker
blackguard: blackguards
blackheart: blackhearted
blackie: blackie
blackness: blackness
blacksmith: blacksmith
blackwood: blackwood
blade: blade,blades
blae: blae
blame: blame,blamed
blameable: blameable
blanc: blanc
blanch: blanches
blanche: blanche
bland: bland
blandly: blandly
blank: blank,blanks
blanket: blankets
blasphemy: blasphemy
blast: blast,blasts
blaw: blaw
bleak: bleak
bleakest: bleakest
bleat: bleat,bleating
bleeding: bleeding
blended: blended
bless: bless
blessed: blessed
blessing: blessing,blessings
blight: blight,blighting
blind: blind,blinded
blinder: blinder
blindness: blindness
blink: blink,blinking
bliss: bliss
blister: blistered
blithe: blithe
block: block,blocks
blood: blood,blooded
blooded: blooded
bloodstain: bloodstain
bloody: bloody
bloom: bloom,blooming
bloomsbury: bloomsbury
blossom: blossom
blot: blotted
blotting: blotting
blow: blew,blow,blowing,blown,blows
blue: blue
blurred: blurred
blush: blush,blushes
bluster: blustering
board: board,boards
boarder: boarders
boarding: boarding
boast: boast,boasting
boat: boat,boats
boatman: boatmen
boatmanship: boatmanship
bob: bob
bobo: bobo
bodied: bodied
bodily: bodily
body: bodies,body
bog: bog
bogue: bogue
bohemia: bohemia
bohemian: bohemian
boil: boiled
boiler: boiler,boilers
boiling: boiling
bois: bois
bold: bold,bolder
boldly: boldly
bolt: bolt
bolus: bolus
bombay: bombay
bon: bon
bond: bond,bonds
bone: bone,boned,bones
bonfire: bonfire
bonne: bonne
bonny: bonny
book: book,booked,books
bookseller: booksellers
boot: boot,booted,boots
booth: booths
booty: booty
border: bordering,borders
bore: bore,bored
boredom: boredom
borrow: borrow,borrowed,borrowing,borrows
borrowing: borrowing
bosh: bosh
boss: boss
boswell: boswell
bother: bother,bothering,bothers
bothered: bothered
bottle: bottle,bottles
bottleful: bottleful
bough: bough,boughs
boulder: boulder,boulders
boulevard: boulevard
bound: bound,bounds
bountiful: bountiful
bouquet: bouquet
bouquiniste: bouquiniste
bourgeois: bourgeois
bow: bow,bowed
bower: bower
bowl: bowl,bowled,bowling
bowling: bowling
box: box,boxed,boxes
boy: boy,boys
boyhood: boyhood
boyish: boyish
boys: boys
brace: braces
bracken: bracken
brag: brag
braggadocio: braggadocios
braid: braid
brain: brain,brains
bramble: brambles
bran: bran
branch: branch,branches
brandy: brandy
brash: brash
brass: brass
brat: brat
brave: brave,braved
bravely: bravely
bravo: bravo
brawl: brawling
bray: bray
breach: breach
bread: bread
break: break,breaking,breaks,broke,broken
breakdown: breakdown
breaker: breakers
breakfast: breakfast
breakwater: breakwater
breast: breast
breasted: breasted
breath: breath
breathe: breathe,breathed,breathes,breathing
breathing: breathing
breathless: breathless
breech: breeched
breed: bred
breezy: breezy
bret: bret
brethren: brethren
brevity: brevity
brick: brick,bricks
bride: bride
bridegroom: bridegroom
bridesmaid: bridesmaid
bridge: bridge
bridges: bridges
bright: bright,brighter
brightness: brightness
brilliance: brilliance
brilliancy: brilliancy
brilliant: brilliant
brine: brine
bring: bring,bringing,brings,brought
brink: brink
brisk: brisk
britain: britain
british: british
broad: broad
brocade: brocades
broken: broken
broker: brokers
bronchial: bronchial
bronchitis: bronchitis
brood: brooded
brook: brook,brooks
brooklet: brooklet
brother: brother,brothers
brougham: brougham
brown: brown
bruise: bruise
bruit: bruit
brush: brush,brushes
brussels: brussels
brutal: brutal
brutally: brutally
brute: brute
brutish: brutish
bubble: bubbling
buccaneer: buccaneer,buccaneering,buccaneers
buck: buck
buckle: buckling
bucolics: bucolics
bud: budded
budge: budge
budget: budget
buffet: buffeted
bugle: bugles
bugler: buglers
build: built
builder: builder
building: building,buildings
bulk: bulk
bull: bull
bullet: bullets
bulletin: bulletins
bully: bully
bunch: bunch
bunker: bunker
bunyan: bunyan
burden: burden
burgess: burgess
burglary: burglary
burly: burly
burn: burn,burned,burning,burns,burnt
burner: burner
burning: burning
burns: burns
burst: burst,bursts
burt: burt
burthen: burthen,burthens
burton: burton
bury: buried,bury
bush: bush
bushel: bushel
business: business
bust: bust,busted
bustle: bustle
bustling: bustling
busy: busy
butcher: butcher,butchered
butchery: butchery
butter: butter
butterfly: butterflies,butterfly
button: button,buttoned,buttons
buyer: buyers
bye: bye
bypath: bypaths
byre: byre
byron: byron
cab: cab
cabin: cabin,cabins
cache: cache
cackle: cackle
cacolet: cacolet
cad: cads
cadence: cadence
cage: cage,caged
cairns: cairns
cake: cake,caked
calamity: calamity
calculate: calculate,calculated
calculation: calculation
calcutta: calcutta
california: california
californian: californian
callousness: callousness
calm: calm
calvin: calvin
camarade: camarade
cambridge: cambridge
camel: camel
camp: camp,camping
campagne: campagne
campaign: campaign
campbell: campbell
canal: canal
canary: canaries
cancellarius: cancellarius
cancer: cancer
cancerous: cancerous
candidly: candidly
candle: candle
candles: candles
candlestick: candlestick
canker: canker
cannon: cannon
canny: canny
canoe: canoe,canoes
canon: canon,canons
canvas: canvas
canyon: canyon
cap: cap,capping
capable: capable
capacity: capacity
cape: cape
capital: capital,capitals
capitally: capitally
capricious: capricious
capstan: capstan
captain: captain
captious: captious
captivate: captivating
captor: captors
capture: capture,captured
car: car,cars
carcase: carcase
card: card,cards
care: care,cared,cares,caring
career: career,careers
careful: careful
carefully: carefully
careless: careless
carelessness: carelessness
cargo: cargo
caricature: caricature
carmel: carmel
carnage: carnage
carnation: carnation
carol: carol
carpenter: carpenter
carpentry: carpentry
carper: carpers
carpet: carpet
carriage: carriage,carriages
carrick: carrick
carry: carried,carries,carry
carson: carson
cart: cart
carte: carte
carve: carve,carves
cash: cash
cassandra: cassandra
cast: cast,casts
caste: caste
castle: castle
casually: casually
casuistry: casuistry
cat: cat,cats
catamaran: catamaran
catarrhal: catarrhal
catch: catch,catches,catching,caught
catchword: catchwords
catechism: catechism
cater: cater
cathedral: cathedral
catholics: catholics
catlike: catlike
cattle: cattle
caucus: caucus
cauld: cauld
cauldron: cauldron
cavalier: cavalier
cavalierly: cavalierly
cavalry: cavalry
cave: cave,caves
cavern: cavern
cavil: cavil
caw: cawing
ce: ce
cease: cease,ceased
cecilia: cecilia
cellar: cellars
cellarage: cellarage
censor: censor
cent: cent,cents
centenary: centenary
century: centuries,century
cerebellum: cerebellum
certainty: certainty
cesspool: cesspools
cest: cest
chain: chain
chair: chair,chairs
chalet: chalet
chalk: chalk
chamber: chamber,chambers
champ: champ
champagne: champagne
champion: champion
chance: chance,chances
chancellor: chancellor
change: change,changed,changing
chant: chant
chanticleer: chanticleer
chaotic: chaotic
chap: chap
chapel: chapel
chapter: chapter,chapters
character: character,characters
characteristic: characteristic,characteristics
charge: charge,charged,charges,charging
chariot: chariot
charitable: charitable
charity: charities,charity
charles: charles
charlotte: charlotte
charm: charm,charmed
charming: charming
charmingly: charmingly
charon: charon
chart: chart
chary: chary
chasm: chasms
chat: chat
chatter: chattering
chatty: chatty
chaunt: chaunt
chaunting: chaunting
cheap: cheap,cheaper,cheapest
cheaply: cheaply
cheapness: cheapness
check: check,checked,checks
cheek: cheeks
cheer: cheer,cheered
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cheerily: cheerily
cheery: cheery
cheese: cheese,cheeses
chemist: chemist,chemists
cheque: cheque
chere: chere
cherish: cherished
cherry: cherry
cheshire: cheshire
chess: chess
chest: chest
chester: chester
chestnut: chestnut
chevalier: chevalier
chez: chez
chic: chic
chicago: chicago
chicken: chicken
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
childlike: childlike
children: children
chill: chill
chilled: chilled
chilly: chilly
chime: chiming
chimney: chimney
chinese: chinese
chitter: chitter
chivalrous: chivalrous
chock: chock
choice: choice,choices
choir: choir
choke: choke,choked,chokes
choose: choose,choosing,chose,chosen
chorister: choristers
chorus: chorus,choruses
christ: christ
christendom: christendom
christian: christian,christians
christlike: christlike
christmas: christmas
christopher: christopher
chronic: chronic
chronological: chronological
chuckle: chuckle,chuckled,chuckling
church: church
churchill: churchill
churchyard: churchyard
cicada: cicadae
cigar: cigar,cigars
cigarette: cigarette,cigarettes
cipher: cipher
circle: circle
circular: circular
circulate: circulating
circumstance: circumstance,circumstances
cis: cis
citation: citations
citizen: citizen,citizens
city: cities,city
civic: civic
civil: civil
civilisation: civilisation
claim: claim,claims
clamour: clamour
clap: clap
clara: clara
clarendon: clarendon
claret: claret
clarify: clarify
clarissa: clarissa
clark: clark
clash: clash
class: class,classed,classes
classic: classics
classical: classical
claus: claus
clause: clauses
clay: clay
clean: clean,cleaning
cleanliness: cleanliness
clearness: clearness
clergyman: clergyman,clergymen
clerk: clerk
clever: clever
cleverness: cleverness
cliff: cliff,cliffs
cliffy: cliffy
climate: climate
climber: climber
climbing: climbing
clime: clime
clink: clink
clinton: clinton
cloak: cloak,cloaked,cloaks
clock: clocks
clodhopper: clodhopper
cloister: cloister
cloistered: cloistered
close: close,closed,closer,closes
closed: closed
closing: closing
cloth: cloth
clothe: clad,clothed
clothes: clothes
clothing: clothing
cloud: cloud,clouded,clouds
cloudless: cloudless
cloudy: cloudy
clough: clough
cloy: cloying
club: club
clubman: clubman
clue: clue
clump: clumps
clumsy: clumsy
coach: coach
coal: coal,coals
coarse: coarse
coast: coast,coasted
coastguardsman: coastguardsman
coat: coat,coats
coburg: coburg
cock: cock
cockcrow: cockcrow
cocked: cocked
cockshot: cockshot
cod: cod
code: codes
coffee: coffee
coffin: coffin
coggie: coggie
coherent: coherent
coign: coign
coil: coil,coiled
coin: coin,coins
coincidence: coincidence
cold: cold,colder
cole: cole
colin: colin
collaborator: collaborators
collapse: collapse
collect: collect,collected
collection: collection
college: college
collins: collins
colonel: colonel
colonnade: colonnade
colony: colony
colossal: colossal
colossus: colossus
colour: colour,coloured,colours
column: column,columns
combat: combat
combination: combination
combine: combine,combined
comble: comble
comedy: comedies,comedy
comely: comely
comfort: comfort,comforted,comforts
comfortable: comfortable
comfortably: comfortably
comic: comic
comicality: comicality
command: command,commanding,commands
commander: commanders
commandment: commandment,commandments
comme: comme
commence: commence
commendable: commendable
comment: comment,comments
commentary: commentaries
commercial: commercial
comminate: comminate
commission: commission
commissioners: commissioners
commit: commit,committed
committee: committee
common: common
commoner: commoner
commonplace: commonplace
commonwealth: commonwealth
commotion: commotion
communicate: communicate,communicated
communicative: communicative
communism: communism
communist: communist
communities: communities
community: community
companies: companies
companion: companion,companions
company: company
comparable: comparable
comparatively: comparatively
compare: compare,compared,compares,comparing
comparison: comparison
compartment: compartment
compass: compass
compatriot: compatriots
compelling: compelling
compensation: compensation,compensations
competent: competent
compilation: compilation
complain: complain,complained,complaining
complaint: complaint,complaints
complete: complete,completed,completest
completely: completely
completion: completion
compliance: compliance
complicate: complicated
complicated: complicated
complication: complication,complications
compliment: compliment,complimented,compliments
complimentary: complimentary
comply: comply,complying
compose: compose,composed
composition: composition
composure: composure
compound: compounded
comprehend: comprehending
comprehensible: comprehensible
compress: compressed
compromise: compromise,compromises
compunctious: compunctious
conceit: conceit
conceive: conceive,conceived,conceiving
concept: concept
conception: conception
concern: concern
concerned: concerned
concert: concert
conclude: conclude
conclusion: conclusion
conclusively: conclusively
concur: concur
condemn: condemn,condemned,condemning
condescend: condescend
condition: condition,conditions
conduct: conduct,conducted,conducts
conductor: conductor
confabulation: confabulation
confess: confess
confession: confession,confessions
confessions: confessions
confidant: confidant
confidence: confidence,confidences
confine: confined
confirm: confirmed
confirmation: confirmation
conflict: conflict,conflicts
conform: conform
conformity: conformity
confound: confound
confrontation: confrontation
confused: confused
confusion: confusion
congested: congested
congratulate: congratulate
congregation: congregation
congreve: congreve
congruity: congruity
conjunct: conjunct
conjunction: conjunction
connect: connected
connection: connection,connections
conquer: conquer
conrad: conrad
conscience: conscience
conscientious: conscientious
conscientiousness: conscientiousness
conscious: conscious
consciously: consciously
consciousness: consciousness
consecrate: consecrated
consecration: consecration
consent: consent,consented,consenting
consequence: consequence,consequences
consequent: consequent
consequential: consequential
conservatism: conservatism
considerable: considerable
consideration: consideration
consist: consist,consisting,consists
consistently: consistently
consolation: consolation
consolatory: consolatory
console: console,consoled
conspicuous: conspicuous
conspicuously: conspicuously
conspiracy: conspiracy
constable: constable
constant: constant
constellation: constellation
consternation: consternation
constitute: constituted
constitutional: constitutional
constrain: constrained
construct: constructed,constructing
construction: construction
constructive: constructive
consult: consult,consulted,consulting
consummate: consummate
consummation: consummation
consumption: consumption
contact: contact
contemplation: contemplation
contemporary: contemporaries,contemporary
contempt: contempt
contend: contend
content: content
contented: contented
contention: contention
contents: contents
contest: contest
context: context
continent: continent
continual: continual
continually: continually
continuance: continuance
continuation: continuation
continue: continue,continued,continues
continuity: continuity
continuous: continuous
continuously: continuously
contra: contra
contract: contract,contracts
contrary: contrary
contrast: contrast,contrasted,contrasts
contretemps: contretemps
contribute: contribute
contribution: contribution,contributions
contributor: contributor
contrite: contrite
contrition: contrition
contrivable: contrivable
contrivance: contrivance,contrivances
contrived: contrived
controversialist: controversialist
controversy: controversy
convalescence: convalescence
convalescent: convalescent
convenience: convenience
conveniently: conveniently
convention: convention
conventional: conventional
conversation: conversation
converse: converse,conversed
convert: convert,converted
convey: convey
conveyance: conveyance
convict: convict,convicted,convicts
conviction: conviction
convince: convinced
convinced: convinced
convoke: convoked
cook: cook
cookery: cookery
cool: cool,cooling
cooper: coopered
cope: cope
copious: copious
copper: copper
copybook: copybook
copying: copying
copyright: copyright
coral: coral
coram: coram
cord: cord
cordially: cordially
corinna: corinna
corinthian: corinthian
corkscrew: corkscrews
corn: corn
corner: corner,corners
cornice: cornices
corniche: corniche
cornwall: cornwall
coronation: coronation
corporation: corporation
corpore: corpore
corpse: corpse
correct: correct,corrected
correction: correction,corrections
correctly: correctly
correctness: correctness
correspond: correspond
correspondence: correspondence
correspondent: correspondent,correspondents
corrupt: corrupt,corrupting
cortez: cortez
coruscation: coruscations
cosmo: cosmo
cost: cost,costing,costs
costive: costive
costly: costly
cosy: cosy
cotta: cotta
cottage: cottage
couch: couch
cough: cough,coughed
council: council
counsel: counsel
count: count,counting
countenance: countenance,countenances
counter: counter
counterpane: counterpane
countess: countess
country: countries,country
countryman: countryman,countrymen
countryside: countryside
county: county
coup: coup
couple: couple
couplet: couplet
courage: courage
courageous: courageous
courser: coursers
court: court,courts
courteous: courteous
courtesy: courtesies,courtesy
courtly: courtly
cousin: cousin
cousinhood: cousinhood
cove: cove
cover: cover,covered,covering
covering: covering
cowardice: cowardice
cowardliness: cowardliness
cowardly: cowardly
cower: cowering
cowl: cowls
cox: cox
crack: crack,cracked,cracks
crackle: crackled
crackling: crackling
craft: craft
craftsman: craftsmen
craftsmanlike: craftsmanlike
crag: crags
craggy: craggy
cram: cram
cramp: cramp,cramped
crane: crane
crank: crank
cranny: crannies
crash: crash
craving: cravings
crawl: crawled
crawler: crawlers
crayfish: crayfish
crazy: craziest,crazy
cream: cream
create: create,created,creating
creation: creation
creative: creative
creator: creator
creature: creature,creatures
credit: credit
creditable: creditable
creditor: creditor,creditors
creed: creed
creek: creek
creep: creep
cress: cress
crew: crew
crib: crib
crick: crick
cricket: cricket
crime: crime
crimean: crimean
criminal: criminal
crimson: crimson
cripple: cripple,cripples
crippling: crippling
crisis: crisis
criterion: criterion
critic: critic,critics
critical: critical
criticise: criticise,criticised
criticism: criticism,criticisms
crockery: crockery
croker: croker
crookback: crookback
crop: crops
cross: cross,crossed,crosses
crossing: crossing
crouch: crouching
crow: crowing,crows
crowd: crowd,crowds
crowded: crowded
crown: crown,crowned
crowning: crowning
crucifixion: crucifixions
cruciform: cruciform
crude: crude
cruel: cruel
cruelly: cruelly
cruelty: cruelty
cruise: cruise,cruising
crumble: crumbled
crush: crushed,crushes,crushing
crust: crusts
crutch: crutch
crypt: crypts
crystal: crystal
crystalline: crystalline
crystallisation: crystallisation
cuckoo: cuckoo
cuff: cuffs
culprit: culprit
cultivate: cultivate,cultivated
cultivator: cultivator
cum: cum
cumberland: cumberland
cup: cup,cupping,cups
cupboard: cupboard,cupboards
cur: cur
cure: cure,cured
curer: curer,curers
curiosity: curiosity
curious: curious
curiously: curiously
curl: curled,curling
curmudgeon: curmudgeon
currant: currants
current: current
curry: curry
curse: curse
curtain: curtain,curtains
cushion: cushion
custom: custom,customs
customary: customary
customer: customers
cut: cut,cuts
cutting: cutting
cybele: cybele
cynical: cynical
cynicism: cynicism
da: da,dae,das
daff: daff
dagon: dagon
daidle: daidle
daily: daily
daisy: daisies
dally: dally
dam: dam
damage: damage
damaged: damaged
damages: damages
dame: dame
damme: damme
damn: damn
damnable: damnable
damned: damned,damnedest
damp: damp,damped
dance: dance,danced,dancing
dancing: dancing
dandle: dandles
danger: danger
dangerous: dangerous
dangle: dangles
daniel: daniel
dank: dank,dankest
dante: dante
daresay: daresay
darg: darg
darien: darien
daring: daring
daringly: daringly
dark: dark,darker
darkly: darkly
darkness: darkness
darling: darling
darwin: darwin
das: das
dash: dash
datum: data
daub: daubed,daubs
daughter: daughter,daughters
daunt: daunt
david: david
dawn: dawn
day: day,days
daybreak: daybreak
daylight: daylight
deacon: deacon
dead: dead
deadly: deadly
deal: deal,deals
dealings: dealings
dean: dean
dearest: dearest
dearly: dearly
