abhorrence: abhorrence
bank: bank,banked,banks
bar: barred
bare: bare
bargain: bargain
base: base,based
bated: bated
batter: battered
beacon: beaconed
bear: bear,bore,born,borne
bearer: bearer
beautiful: beautiful
bed: bed
bedroom: bedroom
bedside: bedside
beetle: beetles
befall: befallen,befell
beg: beg,begged,begs
behold: beheld,behold
beholder: beholders
belief: belief
bell: bell,bells
beloved: beloved
bench: bench
bend: bending
benefactor: benefactor
beneficent: beneficent
besiege: besieged
besieger: besiegers
bestial: bestial
betake: betook
bible: bible
bid: bade,bidden
bidding: bidding
bigness: bigness
binary: binary
bind: bind,bound
bird: bird
birth: birth
bit: bit
bite: biting
bitter: bitter
black: black
blackguardly: blackguardly
blackness: blackness
blame: blame,blamed
blameless: blameless
bland: bland
blank: blank
blasphemy: blasphemies
blast: blasted
blatant: blatant
blazon: blazoned
bless: bless
blind: blind
blister: blistered
block: block
blood: blood
blot: blot,blotted
blow: blew,blow,blowing,blows
body: body
boil: boil,boiled,boiling
boisterous: boisterous
boldness: boldness
bond: bond,bonds
bondage: bondage
bone: bones
bonnie: bonnie
book: book,books
bore: bore
bottle: bottle,bottles
bound: bounded,bounding,bounds
bow: bowed
bowels: bowels
box: box
boy: boy
brace: braced
bracket: bracketed
bradshaw: bradshaw
branch: branch
brandish: brandishing
brass: brasses
bravo: bravos
breach: breach
break: break,breaking,broke,broken
breakfast: breakfast,breakfasted,breakfasting
breast: breast
breath: breath
breathe: breathe
bright: bright
brighten: brighten,brightened
brightly: brightly
brightness: brightness
brilliantly: brilliantly
brim: brimming
bring: bring,bringing,brings,brought
broad: broad
broadly: broadly
broken: broken
brood: brooded
broom: broom
brother: brother
brow: brow
brown: brown
brute: brute
brutish: brutish
build: build,building,built
building: building,buildings
bull: bull
burn: burned,burning
burst: burst
burthen: burthen
bury: buried
business: business
busy: busy
butler: butler
butt: butt
buttress: buttressed
cab: cab
cabinet: cabinet,cabinets
cage: caged
cain: cain
calamity: calamity
calculate: calculate,calculated
calculated: calculated
calendar: calendar
callous: callous
callousness: callousness
calmly: calmly
cancer: cancer
candle: candle
cane: cane
capacious: capacious
capacity: capacity
caper: capers
capital: capital
captive: captives
capture: capture
carbuncle: carbuncles
card: card,cards
care: care
career: career
careful: careful
carefully: carefully
careless: careless
carpenter: carpenter
carpet: carpet,carpets
carriage: carriage
carry: carried,carry,carrying
cash: cash
cast: cast
catastrophe: catastrophe
catch: caught
catholicity: catholicity
causeless: causeless
caution: caution
cavendish: cavendish
cavern: cavern
cease: cease,ceased
celebrate: celebrated
celebrated: celebrated
cell: cell
cellar: cellar
centre: centred
cerebral: cerebral
certainty: certainty
chain: chain,chained
chair: chair
chamber: chamber,chambers
chance: chance,chanced
change: change,changed,changing
changed: changed
character: character,characters
charge: charge,charged,charges,charging
charitable: charitable
charity: charities
charm: charms
chastisement: chastisement
chatter: chattering
check: check,checks
cheerful: cheerful
chemical: chemical,chemicals
chemist: chemist,chemists
cheque: cheque
cherish: cherish,cherished,cherishing
cheval: cheval
chief: chief
child: child,children
childhood: childhood
chill: chill
chimney: chimney
chocolate: chocolate
choice: choice
choose: choose,chose,chosen
chop: chops
chuckle: chuckled
church: church
circle: circle
circular: circulars
circulation: circulation
circumscription: circumscription
circumstance: circumstance,circumstances
citadel: citadel
city: city
civility: civilities
civilly: civilly
claim: claim
clasped: clasped
class: class
clatter: clatter
clause: clause,clauses
clay: clay
clean: clean
cleanliness: cleanliness
clerk: clerk
client: client
clinch: clinched
cloak: cloak
clock: clock
close: close,closed,closer,closing
closed: closed
closet: closet,closets
cloth: cloth
clothe: clothed
clothes: clothes
cloud: clouds
clouded: clouded
cloudless: cloudless
club: clubbed
clutch: clutched
coat: coat
cobweb: cobweb
code: codes
cold: cold
collar: collar,collared
colleague: colleague
collect: collected
collection: collection
college: college
colour: colour,coloured
combat: combat
combination: combination
comely: comely
comfort: comfort
comfortable: comfortable
comical: comical
command: command
commend: commend
commercial: commercial
commingle: commingled
commit: commit,committed
common: common
commonly: commonly
commonplace: commonplace
communicate: communicate,communicated
community: community
companion: companion
company: company
comparative: comparative
comparatively: comparatively
compare: compare,compared,comparing
compensation: compensations
compilation: compilation
complain: complaining
complainingly: complainingly
complaint: complaints
complete: complete,completed
completely: completely
compliance: compliance
compliment: compliments
comply: comply,complying
compose: compose,composed
composedly: composedly
composite: composite
composure: composure
compound: compound,compounded
compress: compressed
conceal: conceal,concealed,conceals
conceive: conceived
concept: concept
conception: conception
concern: concerns
conclusion: conclusions
conclusive: conclusive
concourse: concourse
condemn: condemned
condemnation: condemnation
condescension: condescension
condition: conditions
condone: condoned
conduct: conduct
confess: confess
confession: confession
confidence: confidence
confident: confident
confine: confined
confirm: confirmed
confirmation: confirmation
conflagration: conflagration
connect: connected
connection: connection
connive: connived
connoisseur: connoisseur
conquer: conquer,conquered,conquering
conscience: conscience
conscious: conscious
consciousness: consciousness
consent: consent
consequence: consequence
consequential: consequential
considerable: considerable
consideration: consideration
consign: consign
constant: constant
constellation: constellations
constitution: constitution
constrain: constrained
consultation: consultation
consulting: consulting
contact: contact
contempt: contempt
contend: contended
content: content
contentment: contentment
contents: contents
continent: continent
continually: continually
continue: continue,continued,continues
continuously: continuously
contorted: contorted
contract: contract
contrast: contrast
contribution: contributions
contrived: contrived
control: control,controlled
convenient: convenient
conveniently: conveniently
convert: convert
conveyancing: conveyancing
convinced: convinced
convulsive: convulsive
cook: cook
cool: cool
coolly: coolly
coolness: coolness
copying: copying
copyright: copyright
coquetry: coquetry
cord: corded,cords
corner: corner,corners
corporation: corporation
correct: correct
correspondence: correspondence
corridor: corridor,corridors
corrupt: corrupt
cosily: cosily
cost: cost,costs
costly: costly
counsel: counsel
count: counted,counting
countenance: countenance,countenances
countrie: countrie
country: countries,country
couple: couple
courage: courage
court: court
cousin: cousin
cover: cover,covered
crack: crack
crash: crash,crashed
crate: crates
crawl: crawled
crazy: crazy
creak: creaking
create: created,creating
creation: creation
creature: creature,creatures
credit: credit
creep: crept
crime: crime,crimes
critic: critic
critical: critical
crony: cronies
cross: cross,crossed,crossing
crouch: crouching
crowd: crowd,crowded,crowding
cruelty: cruelty
crumple: crumpled
crush: crush,crushed,crushing
crystal: crystals
crystalline: crystalline
cup: cup
cupola: cupola
curiosity: curiosity
curious: curious
current: current
curse: curse
cursed: cursed
curtain: curtains
curtained: curtained
custom: custom
customary: customary
cut: cut
cymbal: cymbals
daily: daily
damage: damage
damaged: damaged
damages: damages
damnable: damnable
damned: damned
damon: damon
damp: damp
danger: danger,dangers
dapper: dapper
dark: dark
darken: darkened
darkly: darkly
darkness: darkness
datum: data
day: day,days
daylight: daylight
dead: dead
deadly: deadliest,deadly
deal: deal,dealing
dealer: dealer
death: death
debate: debate,debating
debility: debility
decay: decay,decayed
decease: decease
deceive: deceived
december: december
decent: decent
decide: decide,decided
decidedly: decidedly
decision: decision
decisively: decisively
declare: declare,declared
decree: decreed
deductible: deductible
deed: deed
deep: deep,deeper
deeply: deeply
defect: defect,defects
defective: defective
defence: defence
defiance: defiance
definite: definite
deform: deform,deformed
deformity: deformity
degradation: degradation
degree: degree,degrees
delay: delay
deletion: deletions
delicacy: delicacy
delight: delight,delighted
delighted: delighted
delirium: delirium
deliver: delivered,delivers
delivery: delivery
demand: demand
demeanour: demeanour
denizen: denizens
deny: denied,denying
depart: departed
depend: depend,depends
dependence: dependence
depose: deposed
depravity: depravity
depths: depths
deride: derided
derivative: derivative
derive: derive,derived
description: description
desert: deserted
design: design
desire: desire,desired
desk: desk
despair: despair
despise: despised
despondency: despondency
destination: destination
destiny: destiny
destroy: destroy,destroyed,destroying
destroyer: destroyer
destruction: destruction
detach: detach
detain: detain
detection: detection
determination: determination
determine: determine,determined
detestable: detestable
dethrone: dethroned
developed: developed
devil: devil
devilish: devilish
devise: devising
dew: dews
diabolical: diabolical
diaphanous: diaphanous
dictate: dictated
die: die
difficult: difficult
difficulty: difficulty
dig: digging
digging: digging
dimly: dimly
dine: dine,dined,dines
dingy: dingy
dining: dining
dinner: dinner,dinners
dire: dire
direct: direct,directed
direction: direction,directions
dirt: dirt
disagreeably: disagreeably
disappear: disappeared
disappearance: disappearance
disappointed: disappointed
discharge: discharged
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclosed
discolour: discoloured
disconsolate: disconsolate
discontented: discontented
discontinue: discontinue
discourse: discourse
discover: discover,discovered
discovery: discoveries,discovery
discriminating: discriminating
disease: disease
disgrace: disgrace
disguise: disguise
disgust: disgust
disgustful: disgustful
dishonourable: dishonourable
disinter: disinterred
disk: disk
dislike: dislike,disliked
disloyalty: disloyalty
dismal: dismal
dismiss: dismissed
disordered: disordered
disparity: disparity
dispense: dispensing
disperse: disperse,dispersed
displace: displaced
display: display,displayed,displaying
displease: displeasing
displeasing: displeasing
dispose: disposed
disposition: disposition
disquiet: disquieted
disquietude: disquietude
disregard: disregard,disregarding
disreputable: disreputable
dissecting: dissecting
dissociate: dissociated
dissolution: dissolution
distain: distained
distance: distance
distant: distant
distaste: distaste
distasteful: distasteful
distinct: distinct
distinguished: distinguished
distress: distress
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district
disturbance: disturbance
dive: dive
divide: divide,divided
divided: divided
divine: divine
divinity: divinity
dizziness: dizziness
doctor: doctor
document: document,documents
doff: doff
doggedly: doggedly
domain: domain
domestic: domestic
donate: donate
donation: donation,donations
donor: donors
doom: doom,doomed
door: door,doors
doorstep: doorstep
doorway: doorways
dose: dose
double: double,doubled
doubly: doubly
doubt: doubt,doubted
doubtless: doubtless
download: downloading
downright: downright
doze: doze,dozed
drag: dragged
draught: draught,draughts
draw: draw,drawing,drawn,drew
drawer: drawer,drawers
dread: dreaded
dreadful: dreadful
dream: dream,dreamed,dreaming,dreams
drearily: drearily
dreary: dreary
dress: dress,dressed
dressed: dressed
drift: drift
drink: drank,drink,drinking
drive: drive,driven,drove
driver: driver
drop: drop,dropping
drown: drowned
drowsed: drowsed
drug: drug,drugs
drunkard: drunkard
dry: dry
dryness: dryness
dual: dual
duality: duality
dull: dull
duplicity: duplicity
dusky: dusky
dust: dust
dusty: dusty
duty: duty
dwarf: dwarf
dwarfish: dwarfish
dwell: dwell,dwelt
dwelling: dwelling
dye: dye
eager: eager
eagerness: eagerness
ear: ear,ears
earn: earned
earnest: earnest
earnestly: earnestly
earth: earth
earthly: earthly
ease: ease
easily: easily
east: east
eastward: eastward
easy: easy
eat: eaten
eating: eating
ebullition: ebullition
eccentric: eccentric
echo: echoed
ecstasy: ecstasy
eddy: eddy
edge: edge
edinburgh: edinburgh
edition: edition,editions
educational: educational
edward: edward
effervesce: effervesce
efficacy: efficacy
efficiency: efficiency
effort: effort,efforts
effulgence: effulgence
elapse: elapsed
elastic: elastic
elbow: elbow
elderly: elderly
elect: elect
electronic: electronic
electronically: electronically
elegant: elegant
element: elements
elicit: elicited
eliminate: eliminated
email: email
embarrassed: embarrassed
embattle: embattled
ember: embers
embrace: embraced
eminently: eminently
emotion: emotion
emotional: emotional
emperor: emperor
emphatically: emphatically
empire: empire
employ: employ
employee: employee,employees
emulously: emulously
enclosure: enclosure,enclosures
encode: encoding
encounter: encountered
endorse: endorsed
endow: endowed
endure: enduring
enemy: enemy
energy: energies,energy
enfield: enfield
engage: engaged
engaged: engaged
engagement: engagements
english: english
engraver: engravers
enigma: enigmas
enjoy: enjoy,enjoyed
enormously: enormously
enslave: enslaved
ensure: ensuring
enter: enter,entered,entering
enterprise: enterprises
entertainer: entertainer
entire: entire
entity: entity
entrance: entrance
entry: entries,entry
envelope: envelope
envy: envy
equal: equal
equally: equally
equip: equipped
equipment: equipment
ere: ere
errand: errand
error: error,errors
escape: escape,escaped
essence: essence
estate: estate
esteem: esteem
estimation: estimation
estrange: estranged
ether: ether
evening: evening
event: event
evidence: evidence
evident: evident
evil: evil
exact: exact
exacting: exacting
exaggerate: exaggerate
exaggerated: exaggerated
examine: examine,examined
exceed: exceeded,exceeding
excellent: excellent
exception: exception
excess: excesses
exchange: exchange,exchanged
excitement: excitement
exclaim: exclaimed
exclamation: exclamation
exclusion: exclusion
excursion: excursions
exempt: exempt
exercise: exercised
exertion: exertion
exhausted: exhausted
exhibition: exhibition
exist: exist,existed,exists
existence: existence
exorbitant: exorbitant
expect: expect
expectation: expectation
expend: expend
expense: expense,expenses
experience: experience
experiment: experiment,experiments
explain: explain,explained,explaining
explanation: explanation
explicit: explicit
export: exporting
expose: exposed
express: express,expressed
expression: expression
exquisitely: exquisitely
extent: extent
extinguish: extinguished
extraneous: extraneous
extraordinary: extraordinary
extreme: extreme
extremity: extremity
exult: exulting
eye: eye,eyes
eyed: eyed
eyesore: eyesore
fabric: fabric
faced: faced
facility: facility
faculty: faculties
fade: faded
fagot: fagots
fail: fail,failed,fails
failure: failure
faint: faint,fainted
fainting: fainting
faintness: faintness
fair: fair
faith: faith
fall: fall,fallen,falling,falls,fell
fame: fame
familiar: familiar,familiars
familiarity: familiarity
family: family
famous: famous
fan: fan
fanciful: fanciful
fancy: fancy
fantastic: fantastic
farewell: farewell
farrago: farrago
fashion: fashion
fast: fast
fatal: fatal
fate: fate
father: father
fault: fault,faults
favour: favour
favourite: favourite
fear: fear,feared,fears
fearful: fearful
feat: feat
feature: feature,features
federal: federal
fee: fee,fees
feel: feel
feeling: feeling,feelings
feint: feint
fell: fell
fellow: fellow,fellows
fender: fender
ferocity: ferocity
fever: fever
feverish: feverish
field: field
fiend: fiend
figure: figure,figures
file: file,files
finally: finally
financial: financial
fine: fine
finger: finger
finish: finishing
firelight: firelight
fireside: fireside
firm: firm
fish: fished
fit: fit,fitted
fitness: fitness
fitting: fitting,fittings
fixedly: fixedly
flag: flags
flame: flame
flash: flash
flat: flats
fleck: flecked
flee: fled,flee
flesh: flesh
fleshly: fleshly
flicker: flickering
flight: flight
flighty: flighty
flock: flock
floor: floor
florid: florid
flush: flush,flushed,flushing
fly: flying
flying: flying
fog: fog,fogs
fogged: fogged
foggy: foggy
folk: folks
follow: follow
folly: folly
fond: fond
foot: feet,foot
footfall: footfall,footfalls
footman: footman
footstep: footstep
footway: footways
force: force,forced
forehead: forehead
foresee: foresee,foreseen
forest: forest
forfeit: forfeit,forfeited
forge: forge
forgery: forgery
forget: forget,forgot,forgotten
forgive: forgive
form: form,formed
formality: formality
format: format,formats
formlessly: formlessly
fortify: fortified
fortnight: fortnight
fortress: fortress
fortune: fortune
foul: foul
foully: foully
foundation: foundation,foundations
fourth: fourth
fracture: fractures
frame: frame
frank: frank
freedom: freedom
freely: freely
freeze: freeze,freezing,froze
french: french
frenzy: frenzy
frequency: frequency
frequent: frequented
frequently: frequently
fresh: fresh
freshly: freshly
freshness: freshness
friend: friend,friends
friendless: friendless
friendly: friendly
friendship: friendship
frighten: frightened
frightened: frightened
fro: fro
frost: frost
frown: frown
fruitful: fruitful
fugitive: fugitive
fume: fumes
funeral: funeral
furious: furious
furnish: furnished
furniture: furniture
furtherance: furtherance
fury: fury
future: future
gable: gable
gabriel: gabriel
gaiety: gaiety
gaily: gaily
gain: gain,gains
gallows: gallows
garden: garden
garment: garments
gasp: gasping
gather: gathered
gaunt: gaunt
gay: gay
gaze: gaze,gazed
generation: generation,generations
generosity: generosities
generous: generous
genial: genial
geniality: geniality
gentleman: gentleman,gentlemen
gently: gently
genuine: genuine
gesticulate: gesticulated
gesture: gesture
ghastly: ghastly
ghost: ghost
gift: gift
gin: gin
girl: girl
glad: glad
glance: glance,glanced,glances
glass: glass
glazed: glazed
glee: glee
glide: glide
glimmer: glimmered
glimpse: glimpse,glimpses
gloat: gloating
gloom: gloom
gloomily: gloomily
gloomy: gloomiest
glorious: glorious
glory: glorying
glow: glow,glowing
gnash: gnashed
gnaw: gnawing
goal: goals
god: god
gold: gold
goodwill: goodwill
govern: govern
gradually: gradually
graduate: graduated
grant: grant,granted,granting
grasp: grasp
grate: grate
gratefully: gratefully
gratification: gratification
gratified: gratified
gratitude: gratitude
grave: grave
greatness: greatness
greed: greed
greedy: greedy
green: green
grey: grey
grind: grinding,ground
grope: groping
gross: gross
ground: ground
grounds: grounds
grow: grew,grow,growing,grown,grows
growl: growl
growth: growth
grunt: grunted
guarantee: guarantee
guard: guarded
guess: guess
guest: guest
guide: guided
guilt: guilt
guilty: guilty
gulp: gulp
gust: gust
gusto: gusto
gutter: gutter
gymnastics: gymnastics
habit: habit,habits
haggard: haggard
hail: hail,hailing
hair: hair
haired: haired
hairy: hairy
hall: hall
halloa: halloa
hand: hand,handed,hands
handbill: handbills
handkerchief: handkerchief
handle: handled
handsome: handsome
handwriting: handwriting
handy: handy
hang: hanging,hangs,hung
hansom: hansom
happen: happen
happily: happily
happiness: happiness
happy: happier
hard: hard,harder
hark: hark
harm: harm
harmless: harmless
harpy: harpies
harry: harry
harsh: harsh
hart: hart
haste: haste
hasten: hastening
hat: hat
hate: hate,hated
hateful: hateful
hatred: hatred,hatreds
haunch: haunches
haunt: haunt,haunted
haunting: haunting
hazard: hazard
head: head
headlong: headlong
heady: heady
healthy: healthy
heap: heaps
hear: hear,heard
hearken: hearkening
heart: heart
hearted: hearted
hearth: hearth
hearty: hearty
heather: heather
heave: heaved
heaven: heaven
heavy: heavy
heel: heel,heels
heir: heir,heirs
hellish: hellish
helpless: helpless
henceforth: henceforth
henry: henry
herald: heralded
heresy: heresies,heresy
hesitate: hesitate,hesitated
hide: hide
hideous: hideous
highly: highly
hill: hill
hillside: hillside
hinge: hinge,hinges
hire: hired
hissing: hissing
hitherto: hitherto
hoarse: hoarse
hoarsely: hoarsely
hold: held,hold
holder: holder
holograph: holograph
homeward: homeward
honest: honest
honesty: honesty
honour: honour
honourable: honourable
honoured: honoured
hope: hope,hopes,hoping
horrible: horrible
horrid: horrid
horror: horror,horrors
host: host,hosts
hot: hot
hotel: hotel
hotness: hotness
hour: hour,hours
house: house,housed,houses
household: household
housekeeper: housekeeper
houseless: houseless
housemaid: housemaid
huddle: huddled
hue: hue,hues
hum: hum,hummed
human: human
humble: humbled
humility: humility
humorous: humorous
hunt: hunted
hurriedly: hurriedly
hurry: hurried,hurry,hurrying
hurt: hurt
husky: husky
hyde: hyde
hypocrisy: hypocrisy
hypocrite: hypocrite
hysteria: hysteria
hysterical: hysterical
ice: ice
icy: icy
idea: idea
identical: identical
identification: identification
identify: identify
identity: identities,identity
idiosyncratic: idiosyncratic
idol: idol
ignorance: ignorance
ignorant: ignorant
illusion: illusion
image: image,images
imagination: imagination
imagine: imagine
imitation: imitation
immaterial: immaterial
immateriality: immateriality
immense: immense
immodest: immodest
immunity: immunities
impatience: impatience
impatient: impatient
impediment: impediment
impending: impending
impenetrable: impenetrable
imperfect: imperfect
imperial: imperial
imperious: imperious
imply: implied
impose: imposed
impossible: impossible
impressed: impressed
impression: impression
imprint: imprint
improvement: improvement
impulse: impulses
impure: impure
impurity: impurity
inaccurate: inaccurate
incident: incident
incidental: incidental
incipient: incipient
inclination: inclination
incline: incline,inclined
inclined: inclined
include: include,included,includes,including
including: including
incoherency: incoherency
incomplete: incomplete
incongruous: incongruous
incorporate: incorporated
increase: increased,increasing
incredibly: incredibly
incredulous: incredulous
incurable: incurable
indemnify: indemnify
indemnity: indemnity
independent: independent
indescribable: indescribable
indescribably: indescribably
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indignation: indignation
indirect: indirect
indirectly: indirectly
individual: individual
indoor: indoors
induce: induce
inducement: inducements
indulge: indulged
indulgence: indulgence
industry: industry
inexact: inexact
inexplicable: inexplicable
infallibly: infallibly
infamy: infamy
infinite: infinite
inflict: inflict
influence: influence
infringement: infringement
ingredient: ingredient,ingredients
inhabitant: inhabitants
inherently: inherently
inherit: inherit
iniquity: iniquity
inject: injected
injury: injury
inmate: inmates
inmost: inmost
inn: inn
innocent: innocent
inopportunity: inopportunity
inordinate: inordinate
inorganic: inorganic
inquire: inquire,inquired,inquiring
insane: insane
inscrutable: inscrutable
insensate: insensate
insensibility: insensibility
insensibly: insensibly
inseparable: inseparable
insidiously: insidiously
insist: insist,insisting
inspector: inspector
instance: instance
instant: instant
instantly: instantly
instinct: instinct,instincts
instruction: instruction
instrument: instrument
insubstantial: insubstantial
insurgent: insurgent
intake: intake
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intention: intention
intercourse: intercourse
internal: internal
international: international
interpret: interpreted
intimacy: intimacy
invalidity: invalidity
investigation: investigations
inveterately: inveterately
invitation: invitation
involuntary: involuntary
involve: involve,involved
inwards: inwards
iron: iron
irregular: irregular
irregularity: irregularities
irrepressible: irrepressible
irrevocably: irrevocably
irritated: irritated
irs: irs
issue: issues
ivory: ivory
ivy: ivy
jack: jack
jangled: jangled
january: january
jaw: jaws
jekyll: jekyll
jerk: jerk
jewel: jewel
john: john
journey: journey
joy: joy
judge: judge,judged,judges
judgment: judgment
juggernaut: juggernaut
jump: jumped
justice: justice
justify: justify
katharine: katharine
keen: keen
ken: ken
kernel: kernels
kettle: kettle
key: key
kill: kill,killed,killing
kindle: kindled,kindling
kindly: kindly
kindness: kindness
kinsman: kinsman
kitchen: kitchen
knee: knee,knees
knife: knife
knit: knit
knock: knocked
knocker: knocker
knowledge: knowledge
knuckly: knuckly
laboratory: laboratory
labour: labour,laboured,labouring
labyrinth: labyrinths
laden: laden
lake: lake
lamentation: lamentation
lamp: lamp,lamps
lamplight: lamplight
lamplighted: lamplighted
lamplit: lamplit
land: land
lane: lane
language: language
languidly: languidly
lash: lashing
late: late
lateness: lateness
laugh: laugh
laughable: laughable
laughter: laughter
law: law,laws
lawny: lawny
lawyer: lawyer,lawyers
lay: laid,lay,laying
lazily: lazily
lazy: lazy
lead: lead,leading,led
lean: lean,leaned
leap: leap,leaped,leaping
learn: learn,learned,learning
leave: leave,leaving,left
left: left
leg: legs
legal: legal
legally: legally
legibly: legibly
leisurely: leisurely
lend: lend,lent
lesson: lesson
lethal: lethal
letter: letter,letters
liability: liability
liable: liable
liberty: liberty
library: library
licence: licence
license: license
licensed: licensed
lick: licking
lie: lie,lied,lies,lying
lieu: lieu
life: life,lives
lift: lifted
light: light,lighted,lighter,lights,lit
lighted: lighted
lighten: lighten
lightly: lightly
limb: limbs
limit: limited
limitation: limitation,limitations
limited: limited
linger: lingered
link: linked,links
lip: lip,lips
liquor: liquor
list: list
listen: listen,listened,listens
listening: listening
literally: literally
literary: literary
litter: littered
live: live,lived,lives,living
lively: livelier,lively
lo: lo
load: load,loaded
loathe: loathed
loathing: loathing
locate: located
location: locations
lock: lock,locked,locking
locksmith: locksmith
london: london
longing: longing,longings
loose: loose
lose: lose,losing,lost
loser: loser
loss: loss
lost: lost
lot: lot
loud: loud,louder
loudly: loudly
louis: louis
lovable: lovable
love: love,loved
lover: lover
luck: luck
ludicrous: ludicrous
lumber: lumber
lurid: lurid
lurk: lurking
lust: lust,lusting
luxury: luxury
machine: machine
mad: mad
madman: madman
madness: madness
mahogany: mahogany
maid: maid
mail: mail
main: main
maintain: maintaining
majority: majority
malady: maladies
malefactor: malefactor
malformation: malformation
malign: malign
manage: managed
manager: manager
mangled: mangled
mankind: mankind
manner: manner
manners: manners
mantle: mantle
manufacture: manufacture
map: map
march: march
margin: margin
mark: mark,marked,marks
marked: marked
marrow: marrow
marvellous: marvellous
mask: mask
masked: masked
master: master,mastered
mat: mat
match: matches
mate: mates
material: material
matter: matter,matters
maul: mauled
maw: maw
maximum: maximum
meal: meal,meals
measure: measure,measured
measurement: measurement
medicine: medicine
medium: medium
meet: meet,meeting,met
meeting: meetings
melancholy: melancholy
melt: melt,melted
memory: memory
menace: menace
mend: mended
mental: mental
mention: mention
merchantability: merchantability
mercy: mercy
mere: mere
merrily: merrily
messenger: messenger
metamorphosis: metamorphoses
method: method,methods
michael: michael
middle: middle
midnight: midnight
midst: midst
midway: midway
mien: mien
mighty: mighty
mind: mind,minds
minim: minims
minute: minute,minutes
miracle: miracle
mirror: mirror
mirth: mirth
misbegotten: misbegotten
mischief: mischief
misdeed: misdeeds
misdirect: misdirecting
misgive: misgives
misgiving: misgiving
mishap: mishaps
mission: mission
mississippi: mississippi
mist: mist,mists
mix: mix,mixed
mixture: mixture
modest: modest
modification: modification
modify: modified
moisture: moisture
moment: moment,moments
momentary: momentary
money: money
monkey: monkey
monstrous: monstrous
month: month,months
moon: moon
mop: mopped
moral: moral
morally: morally
morbid: morbid
morning: morning
morrow: morrow
mortal: mortal
mortify: mortify
motion: motioned
mottled: mottled
moulding: mouldings
mount: mount,mounted
mountain: mountain
mournful: mournful
mouth: mouth
movement: movement
muddy: muddy
muffle: muffle
multifarious: multifarious
murder: murder,murdered
murderer: murderer
murderous: murderous
muscular: muscular
muse: musing
musingly: musingly
muster: muster
mutter: mutter
mysterious: mysterious
mystery: mysteries,mystery
