ab: ab
amazing: amazing
ambage: ambage
ambassador: ambassador,ambassadors
amber: amber
ambiguity: ambiguity
ambiguous: ambiguous
ambition: ambition
ambitious: ambitious
ambitiously: ambitiously
ambitus: ambitus
ambrose: ambrose
ambuscade: ambuscade
ambush: ambush
america: america
amiable: amiable
amicable: amicable
amicably: amicably
amnesty: amnesty
amorous: amorous
amphitheatre: amphitheatre
ample: ample
amplification: amplifications
amply: amply
amputation: amputation
amuse: amuse,amused,amuses
amused: amused
amusement: amusement,amusements
amusing: amusing
ana: ana
anabasis: anabasis
anachronism: anachronism
analogy: analogy
analysis: analysis
anarchy: anarchy
anastasia: anastasia
anathematize: anathematize
ancestor: ancestor,ancestors
anchor: anchor
anciens: anciens
ancient: ancient,ancients
ancilia: ancilia
ancona: ancona
andrew: andrew
andronicus: andronicus
anecdote: anecdote,anecdotes
anew: anew
angel: angel,angels
angelic: angelic
angelo: angelo
anger: anger
angle: angle,angles
angry: angry
anguish: anguish
anima: anima
animadversion: animadversion
animal: animal,animals
animate: animate,animated,animating
animated: animated
animi: animi
animo: animo
animosity: animosity
ann: ann
annal: annal
annalist: annalist
annals: annals
annex: annexed
anni: anni
annihilate: annihilate,annihilated
anniversary: anniversary
annotation: annotation,annotations
annoy: annoyed
annual: annual
annually: annually
annum: annum
anoint: anointed
anonym: anonym
anonymous: anonymous
answer: answer,answered,answers
ant: ant
antagonist: antagonist,antagonists
ante: ante
antecedent: antecedent
antelope: antelope,antelopes
anterior: anterior
antesignanus: antesignanus
anthem: anthem
anthony: anthony
antica: antica
antichrist: antichrist
anticipate: anticipate,anticipated
antigonus: antigonus
antiq: antiq
antiqua: antiqua
antiquarian: antiquarian,antiquarians
antiquaries: antiquaries
antiquary: antiquaries,antiquary
antiquated: antiquated
antiquities: antiquities
antiquity: antiquities,antiquity
antithesis: antithesis
antler: antlers
antonio: antonio
antony: antony
anxiety: anxiety
anxious: anxious
anxiously: anxiously
ap: ap
apartment: apartment,apartments
ape: ape
apennine: apennine
apex: apex
apocalypse: apocalypse
apollo: apollo
apollonia: apollonia
apolog: apolog
apologetical: apologetical
apologist: apologist,apologists
apologize: apologize
apology: apologies,apology
apostasy: apostasy
apostate: apostate,apostates
apostatize: apostatize
apostle: apostle,apostles
apostles: apostles
apostolic: apostolic
apostolical: apostolical
apotheosis: apotheosis
appal: appalled
apparel: apparel
apparent: apparent
apparition: apparition,apparitions
appeal: appeal,appealed,appeals
appearance: appearance,appearances
appease: appease,appeased,appeasing
appellant: appellant
appellation: appellation,appellations
appendix: appendices,appendix
appetite: appetite,appetites
applaud: applaud,applauded,applauding,applauds
applause: applause
application: application
apply: applied,applies,apply,applying
appoint: appoint,appointed,appointing
appointment: appointment,appointments
apprehend: apprehend,apprehended
apprehension: apprehension,apprehensions
apprehensive: apprehensive
apprise: apprised
approach: approach,approached,approaches,approaching
approbation: approbation,approbations
approve: approve,approved,approves
april: april
apt: apt
aptly: aptly
aqueduct: aqueduct,aqueducts
arab: arab,arabs
arabia: arabia
arabian: arabian
arabic: arabic
arable: arable
arbela: arbela
arbitrarily: arbitrarily
arbitrary: arbitrary
arbitration: arbitration
arbor: arbor
arcana: arcana
arch: arch,arches
archangel: archangels
archbishop: archbishop
archer: archer,archers
archetype: archetype
archical: archical
archiepiscopal: archiepiscopal
archipelago: archipelago
architect: architects
architecture: architecture
archive: archives
ardent: ardent
ardor: ardor
arduous: arduous
areopagus: areopagus
arethusa: arethusa
argentum: argentum
argonauts: argonauts
argos: argos
argue: argue,argued,argues,arguing
argument: argument,arguments
argumentative: argumentative
arian: arian
arianism: arianism
aristeas: aristeas
aristides: aristides
aristocracy: aristocracy
aristotle: aristotle
arius: arius
ark: ark
arles: arles
arm: arm,armed,arming,arms
armament: armament,armaments
armed: armed
armenia: armenia
armenian: armenian
armenians: armenians
armor: armor
armorer: armorer
armorican: armorican
army: armies,army
aromatic: aromatic,aromatics
arraign: arraign,arraigned,arraigns
arrange: arranged,arranging
array: array,arrayed
arrears: arrears
arrest: arrest,arrested
arrival: arrival
arrive: arrive,arrived
arrogant: arrogant
arrogantly: arrogantly
arrow: arrow,arrows
ars: ars
arsenal: arsenal,arsenals
art: art,arts
artaba: artaba
artful: artful
artfully: artfully
article: article,articles
artifex: artifex
artifice: artifice,artifices
artificer: artificers
artificial: artificial
artillery: artillery
artist: artist,artists
aruspices: aruspices
ascend: ascend,ascended
ascendancy: ascendancy
ascendant: ascendant
ascendency: ascendency
ascent: ascent
ascertain: ascertain,ascertained,ascertaining,ascertains
ascetic: ascetic
asclepius: asclepius
ascribe: ascribe,ascribed,ascribes,ascribing
ash: ashes
ashamed: ashamed
asia: asia
asiatic: asiatic
aspect: aspect,aspects
asper: asper
asperity: asperity
asperse: aspersed
aspirant: aspirant
aspirate: aspirate
aspire: aspire,aspired,aspires,aspiring
aspiring: aspiring
ass: ass,asses
assail: assailed
assailant: assailants
assassin: assassin,assassins
assassinate: assassinate,assassinated
assault: assault,assaulted,assaulting,assaults
assemble: assemble,assembled
assembly: assemblies,assembly
assent: assent
assert: assert,asserted,asserting,asserts
assertion: assertion,assertions
assertor: assertor
assess: assessed,assessing
assessment: assessment
assessor: assessors
asset: asset
asseveration: asseveration,asseverations
assiduity: assiduity
assiduous: assiduous
assiduously: assiduously
assign: assign,assigned,assigning,assigns
assimilate: assimilated
assist: assist,assisted,assisting
assistance: assistance
assistant: assistant,assistants
associate: associate,associates
associates: associates
association: association,associations
assuage: assuage,assuaged
assume: assume,assumed,assumes,assuming
assurance: assurance,assurances
assure: assure,assured,assures,assuring
assuredly: assuredly
assyria: assyria
assyrian: assyrian
assyrians: assyrians
astonish: astonish,astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astronomical: astronomical
asunder: asunder
asylum: asylum
athanasian: athanasian
atheism: atheism
atheist: atheist,atheists
athenian: athenian
athenians: athenians
athens: athens
athwart: athwart
atlantic: atlantic
atlas: atlas
atone: atone,atoned
atonement: atonement
atrocious: atrocious
attach: attach,attached
attachment: attachment
attack: attack,attacked,attacks
attain: attain,attained
attempt: attempt,attempted,attempting,attempts
attend: attend,attended
attendance: attendance
attendant: attendant,attendants
attention: attention
attentive: attentive
attest: attest,attested,attests
attic: attic
attitude: attitude
attract: attract,attracted,attracts
attribute: attribute,attributed,attributes
auction: auction
auctor: auctor
audacious: audacious
audible: audible
audience: audience,audiences
audio: audio
augment: augmented
augmentation: augmentation
augur: augur
august: august
augusta: augusta
augustal: augustal
augustan: augustan
augusti: augusti
augustin: augustin
augustus: augustus
aula: aula
aurei: aurei
aurelian: aurelian
aurelius: aurelius
aureus: aurei,aureus
aurora: aurora
aurum: aurum
auspice: auspice
auspicious: auspicious
austere: austere
austin: austin
autem: autem
authentic: authentic
authenticate: authenticated
authenticity: authenticity
author: author,authors
authoritatively: authoritatively
authority: authorities,authority
authorize: authorize,authorized,authorizes
authorship: authorship
autumn: autumn
aux: aux
auxiliary: auxiliaries,auxiliary
avail: availed
avarice: avarice
avaricious: avaricious
avaritia: avaritia
avenge: avenge,avenged,avenging
avenger: avenger
average: average
averse: averse
aversion: aversion
avert: avert
avesta: avesta
avis: avis
avocation: avocations
avoid: avoid,avoided,avoiding,avoids
avow: avowed,avowing
avowedly: avowedly
awake: awoke
awaken: awaken,awakened
aware: aware
awe: awe
awed: awed
awful: awful
awkward: awkward
awkwardly: awkwardly
axe: axe
axis: axes
babylon: babylon
babylonian: babylonian
bacchanal: bacchanal
bacchanalian: bacchanalian
bacchanals: bacchanals
bacchus: bacchus
bacon: bacon
bad: bad,worst
badge: badges
baffle: baffled
bagdad: bagdad
baggage: baggage
bait: bait
balance: balance,balanced,balancing
balanced: balanced
ball: ball,balls
baltic: baltic
band: band,bands
banish: banished,banishes,banishing
banishment: banishment
bank: bank,banks
banner: banner,banners
banquet: banquets
baptism: baptism
baptize: baptized
bar: bar
barbarian: barbarian,barbarians
barbarians: barbarians
barbaric: barbaric
barbarity: barbarities,barbarity
barbarous: barbarous
barber: barber,barbers
bard: bard,bards
bare: bared
bargain: bargains
bark: bark,barks
barley: barley
baron: baron
barren: barren
barrier: barrier,barriers
base: base,basest
basely: basely
baseness: baseness
basil: basil
basilica: basilica
basis: basis
bat: bat
batavian: batavian
bath: bath,bathed,bathing,baths
batter: batter,battering
battering: battering
battery: batteries
battle: battle,battles
bay: bay,bays
beam: beam,beamed
bear: bear,bearing,bears,bore,born,borne
beard: beard,beards
bearer: bearer,bearers
beast: beast,beasts
beat: beaten
beau: beau
beauteous: beauteous
beautiful: beautiful
beautifully: beautifully
beautify: beautified
beauty: beauties,beauty
bec: bec
becket: becket
bed: bed,beds
bede: bede
befall: befell
beget: begotten
begotten: begotten
beguile: beguiling
behalf: behalf
behave: behave,behaved
behavior: behavior
behead: beheaded,beheads
beheading: beheading
beheld: beheld
behold: beheld,behold,beholding
belgic: belgic
belie: belying
belief: belief
believer: believer,believers
bell: bell
bella: bella
belli: belli
bello: bello
bellow: bellowing
belly: belly
belong: belong,belonged,belonging,belongs
beloved: beloved
belshazzar: belshazzar
belt: belt
beltis: beltis
bench: bench,benches
bend: bend,bended,bending,bends
bene: bene
beneath: beneath
benedict: benedict
benedictine: benedictine
benediction: benediction
benefactor: benefactor
beneficence: beneficence
beneficent: beneficent
beneficial: beneficial
benefit: benefit,benefits
benevolence: benevolence
benevolent: benevolent
bent: bent
bequeath: bequeathed,bequeathing
berenice: berenice
berlin: berlin
beseech: beseech,beseeches
besiege: besiege,besieged
bestow: bestow,bestowed,bestowing,bestows
betray: betray,betrayed,betraying,betrays
bewail: bewailed
bias: bias,biased
bib: bib
bibl: bibl
bible: bible
bibliothec: bibliothec
bidder: bidder
bien: bien
bigot: bigots
bigoted: bigoted
bigotry: bigotry
bind: bind,bound
biographer: biographer
bird: bird,birds
birth: birth,births
birthday: birthday
biscuit: biscuit
bishop: bishop,bishops
bishopric: bishopric,bishoprics
bissextile: bissextile
bite: biting
bitter: bitterest
bitterly: bitterly
bitterness: bitterness
bitumen: bitumen
black: black,blacks
blackness: blackness
bladder: bladders
blade: blade
blair: blair
blame: blame,blamed,blames
blameless: blameless
blaspheme: blaspheming
blasphemy: blasphemy
blast: blast,blasted
blaze: blaze,blazed
bleed: bleed,bleeding
bleeding: bleeding
blemish: blemish,blemishes
blemmyes: blemmyes
blend: blend,blended
blended: blended
blending: blending
bless: blessed
blessing: blessing,blessings
blind: blind,blinded
blindly: blindly
blindness: blindness
bliss: bliss
block: block,blocks
blood: blood
bloodless: bloodless
bloodshed: bloodshed
bloodthirsty: bloodthirsty
bloody: bloody
bloom: blooming
blow: blow,blows
blush: blush,blushed,blushing
boar: boars
board: boards
boast: boast,boasted
boat: boats
boatman: boatmen
bodily: bodily
body: bodies,body
bog: bog
bold: bold,bolder,boldest
boldly: boldly
boldness: boldness
bologna: bologna
bona: bona
bond: bonds
bone: bones
boniface: boniface
bonorum: bonorum
bonum: bonum
book: book,books
books: books
booty: booty
borderers: borderers
borrow: borrow,borrowed,borrowing
bos: bos
bosom: bosom
botanist: botanist
bound: bounded,bounds
boundary: boundaries,boundary
boundless: boundless
bounty: bounty
bouquet: bouquet
bow: bow,bowed,bows
bowels: bowels
boy: boy,boys
brabant: brabant
bracelet: bracelets
branch: branch,branches
brand: branded
brass: brass
brave: brave,braved,bravest
bravery: bravery
brawny: brawny
breach: breach
bread: bread
breadth: breadth
break: break,breaking,broke,broken
breast: breast,breasts
breathe: breathe
breed: bred,breed,breeds
brethren: brethren
brev: brev
brevi: brevi
brevity: brevity
bribe: bribe,bribes
brick: brick,bricks
bridge: bridge,bridges
brigantine: brigantines
bright: bright,brighter,brightest
brightness: brightness
brilliant: brilliant
bring: bring,bringing,brought
brink: brink
britain: britain
britannia: britannia
british: british
britons: britons
brittle: brittle
broad: broad,broader
broke: broke
broken: broken
bronze: bronze
brood: brooding
brook: brook
brothel: brothels
brother: brother,brothers
brumalia: brumalia
brussels: brussels
brutal: brutal
brutus: brutus
bryan: bryan
buat: buat
buchanan: buchanan
bucolic: bucolic
buda: buda
buffoon: buffoons
build: build,building,built
building: building,buildings
built: built
bulk: bulk
bull: bull
bulwark: bulwark
burden: burden,burdens
burdensome: burdensome
burgundian: burgundian
burgundy: burgundy
burial: burial
burn: burn,burned,burning,burnt
burst: burst,bursts
burton: burton
bury: buried
bus: bus
business: business
bust: bust
bustard: bustards
busy: busy
byron: byron
byzant: byzant
byzantine: byzantine
byzantium: byzantium
cabal: cabals
cabalistical: cabalistical
cabinet: cabinet
cadmus: cadmus
cage: cages
calamity: calamities,calamity
calc: calc
calculate: calculate,calculated
calculation: calculation
caledonia: caledonia
caledonian: caledonian
calendar: calendar
calends: calends
caliph: caliph
callous: callous
calm: calm,calmer
calmly: calmly
calmness: calmness
calumny: calumnies,calumny
calvary: calvary
camden: camden
camel: camel,camels
camp: camp,camps
campaign: campaign,campaigns
campania: campania
canal: canal,canals
candid: candid
candidate: candidate,candidates
candide: candide
candidly: candidly
candor: candor
canidia: canidia
cannibal: cannibal,cannibals
canoe: canoes
canon: canon,canons
canonical: canonical
canonize: canonized
cantonment: cantonments
cap: cap
capability: capability
capable: capable
capacious: capacious
capaciousness: capaciousness
capacity: capacity
cape: cape
capella: capella
capita: capita
capital: capital,capitals
capitation: capitation
capite: capite
capitol: capitol
capitoline: capitoline
capitulate: capitulate
capitulation: capitulation
cappadocian: cappadocian
caprice: caprice
capricious: capricious
capriciously: capriciously
captain: captains
captious: captious
captive: captive,captives
captivity: captivity
caput: caput
car: car
caravan: caravans
carcass: carcasses
cardinal: cardinal
care: care,cares
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
carelessness: carelessness
caress: caresses
cargo: cargoes
carnage: carnage
carnal: carnal
carne: carne
carnivorous: carnivorous
carpathian: carpathian
carpet: carpet
carriage: carriage,carriages
carry: carried,carry,carrying
carus: carus
cascade: cascade
caspian: caspian
cass: cass
cassian: cassian
cassius: cassius
cast: cast,casting
castalian: castalian
castle: castle,castles
castor: castor
castra: castra
castrate: castrated
castration: castration
casual: casual
casuist: casuist
catacomb: catacombs
catalogue: catalogue
catalonian: catalonian
cataract: cataract,cataracts
catastrophe: catastrophe
catch: catch
catechu: catechu
catechumen: catechumen,catechumens
catena: catena
cathedral: cathedral,cathedrals
catholic: catholic
catholics: catholics
cattle: cattle
caucasus: caucasus
causa: causa
caution: caution
cautious: cautious
cautiously: cautiously
cavalry: cavalry
cavern: caverns
cavity: cavities
ce: ce
cease: cease,ceased
cedar: cedars
cede: ceded
celebrant: celebrant
celebrate: celebrate,celebrated,celebrates,celebrating
celebrated: celebrated
celebration: celebration
celerity: celerity
celestial: celestial
celibacy: celibacy
cellar: cellar
celtic: celtic
cement: cement,cemented,cementing
censor: censor
censure: censure,censured,censures
census: census
centaur: centaur,centaurs
centenary: centenaries
centre: centre,centred
centum: centum
centurion: centurion,centurions
century: centuries,century
cera: cera
ceremonial: ceremonial
ceremony: ceremonies,ceremony
ceres: ceres
certainty: certainty
certificate: certificates
cessation: cessation
cessavit: cessavit
cession: cession
cestus: cestus
ceylon: ceylon
chain: chain,chained,chains
chair: chair,chairs
chalcis: chalcis
chaldaic: chaldaic
chaldean: chaldean
chalice: chalice,chalices
challenge: challenge,challenged,challenges
chamber: chamber,chambers
chamberlain: chamberlain
champagne: champagne
champion: champion,champions
chance: chance
chancellor: chancellor
change: change,changed,changing
channel: channel,channels
chant: chanted,chanting
chanter: chanters
chaos: chaos
chapel: chapel,chapels
chapter: chapter,chapters
character: character,characters
characteristic: characteristic
charcoal: charcoal
charge: charge,charged,charges
chariot: chariot,chariots
charioteer: charioteer,charioteers
charitable: charitable
charity: charity
charlemagne: charlemagne
charles: charles
charm: charms
charter: charter
chase: chase,chasing
chasm: chasm
chaste: chaste
chastise: chastise,chastised,chastising
chastisement: chastisement
chastity: chastity
chateaubriand: chateaubriand
check: check,checked
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
chemical: chemical
chemins: chemins
cherish: cherished
chest: chest
chez: chez
chi: chi
chicanery: chicanery
chide: chides
chief: chief,chiefs
chiefly: chiefly
chiefs: chiefs
chieftain: chieftain,chieftains
child: child,children
childhood: childhood
childless: childless
china: china
chinese: chinese
chivalry: chivalry
choice: choice,choicest
choir: choir
choke: choked
choleric: choleric
choose: choose,chooses,choosing,chose,chosen
chorister: choristers
chorus: chorus
christ: christ
christian: christian,christians
christiana: christiana
christianity: christianity
christmas: christmas
christopher: christopher
chron: chron
chronicle: chronicle,chronicles
chronograph: chronograph
chronol: chronol
chronological: chronological
chronologist: chronologists
chronology: chronology
church: church,churches
cicero: cicero
cimbri: cimbri
cimbric: cimbric
cimeter: cimeter
cimmerian: cimmerian
cipher: cipher
circassian: circassian
circensian: circensian
circle: circle
circuit: circuit
circular: circular
circulate: circulated
circulation: circulation
circum: circum
circumcise: circumcising
circumcision: circumcision
circumference: circumference
circumjacent: circumjacent
circumscribe: circumscribe,circumscribed
circumstance: circumstance,circumstances
circumstantial: circumstantial
circumstantially: circumstantially
circus: circus
cistern: cistern,cisterns
citadel: citadel
citizen: citizen,citizens
city: cities,city
civic: civic
civil: civil
civile: civile
civilian: civilian,civilians
civility: civility
civilized: civilized
civitas: civitas
claim: claim,claimed,claiming,claims
clamor: clamor,clamors
clamorous: clamorous
claret: claret
clarke: clarke
claros: claros
clash: clashed,clashing
class: class,classes
classic: classic
claudia: claudia
claudian: claudian
claudio: claudio
claudius: claudius
clause: clauses
clay: clay
cleanliness: cleanliness
cleanse: cleanse
cleave: cloven
clemency: clemency
clement: clement
clergy: clergy
clergyman: clergyman
clerical: clerical
clerk: clerk,clerks
clerus: clerus
client: client,clients
climate: climate,climates
climb: climbed
clime: climes
cloak: cloak
close: close,closed,closer,closes
closely: closely
clothe: clothed
clothes: clothes
cloud: cloud,clouded,clouds
club: club,clubs
clung: clung
cluster: cluster
clypei: clypei
coalition: coalition
coarse: coarse
coast: coast,coasts
coat: coat
cochlea: cochlea
cod: cod
code: code,codes
codes: codes
codex: codex
codicil: codicils
coercive: coercive
cognatus: cognatus
cognizance: cognizance
cohort: cohort,cohorts
coin: coin,coined,coining,coins
coincide: coincide,coincided
cold: cold,coldest
coldness: coldness
coll: coll
collar: collar,collars
collat: collat
collateral: collateral
colleague: colleague,colleagues
collect: collect,collected,collecting,collects
collection: collection
college: college
colloq: colloq
cologne: cologne
coloni: coloni
colonus: coloni
colony: colonies,colony
color: color,colored,colors
colored: colored
coloring: coloring
colossal: colossal
columbus: columbus
column: column,columns
comb: combing
combat: combat,combats
combatant: combatants
combine: combined
combustible: combustible
comedian: comedian,comedians
comedy: comedies,comedy
comely: comely
comfort: comfort,comforts
comforter: comforter
comfortless: comfortless
comic: comic
comites: comites
comm: comm
comma: comma
command: command,commanded,commanding,commands
commander: commander,commanders
comme: comme
commemorate: commemorate
commemoration: commemoration
commence: commence,commenced
commencement: commencement
commendation: commendation,commendations
commensurate: commensurate
comment: comment
commentary: commentaries,commentary
commentator: commentator,commentators
commerce: commerce
commercial: commercial
commercium: commercium
commiseration: commiseration
commission: commission,commissioned
commissioner: commissioners
commit: commit,commits,committed,committing
commodity: commodities
common: common
commonly: commonly
commonwealth: commonwealth,commonwealths
communicant: communicants
communicate: communicate,communicated
communication: communication
communion: communion
community: communities,community
compact: compact
companion: companion,companions
company: companies,company
comparative: comparative
comparatively: comparatively
compare: compare,compared,compares,comparing
comparison: comparison,comparisons
compass: compassed
compassion: compassion
compatible: compatible
compel: compel,compelled,compels
compelling: compelling
compend: compend
compensate: compensate,compensated
compensation: compensation
competent: competent
competition: competition
competitor: competitor,competitors
compilation: compilation,compilations
compile: compiled
complacency: complacency
complain: complain,complained,complaining,complains
complaint: complaint,complaints
complaisance: complaisance
complete: complete,completed,completing
completely: completely
complexion: complexion
compliance: compliance,compliances
complicated: complicated
compliment: compliment,compliments
comply: complied,comply,complying
compose: compose,composed,composes,composing
composition: composition,compositions
comprehend: comprehend,comprehended,comprehending
comprehensive: comprehensive
compressed: compressed
compromise: compromise
compulsion: compulsion
computation: computation
compute: compute,computed,computes
conceal: conceal,concealed,concealing,conceals
concealment: concealment
conceive: conceive,conceived,conceives,conceiving
conception: conception,conceptions
concern: concern,concerned,concerns
concerted: concerted
concession: concessions
concile: concile
conciliate: conciliate,conciliated,conciliating
concilium: concilium
concise: concise
concisely: concisely
conciseness: conciseness
conclude: conclude,concluded,concludes,concluding
conclusion: conclusion,conclusions
conclusive: conclusive
concomitant: concomitant
concord: concord
concourse: concourse
concubine: concubine,concubines
concur: concurred
concurrence: concurrence
concurrent: concurrent
condemn: condemn,condemned,condemning,condemns
condemnation: condemnation
condescend: condescend,condescended,condescends
condescending: condescending
condescension: condescension
condition: condition,conditions
conduce: conduce,conduced
conducive: conducive
conduct: conduct,conducted,conducting
conductor: conductor
confederacy: confederacy
confederation: confederation
confer: confer,conferred,conferring
conference: conference,conferences
confess: confess,confessed,confesses,confessing
confession: confession,confessions
confessor: confessor,confessors
confidant: confidants
confide: confide,confided
confidence: confidence
confident: confident
confidential: confidential
confidently: confidently
confine: confine,confined,confining
confinement: confinement
confines: confines
confirm: confirm,confirmed,confirming,confirms
confirmation: confirmation
confiscate: confiscated,confiscates,confiscating
confiscation: confiscation,confiscations
conflagration: conflagration
conflict: conflict,conflicts
conflux: conflux
conform: conformed
conformable: conformable
confound: confound,confounded,confounds
confused: confused
confusion: confusion
confutation: confutations
confute: confute,confuted,confuting
congenial: congenial
congratulate: congratulated,congratulates
congratulation: congratulations
congregation: congregation,congregations
conjectural: conjectural
conjecture: conjecture,conjectures
conjugal: conjugal
conjure: conjured
connect: connect,connected,connects
connection: connection,connections
connivance: connivance
connive: connive
conquer: conquer,conquered,conquering
conquerer: conquerer
conqueror: conqueror,conquerors
conquest: conquest,conquests
cons: cons
consanguinity: consanguinity
conscience: conscience
conscientious: conscientious
conscious: conscious
consciousness: consciousness
consecrate: consecrate,consecrated
consecrated: consecrated
consecration: consecration
consent: consent,consented,consents
consequence: consequence,consequences
considerable: considerable
considerably: considerably
consideration: consideration,considerations
considerations: considerations
consist: consist,consisted,consisting
consistent: consistent
consistently: consistently
consistory: consistory
consolation: consolation,consolations
consonant: consonant
conspicuous: conspicuous
conspicuously: conspicuously
conspiracy: conspiracy
conspirator: conspirators
conspire: conspire
const: const
constance: constance
