aback: aback
chase: chase
chasm: chasm
chatter: chattered,chattering
cheap: cheaper
check: check,checked
cheek: cheek,cheeks
cheer: cheer
cheerful: cheerful
cheering: cheering
cheery: cheery
chemically: chemically
cherish: cherished
chest: chest,chests
chew: chew,chewed
chief: chief
child: child,children
chill: chill
chinese: chinese
chink: chinked
chipmunk: chipmunks
chivalrous: chivalrous
chivalrously: chivalrously
choke: choke,choked
choking: choking
chook: chook
choose: chosen
chop: chop,chopping,chops
chorus: chorus
chronic: chronic
chuckle: chuckling
chunk: chunk,chunks
churn: churned,churning
circle: circle,circled,circles
circling: circling
citizen: citizens
city: cities,city
civilization: civilization
civilized: civilized
civilizing: civilizing
claim: claims
clamor: clamor
clannish: clannish
clara: clara
clash: clash,clashed
clasped: clasped
claw: claws
clean: clean,cleaned
cleanly: cleanly
cleanse: cleansed
clearing: clearing
clench: clenching
clerk: clerks
clever: clever
cliff: cliff
climb: climbed
clime: climes
clinch: clinching
cling: cling,clinging,clung
clip: clip,clipped,clipping
close: close,closed,closer,closing
closely: closely
clothe: clad
clothes: clothes
cloud: cloud
club: club,clubbed,clubs
clubbing: clubbing
clutch: clutched,clutching
coal: coals
coat: coat,coated,coats
cock: cock
code: code
coil: coils
cold: cold,colder
coldly: coldly
collar: collar
collect: collected
college: college
colored: colored
colt: colt
comb: comb
combatant: combatants
combine: combined
comfortable: comfortable
comfortably: comfortably
command: command,commanded
commence: commence
comment: commented
commingle: commingled
common: common
communicate: communicated
communion: communion
compact: compact
compactly: compactly
companion: companion
company: companies,company
comparatively: comparatively
compare: compared
compass: compass
compel: compel,compelled
compelled: compelled
compellingly: compellingly
complain: complained
complete: complete
completely: completely
completeness: completeness
comply: complied
comprehend: comprehend
comprehension: comprehension
comprehensively: comprehensively
compress: compressed
computation: computation
comrade: comrade,comrades
comradely: comradely
comradeship: comradeship
conceal: concealed
concealment: concealment
concern: concerned
conciliate: conciliate,conciliated
conclusively: conclusively
concrete: concrete
condition: condition,conditions
conduct: conduct
confess: confessed
confidence: confidence
confidently: confidently
confine: confined
confines: confines
confuse: confused
confusion: confusion
congested: congested
conjuration: conjuration
conscious: conscious
consideration: consideration
consignment: consignment
conspicuous: conspicuous
constant: constant
constantly: constantly
consternation: consternation
consultation: consultation
contact: contact
contagion: contagion
contemplate: contemplate
contemplation: contemplation
contend: contend,contended
content: content
contents: contents
continent: continent
continual: continual
continually: continually
continue: continued
continuous: continuous
contract: contracted
contraption: contraption
contribution: contribution
control: control
convalescence: convalescence
conversation: conversation
conveyance: conveyance
convulse: convulsed
convulsive: convulsive
cook: cook,cooking,cooks
cool: cool
coolly: coolly
copious: copious
corner: corner
cornered: cornered
cottage: cottages
count: count,counted
counter: countered
countless: countless
country: country
couple: couple
courier: courier
cousin: cousins
cover: cover,covered
covering: coverings
covert: covert
coveted: coveted
cow: cows
coy: coy
crack: crack,cracked
crackle: crackled,crackling
crackling: crackling
craftily: craftily
crash: crashed
crashing: crashing
crate: crate,crates
crater: craters
crawl: crawl,crawled,crawling
craze: crazed
creature: creature,creatures
credit: credit
creek: creek
creep: creep,creeping,crept
crest: crest
cricket: crickets
crippled: crippled
crisp: crisp
cross: cross,crossed,crosses
crossing: crossing
crouch: crouch,crouched,crouching
crouching: crouching
crow: crowed
crowd: crowd,crowded
cruelly: cruelly
crumb: crumb
crumple: crumpled
crunch: crunch,crunched
crush: crushing
crushingly: crushingly
cue: cue
culprit: culprit,culprits
cunning: cunning
cunningly: cunningly
cure: cure
curiously: curiously
curl: curled
curly: curly
current: current
curse: curse,cursed,curses,cursing
cursing: cursing
curved: curved
curving: curving
custom: custom
customary: customary
cut: cut,cuts,cutting
dainty: dainty
dam: dam,dams
damnation: damnation
dance: dance,dancing
danger: danger
dangerous: dangerous
dark: dark
darkness: darkness
dart: darted
dash: dash,dashed
dat: dat
daughter: daughters
daunt: daunted
dave: dave
dawn: dawn
dawson: dawson
day: day,days
daybreak: daybreak
daze: dazed
dazed: dazed
dead: dead
deaf: deaf
deal: deal,dealt
dealer: dealers
death: death
deathless: deathless
debt: debts
decay: decay
deceit: deceit
december: december
decide: decided
decidedly: decidedly
decivilization: decivilization
deck: deck,decks
deed: deeds
deep: deep,deeper,deeps
deer: deer
deerhound: deerhound
defence: defence
defend: defend,defended,defending
defiance: defiance
defiantly: defiantly
definite: definite
deft: deft
defy: defied,defying
dejected: dejected
delay: delay,delayed
deliberately: deliberately
deliberateness: deliberateness
delight: delight,delights
deliver: deliver
deluge: deluged
demand: demand,demanded,demanding
demesne: demesne
demon: demon
demonstrative: demonstrative
den: den
deny: denied
depart: depart,departed,departs
departure: departure
depend: depending
deposit: deposited,deposits
depot: depot
depths: depths
descend: descend,descended
descent: descent
description: description
desert: deserted
deserve: deserved
desire: desire,desired,desires
desolated: desolated
despatch: despatches
desperate: desperate
desperately: desperately
desperation: desperation
despise: despise
destine: destined
destroy: destroy,destroyed,destroying
destruction: destruction
detection: detection
determine: determined,determining
detestable: detestable
develop: developed
development: development
devil: devil,devils
devotion: devotion
devour: devoured
diabolically: diabolically
dictate: dictate,dictating
die: die,died,dying
diego: diego
diet: diet
difficult: difficult
dig: dig,digging,dug
dignified: dignified
dignity: dignity
dim: dim,dimmed
diminish: diminished
dimly: dimly
din: din
dinner: dinner
direct: directing
direction: direction,directions
directness: directness
dirt: dirt
dirty: dirty
dis: dis
disappear: disappear,disappeared,disappearing
disaster: disaster
disburden: disburdened
discard: discarded
discharge: discharged,discharging
discipline: discipline,disciplining
disclose: disclosed
discolor: discolored
discomfited: discomfited
discomfiture: discomfiture
disconsolate: disconsolate
discover: discover,discovered
discovery: discovery
disgust: disgust
dish: dishes
dismay: dismay
disorder: disorder
displace: displaced
displeasure: displeasure
dispute: dispute
disrupt: disrupted
distance: distance
distant: distant
distinct: distinct
distribute: distributed
diver: divers
divide: divide,divides
divine: divined
docilely: docilely
doctor: doctor
dodge: dodge,dodged
dog: dog,dogs
dogged: dogged
dollar: dollars
dolly: dolly
domesticated: domesticated
dominant: dominant
dominion: dominion
doom: doom
door: door,doors
dose: dose
dot: dot
double: doubled,doubling
doubt: doubt
downhill: downhill
downward: downward
doze: dozing
dozen: dozen
drag: drag,dragged,dragging
draggle: draggled
draggled: draggled
drainage: drainage
drape: draped
draught: draught
draw: draw,drawing,drawn,drew
dream: dream,dreamed,dreaming,dreams
dreamily: dreamily
dreary: dreary
drift: drift,drifted,drifting
driftwood: driftwood
drink: drank,drink
drip: dripping
drive: drive,driven,drives,driving,drove
driver: driver,drivers
driveway: driveways
droop: drooped,drooping
drop: drop,dropped,dropping
drown: drowned
drum: drumming
druther: druther
dry: dried,dry
dub: dub
dubiously: dubiously
dull: dull
dump: dumped
duplicate: duplicated
dust: dust
duty: duties,duty
dwell: dwelling
dweller: dweller
dwindle: dwindled
dynasty: dynasty
eager: eager
eagerly: eagerly
eagerness: eagerness
ear: ear,ears
eared: eared
earn: earned
earnest: earnest
earth: earth
ease: ease
easily: easily
east: east
easy: easier,easy
eat: ate,eat,eaten,eating
eatable: eatable
eater: eater
ebb: ebb,ebbed
economy: economy
ecstasy: ecstasy
eddy: eddies,eddy
edge: edge
eerie: eerie
effectually: effectually
effort: effort,efforts
egotistical: egotistical
eighteen: eighteen
elbow: elbows
eldorado: eldorado
electric: electric
elimination: elimination
eloquent: eloquent
eloquently: eloquently
embrace: embrace,embracing
emptiness: emptiness
enable: enable,enabled
encounter: encountered
encourage: encourage,encouraged,encouraging
encouragement: encouragement
endless: endless
endure: endured
enemy: enemy
enforce: enforce,enforcing
english: english
enormous: enormous
enormousness: enormousness
enter: enter,entered
enthusiastically: enthusiastically
entice: enticed
entreat: entreated
envelop: enveloped,enveloping
environment: environment
equal: equal
equally: equally
equilibrium: equilibrium
ere: ere
erect: erect
errand: errands
error: error
escape: escape,escaped
escort: escorted
especial: especial
essential: essential
estimation: estimation
eternal: eternal
eternity: eternity
evening: evening
event: events
evidence: evidenced
evident: evident
evil: evil
evince: evinced
examine: examined,examining
excel: excelled
excellent: excellent
exception: exception
excess: excess
excessive: excessive
exchange: exchanged
excited: excited
excitedly: excitedly
excitement: excitement
exclaim: exclaim
exclamation: exclamations
excrescence: excrescence
exertion: exertion
exhausted: exhausted
exhausting: exhausting
exist: exist
existence: existence
expect: expected,expecting
expectant: expectant
expediency: expediency
experience: experience,experienced
experienced: experienced
experiment: experiment
exploit: exploit
express: express,expressed,expressing
expression: expression
exquisite: exquisite
external: external
extinct: extinct
extract: extracted
extreme: extreme
extremity: extremity
exultantly: exultantly
eye: eye,eyes
eyed: eyed
fabled: fabled
faced: faced
fade: fading
fail: fail,failed,failing,fails
faint: faint,fainter,faintest
faintly: faintly
fair: fair
faith: faith
faithful: faithful
faithfully: faithfully
faithfulness: faithfulness
fall: fall,fallen,falling,fell
fallen: fallen
fame: fame
familiar: familiar
familiarity: familiarity
family: family
famine: famine
famished: famished
fan: fanned
fang: fang,fangs
fanged: fanged
fare: fare,fared
farth: farthest
fashion: fashion,fashions
fast: fast,faster
fasten: fastened
fastidiousness: fastidiousness
fat: fat
fatal: fatal
fateful: fateful
father: father,fathered,fathers
fatigue: fatigue
fault: fault
favor: favor,favored,favors
favorite: favorite
fawn: fawned
fear: fear,feared
fearful: fearful
fearfully: fearfully
fearlessly: fearlessly
feast: feasted
feat: feat
feather: feathered,feathers
feathered: feathered
feature: feature
feebly: feebly
feed: fed
feel: feel,feeling
feeling: feeling,feelings
feign: feigned
fellow: fellow,fellows
fellowship: fellowship
ferine: ferine
ferocious: ferocious
ferocity: ferocity
ferry: ferry
fervently: fervently
fetch: fetching
fever: fever
feverish: feverish
fibre: fibre
field: field
fiend: fiend
fierce: fierce,fiercer,fiercest
fiercely: fiercely
fierceness: fierceness
fight: fight,fighting,fights,fought
fighter: fighter,fighters
fighting: fighting
figure: figure
file: file,filing
final: final
finally: finally
fine: fine
finely: finely
fingers: fingers
finish: finish,finished,finishing
firewood: firewood
fish: fish,fished
fishing: fishing
fissure: fissures
fit: fit,fits
fivescore: fivescore
flag: flag,flagged
flame: flame,flames,flaming
flank: flank,flanks
flap: flap,flapped
flash: flash,flashed,flashing
flat: flat
flatten: flattened
fleck: flecked
flee: fled,flee,fleeing
fleeting: fleeting
flesh: flesh
flicker: flickered
flight: flight
fling: fling,flung
flint: flint
flirt: flirted
flit: flitted,flitting
flood: flood,flooded
floor: floor
flounder: flounder,floundered
flour: flour
flow: flowing,flows
flower: flower,flowers
flung: flung
flush: flush
flutter: fluttered
fly: flew,flies,flying
foam: foaming
foe: foe
fold: folds
follow: follow
folly: folly
food: food
fool: fool,fooled,fools
foot: feet,foot
footed: footed
footing: footing
footsore: footsore
footstep: footsteps
forbear: forbear
forbiddingly: forbiddingly
forbore: forbore
force: force,forced
fore: fore
forebear: forebears
forecast: forecast
forego: forego,forewent
foremost: foremost
forest: forest
forge: forged
forget: forgot,forgotten
forgetfulness: forgetfulness
forlorn: forlorn
form: form,formed,forming,forms
formidable: formidable
fortune: fortune,fortunes
foul: foul
fountain: fountain,fountains
fourteen: fourteen
fourth: fourth
fowl: fowl
fox: fox
frame: frame
francisco: francisco
frankly: frankly
frantically: frantically
fraught: fraught
freeze: freezing,froze,frozen
freight: freight,freighted
french: french
frenzy: frenzy
frequently: frequently
fresh: fresh,fresher
friction: friction
friend: friends
friendliness: friendliness
friendly: friendly
friendship: friendship
frighten: frighten
frightened: frightened
frightful: frightful
frightfully: frightfully
fringe: fringed
frisco: frisco
frost: frost
frosty: frosty
froth: frothing
frown: frowning
frozen: frozen
frustrate: frustrated
fund: fund
fundamental: fundamental
fungus: fungus
fur: fur,furred
furiously: furiously
furnish: furnished
furred: furred
furry: furry
fury: fury
fuss: fuss
futile: futile
futilely: futilely
future: future
gad: gad
gain: gain,gained,gaining
galvanized: galvanized
gambler: gamblers
gambling: gambling
game: game,games
gamekeeper: gamekeepers
gape: gaping
gar: gar
garb: garbs
gardener: gardener
garment: garments
gas: gas
gash: gashing
gasp: gasp,gasped,gasping
gather: gathered
gaunt: gaunt
gayety: gayety
gaze: gaze
gear: gear
gee: gee
generation: generation,generations
generous: generous
generously: generously
genial: genial
gentleman: gentlemen
gentler: gentler
genuine: genuine
geological: geological
ghost: ghost
ghostly: ghostly
giant: giant,giants
gif: gif
gigantic: gigantic
gingerly: gingerly
glacier: glaciers
glad: glad
gladden: gladdened
gladness: gladness
glamour: glamour
glance: glance,glanced
glazed: glazed
gleam: gleaming
gleefully: gleefully
glide: gliding
glimmer: glimmering
glimpse: glimpses
glitter: glitter
gloomy: gloomy
glorious: glorious
gloriously: gloriously
gloss: gloss
glow: glowed
gnat: gnats
goad: goaded
god: god
gold: gold
goose: goose
gorge: gorge
government: government
grade: grade,grades
grandson: grandsons
grape: grape
grapple: grappled,grappling
grasp: grasp
grass: grass,grasses
grate: grating
gratify: gratifying
gravel: gravel
gravelled: gravelled
gravely: gravely
graven: graven
gray: gray
greatly: greatly
greatness: greatness
green: green
greet: greeting
grief: grief
grievance: grievance
grievously: grievously
grimly: grimly
grin: grin,grinned,grinning
grind: ground
grip: grip,gripped
grit: grit
grittily: grittily
groan: groaned
groom: grooms
groove: grooves
grope: grope,groping
ground: ground
grow: grew,grow,growing,grown,grows
grower: growers
growl: growl,growled,growling,growls
grown: grown
growth: growth
grub: grub
gruffly: gruffly
grumble: grumbled,grumbling
grunt: grunted,grunting
guard: guard,guarded,guards
guardianship: guardianship
guide: guided,guiding
guilty: guilty
gulp: gulped
gun: gun
gust: gust
habit: habits
hail: hailed
hair: hair
haired: haired
hairless: hairless
hairy: hairy
hal: hal
halfway: halfway
halt: halt,halted
hammer: hammered
hand: hand,hands
handed: handed
handful: handful
handicap: handicap
handkerchief: handkerchief
handle: handle
hang: hang,hanging,hung
hankering: hankering
hans: hans
happen: happened,happening
happiness: happiness
hard: hard,harder,hardest
harden: hardened
hark: harked,harking
harm: harm
harness: harness,harnessed,harnesses,harnessing
harry: harrying
harsh: harsh
haste: haste
hasten: hastened
hat: hats
hatchet: hatchet
hate: hated
hatred: hatred
haul: hauled,hauling
hauling: hauling
haunch: haunches
haunt: haunted
haw: haw
head: head,headed,heading,heads
heal: healed
health: health
heap: heaped
hear: hear,heard,hearing
hearing: hearing
heart: heart,hearts
heartbreaking: heartbreaking
hearted: hearted
heartedly: heartedly
heat: heat
heaven: heaven
heavily: heavily
heavy: heavier,heavy
hedge: hedged
heed: heed
heel: heels
height: height
helper: helper,helpers
helpless: helpless
helplessly: helplessly
helplessness: helplessness
herald: heralded
herd: herd
heredity: heredity
heroic: heroic
hesitate: hesitate
hey: hey
hidden: hidden
hide: hidden,hide,hides,hiding
hiding: hiding
highly: highly
hike: hike
hill: hill
hind: hind
hinder: hinder
hint: hint
hip: hip,hips
history: history
hit: hitting
hitch: hitch,hitching
ho: ho
hoarse: hoarse
hoist: hoisted
hold: held,hold,holding,holds
hole: hole,holes
homesick: homesick
honestly: honestly
honk: honked
honor: honored
hoof: hoofs
hope: hope,hoped
hopeless: hopeless
horn: horns
horrible: horrible
horribly: horribly
horror: horror
horse: horse,horses
hostile: hostile
hot: hot
hotel: hotel
hour: hour,hours
house: house
housemaid: housemaids
howl: howl,howled,howling
hudson: hudson
huge: huge
hum: hum
human: humans
humor: humor
hundredweight: hundredweight
hunger: hunger
hungry: hungry
hunt: hunted,hunting,hunts
hunter: hunter,hunters
hunting: hunting
hurl: hurled,hurling
hurricane: hurricane
hurriedly: hurriedly
hurry: hurried,hurry
hurt: hurt,hurting
husband: husband
husky: huskies,husky
hydrophoby: hydrophoby
hysteria: hysteria
ice: ice
idea: idea
ideal: ideal
idle: idle
idol: idols
ignominiously: ignominiously
iii: iii
illumine: illumined
imagination: imagination
imagine: imagined
impact: impact
impartial: impartial
impatience: impatience
impeachment: impeachment
impede: impede
impel: impelled
impend: impending
impending: impending
imperative: imperative
imperiously: imperiously
imploringly: imploringly
importune: importuned
impossible: impossible
impress: impress
imprison: imprisoned
impulse: impulse,impulses
inability: inability
inarticulate: inarticulate
incarnate: incarnate
incarnation: incarnation
inch: inch,inches
incident: incident
incidentally: incidentally
incline: inclined
include: included,including
incoherent: incoherent
incompetence: incompetence
incomprehensible: incomprehensible
inconceivably: inconceivably
increase: increase,increased
incurious: incurious
indefinite: indefinite
indeterminate: indeterminate
indian: indian,indians
indigestible: indigestible
indiscreet: indiscreet
indiscretion: indiscretion
indispensable: indispensable
inevitable: inevitable
inevitably: inevitably
inexorable: inexorable
infinitely: infinitely
infinitesimal: infinitesimal
inflammation: inflammation
influence: influence
infrequent: infrequent
inherit: inherited
injure: injured
inkling: inkling
innocuously: innocuously
innutritious: innutritious
inoffensive: inoffensive
insensible: insensible
inseparable: inseparable
insides: insides
insidious: insidious
insist: insist,insisted
instance: instance,instances
instant: instant
instantaneous: instantaneous
instinct: instinct,instincts
instinctively: instinctively
instruction: instruction
insubordination: insubordination
insular: insular
intelligence: intelligence
intend: intended
intense: intense
intensely: intensely
intent: intent
intention: intention,intentions
intentness: intentness
interfere: interfere,interfered
interlace: interlacing
internal: internal
interrupt: interrupt
interval: interval,intervals
intimacy: intimacy
intimate: intimate,intimated
intolerable: intolerable
introduction: introduction
introspective: introspective
invade: invaded
invader: invaders
invest: invested
investigate: investigate
invitation: invitations
involuntarily: involuntarily
irish: irish
iron: iron
irresistible: irresistible
irresolutely: irresolutely
irritability: irritability
irritable: irritable
irritate: irritating
irritating: irritating
island: island
issue: issued
iv: iv
jack: jack
jaded: jaded
jagged: jagged
jam: jam
jangle: jangling
japanese: japanese
jar: jarring
jaw: jaw,jaws
jealousy: jealousy
jerk: jerk,jerked,jerks
jim: jim
jingle: jingling
jingo: jingo
job: job
joe: joe
john: john
joint: joint
jolt: jolted
journey: journey
journeyer: journeyers
joy: joy
joyful: joyful
joyfully: joyfully
jubilant: jubilant
judge: judge
judgment: judgment
jugular: jugular
juice: juices
jump: jump
justice: justice
jut: jutted
keel: keel
keen: keen,keenest
keenly: keenly
keeper: keeper
kennel: kennel,kennels
key: key,keyed
kick: kick
kidnap: kidnapped
kidnapper: kidnapper
kill: kill,killed,killing
killer: killer
kin: kin
kindliness: kindliness
kindly: kindly
kindred: kindred
king: king
kiss: kissed
kitten: kittens
klondike: klondike
knee: knee,knees
kneel: knelt
knife: knife
knit: knitted
knock: knock,knocked,knocking
knotting: knotting
knotty: knotty
knowledge: knowledge
knuckle: knuckles
knuckled: knuckled
lacerate: lacerated
lack: lack
lak: lak
lake: lake,lakes
land: land,landed
landing: landing
lap: lap,lapping
lapse: lapsed
largeness: largeness
las: las
lash: lash
lashing: lashing,lashings
late: late
latent: latent
laugh: laugh,laughed,laughing
launch: launched
law: law
lawgiver: lawgiver
lawn: lawns
lay: laid,lay,lays
lazily: lazily
lazy: lazy
le: le
lead: lead,leading,led
leaden: leaden
leader: leader,leaders
leadership: leadership
leaf: leaf,leaves
lean: lean
leap: leap,leaped,leaping
learn: learn,learned,learning
leash: leashed
leather: leather
leathery: leathery
leave: leave,leaving,left
ledge: ledge
leeward: leeward
left: left
leg: leg,legs
legged: legged
legion: legion
lek: leks
leks: leks
lend: lend
lesson: lesson,lessoned
letter: letter,letters
level: level,levels
library: library
lick: lick,licked,licking
lie: lie,lying
life: life,lives
lifeless: lifeless
lifetime: lifetime
lift: lift,lifted,lifting
light: light,lighter,lighting,lights,lit
lighten: lightened
lightish: lightish
lightly: lightly
lightning: lightning
limb: limb
limitless: limitless
limp: limp,limped,limping
limping: limping
limply: limply
linger: linger,lingered,lingering
link: linked
lionlike: lionlike
lip: lip,lips
listen: listen,listened,listening
listening: listening
literally: literally
live: live,lived,living
lively: lively
living: living
load: load,loaded
loaf: loaf
loafing: loafing
loath: loath
loathsome: loathsome
locate: locate
lock: lock
locomotive: locomotive,locomotives
lodge: lodge
log: log,logs
logs: logs
loll: lolling
lolling: lolling
london: london
lonely: lonely
longing: longing,longings
loom: loom
loose: loose,loosed
loosely: loosely
loosen: loosen
loot: looted
lope: lope,loped
lord: lord
lose: lost
loser: loser
loss: loss,losses
lot: lot
lottery: lottery
loud: louder
loudly: loudly
love: love,loved
lovingly: lovingly
luck: luck
lug: lugged
lugubriously: lugubriously
lunge: lunge
lurch: lurched
lure: lures,luring
luringly: luringly
lurk: lurking
lust: lust
lusty: lusty
machine: machine
mad: mad
madly: madly
madness: madness
magnetic: magnetic
magnetism: magnetism
magnificent: magnificent
mail: mail
main: main
maintain: maintaining
majority: majority
malicious: malicious
malignant: malignant
malinger: malinger
malingerer: malingerer
manage: manage,managed
mandate: mandate
mane: mane
mangled: mangled
manhood: manhood
manifest: manifested
manifestly: manifestly
manila: manila
mankind: mankind
manner: manner
manuel: manuel
marauder: marauders
march: march,marched,marching
mark: marked,marks
marsh: marsh
marvellous: marvellous
mass: mass
massive: massive
master: master,mastered,masters
masterful: masterful
mastership: mastership
mastery: mastery
mastodon: mastodon
mat: matted
match: match,matching
mate: mates
matted: matted
matter: matter,matters
mayo: mayo
meal: meal
meaning: meaning
measure: measured
meat: meat
meditate: meditated
