abandon: abandoned
coincidence: coincidence
cold: cold,colder
coldly: coldly
coldness: coldness
colin: colin
collaboration: collaboration
collapse: collapsed
colleague: colleague,colleagues
collect: collect,collecting
collected: collected
collection: collection
college: college
colleges: colleges
collier: colliers
colonel: colonel
colour: colour,coloured,colours
coloured: coloured
column: columns
combat: combat
combative: combative
combination: combination
combine: combine
combustible: combustibles
comedy: comedy
comfort: comfort
comfortable: comfortable
comfortably: comfortably
comicality: comicality
coming: comings
command: command,commanded,commanding,commands
commander: commander
commanding: commanding
commandment: commandments
comme: comme
commemorate: commemorating
commence: commenced
commend: commend
comment: comment,commented
commentary: commentary
commerce: commerce
commercial: commercial
commission: commission
commissioner: commissioner
commit: committed
committed: committed
committee: committee
common: common
commonly: commonly
commotion: commotion
communicate: communicated
communication: communication
communion: communion
community: community
companion: companion,companions
company: company
comparable: comparable
comparative: comparative
comparatively: comparatively
compare: compare,compared
compartment: compartment
compatible: compatible
compensate: compensate
competence: competence
competency: competency
compilation: compilation
complain: complain,complaining
complaint: complaint
complement: complement
complete: complete,completed
completely: completely
complexion: complexions
compliance: compliance
complicated: complicated
complication: complication
compliment: compliment,compliments
comply: comply,complying
compose: composed,composing
compound: compound
comprehensive: comprehensive
compress: compressed
comprise: comprise
compromise: compromised
comrade: comrades
conceal: conceal
concealment: concealment
conceit: conceit
conceive: conceive,conceived,conceiving
concept: concept
conception: conception
concern: concern
concert: concert
conciliatory: conciliatory
conclude: concluded,concludes
conclusion: conclusion
concrete: concrete
condemn: condemn,condemned
condensation: condensation
condition: condition,conditions
conduct: conduct
conductor: conductor
confession: confession
confidence: confidence,confidences
confidential: confidential
confine: confined
confirm: confirmed
confirmation: confirmation
conflict: conflicting
conform: conforming
conformer: conformers
conformity: conformity
confound: confound,confounded
confused: confused
confusion: confusion
congenial: congenial
congress: congress
congreve: congreve
connect: connected
connection: connection
connoisseur: connoisseur
connu: connu
conquer: conquer,conquered
conqueror: conqueror
conscience: conscience
conscious: conscious
consciousness: consciousness
consecration: consecration
consent: consent
consequence: consequence
consequential: consequential
considerable: considerable
consideration: consideration,considerations
consist: consisted,consisting,consists
consistent: consistent
consolation: consolation
console: console
consort: consort
conspicuously: conspicuously
conspiracy: conspiracy
constable: constable
constant: constant
constantly: constantly
constitute: constituting
constitution: constitution
constrain: constrain,constrained
construction: construction
constructive: constructive
consul: consul,consuls
consult: consulted,consulting
consultation: consultation
consulting: consulting
consume: consumed
contact: contact,contacts
contaminate: contaminated
contaminated: contaminated
contamination: contamination
contemned: contemned
contemner: contemner
contemplate: contemplated,contemplates
contemplation: contemplation
contemporary: contemporaries,contemporary
contempt: contempt
content: content
contentedly: contentedly
contentment: contentment
contents: contents
continental: continental
continual: continual
continually: continually
continuation: continuation
continue: continue,continued,continues,continuing
continuer: continuer
contract: contract
contradictory: contradictory
contrary: contrary
contrast: contrast,contrasting,contrasts
contribute: contribute,contributed
contribution: contributions
contrivance: contrivance
contrive: contrive
contrived: contrived
convenience: convenience
convenient: convenient
convent: convent
conventional: conventional
conversation: conversation,conversations
converse: conversing
convert: convert
convey: conveyed,conveying,conveys
convince: convinced,convincing
convinced: convinced
convulsion: convulsion
coo: coo
cook: cook,cooked,cooking,cooks
cookery: cookery
cool: cool
coop: coops
copper: copper
coppery: coppery
copying: copying
copyright: copyright
coral: coral,corals
coriolanus: coriolanus
cork: cork
cornelia: cornelia
corner: corner
cornet: cornet
corporation: corporation
correct: correct,corrected,correcting
correction: correction
correctly: correctly
corrector: corrector
correspond: correspond,corresponded,corresponds
correspondence: correspondence
correspondent: correspondent
corrupt: corrupt
corruption: corruption
cory: cory
cost: cost,costs
costume: costumed,costumes
costumer: costumer
coterie: coterie,coteries
cottage: cottage
cotton: cotton
cough: cough
council: council
counsel: counsel,counselled
count: count,counted
countenance: countenance
country: countries,country
county: county
couple: couple,coupled
courage: courage
court: court,courted
courteous: courteous
courtesy: courtesy
courtly: courtly
courtship: courtship
cousin: cousin
cove: cove
covenant: covenant
cover: covered
covering: covering
covet: coveted
cow: cow
coward: coward
cowardly: cowardly
cradle: cradle
craft: craft
crag: crags
cram: cram
crane: crane
crank: crank
crash: crash
craze: craze
crazy: crazy
create: create,created,creating
creation: creation,creations
creature: creature,creatures
credit: credit,credited
creditably: creditably
creed: creed
creep: crept
crest: crest
crete: crete
crevice: crevices
crew: crew
crib: cribs
cricket: cricket
crimean: crimean
crisis: crisis
critic: critic
critical: critical
criticism: criticism
croon: crooning
croquet: croquet
cross: cross,crossed,crossing
crossing: crossing
crouch: crouching
crow: crowing
crowd: crowd,crowds
crowded: crowded
crown: crown,crowned
crowning: crowning
crucial: crucial
crude: crude
cruel: cruel
cruelly: cruelly
cruelty: cruelties,cruelty
cruise: cruise,cruises,cruising
crush: crushed,crushing
cub: cubs
cuban: cuban
culprit: culprits
cultivate: cultivated
cumberland: cumberland
cup: cups
cupidity: cupidity
cur: cur,curs
cure: cure,cured
curiosity: curiosity
curiously: curiously
curlew: curlews
curling: curling
current: current
curriculum: curriculum
curtain: curtain
custom: custom
customary: customary
custos: custos
cut: cut,cutting
cutter: cutter
cutting: cuttings
cyrus: cyrus
cythera: cythera
da: da
dabble: dabble
daguerreotype: daguerreotype
daily: daily
dainty: dainty
daisy: daisies
damage: damage
damaged: damaged
damages: damages
dame: dame
damp: damp
damsel: damsel
dance: dance,danced,dances,dancing
dancing: dancing
danger: danger
dangerous: dangerous
dangle: dangling
dark: dark,darker
darken: darken
darkness: darkness
darling: darling
darts: darts
darwin: darwin
datum: data
daughter: daughter,daughters
dauntlessly: dauntlessly
david: david
dawn: dawn
day: day,days
daybreak: daybreak
daylight: daylight
dead: dead
deadly: deadly
deaf: deaf
deal: deal,dealt
dealings: dealings
dean: dean
death: death,deaths
debility: debility
debt: debt,debts
decalogue: decalogue
decay: decay
decayed: decayed
deceive: deceived
deceiver: deceiver
december: december
decent: decent
decide: decide,decided,deciding
decidedly: decidedly
decisive: decisive
deck: deck,decks
declaration: declaration
declare: declare,declared
decline: declining
decorator: decorator
decoy: decoyed
decree: decree
dedicate: dedicated
deduce: deduce
deductible: deductible
deduction: deductions
deep: deep,deeper
deepen: deepen
deeply: deeply
deer: deer
defeat: defeat
defect: defect,defects
defective: defective
defence: defence
defend: defend,defended
deficiency: deficiency
deficit: deficit
define: defined
definite: definite
definition: definition
deform: deformed
degree: degree,degrees
deification: deification
deign: deigned
dejection: dejection
delay: delay,delayed
delete: deleted
deletion: deletions
deliberate: deliberate
delicacy: delicacy
delicate: delicate
delight: delight,delighted,delighting,delights
delighted: delighted
delightedly: delightedly
delightful: delightful
deliver: deliver,delivered
deliverance: deliverance
demand: demand,demanded
demander: demander
demeanour: demeanour
demolish: demolish
demonstrate: demonstrate,demonstrated
demonstrative: demonstrative
denis: denis
deny: denied,deny
depart: depart
department: department
departure: departure
depend: depended,depends
depict: depicts
deplore: deplored
deposit: deposit
depress: depressing
deprive: deprived
depth: depth
depths: depths
deputy: deputy
derivative: derivative
derive: derive,derived
derogation: derogation
des: des
descend: descended
descendant: descendant,descendants
descent: descent
description: description,descriptions
descriptive: descriptive
desdemona: desdemona
desert: desert
deserted: deserted
deserve: deserve,deserves
design: design,designed
designate: designates
desirable: desirable
desire: desire,desired,desires
desisted: desisted
desolation: desolation,desolations
despair: despair
despatch: despatch
desperate: desperate
desperately: desperately
desperation: desperation
despise: despised
destine: destined
destiny: destiny
destitute: destitute
destitution: destitution
destroy: destroy
detach: detach
detachment: detachment
detain: detained
detect: detecting
deterioration: deterioration
determination: determination
determine: determine,determined
detestable: detestable
deux: deux
develop: developed
device: device
devil: devil
devote: devote,devoted
devoted: devoted
devotedly: devotedly
devotion: devotion
devotions: devotions
di: dis
diagram: diagram,diagrams
diagrammatically: diagrammatically
dialect: dialect
dialogue: dialogue
diameter: diameter
diary: diaries,diary
dickens: dickens
dictate: dictates
dictation: dictation
dictionary: dictionaries
didactic: didactic
die: die,died,dying
dielectric: dielectric
difference: difference,differences
difficult: difficult
difficulties: difficulties
difficulty: difficulties,difficulty
diffidence: diffidence
dig: dig
digger: diggers
dignified: dignified
dignity: dignity
dim: dim
diminish: diminish,diminishing
diminutive: diminutive
dine: dine,dined,dines
dingy: dingy
dining: dining
dinner: dinner,dinners
dint: dint
dip: dipped,dipping
diphtheria: diphtheria
dire: dire
direct: direct,directed,directing
direction: direction,directions
director: director
dirt: dirt
dirty: dirtier,dirty
dis: dis
disable: disabled
disadvantage: disadvantage
disappear: disappeared
disappoint: disappoint,disappointed
disappointed: disappointed
disappointing: disappointing
disappointment: disappointment,disappointments
disastrous: disastrous
discard: discarded
discern: discern
discernment: discernment
discharge: discharge,discharged,discharges,discharging
disciple: disciple
disciplinarian: disciplinarian
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discomfited: discomfited
discontent: discontented
discontentment: discontentment
discontinue: discontinue
discordant: discordant
discourage: discourage
discourse: discourse
discover: discover,discovered
discovery: discovery
discreet: discreet
discretion: discretion
discrimination: discrimination
discuss: discuss,discussed
discussion: discussion,discussions
disease: disease,diseases
disengage: disengage
disgrace: disgrace,disgraced
disgraceful: disgraceful
disgust: disgust
dish: dish
dishonesty: dishonesty
disinterestedness: disinterestedness
disk: disk
dislike: disliked,dislikes
dismay: dismay
dismiss: dismissed
disobey: disobey
display: display,displayed,displaying
displease: displeased
dispose: disposed
disposition: disposition
disputant: disputant,disputants
disputation: disputation
disputatious: disputatious
disputatiousness: disputatiousness
dispute: dispute
dissatisfied: dissatisfied
disseminate: disseminating
dissension: dissensions
dissimulation: dissimulation
dissolve: dissolved
dissuasive: dissuasive
distance: distance
distant: distant
distasted: distasted
distasteful: distasteful
distinction: distinction,distinctions
distinguish: distinguish,distinguished
distinguished: distinguished
distinguishedly: distinguishedly
distracted: distracted
distress: distress
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district,districts
disturb: disturb,disturbed
disturbance: disturbance
dit: dit
diversion: diversion
divide: dividing
divided: divided
divorce: divorced
dock: dock,docks
dockside: dockside
doctor: doctor
doctrine: doctrine
document: document
dog: dog,dogs
dogger: dogger
dogma: dogma,dogmas
dogmatist: dogmatist
dollar: dollars
domain: domain
dome: dome
domestic: domestic
domination: domination
donate: donate
donation: donation,donations
donna: donna
donne: donne
donor: donors
doodah: doodah
doom: doomed
door: door,doors
doric: doric
dose: dose
dot: dot
double: double,doubling
doubt: doubt,doubts
doubtless: doubtless
douglas: douglas
dove: doves
download: downloading
doze: dozing
dozen: dozen,dozens
draft: draft,drafts
drag: dragging,drags
dragoon: dragoons
drain: drain,drains
drainage: drainage
drama: drama
dramatic: dramatic
drape: draped
drastic: drastic
draught: draught
draughtsman: draughtsman
draw: draw,drawing,drawn,drew
drawer: drawers
drawing: drawing,drawings
dreadful: dreadful
dream: dreamed,dreams
dreary: dreary
dredge: dredge
dredging: dredging
drench: drenched
dress: dress,dressed,dresses
dressed: dressed
drift: drift
drink: drank,drink
drinking: drinking
dripping: dripping
drive: driven,driving,drove
droit: droit
droll: drollest
drollery: drollery
drolly: drolly
droop: droop
drop: drop,dropped
drudge: drudge
drudgery: drudgery
drum: drum,drums
drunk: drunk
drunken: drunken
dry: dry
du: du
dublin: dublin
duchess: duchess
duck: ducking,ducks
duke: duke
dulcinea: dulcinea
dull: dull,dulled
dulness: dulness
dumas: dumas
dumb: dumb
duncan: duncan
dunce: dunce,dunces
dundee: dundee
dung: dung
dura: dura
durability: durability
durable: durable
dust: dust
dusty: dusty
duty: duties,duty
dwarf: dwarf
dwell: dwell,dwelling,dwelt
dweller: dwellers
dwelling: dwelling,dwellings
dying: dying
dynamics: dynamics
dynes: dynes
eager: eager
eagerly: eagerly
eagerness: eagerness
eagle: eagles
ear: ear,ears
earlier: earlier
earn: earned
earnest: earnest
earnestness: earnestness
earth: earth
earthenware: earthenware
earthly: earthly
earthquake: earthquake
ease: ease
easily: easily
east: east
eastern: eastern
easy: easier,easy
eat: eat,eaten
eater: eaters
eccentricity: eccentricity
echo: echo
economical: economical
economy: economy
ecstasy: ecstasy
edge: edge,edges
edinburgh: edinburgh
edison: edison
edit: edited
edition: edition,editions
editor: editor
editorial: editorial
edmond: edmond
educate: educate,educated
education: education
educational: educational
edward: edward
effective: effective
efficiency: efficiency
effort: effort,efforts
egg: egg,eggs
egoism: egoism
eighteen: eighteen
eighth: eighth
elbow: elbow
eld: eldest
elder: elders
elect: elect
electric: electric
electrical: electrical
electrician: electrician,electricians
electricity: electricity
electromagnetism: electromagnetism
electronic: electronic
electronically: electronically
electrostatic: electrostatics
electrostatical: electrostatical
elegance: elegance
elegant: elegant
element: element,elements
elementary: elementary
elephant: elephant
elevation: elevation
eligible: eligible
eliot: eliot
eliza: eliza
elizabeth: elizabeth
elle: elle
elocution: elocution
eloquence: eloquence
eloquent: eloquent
elusive: elusive
email: email
emanate: emanated
