abortion: abortions
greatly: greatly
grievance: grievance
grievous: grievous
groat: groat
grossly: grossly
grow: grow,grown
growth: growth
guest: guests
handicraft: handicraft
happen: happened
happily: happily
happiness: happiness
head: head
healthy: healthy
heart: heart
hearty: hearty
heel: heels
helpless: helpless
highly: highly
hind: hind
hire: hired
hitherto: hitherto
honest: honest
honesty: honesty
hope: hope,hoping
hopeful: hopeful
horrid: horrid
hot: hot
house: house,houses
humane: humane
humble: humble
humbly: humbly
idle: idle
idleness: idleness
imperial: imperial
importune: importuning
impossibility: impossibility
impossible: impossible
improbable: improbable
improvement: improvement
inclemency: inclemencies
include: included
incumbrance: incumbrance
incur: incur
individual: individual
inducement: inducement
industry: industry
inevitable: inevitable
infant: infant,infants
inform: informed
inhabitant: inhabitants
inhuman: inhuman
innocent: innocent
instance: instance,instances
instrument: instruments
intend: intended
intention: intention
introduce: introduced,introducing
invite: invited
ireland: ireland
island: island
jews: jews
joint: joints
jonathan: jonathan
justify: justify
justly: justly
kick: kick
kingdom: kingdom
knife: knife
knowing: knowing
knowledge: knowledge
labour: labour
labourer: labourers
lad: lads
lady: ladies
land: land
landlord: landlord,landlords
laplanders: laplanders
lastly: lastly
late: late
law: law,laws
lawful: lawful
lean: lean
learn: learn,learning
leave: leave
lent: lent
lessen: lessen,lessened
lessening: lessening
liable: liable
life: life,lives
list: list
livelihood: livelihood
london: london
lord: lord
loss: loss
love: love
lover: lover
luxury: luxury
magnificence: magnificence
maiden: maidens
maim: maimed
maintain: maintain,maintaining
majesty: majesty
male: male,males
mandarin: mandarins
manner: manner
manufacture: manufacture
march: march
mare: mares
market: market,markets
marriage: marriage
married: married
material: materials
matter: matter
maturely: maturely
mayor: mayor
measure: measure
meat: meat
medium: medium
meeting: meetings
melancholy: melancholy
merchant: merchants
mercy: mercy
merry: merry
method: method,methods
milk: milk
minister: minister
miscarriage: miscarriage
miscarry: miscarry
misery: miseries
misfortune: misfortunes
mistaken: mistaken
modest: modest
moment: moment
money: money
month: month,months
mortal: mortals
mother: mother,mothers
motive: motive
mouth: mouths
murder: murdering
nation: nation,nations
native: native
neat: neat
nourishing: nourishing
nourishment: nourishment
nurse: nursed,nursing
nutriment: nutriments
nutritive: nutritive
object: object
objection: objection
oblige: oblige
observe: observe,observed
obvious: obvious
occupation: occupation
offer: offer,offered,offering
omit: omit
opinion: opinion
oppression: oppression
overrun: overrun
overture: overture
pain: pain
papists: papists
parent: parents
parish: parish
parsimony: parsimony
partly: partly
party: parties
passenger: passenger
patriot: patriot
pay: pay,paying
penalty: penalties
penny: penny
pepper: pepper
perfection: perfection
perform: perform
perpetual: perpetual
person: people,person,persons
personal: personal
physician: physician
pick: pick
piece: piece
pig: pigs
pine: pine
pity: pity
playhouse: playhouse
pleased: pleased
pleasure: pleasure
plentiful: plentiful
plentifully: plentifully
plump: plump
poison: poison
politician: politicians
poor: poor,poorer
popish: popish
popular: popular
pound: pound,pounds
power: power
practice: practice
pregnancy: pregnancy
prescribe: prescribe
preserver: preserver
pretender: pretender
prevent: prevent,preventing
price: price
pride: pride
prime: prime
principal: principal
probationer: probationers
procure: procure
prodigious: prodigious
produce: produces
profess: profess,professed
profession: profession
proficiency: proficiency
profit: profit
project: project
projector: projectors
promote: promote
propagation: propagation
proper: proper
properly: properly
proposal: proposal
propose: propose,proposed
prospect: prospect
protest: protested
protestant: protestants
provide: provide,providing
prudence: prudence
prudent: prudent
purpose: purpose
quality: quality
quarter: quarter
question: question
quick: quickest
quit: quitting
rag: rags
raiment: raiment
raise: raised
reader: reader
ready: ready
real: real
rear: reared
reason: reason
reasonable: reasonable
receipt: receipts
reckon: reckon,reckoned,reckoning
recommend: recommend
refinement: refinement
regard: regarded
reject: reject,rejecting
relation: relations
relieve: relieving
remain: remain,remaining
remedy: remedy
render: render
renowned: renowned
rent: rent
repeat: repeat
repine: repine
require: require
resolution: resolution
rest: rest
return: return
reward: rewards
rich: rich
rid: rid
road: roads
roast: roasting
roasted: roasted
roman: roman
rot: rotting
rudiment: rudiments
sacrifice: sacrificing
sale: sale
saleable: saleable
salt: salt
savage: savage,savages
scene: scene
scheme: scheme,schemes
schoolboy: schoolboys
scrap: scraps
scrupulous: scrupulous
season: season,seasoned
seize: seized
seldom: seldom
sell: sell,sold
sentiment: sentiments
serve: serve
service: service
set: set
settlement: settlement
sex: sex,sexes
shambles: shambles
shame: shame
sheep: sheep
shilling: shillings
shopkeeper: shopkeepers
sincerity: sincerity
single: single
situation: situation
sixthly: sixthly
skilful: skilful
skill: skill
skin: skin
solar: solar
solid: solid
sort: sort
soul: souls
sound: sound
sow: sows
spain: spain
spirit: spirit
squire: squire
stand: stand
start: start
starve: starve
statue: statue
stay: stay
steal: stealing
sterling: sterling
stewed: stewed
stir: stir
stock: stock
street: streets
strength: strength
strong: strongest
studious: studious
subject: subject
submission: submission
subsistence: subsistence
subtract: subtract
success: success
suck: suck
sufficient: sufficient
summer: summer
supply: supplied
support: support,supported
suppose: supposing
sustenance: sustenance
swift: swift
swine: swine
table: table,tables
talk: talk
taste: taste
tavern: taverns
tax: taxing
teach: teaching
tear: tears
temperance: temperance
tenant: tenants
tender: tender
tenderness: tenderness
thief: thieves
thirdly: thirdly
thrifty: thrifty
time: time,times
tithe: tithes
title: title
tolerably: tolerably
tough: tough
towardly: towardly
town: town
trade: trade
travel: travel
trouble: trouble
true: true
understand: understands
unite: unite
unjustly: unjustly
unknown: unknown
urge: urged
useless: useless
usual: usual
utterly: utterly
vain: vain
valuable: valuable
vanity: vanity
vast: vast
vein: vein
venison: venison
vermin: vermin
vintner: vintners
violently: violently
virtue: virtues
visionary: visionary
voluntary: voluntary
walk: walk
weary: wearied
weather: weather
wedding: weddings
weigh: weigh,weighed
whereof: whereof
wholesome: wholesome
wholly: wholly
wife: wife,wives
winter: winter
wise: wise
woman: women
worthy: worthy
yearling: yearling
yearly: yearly
yield: yield
