abandon: abandon,abandoned,abandoning
bacon: bacon
bad: worse,worst
badge: badge
badly: badly
bag: bag,bags
baggage: baggage
bailey: bailey
bake: bake,baked
baked: baked
bakery: bakery
baking: baking
balance: balance
baldwin: baldwin
baldy: baldy
ball: balls
baltimore: baltimore
band: band,bands
bang: bang
bank: bank,banked,banks
banner: banners
bar: bar,barred
barbette: barbette
bare: bare
barlow: barlow
baron: baron
barracks: barracks
barrel: barrel,barrels
barreled: barreled
barricade: barricade
barrington: barrington
barter: barter
bartering: bartering
bartlett: bartlett
bastion: bastions
bates: bates
baton: baton
battalion: battalion
batter: battered
batteries: batteries
battery: batteries,battery
battle: battle,battles
battledore: battledore
battlefield: battlefield
bay: bay
bayonet: bayonet,bayonets
beach: beach
bean: bean,beans
bear: bear,bearing,bore,born,borne
bearing: bearing
beat: beaten,beating
beaufort: beaufort
beautiful: beautiful
beautifully: beautifully
beauty: beauty
bed: bed
bedford: bedford
beef: beef
befall: befell
beg: begging
bela: bela
belgian: belgian
belief: belief
belle: belle
belong: belonged,belonging
beloved: beloved
belt: belts
bench: benches
bend: bend
benjamin: benjamin
bermuda: bermuda
bewilder: bewildered
bewilderment: bewilderment
bid: bade
bind: bound
bird: bird
birthday: birthday
bit: bit,bits
bivouac: bivouac,bivouacked
black: black,blacked
blackberry: blackberries
blaine: blaine
blake: blake
blandly: blandly
blank: blank,blanks
blanket: blanket,blankets
blast: blast
blaze: blazing
bleed: bled
blockade: blockade
blood: blood
bloodless: bloodless
bloody: bloody
bloom: blooming
blow: blow,blowing
blue: blue
bluff: bluff
bluffs: bluffs
blunt: blunt
board: board,boards
boat: boat,boats
bodied: bodied
body: bodies,body
boil: boil,boiled
boiling: boiling
bold: bold
boldness: boldness
bolivar: bolivar
bomb: bomb
bombard: bombarding
bombardment: bombardment,bombardments
bombproof: bombproof
bone: bones
book: book
booming: booming
boot: boots
border: bordered,bordering
bore: bore
borrow: borrow,borrowed
boston: boston
bother: bother
bottle: bottling
bottoms: bottoms
boundary: boundary
bow: bowed
bowl: bowl
box: box,boxes
boy: boy,boys
boys: boys
bradford: bradford
bramble: brambles
branch: branch,branches
brand: brands
brandish: brandishing
brass: brass
brave: brave
bravery: bravery
bread: bread
break: break,breaking,broke,broken
breakfast: breakfast,breakfasts
breaking: breaking
breast: breast
breath: breath
breathe: breathed
breed: breed
breeding: breeding
breeze: breeze
brevet: brevet,breveted
bridge: bridge,bridges
bridgeable: bridgeable
bridgeport: bridgeport
bridges: bridges
brigade: brigade,brigaded,brigades
brigadier: brigadier
bright: bright
brilliancy: brilliancy
brilliant: brilliant
bring: bring,bringing,brought
broad: broad
broadway: broadway
broil: broiled
broken: broken
brook: brook
brooks: brooks
brown: brown
bruce: bruce
bucolic: bucolic
budge: budge
bugle: bugle
build: building,built
building: building,buildings
bullet: bullet,bullets
bumpkin: bumpkins
bunk: bunks
burgess: burgess
burial: burial
burke: burke
burling: burling
burlington: burlington
burn: burn,burned,burning,burnt
burning: burning
burns: burns
burnside: burnside
burrow: burrowing,burrows
burst: burst,bursting
bursting: bursting
bury: buried,burying
bush: bushes
busily: busily
business: business
busy: busy
butler: butler
butt: butts
butter: butter
button: buttoned
byron: byron
cain: cain
caisson: caisson,caissons
cake: cakes
cal: cal
calais: calais
calculate: calculated
california: california
calling: calling
calm: calm
camp: camp,camped,camping,camps
campaign: campaign
campbell: campbell
canada: canada
canadian: canadian
canister: canister
cannister: cannister
cannon: cannon
cannoneer: cannoneers
canteen: canteens
canvas: canvas
cap: cap,caps
capacity: capacity
cape: cape
capitol: capitol
captain: captain,captains
captaincy: captaincy
captains: captains
captor: captor
capture: capture,captured,capturing
car: cars
carbine: carbine
card: cards
care: care,caring
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
caribou: caribou
carmel: carmel
carolina: carolina
carolinian: carolinian
carriage: carriage,carriages
carroll: carroll
carry: carried,carry,carrying
carrying: carrying
carson: carson
cart: cart
cartridge: cartridge,cartridges
carver: carver
casey: casey
cast: cast
casualty: casualty
catch: catch,catching,caught
cattle: cattle
caution: caution,cautioned
cautious: cautious
cavalry: cavalry
cavalryman: cavalryman,cavalrymen
cease: cease,ceased
celebrated: celebrated
cemetery: cemetery
cent: cents
center: center,centered,centering
central: central
centre: centre
certainty: certainty
cessation: cessation
chafe: chafed
chain: chains
chamberlain: chamberlain
chance: chance,chances
change: change,changed,changing
channel: channel
chaotic: chaotic
chapin: chapin
chaplain: chaplain
character: character
characteristic: characteristic
charge: charge,charged,charging
charging: charging
charles: charles
charleston: charleston
charm: charms
charred: charred
chase: chase,chased
chasm: chasms
check: check,checked
checkmate: checkmate
cheek: cheek
cheer: cheer,cheered,cheers
cheerfully: cheerfully
cheese: cheese
chesapeake: chesapeake
chester: chester
chickahominy: chickahominy
chief: chief
chiefly: chiefly
chieftain: chieftains
child: children
chilled: chilled
chimney: chimneys
china: china
choice: choice
choose: chose,chosen
chord: chord
chorus: chorus
christ: christ
christen: christened
christmas: christmas
chronicler: chronicler
church: church
cider: cider
circuit: circuit
circuitous: circuitous
circular: circular
circumstance: circumstances
citizen: citizen
city: city
civilian: civilian
clad: clad
claim: claim,claims
clamoring: clamoring
clank: clanking
clark: clark
clay: clay
clean: cleaned
cleaning: cleaning
cleanliness: cleanliness
cleared: cleared
clearness: clearness
climate: climate
climb: climb
climbing: climbing
clinch: clinch
cline: cline
clinking: clinking
close: close,closed,closing
closely: closely
closing: closing
clothe: clothed
cloud: cloud
cloudless: cloudless
clover: clover
cluster: clustering
clutch: clutched
coadjutor: coadjutor
coast: coast
coat: coated
cock: cocking
cockade: cockade
coffee: coffee
coincide: coinciding
cold: cold
college: college
collide: collided
collins: collins
collision: collision
colonel: colonel
color: color,colored,colors
colored: colored
columbia: columbia
column: column,columns
combat: combat
combine: combine,combined
combined: combined
combustible: combustibles
comedy: comedy
comfort: comfort
comfortable: comfortable
comfortably: comfortably
coming: coming
command: command,commanded,commanding,commands
commanded: commanded
commander: commander,commanders
commanding: commanding
commence: commenced,commencing
commend: commended
commissary: commissary
commission: commission,commissioned
commodious: commodious
common: common
commotion: commotion
communication: communication,communications
community: community
compact: compact
company: companies,company
comparative: comparative
comparatively: comparatively
comparison: comparison
compel: compel,compelled
compiler: compiler
complete: complete,completed
completely: completely
compliment: complimented
complimentary: complimentary
compose: composed
composition: composition
comprise: comprising
computation: computation
comrade: comrade,comrades
coms: coms
concentrate: concentrate,concentrating
conclude: concluded
condense: condensed
condition: condition
conducive: conducive
confederate: confederate,confederates
confederates: confederates
confer: conferring
confess: confess
confidence: confidence
confident: confident
confine: confined
conform: conforming
confront: confronted
confused: confused
confusion: confusion
conglomerate: conglomerate
congratulation: congratulations
conjecture: conjectured
conjunction: conjunction
connect: connected,connecting
connecticut: connecticut
connection: connection,connections
consent: consent,consenting
consequence: consequence
consequent: consequent
consideration: consideration,considerations
consist: consisted,consisting,consists
conspicuous: conspicuous
constant: constant
constantly: constantly
consternation: consternation
constitute: constituted,constituting
constitution: constitution
consultation: consultation
contemplated: contemplated
content: contenting
contented: contented
contents: contents
contest: contested
contiguous: contiguous
continual: continual
continue: continue,continued
continuous: continuous
contraction: contraction
contrary: contrary
contrast: contrast
contribute: contributed,contributing
contrived: contrived
control: control
conventional: conventional
converge: converge,converged
conversation: conversation
convey: conveyed
conviction: conviction
convince: convince,convinced
convoy: convoying
cook: cook,cooked,cooks
cookery: cookery
cool: cool
coolness: coolness
cooly: cooly
cooper: cooper
copper: copper
copse: copses
corduroy: corduroy
corinna: corinna
corn: corn
cornelius: cornelius
cornell: cornell
corporal: corporal
corporals: corporals
corps: corps
correct: corrected
cote: cote
couch: couch
council: council
count: count
counter: counter
counties: counties
country: country
county: counties,county
couple: couple
court: court
courtesy: courtesy
cover: cover,covered,covering
covered: covered
covering: covering
covertly: covertly
cracker: crackers
crash: crash,crashed,crashing
crashing: crashing
crawl: crawl,crawling
create: created
credit: credit
creek: creek
creep: creep,creeping,crept
crest: crest
crew: crew
critic: critics
criticism: criticisms
crook: crook
crooked: crooked
crop: cropped
crosby: crosby
cross: cross,crossed,crossing
crossing: crossing
crotch: crotched
crouch: crouching
crouching: crouching
crowd: crowded,crowding,crowds
crown: crowned
crowning: crowning
cruel: cruel
cruise: cruise,cruising
crumble: crumbling
crush: crush,crushed,crushing
culminate: culminated
cumberland: cumberland
cup: cup,cups
curdle: curdling
curiosity: curiosity
curious: curious
curiously: curiously
curl: curled,curling
curse: cursed,curses
curtis: curtis
cushing: cushing
custom: custom
cut: cut,cutting
cutler: cutler
cyclone: cyclone
dam: dam
damaging: damaging
damned: damned
dandy: dandy
danger: danger
dangerous: dangerous
dangerously: dangerously
dangling: dangling
daniel: daniel
daring: daring
darius: darius
dark: dark
darkening: darkening
darkness: darkness
darling: darling
dart: darted,darting
dash: dash,dashed,dashing
daughter: daughters
david: david
davis: davis
dawe: dawe
dawn: dawned
day: day,days
daybreak: daybreak
daylight: daylight
dayton: dayton
deacon: deacon,deacons
dead: dead
deal: deal
death: death,deaths
debatable: debatable
debouch: debouching
debris: debris
decalogue: decalogue
december: december
decide: deciding
decidedly: decidedly
decimate: decimating
deck: decked,decks
declaration: declarations
declare: declared,declaring
declension: declension
decline: declining
deep: deep,deeper
deer: deer
defeat: defeat
defence: defence,defences
defend: defend,defended
defense: defense
defiant: defiant
defiantly: defiantly
degree: degree
delay: delay
delicacy: delicacies
delight: delight
delighted: delighted
deliver: delivered
demeanor: demeanor
democrat: democrat
demon: demons
demonstration: demonstrations
demoralize: demoralized
demur: demur
dennis: dennis
dense: dense
department: department
departure: departure
depend: depended
deploy: deploy,deployed,deploying
depot: depot
depth: depth
depths: depths
derision: derision
descend: descend,descended
descent: descent
description: description
descriptive: descriptive
desert: desert,deserted
deserted: deserted
deserter: deserter,deserters
deserved: deserved
desirable: desirable
desire: desire,desired
desperate: desperate
desperately: desperately
despise: despised
destine: destined
destroy: destroyed,destroying
destruction: destruction
desultory: desultory
detach: detached
detached: detached
detachment: detachment
detailed: detailed
detention: detention
determination: determination
determine: determined,determining
determined: determined
detest: detested
detroit: detroit
develop: developed
devious: devious
devolve: devolved,devolving
devotion: devotion
diary: diary
dick: dick
die: die,died,dying
difficult: difficult
dig: dig,digging,dug
dignified: dignified
dilemma: dilemma
diligently: diligently
dim: dim,dimmed
dimly: dimly
din: din
dingy: dingy
dinner: dinner
dip: dip,dipping
dipper: dipper
dire: dire
direct: direct,directed,directing
direction: direction,directions
dis: dis
disability: disability
disabled: disabled
disagreeable: disagreeable
disaster: disaster
disastrous: disastrous
discharge: discharged
disciplinarian: disciplinarian
discipline: discipline
discomfort: discomfort,discomforts
disconcert: disconcert
discontent: discontent
discontinue: discontinued
discover: discover,discovered
disease: disease
disembark: disembark,disembarked
dish: dishes
disheartened: disheartened
dislodge: dislodge,dislodged
disloyal: disloyal
dismount: dismounted
dismounted: dismounted
disperse: dispersed
displace: displaced
display: displayed
disposed: disposed
dispute: disputed
distance: distance
distant: distant
distinctly: distinctly
distressing: distressing
distribute: distributed
district: district
ditch: ditch
div: div
diversion: diversion,diversions
divide: divide,divided,dividing
division: division,divisions
dixies: dixies
dodge: dodged
dog: dog
dogged: dogged
dollar: dollars
dolly: dolly
domestic: domestic
domicile: domiciled
door: doors
double: double
doubly: doubly
doubt: doubt,doubting
doubtless: doubtless
dover: dover
dow: dow
downfall: downfall
downy: downy
doze: dozing
dozen: dozen
drain: drained
dramatic: dramatic
draught: draught
draw: draw,drawing,drawn
drawl: drawled
dread: dread,dreaded
dreaded: dreaded
dreadful: dreadful
dress: dress,dressed
dressed: dressed
drift: drifting
drill: drill,drilling,drills
drink: drink
drive: drive,driven,driving,drove
drop: drop,dropping
drown: drowned
drum: drum
drunk: drunk
drury: drury
dry: dry
duel: duel
dull: dull
dullness: dullness
duplication: duplication
dust: dust
dusty: dusty
dutch: dutch
duty: duties,duty
dyer: dyer
eager: eager
eagerly: eagerly
ear: ears
earth: earth
earthwork: earthworks
easily: easily
east: east
eastern: eastern
easy: easy
eat: ate,eat,eaten
echo: echoes
edge: edge
editor: editor
educate: educated
edward: edward
effective: effective
effectually: effectually
efficient: efficient
effort: effort,efforts
egypt: egypt
eighteen: eighteen
eighteenth: eighteenth
elaborate: elaborate
elaborately: elaborately
elbow: elbow
election: election
element: element
eleventh: eleventh
elijah: elijah
elisha: elisha
elk: elk
elliott: elliott
eloquence: eloquence
embark: embark,embarked,embarking
embden: embden
ember: embers
embrace: embraced
embrasure: embrasures
emerge: emerging
emory: emory
emotional: emotional
employ: employed
emulate: emulate
en: en
enable: enable,enabled,enables,enabling
encamp: encamped
enclose: enclosed
encomium: encomiums
encourage: encouraging
encouraging: encouraging
endanger: endanger,endangered
endear: endeared
endeavor: endeavor,endeavored
endless: endless
endurance: endurance
endure: endure
enemy: enemies,enemy
energy: energies
enervate: enervating
enfield: enfield
enfilade: enfilading
enfilading: enfilading
enforce: enforce
enforced: enforced
engage: engage,engaged
engaged: engaged
engagement: engagement,engagements
engine: engines
engineer: engineer
enjoy: enjoy,enjoying
enjoyable: enjoyable
enjoyment: enjoyment
enlist: enlist,enlisted
enlistment: enlistment
enrage: enraged
ensconce: ensconced
enter: enter,entered,entering
enterprising: enterprising
entire: entire
entrance: entrance
entrench: entrenched
entrenched: entrenched
entrenchment: entrenchments
entry: entries,entry
envelop: enveloping
ephraim: ephraim
equal: equal
equipment: equipment,equipments
erect: erect,erected
error: error,errors
escape: escape,escaped,escapes,escaping
escort: escorting
especial: especial
esplanade: esplanade
essex: essex
establish: established
estimate: estimated
eternity: eternity
eureka: eureka
evacuate: evacuate,evacuated,evacuating
evacuation: evacuation
evade: evade
evening: evening
event: event,events
eventually: eventually
evident: evident
evidently: evidently
evolution: evolution
exact: exact
excel: excelling
excellent: excellent
exchange: exchange,exchanged,exchanging
excited: excited
exclaim: exclaimed
executive: executive
exemplify: exemplify
exercise: exercise
exertion: exertion,exertions
exhaust: exhausted
exhausted: exhausted
exhausting: exhausting
exhaustion: exhaustion
exhibition: exhibition
existence: existence
expect: expect,expected,expecting
expectation: expectation
expedition: expedition,expeditions
experience: experience
experienced: experienced
expiration: expiration
expire: expired
explode: exploded
explosion: explosion
expose: expose,exposed
expostulate: expostulate
expostulation: expostulations
exposure: exposure
express: expressed,expressing
extend: extending
extensive: extensive
extent: extent
exterior: exterior
extinguish: extinguished
extraordinary: extraordinary
extreme: extreme
extremity: extremity
exultantly: exultantly
eye: eye,eyes
ezra: ezra
faced: faced
facility: facility
factor: factor
fade: faded
fail: failed,failing
failure: failure
faint: faint
fair: fair
faithful: faithful
fall: fall,fallen,falling,fell
falls: falls
false: false
falter: faltering
fame: fame
familiar: familiar
famous: famous
fancied: fancied
fancy: fancy,fancying
farm: farm
farmer: farmer,farmers
fascination: fascination
fast: fast
fasten: fasten
fat: fat
fatalist: fatalists
fate: fate,fated
father: father
fatigue: fatigue
fault: fault
favor: favor
fear: fear,fears
feather: feather
february: february
federal: federal
feed: fed
feign: feigning
fell: felled,felling
fellow: fellow,fellows
fellowship: fellowship
fence: fence,fenced
ferryboat: ferryboat
fever: fever
fidelity: fidelity
field: field,fields
fierce: fierce
fiery: fiery
fife: fife
fight: fight,fighting,fights,fought
fighter: fighters
fighting: fighting
figure: figure,figures
file: file,filed,filing
final: final
finally: finally
fine: fine
firing: firing
firm: firm
firma: firma
fit: fitted
fitting: fitting
flag: flag,flags
flame: flame,flames,flaming
flank: flank,flanked,flanking,flanks
flanking: flanking
flannel: flannel
flare: flare,flaring
flash: flashed,flashes,flashing
flat: flat
flatly: flatly
flee: fled,fleeing
fleet: fleet
flesh: flesh
flicker: flickering
flight: flight
fling: flung
float: floating
flock: flock,flocking
flooring: flooring
florence: florence
florida: florida
flounder: floundered
flourish: flourishing
flow: flow,flows
flower: flowers
fluid: fluid,fluids
flurry: flurry
fly: flew,fly,flying
foam: foam,foamed
foe: foe,foes
fog: fog
foggy: foggy
foil: foiled
follow: follow
folly: folly
folsom: folsom
food: food
fool: fools
foot: feet,foot
footsore: footsore
forage: foraging
force: force,forced,forces,forcing
ford: fords
fordable: fordable
forebode: foreboding
foreground: foreground
forenoon: forenoon
forest: forest
forewarn: forewarned
forget: forget,forgetting,forgot,forgotten
fork: forks
forlorn: forlorn
forlornly: forlornly
form: form,formed,forming,forms
formal: formal
formally: formally
formation: formation
formidable: formidable
fort: fort,forts
forthwith: forthwith
fortification: fortification,fortifications
fortify: fortified,fortify
fortress: fortress
forts: forts
fortunate: fortunate
fortunately: fortunately
fortune: fortune,fortunes
foss: foss
foster: foster
fourteen: fourteen
fourth: fourth
fox: fox
fragment: fragments
frame: frame
francis: francis
francisco: francisco
frank: frank
franklin: franklin
frantic: frantic
fred: fred
frederick: frederick
freedman: freedman
freedmen: freedmen
freeman: freeman
freight: freight
french: french
frequently: frequently
fresh: fresh
freshly: freshly
friend: friend,friends
friendly: friendly
frightened: frightened
fringe: fringed
frisco: frisco
frolic: frolic
frontier: frontier
frost: frost
fumble: fumble
funeral: funeral
furious: furious
furlough: furlough
furnish: furnish,furnished
furnishing: furnishing
furniture: furniture
fury: fury
fuse: fuses
futile: futile
futility: futility
gable: gable
gaily: gaily
gain: gain,gained,gaining
gait: gait
gala: gala
gale: gale
gallant: gallant
gallantly: gallantly
gallantry: gallantry
galling: galling
gallon: gallons
gallop: gallop,galloped,galloping
game: game,games
gap: gap
garrison: garrison,garrisoned,garrisoning
gasp: gasping
gather: gather,gathered,gathering
gathering: gathering
generals: generals
generous: generous
gentleman: gentleman,gentlemen
genuine: genuine
geo: geo
geometrically: geometrically
george: george
georgia: georgia
ghastly: ghastly
gibbon: gibbon
gibson: gibson
ginger: ginger
glad: glad
gladly: gladly
glare: glare
glass: glasses
gleam: gleam
glendale: glendale
glenwood: glenwood
glide: glide
glorious: glorious
gloucester: gloucester
glove: gloves
god: god
gold: gold
gordon: gordon
government: government
grace: grace
graduate: graduated
grain: grain
grandfather: grandfather
grant: grant
grape: grape
grass: grass
gratified: gratified
gratify: gratify
grave: grave,graver,graves
gray: gray
grease: grease
greasy: greasy
greatly: greatly
greed: greed
greedily: greedily
green: green
greenback: greenbacks
greenleaf: greenleaf
greet: greet
greeting: greeting
gregg: gregg
grey: grey
grim: grim
grimly: grimly
grooved: grooved
ground: ground,grounded
grounds: grounds
grove: grove
grow: grew,growing,grown
growl: growled
growth: growth
gruesome: gruesome
grumble: grumbled,grumbling
guard: guard,guarded,guarding,guards
guess: guess
guest: guests
guide: guide,guides
guileless: guileless
guise: guise
gun: gun,guns
gunboat: gunboat,gunboats
gunner: gunners
gutter: gutters
guy: guy
hack: hacked
hail: hail
hair: hair,hairs
halfway: halfway
hall: hall
halt: halt,halted,halting
halting: halting
hammer: hammer
hamper: hamper
hampshire: hampshire
hand: hand,hands
handkerchief: handkerchiefs
handsome: handsome
hang: hanging,hung
hanging: hanging
happen: happening
happy: happy
harbor: harbor
hard: hard,harder
harden: hardened
hardened: hardened
hardship: hardships
harness: harness,harnesses
harris: harris
harrison: harrison
harsh: harsh
harvey: harvey
haste: haste
hasten: hastened
hastily: hastily
hasty: hasty
hatcher: hatcher
hatchers: hatchers
haunt: haunt,haunts
haversack: haversack,haversacks
haversacks: haversacks
haw: haw
hazard: hazards
head: head,headed,heads
header: header
headlong: headlong
headquarter: headquarter
headquarters: headquarters
health: health
heap: heaped,heaping
hear: hear,heard,hearing
heart: heart,hearts
hearted: hearted
hearty: hearty
heat: heat,heated
heaven: heavens
heavily: heavily
heavy: heavier,heavy
heel: heels
height: height,heights
heights: heights
helena: helena
henry: henry
herculean: herculean
herd: herds
hero: hero,heroes
heroic: heroic
hesperia: hesperia
hide: hidden
highly: highly
hilarious: hilarious
hill: hill,hills
hillock: hillocks
hillside: hillside
hip: hip
hiram: hiram
historian: historian,historians
history: histories,history
hit: hit
hoarse: hoarse
hold: held,hold,holding,holds
hole: hole,holes
honor: honor,honors
honorable: honorable
honored: honored
hoof: hoofs
hooked: hooked
hooper: hooper
hope: hope,hoped,hopes,hoping
hopelessness: hopelessness
horace: horace
horn: horns
horror: horrors
horse: horse,horses
horseshoe: horseshoe
hospital: hospital,hospitals
hospitality: hospitality
hostile: hostile
hot: hot
hour: hour,hours
hourly: hourly
house: house,housed,houses
howard: howard
howitzer: howitzers
howsoever: howsoever
hudson: hudson
huge: huge
huger: huger
hull: hull
human: human
hummock: hummocks
hundredth: hundredth
hungry: hungry
hunter: hunter
hurl: hurl,hurled
hurrah: hurrah
hurried: hurried
hurry: hurried,hurry,hurrying
hut: huts
hyde: hyde
idea: idea,ideas
identical: identical
ignorance: ignorance
ignore: ignoring
illinois: illinois
ills: ills
illumine: illumines
image: images
imaginable: imaginable
immortal: immortal
immovability: immovability
impact: impact
impaired: impaired
impart: imparting
impassable: impassable
impassioned: impassioned
impending: impending
impetuosity: impetuosity
impetuous: impetuous
impetus: impetus
imply: implies
impossible: impossible
impregnable: impregnable
impression: impression
imprison: imprisoned
imprisonment: imprisonment
improve: improved
impulse: impulse
inadequate: inadequate
inch: inch,inches
incident: incidents
incline: inclined
inclined: inclined
include: including
inconsistency: inconsistencies
incorporate: incorporated
increase: increased
indian: indian,indians
indiana: indiana
indifference: indifference
indifferent: indifferent
indignation: indignation
individual: individual,individuals
indulge: indulge,indulging
inevitable: inevitable
infantry: infantry
infest: infested
inflict: inflict
inform: informed
informal: informal
ingeniously: ingeniously
inhabitant: inhabitants
inhospitable: inhospitable
initiate: initiated,initiating
initiative: initiative
injure: injured
injury: injury
inland: inland
inlet: inlet
innumerable: innumerable
inquirer: inquirer,inquirers
insane: insane
inspection: inspection,inspections
inspire: inspired
instinctively: instinctively
institute: institute
instruction: instructions
instructor: instructor
intelligent: intelligent
intelligently: intelligently
intend: intended,intending
intense: intense
intensity: intensity
intentionally: intentionally
intercept: intercept
interior: interior
interminable: interminable
internet: internet
intersect: intersected
intervene: intervening
intrench: intrenched
intrenched: intrenched
intrenchment: intrenchment
intrepidity: intrepidity
invade: invading
invent: invented
invest: invested,investing
investigation: investigation
investing: investing
investment: investment
invitation: invitation
invite: inviting
involve: involved
ira: ira
irate: irate
ire: ire
iron: iron
ironclad: ironclad,ironclads
irregularity: irregularities
irresolute: irresolute
isaac: isaac
island: island,islands
islands: islands
isle: isle
isolate: isolated
issue: issued
jack: jack
jackman: jackman
jackson: jackson
jacksonville: jacksonville
jacob: jacob
jail: jail
jam: jamming
james: james
january: january
jeff: jeff
jeremiah: jeremiah
jerusalem: jerusalem
jesus: jesus
jim: jim
jocularly: jocularly
joel: joel
john: john
johns: johns
johnson: johnson
joke: joke,jokes
joseph: joseph
josiah: josiah
jovial: jovial
joy: joy
jubilant: jubilant
jubilate: jubilate
judge: judged
july: july
jump: jumped,jumping
jumping: jumping
junction: junction
june: june
jungle: jungle
kansas: kansas
kas: kas
kelly: kelly
kennedy: kennedy
kennel: kennels
kent: kent
kettle: kettle,kettles
key: key
kick: kicking
kill: killed,killing
kindly: kindly
king: king
kit: kits
knapsack: knapsacks
knee: knee,knees
knowledge: knowledge
knox: knox
labor: labors
labyrinth: labyrinth
lack: lack
laden: laden
lady: lady
lamentably: lamentably
lancaster: lancaster
land: land,landed,lands
lander: lander
landing: landing
lane: lane
language: language
languidly: languidly
lap: lapped
lark: lark
lash: lashed
lastly: lastly
late: late
latitude: latitude
laugh: laughing
laughingly: laughingly
laughter: laughter
launch: launched
law: law
lawn: lawn
lawrence: lawrence
lay: laid,lay,laying
lazily: lazily
lazy: lazy
le: le
lead: lead,leading,led
leader: leaders
leadership: leadership
leaf: leaves
lean: leaning
leap: leap,leaped,leaping
learn: learn,learned,learns
learning: learning
leave: leave,leaving,left
lee: lee
left: left
leg: leg,legs
legged: legged
leighton: leighton
leisurely: leisurely
leonard: leonard
lessen: lessen
letter: letter
levant: levant
liable: liable
libby: libby
liberal: liberal
liberty: liberty
lie: lie,lies,lying
lieutenant: lieutenant,lieutenants
lieutenants: lieutenants
life: life,lives
lift: lift
light: light,lighted,lightest,lights
lighten: lightening
lightly: lightly
lightning: lightning
limb: limb,limbs
limitation: limitations
lincoln: lincoln
link: link
lip: lips
liquid: liquid
list: list
listen: listen,listening
literally: literally
live: live
lively: lively
liverpool: liverpool
living: living
