abalone: abalone
alpenstock: alpenstock,alpenstocks
altar: altar
alter: altering
alteration: alteration
alternately: alternately
alternative: alternatives
altitude: altitude
altogether: altogether
amalgam: amalgam
amass: amass,amassed,amassing
amaze: amaze,amazed,amazes
amazed: amazed
amazement: amazement
amazing: amazing
amazingly: amazingly
amazon: amazon
amboina: amboina
amenable: amenable
america: america
american: american,americans
amethyst: amethysts
amidship: amidships
ammonia: ammonia
ammunition: ammunition
amorous: amorous
amphibian: amphibians
amphibious: amphibious
amphipod: amphipods
ample: ample
amplitude: amplitude
amply: amply
amulet: amulets
amuse: amused
anal: anal
analyst: analysts
analyze: analyzing
anatomically: anatomically
anatomist: anatomists
ancestor: ancestors
anchor: anchor,anchors
anchovy: anchovies
ancient: ancient,ancients
andaman: andaman
anderson: anderson
andes: andes
anecdote: anecdotes
anemone: anemone,anemones
aneurysm: aneurysms
anew: anew
angel: angel
angelfish: angelfish
anger: anger,angered
angle: angle,angles
angler: anglers
anglo: anglo
anguish: anguish
anguished: anguished
animal: animal,animals
animation: animation
anjou: anjou
annals: annals
annelid: annelid
annelida: annelida
annex: annex
announcement: announcement
annoyed: annoyed
annual: annual
annually: annually
anomaly: anomaly
anomura: anomura
answer: answer,answered,answering,answers
answerable: answerable
ant: ants
antarctic: antarctic
antenna: antenna,antennas
anthill: anthill
antic: antics
anticipate: anticipate,anticipated
anticipation: anticipation
antilles: antilles
antipodes: antipodes
antiquity: antiquity
antisocial: antisocial
antony: antony
anxiety: anxieties,anxiety
anxious: anxious
apace: apace
apartment: apartment
apathy: apathy
ape: apes
apiece: apiece
aplacental: aplacental
aplysia: aplysia
apod: apods
apoplexy: apoplexy
appal: appalled
apparent: apparent
apparition: apparition
appearance: appearance,appearances
appease: appeased
appendage: appendage,appendages
appetite: appetite,appetites
appetizer: appetizers
appetizing: appetizing
applaud: applauding
application: application
apply: applied,applies,apply
appoint: appointed
appreciably: appreciably
appreciation: appreciation
approach: approach,approached,approaches,approaching
approachable: approachable
appropriately: appropriately
approval: approval
approve: approved,approving
april: april
apt: apt
aptly: aptly
aquarium: aquarium
aquatic: aquatic
aqueduct: aqueduct
aqueous: aqueous
aquiver: aquiver
arab: arab,arabs
arabesque: arabesques
arabia: arabia
arabian: arabian
arabic: arabic
arachne: arachne
arbor: arbor,arbors
arc: arc
arch: arch,arched,arches,arching
archaeology: archaeology
archaeotherium: archaeotherium
archangel: archangel
archduke: archduke
arched: arched
archerfish: archerfish
archimedes: archimedes
arching: arching
archipelago: archipelago
architecture: architecture
arctic: arctic
arduous: arduous
argo: argo
argonaut: argonaut,argonauts
argonauts: argonauts
argue: argue,arguing
argument: argument,arguments
argus: argus
arid: arid
aristocrat: aristocrat,aristocrats
aristotle: aristotle
arithmetic: arithmetic
ark: ark
arm: arm,armed,arms
armadillo: armadillos
armed: armed
arming: arming
armistice: armistice
armor: armor,armored
armored: armored
army: armies,army
aroma: aroma
arouse: arouse,aroused,arousing
arrange: arrange,arranged
arrangement: arrangement,arrangements
array: arrayed
arrival: arrival
arrive: arrive,arrived,arrives,arriving
arrow: arrow,arrows
arsenal: arsenal,arsenals
art: art
artery: arteries,artery
arthur: arthur
artichoke: artichoke
article: article,articles
articulate: articulate,articulates,articulating
artifact: artifacts
artificial: artificial
artillery: artillery
artist: artist,artists
artistic: artistic
artocarpus: artocarpus
aru: aru
ascend: ascended,ascending
ash: ash
ashore: ashore
asia: asia
asian: asian
asiatic: asiatic
asleep: asleep
aspect: aspect,aspects
asphyxiate: asphyxiated
asphyxiation: asphyxiation
ass: ass
assai: assai
assailant: assailants
assault: assault,assaulted,assaults
assemble: assembled
assembly: assemblies,assembly
assert: assert
assess: assess,assessed
assessment: assessment
asset: assets
assign: assigned
assignment: assignment
assimilate: assimilate
assist: assist,assisted
assistance: assistance
assistant: assistant
association: association
assorted: assorted
assortment: assortment
assume: assume,assumed,assuming
assumption: assumption
assurance: assurance,assurances
assure: assured
assuredly: assuredly
aster: aster
astern: astern
astir: astir
astonish: astonish,astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounding: astounding
astoundingly: astoundingly
astray: astray
astrolabe: astrolabe
astronomer: astronomer,astronomers
astronomical: astronomical
astronomy: astronomy
asturian: asturian
astute: astute
athens: athens
athletic: athletic
atlanta: atlanta
atlantean: atlantean
atlantic: atlantic
atlantis: atlantis
atlas: atlas
atmosphere: atmosphere,atmospheres
atmospheric: atmospheric
atoll: atolls
atom: atom,atoms
atop: atop
atrocious: atrocious
attach: attach,attached,attaches
attack: attack,attacked,attacking,attacks
attain: attain,attained,attaining
attempt: attempt,attempts
attend: attend,attending
attention: attention,attentions
attentive: attentive
attest: attested,attesting
attitude: attitude,attitudes
attract: attract,attracted,attracting
attraction: attraction
attribute: attribute
audible: audible
audient: audient
auger: auger
august: august
augustus: augustus
auk: auk,auks
aura: aura
aures: aures
auricula: auricula
aurora: aurora
auspices: auspices
austere: austere
australia: australia
austria: austria
austrian: austrian
authentic: authentic
author: author,authors
authoritative: authoritative
authority: authority
authorize: authorize,authorized
automate: automated
automatically: automatically
autumn: autumn
avail: avail
avalanche: avalanche
avarice: avarice
avenge: avenge
avenger: avenger
avenue: avenue
average: average
avoid: avoid,avoided,avoiding,avoids
avowed: avowed
awake: awake,awoke
awaken: awaken,awakened
aware: aware
awash: awash
awful: awful
awhile: awhile
awkward: awkward
awl: awl
ax: ax
axis: axes
aye: aye
azores: azores
azure: azure
bab: bab
babble: babble,babbling
babirusa: babirusa
baby: baby
bachelor: bachelor
backbone: backbone,backbones
backdrop: backdrops
background: background
backside: backside
bacon: bacon
bad: bad,worse,worst
badland: badlands
badly: badly
baffle: baffled
baffling: baffling
bag: bag,bagged
baggage: baggage
bah: bah
bahama: bahama
bahamas: bahamas
bail: bail
bailiwick: bailiwick
bait: bait
bake: baked
baker: baker
balaenoptera: balaenoptera
balance: balance
baleen: baleen
balistes: balistes
ball: ball
ballard: ballard
ballast: ballast
ballistics: ballistics
balloon: balloon
bamboo: bamboo
ban: banned
banality: banality
banana: banana,bananas
band: band,bands
bandage: bandages
banded: banded
bandit: bandits
bang: banged
banish: banished
bank: bank,banks
banker: bankers
banks: banks
banter: bantering
bantering: bantering
banyan: banyan
baptize: baptized
bar: bar,barred,bars
barbaric: barbaric
barbary: barbary
barbed: barbed
bare: bare,bared
barely: barely
bari: bari
bark: bark
barnacle: barnacles
barometer: barometer
barrel: barrel,barrels
barricade: barricades
barrier: barrier,barriers
basalt: basalt
basaltic: basaltic
base: base,based
basically: basically
basin: basin,basins
basis: bases,basis
bask: bask,basking
basket: basket,baskets
basques: basques
bass: bass
bastard: bastard
bat: bat,bats
batch: batch
batfish: batfish
bath: bath,bathed
bathroom: bathroom
batter: batter,battered
battering: battering
battery: batteries,battery
battle: battle,battled,battles
battlefield: battlefield
battlements: battlements
battleship: battleship
bay: bay
beach: beach,beaches
beached: beached
beacon: beacon
bead: beads
beady: beady
beak: beak,beaks
beam: beam,beams
bean: beans
bear: bear,bearing,bears,bore,born,borne
bearable: bearable
bearded: bearded
bearer: bearer
bearing: bearing,bearings
beast: beast,beasts
beat: beat,beating,beats
beautiful: beautiful
beauty: beauties,beauty
beckon: beckoned,beckoning
bed: bed,beds
bedizen: bedizened
bedouin: bedouins
bedrock: bedrock
bedside: bedside
bedstead: bedstead
bee: bees
beef: beef
beefsteak: beefsteak
beefwood: beefwood
beethoven: beethoven
befall: befell
befuddle: befuddled
beg: beg,begged,begging
beguile: beguile,beguiled
behalf: behalf
behave: behaved
behavior: behavior
behold: beheld,behold
belabor: belaboring
belch: belching
belief: belief,beliefs
believer: believer,believers
bell: bell,bells
belle: belle
belligerent: belligerent
bellow: bellowed,bellowing,bellows
belly: bellies,belly
belong: belong,belonged,belonging,belongs
beloved: beloved
belt: belt,belts
bench: bench
bend: bended,bending,bent
beneath: beneath
benefaction: benefaction
beneficial: beneficial
benefit: benefit,benefited
benevolence: benevolence
bengal: bengal
bent: bent
bering: bering
berlin: berlin
beroe: beroe
berry: berry
bertrand: bertrand
besiege: besieged
bestow: bestowed
bet: bet
betray: betrayed,betraying
beverage: beverage
bewhiskered: bewhiskered
bewilder: bewildered
bias: bias
bible: bible
biblical: biblical
biconvex: biconvex
bid: bid
biennium: biennium
bigeye: bigeye
bile: bile
billow: billow,billows
billowy: billowy
bimonthly: bimonthly
bind: bind,binding,binds,bound
biography: biography
biological: biological
biology: biology
biped: bipeds
bird: bird,birds
bishop: bishop,bishops
bit: bit,bits
bite: bite,bites,bitten
bitter: bitter
bituminous: bituminous
bivalve: bivalve,bivalves
bizarre: bizarre
black: black,blackest,blacks
blackish: blackish
bladder: bladder,bladders
blade: blade,blades
bladed: bladed
blame: blame
blanc: blanc
blanco: blanco
blast: blast,blasted,blasts
blaze: blaze,blazing
blemish: blemish
blenny: blennies
bless: blessed
blessed: blessed
blessing: blessing
blind: blind,blinded,blinding
blindfold: blindfolded
blindly: blindly
blink: blink
blister: blisters
blithely: blithely
blizzard: blizzard,blizzards
bloated: bloated
block: block,blocked,blocks
blockade: blockaded
blood: blood
blooded: blooded
bloodshed: bloodshed
bloodthirstily: bloodthirstily
bloodthirstiness: bloodthirstiness
bloom: bloom,bloomed,blooms
blossom: blossoming,blossoms
blossoming: blossoming
blotch: blotches
blow: blew,blow,blowing,blown,blows
blowfish: blowfish
blowhole: blowholes
blowing: blowing
blue: blue
bluish: bluish
blunder: blunder
blunderbuss: blunderbuss,blunderbusses
blunt: blunt,blunted
blur: blurred,blurs
blurred: blurred
blushing: blushing
boar: boar
board: board,boarded,boarding,boards
boarding: boarding
boast: boasted,boasting,boasts
boat: boat,boats
boatman: boatman
bobstay: bobstays
bode: boded,bodes
bodily: bodily
body: bodies,body
bohemia: bohemia
boil: boil,boiling
boiler: boiler,boilers
boilerplate: boilerplate
boiling: boiling
boisterous: boisterous
bold: bold,bolder,boldest
boldly: boldly
bolt: bolt,bolted,bolting,bolts
bolts: bolts
bombay: bombay
bon: bon
bond: bond
bone: bone,boned,bones
boneyard: boneyard
bonito: bonito
bony: bony
book: book,books
bookcase: bookcases
booming: booming
boot: boot,boots
border: bordered,bordering,borders
bore: bore,bored,bores
borealis: borealis
bored: bored
boredom: boredom
borer: borers
boring: borings
bos: bos
bosh: bosh
boston: boston
bosun: bosun
botanical: botanical
botanist: botanist
botany: botany
bother: bother,bothered,bothering
bottle: bottling
bough: boughs
bounce: bounced
bound: bounding,bounds
boundary: boundaries,boundary
boundless: boundless
bouquet: bouquets
bow: bow,bowed,bows
bowels: bowels
bowery: bowery
bowhead: bowhead
bowie: bowie
bowsprit: bowsprit
box: box,boxed
boxfish: boxfish
boy: boy,boys
brace: braces,bracing
bracelet: bracelet,bracelets
brachyura: brachyura
brain: brain,brains
branch: branch,branches
brandish: brandished,brandishing
brandy: brandy
brave: brave,braving
bravery: bravery
bravo: bravo
bray: brayed
braying: braying
brazen: brazen
brazenly: brazenly
brazier: brazier,braziers
brazil: brazil
breach: breach
bread: bread
breadfruit: breadfruit
breadth: breadth
break: break,breaking,broke,broken
breaker: breakers
breakfast: breakfast
breakup: breakup
bream: bream
breast: breast,breasts
breastplate: breastplate,breastplates
breath: breath,breaths
breathable: breathable
breathe: breathe,breathed,breathes,breathing
breather: breather
breathing: breathing
breech: breech
breed: breed
breeding: breeding
breeze: breeze,breezes
brest: brest
brethren: brethren
brick: brick,bricks
bright: bright,brighter,brightest
brightly: brightly
brightness: brightness
brill: brill
brilliance: brilliance
brilliant: brilliant
brimstone: brimstone
brine: brine
bring: bring,bringing,brings,brought
brisk: brisk
briskly: briskly
bristle: bristle,bristling
britain: britain
british: british
brittany: brittany
brittle: brittle
broad: broad
broadside: broadside
broadsword: broadswords
broadway: broadway
broken: broken
bromide: bromide
bronchial: bronchial
bronze: bronze
brood: broods
brooding: brooding
brook: brook
brooklyn: brooklyn
brother: brother
brow: brow,brows
brown: brown,browns
brownish: brownish
brush: brush,brushed
brutally: brutally
brute: brute
bubble: bubble,bubbling
buccaneer: buccaneers
bucket: buckets
buckle: buckling
bud: buds
budding: budding
buffalo: buffalo
buffet: buffeted
build: build,building,builds,built
builder: builder,builders
building: building,buildings
bulb: bulb
bulge: bulge,bulges,bulging
bulk: bulk
bulkhead: bulkhead,bulkheads
bulkiness: bulkiness
bulky: bulky
bull: bulls
bulldog: bulldog
bullet: bullet,bullets
bulletin: bulletin,bulletins
bullhead: bullhead,bullheads
bullheaded: bullheaded
bulwark: bulwarks
bump: bump,bumped,bumping,bumps
bunch: bunches
bundle: bundle
bunker: bunker,bunkers
bunsen: bunsen
bunt: bunting
bunting: bunting
buoy: buoy,buoyed,buoying
burden: burden,burdens
bureau: bureau
burin: burin
burley: burley
burn: burn,burned,burning
burrow: burrowing,burrows
burrower: burrowers
burst: burst,bursting
bury: buried,bury
bush: bush,bushes
bushy: bushy
business: business
bustard: bustards
bustle: bustling
busy: busiest,busy
butcher: butcher
butchery: butchery
butt: butt
butter: butter
butterfish: butterfish
butterfly: butterflies,butterfly
button: button
buzz: buzzing
bygone: bygone
byron: byron
cabbage: cabbages
cabin: cabin,cabins
cabinet: cabinet
cable: cable,cables
cabochon: cabochon
cackle: cackling
cactus: cactus
caesar: caesar
cage: cage
cake: cake,caked
calamity: calamity
calcium: calcium
calculate: calculate,calculated,calculating
calculation: calculation,calculations
calcutta: calcutta
caledonia: caledonia
calendar: calendar
calf: calf
california: california
caliph: caliph
calligraphy: calligraphy
callosity: callosities
calm: calm,calmed,calmer
calmness: calmness
camel: camels
camera: camera
camp: camp
campaign: campaign
camphor: camphor
campsite: campsite
canada: canada
canadian: canadian
canal: canal
canaries: canaries
canary: canary
cancel: canceled
cancer: cancer
candid: candid
candor: candor
canine: canine,canines
cannibal: cannibal,cannibals
cannibalism: cannibalism
cannon: cannon,cannons
cannonade: cannonade,cannonaded,cannonading
cannonball: cannonball
cannoneer: cannoneer
canoe: canoe,canoes
canopy: canopies
canted: canted
canvas: canvas,canvases
cap: cap,caps
capable: capable
capacity: capacity
cape: cape,capes
capital: capital
capricorn: capricorn
capsize: capsize
capstan: capstan
capsule: capsule,capsules
captain: captain,captains
captivate: captivated
captive: captive,captives
capture: capture,captured,captures,capturing
carapace: carapace,carapaces
carbon: carbon
carbonate: carbonate
carcass: carcass,carcasses
care: care,cared
career: career,careers
carefree: carefree
careful: careful
carefully: carefully
caress: caresses
cargo: cargo
caribbean: caribbean
carnivora: carnivora
carnivore: carnivore
carolina: carolina
carolinas: carolinas
carp: carp
carpet: carpet,carpeted,carpets
carpeting: carpeting
carriage: carriage,carriages
carrier: carrier,carriers
carry: carried,carries,carry,carrying
cartier: cartier
cartilage: cartilage
cartilaginous: cartilaginous
cartridge: cartridge
carve: carve,carved
cascade: cascades
casing: casing
cask: casks
caspian: caspian
cast: cast,casting
castaway: castaway,castaways
castilian: castilian
casualty: casualties,casualty
cat: cat
cataclysm: cataclysm,cataclysms
catalog: catalog,cataloged,catalogs
cataract: cataract
catastrophe: catastrophe,catastrophes
catatonic: catatonic
catch: catch,catches,catching,caught
catchphrase: catchphrase
cattle: cattle
caudal: caudal
caulerpa: caulerpa
caulk: caulked
causeway: causeway
caustic: caustic
caution: caution
cautious: cautious
cautiously: cautiously
cavalla: cavalla
cavalry: cavalry
cave: cave,caved,caves
cavern: cavern,caverns
cavity: cavities,cavity
cavort: cavorting
cease: ceased,ceases,ceasing
ceiling: ceiling
celebrate: celebrates,celebrating
celebrated: celebrated
cell: cell,cells
cellular: cellular
cement: cement,cemented
cemetery: cemetery
center: center,centered,centers
centigrade: centigrade
centimeter: centimeter,centimeters
central: central
century: centuries,century
cephalopod: cephalopod
cephalopoda: cephalopoda
cerebral: cerebral
ceremony: ceremonies
certainty: certainty
cervical: cervical
cetacea: cetacea
cetacean: cetacean,cetaceans
cetera: cetera
ceylon: ceylon
chaff: chaff
chafing: chafing
chagrin: chagrin
chain: chain,chained,chains
chalice: chalice,chalices
chalky: chalky
challenge: challenge
chamber: chamber
chamois: chamois
champ: champed
chance: chance,chanced,chances
chancy: chancy
chandelier: chandelier
change: change,changed,changing
channel: channel,channels
chanticleer: chanticleer
chaotic: chaotic
chapter: chapter
character: character,characters
characteristic: characteristic,characteristics
characterize: characterized
charcoal: charcoal
charge: charge,charged,charges,charging
chariot: chariot
charitable: charitable
charitably: charitably
charity: charity
charles: charles
charm: charm,charms
charming: charming
chart: chart,charts
charter: charter,chartered
chase: chase,chased,chasing
chasm: chasm,chasms
chassepot: chassepot
chat: chat,chatted,chatting
chateau: chateau
check: check,checked,checking,checks
cheek: cheek
cheer: cheered,cheers
cheerful: cheerful
cheese: cheese
chef: chef
chelonia: chelonia
chemical: chemical
chemist: chemist,chemists
cherish: cherished
chesapeake: chesapeake
chessboard: chessboard
chest: chest,chests
chestful: chestful
chestnut: chestnut
chew: chewed
chicken: chicken
chide: chided
chief: chief
chiefly: chiefly
chieftain: chieftains
child: child,children
chill: chill,chills
chime: chime
chin: chin
china: china
chinese: chinese
chip: chipped
chitchat: chitchat
chlorate: chlorate
chloride: chloride
choice: choice,choices
choir: choir
choke: choked,choking
choose: choose,chosen
chop: chop,chopped,chopping
chord: chord,chords
chore: chores
chorister: choristers
chorus: chorus
christen: christened
christian: christian
christmas: christmas
christopher: christopher
chronicle: chronicles
chronicler: chronicler
chronological: chronological
chronometer: chronometer,chronometers
chrysanthemum: chrysanthemums
chum: chums
chunk: chunk,chunks
church: church
churn: churned,churning
cicero: cicero
cigar: cigar,cigars
cinder: cinders
cinnabar: cinnabar
circle: circle,circled,circles,circling
circuit: circuit
circular: circular
circulate: circulating
circulation: circulation
circulatory: circulatory
circumference: circumference
circumnavigate: circumnavigate
circumpolar: circumpolar
circumstance: circumstance,circumstances
cirripedia: cirripedia
cirrus: cirrus
cite: cited
citizen: citizen,citizens
city: cities,city
civil: civil
civilian: civilians
civilization: civilization
civilized: civilized
claim: claim,claimed,claiming,claims
claire: claire
clam: clam,clams
clamor: clamor
clamped: clamped
clang: clang
clank: clanking
clap: clap,clapped,claps
clarity: clarity
clark: clark
clasp: clasp,clasping,clasps
class: class,classed,classes
classic: classic
classification: classification
classifier: classifier
classify: classified,classify,classifying
claw: clawed,claws
clean: clean,cleaned,cleaner
clearing: clearing
clench: clenched
cleopatra: cleopatra
clever: clever
cliff: cliff,cliffs
cliffside: cliffside
climate: climates
climax: climax
climb: climb,climbed,climbing
clime: clime,climes
cling: cling,clinging,clung
clip: clip
cloak: cloak,cloaked,cloaks
clock: clock,clocks
clogged: clogged
close: close,closed,closer,closes,closing
closed: closed
closely: closely
closing: closing
clot: clots
cloth: cloth
clothe: clad,clothe
clothes: clothes
clothing: clothing
cloud: cloud,clouds
clouds: clouds
cloudy: cloudy
clown: clowns
clue: clue
clump: clump,clumps
clumsily: clumsily
clumsy: clumsy
clung: clung
cluster: cluster,clustered,clusters
clutch: clutched,clutches,clutching
cluttered: cluttered
clyde: clyde
coach: coach
coal: coal,coals
coalfield: coalfield
coast: coast,coasted,coasts
coastal: coastal
coastline: coastline,coastlines
coat: coat,coated,coats
coax: coax
cobblestone: cobblestones
cockatoo: cockatoos
cocked: cocked
cockle: cockles
cockleboat: cockleboat
cockleshell: cockleshells
coconut: coconut,coconuts
coconuts: coconuts
cod: cod
codfish: codfish
coffee: coffee
coffer: coffers
coil: coil,coiling,coils
coin: coined
coincide: coincide
colander: colander
cold: cold,colder,colds
coldly: coldly
coldness: coldness
coles: coles
collapse: collapse,collapsed,collapses,collapsing
collar: collar,collars
collate: collated
colleague: colleagues
collect: collect,collected,collecting,collects
collection: collection,collections
collector: collector,collectors
collide: collide
collision: collision,collisions
colonial: colonial
colony: colony
color: color,colored,colors
coloration: coloration
colored: colored
colorful: colorful
coloring: coloring
colorless: colorless
colossal: colossal
columbus: columbus
column: column,columns
columnist: columnist
comb: comb
combination: combination
combine: combined
combustible: combustible
comet: comets
comfort: comfort,comforted,comforting
comfortable: comfortable
comfortably: comfortably
comical: comical
coming: coming,comings
command: command,commanded
commander: commander,commanders
comment: comment,commented,comments
commentary: commentary
commerce: commerce
commercial: commercial
commit: commit,commits,committed,committing
commodore: commodore
common: common
commonly: commonly
commonplace: commonplace
commotion: commotion
communal: communal
communicate: communicate
communication: communication
communicative: communicative
community: community
compact: compact
compagnie: compagnie
companion: companion,companions
companionway: companionway,companionways
company: companies,company
comparable: comparable
comparative: comparative
comparatively: comparatively
compare: compare,compared,comparing
comparison: comparison
compartment: compartment,compartments
compass: compass,compasses
compassion: compassion
compelled: compelled
compensate: compensated
compete: compete,competed,competing
competition: competition
complain: complain,complained,complaining
complaint: complaint,complaints
complement: complemented
complete: complete,completed,completing
completely: completely
completion: completion
complicated: complicated
complication: complication
complicity: complicity
compliment: compliment
comply: complied
component: component
compose: compose,composed
composer: composers
composition: composition
composure: composure
comprehensive: comprehensive
compress: compressed,compresses
compressed: compressed
comprise: comprises
compulsion: compulsion
compulsive: compulsive
compute: compute
comrade: comrade
comradeship: comradeship
conceal: conceal
concede: conceded
conceive: conceived
concentrate: concentrate,concentrated
concentric: concentric
concern: concern,concerned,concerns
concerned: concerned
concert: concerts
conch: conch,conchs
conchological: conchological
conchologist: conchologist
conchology: conchology
conclude: conclude,concluded
conclusion: conclusion
concoct: concocting
concretion: concretions
concussion: concussion
condense: condense,condensed,condensing
condition: condition,conditions
conduct: conduct,conducted,conducting,conducts
conductor: conductor
conduit: conduit
cone: cone
confer: confer,confers
confess: confess,confesses
confidence: confidence
confident: confident
confine: confine,confined
confinement: confinement
confirm: confirm
conflict: conflict
confound: confounded
confuse: confused,confuses,confusing
confused: confused
confusing: confusing
confusion: confusion
congeal: congeal,congealed
congealing: congealing
conger: conger
congested: congested
congo: congo
congregate: congregate
congress: congress
conical: conical
conjecture: conjecture
connect: connect,connected,connecting,connects
connection: connection
connoisseur: connoisseur
conquer: conquer,conquered
cons: cons
conscience: conscience
consciousness: consciousness
consent: consent
consequence: consequences
conserve: conserving
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consign: consign,consigned
consist: consist,consisted,consisting,consists
consistency: consistency
consistent: consistent
conspicuous: conspicuous
constant: constant
constantly: constantly
constellation: constellations
constitute: constitute
constitution: constitution
constitutionalist: constitutionalist
constrain: constrained
construct: constructed
construction: construction
consult: consult,consulted,consulting
consulting: consulting
consume: consume,consumed,consumes,consuming
consummate: consummate
consumption: consumption
contact: contact
container: containers
contemplate: contemplate,contemplated,contemplating
contemplation: contemplation
contemporary: contemporaries,contemporary
contempt: contempt
contend: contend
content: content
contentment: contentment
contents: contents
contest: contest,contests
context: context
continent: continent,continents
continental: continental
continual: continual
continually: continually
continue: continue,continued,continues,continuing
continuity: continuity
continuous: continuous
continuously: continuously
contour: contours
contoured: contoured
contract: contract,contracted,contracting
contracting: contracting
contradict: contradicted,contradicting
contradiction: contradiction,contradictions
contradictory: contradictory
contraption: contraption
contrary: contrary
contrast: contrast,contrasted,contrasting,contrasts
contrivance: contrivance
contrived: contrived
control: control,controlled
contusion: contusion
convalesce: convalescing
convenient: convenient
conveniently: conveniently
conventional: conventional
converge: converged,converging
conversation: conversation
converse: conversed,conversing
conversely: conversely
convey: convey,conveyed
conviction: conviction
convince: convinced
convinced: convinced
convoy: convoy
convulsion: convulsion,convulsions
convulsive: convulsive
convulsively: convulsively
cook: cook,cooked,cooking
cooking: cooking
cool: cool,cooling
cooling: cooling
coolly: coolly
coolness: coolness
coop: cooped
cope: cope
copenhagen: copenhagen
copper: copper
copyright: copyright
coquina: coquina
coral: coral
corallina: corallina
cordial: cordial
cordially: cordially
core: core
cork: cork
corner: corner,corners
coromandel: coromandel
corpse: corpse,corpses
corpus: corpus
correct: correct,corrected
correctly: correctly
correspond: corresponds
corrode: corroded
corrosive: corrosive
corset: corseted
cortez: cortez
cosmos: cosmos
cost: cost,costing,costs
costume: costume,costumes
cotton: cotton
couch: couch,couched,couches
cough: cough
counsel: counsel
count: count,counted,counting
counter: counter
counteract: counteract
countercurrent: countercurrent
counterfeit: counterfeit
countless: countless
country: countries,country
countryman: countryman,countrymen
countryside: countryside
couple: couple
courage: courage
courageously: courageously
court: courting,courts
courteously: courteously
courtesy: courtesy
courtier: courtiers
cousin: cousins
