aaron: aaron
aerial: aerial
afaint: afaint
affect: affect
affectation: affectation,affectations
affectedly: affectedly
affection: affection
affectionate: affectionate
affinity: affinity
affirm: affirm
afflict: afflicted
affliction: affliction
afford: afford,afforded,affords
afraid: afraid
afresh: afresh
africa: africa
afterglow: afterglow
afternoon: afternoon
age: age,ages
aged: aged
ageless: ageless
agency: agencies,agency
agent: agent
aggravate: aggravated
aghast: aghast
agile: agile
aglee: aglee
agnostic: agnostic,agnostics
agnosticism: agnosticism
agony: agony
agree: agree,agreeing
agreement: agreement
aid: aid,aided,aiding
ailment: ailments
aim: aim,aimed,aiming,aims
air: air,airing,airs
airwave: airwaves
alabaster: alabaster
alas: alas
albeit: albeit
albert: albert
album: album
alexander: alexander
alexandria: alexandria
alfred: alfred
alike: alike
alive: alive
allegorical: allegorical
alleviation: alleviation
allowance: allowance
ally: ally
alma: alma
almighty: almighty
aloft: aloft
aloof: aloof
aloud: aloud
alpha: alpha
alphabet: alphabet
alps: alps
altar: altar,altars
alter: alter,altered,altering
alteration: alteration,alterations
alternate: alternating
alternately: alternately
altogether: altogether
amateur: amateur,amateurs
amazement: amazement
amazing: amazing
ambassador: ambassadors
ambassadors: ambassadors
amber: amber
ambition: ambition
ambitious: ambitious
ame: ame
america: america
american: american
amethyst: amethyst
amiable: amiable
amiss: amiss
amour: amour
amuse: amused
amused: amused
amusement: amusement
amusing: amusing
anacreon: anacreon
analyse: analyse
analytical: analytical
anatomist: anatomist
anatomy: anatomy
ancestor: ancestors
anchor: anchor,anchored
ancient: ancient,ancients
andrea: andrea
andrew: andrew
andromeda: andromeda
angel: angel,angels
angelo: angelo
angels: angels
angle: angle,angles
angry: angry
angular: angular
animal: animal,animals
animate: animate,animated,animates
animation: animation
ankle: ankle,ankles
annals: annals
anne: anne
annex: annexing
annihilate: annihilate
annihilation: annihilation
annoy: annoy
annoyed: annoyed
anon: anon
answer: answer,answered
ant: ant,ants
antagonist: antagonist
antic: antics
antique: antique
antiquity: antiquity
antithesis: antithesis
antwerp: antwerp
anxiety: anxieties,anxiety
anxiously: anxiously
apace: apace
apartment: apartment,apartments
apathetic: apathetic
apathy: apathy
ape: ape,apes
aperture: aperture
apex: apex
apocalypse: apocalypse
apollo: apollo
apology: apology
apostle: apostles
appal: appals
appalling: appalling
apparent: apparent
appeal: appeal,appealing,appeals
appearance: appearance,appearances
appetite: appetite
applause: applause
apple: apple
appliance: appliances
applicant: applicant
apply: applied,applies,apply
appoint: appointed
appreciation: appreciation
appreciative: appreciative
apprentice: apprentice
approach: approach,approached,approaches,approaching
approve: approve
apron: apron
apt: apt
arabesque: arabesque
arbitrary: arbitrary
arch: arches,arching
archangel: archangel
arched: arched
architectural: architectural
architecture: architecture
archway: archways
ardent: ardent
ardour: ardours
arena: arena
argue: argue
argument: argument
ariadne: ariadne
aright: aright
aristocrat: aristocrat,aristocrats
aristocratic: aristocratic
ark: ark
arm: arm,armed,arms
armada: armada
armed: armed
armour: armour
army: armies,army
aroma: aroma
aromatic: aromatic
arrange: arrange,arranged,arranging
arrangement: arrangement,arrangements
arrive: arrive,arrived
arrogance: arrogance
arrogant: arrogant
arrow: arrow
art: art,arts
artery: artery
artfully: artfully
article: article,articles
artifice: artifice
artificial: artificial
artist: artist,artists
artistic: artistic
artistically: artistically
arts: arts
ascertain: ascertain
ash: ash,ashes
ashamed: ashamed
ashore: ashore
asleep: asleep
aspect: aspect,aspects
asperity: asperities
asphodel: asphodel
aspiration: aspiration,aspirations
aspire: aspire
assail: assail
assemble: assembled
assert: assert,asserts
assertion: assertion
assertive: assertive
assimilate: assimilate
assist: assist
assistant: assistant
association: association
assorted: assorted
assume: assume
assurance: assurance
assure: assuring
assyria: assyria
assyrian: assyrian
assyrians: assyrians
astonish: astonish,astonished
astonishing: astonishing
astonishment: astonishment
astray: astray
astride: astride
astronomer: astronomer
astronomical: astronomical
astronomy: astronomy
astute: astute
atheism: atheism
atheist: atheist,atheists
atheistic: atheistic
atlantic: atlantic
atmosphere: atmosphere
atmospheric: atmospheric
atrocious: atrocious
atrociously: atrociously
attach: attached,attaches
attain: attain,attained
attempt: attempt,attempted,attempting,attempts
attend: attended,attending
attendant: attendant,attendants
attention: attention
attentive: attentive
attire: attire,attired
attract: attract,attracted,attracts
attracted: attracted
attraction: attraction,attractions
attractive: attractive
auburn: auburn
audacity: audacity
audience: audience
august: august
aurora: aurora
austin: austin
australia: australia
australian: australian
authenticate: authenticated
author: author,authors
authority: authorities,authority
autocrat: autocrat
automata: automata
autotype: autotypes
autumn: autumn
avail: avail
avalanche: avalanches
avenger: avengers
avenue: avenue,avenues
average: average
avoid: avoid
avow: avow
await: awaiting,awaits
awake: awoke
aware: aware
awe: awe
awesome: awesome
awful: awful
awning: awning
axe: axe
axis: axes
ay: ay
azure: azure
babble: babble,babbling
babel: babel
baby: babies,baby
bacchanalian: bacchanalian
bacchus: bacchus
backbone: backbone
background: background,backgrounds
bad: bad,worse,worst
badger: badger
badly: badly
bag: bags
baghdad: baghdad
baillie: baillie
baker: baker
balance: balance,balanced
balanced: balanced
balancing: balancing
bald: bald
ball: ball,balls
balloon: balloon
balmy: balmy
bamboo: bamboo
banana: banana
band: band,bands
bandage: bandage
baneful: baneful
banish: banish,banishing
bank: banks
banner: banners
banqueting: banqueting
banyan: banyan
baptist: baptist
bar: bar,bars
barbarian: barbarians
barbarism: barbarism
bare: bare
bareness: bareness
bargain: bargain
barge: barge,barges
bari: bari
bark: bark,barks
barnaby: barnaby
barnard: barnard
baronet: baronet
barrel: barrel
barren: barren
barricade: barricades
barrier: barriers
base: base
bashed: bashed
basin: basin
basis: basis
bask: basking
basket: basket
bast: bast
bat: bat
bath: bath,bathed,bathing,baths
batten: battens
batter: batter,battered
battle: battle,battles
bay: bay
beacon: beacon
beaked: beaked
beam: beam
bear: bear,bears,bore,born,borne
beard: beard
bearded: bearded
bearing: bearing
beast: beast
beastly: beastly
beat: beat,beaten,beating
beating: beating,beatings
beau: beau
beautiful: beautiful
beautifully: beautifully
beautify: beautified,beautify,beautifying
beauty: beauties,beauty
beaux: beaux
bed: bed,beds
bedizen: bedizened
bee: bee
beech: beech
beer: beer
beggar: beggar,beggars
beginner: beginner,beginners
behaviour: behaviour
beheld: beheld
behold: beheld,behold
bein: bein
belgium: belgium
belief: belief,beliefs
believer: believer,believers
bell: bell,bells
belle: belle,belles
bells: bells
belly: bellied
belong: belong,belonged,belongs
beloved: beloved
belt: belt
ben: ben
bend: bend,bending,bent
beneath: beneath
benediction: benediction
beneficent: beneficent
benefit: benefit,benefiting,benefits
benighted: benighted
benjamin: benjamin
bent: bent
bernard: bernard
berry: berries
beset: beset,besetting
bestow: bestow,bestowed,bestows
bestride: bestriding
beware: beware
bicycle: bicycle
bid: bid,bids
bigot: bigot
bigotry: bigotry
bilious: bilious
billow: billow,billows
bind: bind,binding,binds,bound
binder: binder,binders
binding: binding,bindings
birch: birch
bird: bird,birds
birth: birth
birthright: birthright
bishop: bishop
bistre: bistre
bit: bit,bits
bitter: bitter
bitterness: bitterness
black: black,blacks
blacken: blacken,blackened
blackness: blackness
blackwood: blackwood
blade: blade,blades
blake: blake
blame: blame
blandness: blandness
blank: blank,blanks
blankly: blankly
blankness: blankness
blaspheme: blaspheme,blasphemed
blasphemous: blasphemous
blasphemy: blasphemy
blast: blasted
blaze: blaze,blazed,blazing
bleach: bleached
bleak: bleak
bleed: bled
blemish: blemish,blemished,blemishes
blend: blend,blended,blending,blends
blending: blending
bless: blessed,blesses
blessed: blessed
blight: blight,blighted
blind: blind,blinded,blinding,blinds
blindly: blindly
blindness: blindness
blink: blink,blinks
blinkers: blinkers
blistering: blistering
block: block,blocks
blood: blood
blooded: blooded
bloom: bloom
blossoming: blossoming
blot: blot,blots,blotted,blotting
blotch: blotches
blouse: blouses
blow: blow,blown,blows
blue: blue
blues: blues
bluff: bluff
blunder: blundered,blunders
blunt: blunt
blur: blur,blurred,blurring
blurry: blurry
blush: blush,blushes,blushing
boar: boar
board: board,boards
boast: boast,boasted,boasting,boasts
boaster: boaster
boat: boat,boats
bode: bodes
body: bodies,body
bohemian: bohemian
boil: boiled,boiling
boiler: boiler,boilers
boisterous: boisterous
bold: bold,bolder
boldly: boldly
boldness: boldness
bole: boles
bolt: bolt
bombast: bombast
bond: bond
bondage: bondage
bone: bone,bones
bonhomie: bonhomie
book: book,books
bookseller: bookseller
bookworm: bookworm
boomerang: boomerang
boon: boon
boorishness: boorishness
boot: boot,boots
bore: bores
borer: borer
boring: boring
borrow: borrow,borrowed
borrowing: borrowing
bosom: bosom
boston: boston
boswell: boswell
botanist: botanist
botany: botany
bother: bothers
botticelli: botticelli
bottle: bottle,bottled
bottomless: bottomless
bough: bough,boughs
boulder: boulder,boulders
bound: bound,bounded,bounding
boundless: boundless
bountiful: bountiful
bounty: bounty
bout: bout
bow: bow,bowing,bows
bowl: bowl
bowsprit: bowsprit
box: box,boxes
boy: boy,boys
boyhood: boyhood
boys: boys
brace: braced
bracelet: bracelets
braided: braided
brain: brain,brains
brainless: brainless
bramble: brambles
branch: branch,branches
brass: brass
brave: brave
bravery: bravery
bray: braying
brazier: brazier
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breakfast: breakfast
breakneck: breakneck
breast: breast,breasts
breath: breath
breathe: breathe,breathed,breathes,breathing
breathing: breathing
breathless: breathless
breeches: breeches
breed: bred,breed
brethren: brethren
brevity: brevity
bribe: bribe
bricklaying: bricklaying
bridal: bridal
bride: bride
bridge: bridge
brig: brig
bright: bright,brightest
brightness: brightness
brilliant: brilliant
bring: bring,bringing,brings,brought
briskly: briskly
bristle: bristling
britain: britain
british: british
britons: britons
broad: broad,broader,broadest
broadcast: broadcast
broadly: broadly
broken: broken
bronze: bronze,bronzes
brooch: brooch
brood: brood
brooding: brooding
broth: broth
brother: brother,brothers
brow: brow,brows
brown: brown,browns
browser: browsers
bruise: bruise,bruised
brush: brush,brushes,brushing
brutalise: brutalised
brute: brute
brutishly: brutishly
buchanan: buchanan
bucket: bucket
buckler: buckler
bud: budding
buddha: buddha
buff: buff
buffet: buffets
buffoonery: buffoonery
build: build,building,builds,built
builder: builder
building: building,buildings
bulby: bulby
bulge: bulging
bulk: bulk
bulky: bulky
bullock: bullocks
bunch: bunch
bundle: bundle
bungler: bungler
bunion: bunions
buoyant: buoyant
burden: burden,burdens
burlesque: burlesque
burly: burly
burn: burn,burning,burnt
burnet: burnet
burns: burns
burrow: burrow,burrowed
burst: burst
bury: buried
bush: bush
bushy: bushy
busily: busily
business: business,businesses
bust: busts
bustle: bustled
busy: busy
butcher: butcher,butchered
buttercup: buttercup
butterfly: butterfly
button: button,buttons
buyer: buyer,buyers
buying: buying
buzzing: buzzing
bye: bye
byron: byron
byronic: byronic
byssus: byssus
cabalistic: cabalistic
cabbage: cabbage
cabin: cabin,cabins
cabinet: cabinet,cabinets
cactus: cactuses
cad: cad
cadence: cadence
cadmium: cadmiums
cage: cages
cake: cake,cakes
calamity: calamity
calculate: calculating
calculation: calculations
calcutta: calcutta
calf: calf
california: california
calligraphy: calligraphy
calling: calling
callous: callous
calm: calm
calmly: calmly
calmness: calmness
calvary: calvary
cambric: cambric
camel: camel
camellias: camellias
cameo: cameo
camera: camera,cameras
camp: camp
campaign: campaign
campbell: campbell
canaan: canaan
candle: candle,candles
cane: cane
canon: canons
canopy: canopy
canvas: canvas,canvases
cap: cap,caps
capability: capabilities
capable: capable
capacious: capacious
capacity: capacity
cape: cape
caprice: caprice
capricious: capricious
capriciousness: capriciousness
captain: captain
capture: capture,captured
capuchin: capuchin
car: car
caravan: caravan
carcase: carcase
card: card,cards
cardboard: cardboard
cardinal: cardinal
care: care,cared,cares
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
carelessness: carelessness
cargo: cargo
caricature: caricature,caricatures
caricaturist: caricaturist,caricaturists
carnage: carnage
carnation: carnation
carnivora: carnivora
carnivorous: carnivorous
carp: carped
carpet: carpet
carrot: carrots
carry: carried,carries,carry,carrying
cart: cart,carts
carte: carte
cartoon: cartoons
cartridge: cartridge
carve: carved,carving
carving: carving,carvings
cash: cash
cassandra: cassandra
cast: cast,casting,casts
caste: caste
casteth: casteth
castle: castle,castles
casual: casual
cat: cat
catalogue: catalogue
catch: catch,catches,catching,caught
category: category
caterpillar: caterpillar,caterpillars
catgut: catgut
cathedral: cathedrals
catherine: catherine
cattle: cattle
cauldron: cauldron
caution: caution
cav: cav
cave: caved
caviare: caviare
cease: cease,ceased
cedar: cedar
ceiling: ceiling,ceilings
celebrated: celebrated
celibacy: celibacy
cell: cell
cement: cemented
cemetery: cemetery
centipede: centipede,centipedes
central: central
centre: centre,centres
century: centuries,century
cerement: cerements
ceremony: ceremonies
certainty: certainty
certificate: certificates
chain: chain,chained,chains
chair: chair,chairs
chalk: chalk
chalky: chalky
chamber: chamber
chameleon: chameleon
chamois: chamois
champ: champing,champs
champagne: champagne
champing: champing
champs: champs
chance: chance,chances
change: change,changed,changing
changed: changed
chaos: chaos
chap: chap
chapeau: chapeau
chapel: chapel
chapter: chapter,chapters
character: character,characters
characteristic: characteristic,characteristics
charcoal: charcoal
charge: charge,charged
chariot: chariot,chariots
charitable: charitable
charity: charity
charles: charles
charm: charm,charmed,charms
charming: charming
charmingly: charmingly
charred: charred
chary: chary
chase: chased
chaser: chasers
chasing: chasing
chaste: chaste
chasten: chastened
cheap: cheap
cheaply: cheaply
cheapness: cheapness
check: checked
cheek: cheek,cheeks
chef: chef
chemical: chemical,chemicals
chemist: chemist
chemistry: chemistry
cherub: cherub,cherubs
cherubim: cherubim
chester: chester
chestnut: chestnut
chiaroscuro: chiaroscuro
chiding: chiding
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
chill: chill
chime: chime,chimes
chimney: chimney,chimneys
chimneyed: chimneyed
chin: chin,chins
china: china
chinese: chinese
chirp: chirps
chirruping: chirruping
chisel: chisel,chiselled
chivalry: chivalry
chloride: chloride
choice: choice
choir: choir
choke: choking
choose: choose,choosing,chose,chosen
choosing: choosing
chop: chops
chorus: chorus
christ: christ
christen: christen
christian: christian
christianity: christianity
christmas: christmas
christopher: christopher
chrome: chrome,chromes
chronicle: chronicle
chrysalis: chrysalis
chubby: chubby
chum: chums
church: church,churches
cigar: cigars
cigarette: cigarettes
cinder: cinders
circle: circle,circles
circular: circular
circumcision: circumcision
circumference: circumference
circumscribe: circumscribed
circumstance: circumstances
citron: citron
city: cities,city
civilisation: civilisation
civilised: civilised
clad: clad
claim: claim,claims
clairvoyant: clairvoyant
clang: clanging
clash: clash,clashed
clasp: clasp,clasps
clasped: clasped
class: class,classes
classic: classic
classical: classical
classification: classification
classify: classify
claude: claude
clay: clay
clean: clean,cleaned,cleaning
cleanliness: cleanliness
cleanly: cleanly
clearness: clearness
cleft: cleft
cleopatra: cleopatra
clerk: clerk
clever: clever
cleverly: cleverly
cleverness: cleverness
cliff: cliff,cliffs
climate: climate
climax: climax
climb: climb
cling: cling,clinging,clung
clip: clipped
clipper: clipper
clique: clique
cloak: cloak
clock: clock
clodhopper: clodhopper
clog: clogging
close: close,closed,closer,closest
closed: closed
closely: closely
closing: closing
clot: clotted
cloth: cloth,cloths
clothe: clad
clothes: clothes
clothing: clothing
clotted: clotted
cloud: cloud,clouds
clouded: clouded
clouds: clouds
clown: clown,clowns
club: club
clumsily: clumsily
clumsy: clumsier,clumsy
cluster: cluster,clustering,clusters
clustering: clustering
clutch: clutch,clutches,clutching
coach: coaches
coarse: coarse,coarser
coarsely: coarsely
coarseness: coarseness
coast: coast
coat: coat,coated,coating,coats
coated: coated
coating: coating,coatings
cobalt: cobalt,cobalts
cobbler: cobbler
cobra: cobra
cockatoo: cockatoos
cocked: cocked
cockle: cockle
cockney: cockney
cocoanut: cocoanut
coffee: coffee
coil: coil
coin: coin,coining,coins
coincide: coincide
cold: cold
collapse: collapse
collar: collar
collect: collect,collecting
collection: collection
collector: collector
collects: collects
college: college
collodion: collodion
colonial: colonial
colossal: colossal
colour: colour,coloured,colouring,colours
coloured: coloured
colouring: colouring
colourist: colourist
colourless: colourless
colourman: colourman
colours: colours
columbus: columbus
column: column,columns
columned: columned
comb: comb,combed,combing,combs
combat: combat
comber: comber
combination: combination
combine: combine,combined,combining
combustion: combustion
comedy: comedy
comely: comely
comfort: comfort,comforts
comfortable: comfortable
comforting: comforting
comic: comic
comical: comical
command: command
commence: commence,commenced
commend: commend,commended
comment: comment
commercial: commercial
commission: commissions
commit: commit,committed
common: common,commonest
commonplace: commonplace
commonwealth: commonwealth
communication: communications
community: community
compact: compact
compacter: compacter
companion: companion,companions
company: company
comparative: comparative
comparatively: comparatively
compare: compare,compared,comparing
comparison: comparison
compass: compasses
compel: compelled,compels
compete: compete
competition: competition
complacence: complacence
complementary: complementary
complete: complete,completed
completely: completely
completeness: completeness
complex: complex
complexion: complexion
complexity: complexity
complicated: complicated
compliment: compliment
comport: comports
compose: compose,composed
composer: composer
composition: composition,compositions
comprehend: comprehend
comprehension: comprehension
comprehensively: comprehensively
conceal: concealed
conceit: conceit
conceivable: conceivable
conceive: conceive,conceived
concentrate: concentrated
concentrated: concentrated
conception: conception,conceptions
conceptive: conceptive
concern: concern
concerned: concerned
concert: concert
concise: concise
conclude: conclude,concludes,concluding
conclusion: conclusion,conclusions
concord: concord
concussion: concussion
condemn: condemn,condemned,condemns
condense: condensed
condescension: condescension
condition: condition,conditions
condone: condone,condoned
conduce: conduce
conduct: conduct
confess: confess
confidence: confidence
confident: confident
confine: confined
confirm: confirm,confirmed
confuse: confuse,confusing
confused: confused
confusion: confusion
confute: confute
congeal: congealed
congenial: congenial
conglomerate: conglomerate
congregation: congregation
conjecture: conjecture
conjure: conjures
connect: connect,connected,connecting
connection: connection
conquer: conquer,conquered,conquering
conquering: conquering
conqueror: conqueror,conquerors
conquest: conquest,conquests
consanguinity: consanguinity
conscientious: conscientious
conscientiously: conscientiously
conscious: conscious
consciously: consciously
consciousness: consciousness
consecrated: consecrated
consent: consent,consents
consequence: consequence,consequences
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consign: consigned
consistency: consistency
consistent: consistent
consistently: consistently
consolation: consolation
console: console
consort: consort
conspiracy: conspiracy
constable: constable
constant: constant
constantly: constantly
constitute: constituted,constitutes
constitution: constitutions
construct: constructed
construction: construction
consult: consult
consume: consumed,consumes,consuming
consummate: consummate,consummated
consumption: consumption
consumptive: consumptive
contact: contact
contaminate: contaminated
contamination: contamination
contemplate: contemplate
contemplation: contemplation
contemplator: contemplators
contemporary: contemporaries,contemporary
contempt: contempt
contemptible: contemptible
contemptibly: contemptibly
contemptuous: contemptuous
contemptuously: contemptuously
contend: contend
content: content
contented: contented
contentment: contentment
contents: contents
continually: continually
continuance: continuance
continuation: continuation
continue: continue,continued
contortion: contortions
contradict: contradict
contradiction: contradiction
contradictory: contradictory
contrary: contrary
contrast: contrast,contrasting,contrasts
contrivance: contrivance,contrivances
control: control,controlled,controlling,controls
controller: controllers
conundrum: conundrum
convenience: convenience
conventional: conventional
conversation: conversation
convert: converted
convey: convey,conveying
conviction: conviction
convince: convince,convinced
convincing: convincing
convulse: convulsed
convulsion: convulsions
cook: cook,cooking,cooks
cookery: cookery
cool: cool,cooled,cooling
coolly: coolly
coop: coop
copious: copious
copper: copper,coppers
copying: copying
copyist: copyist,copyists
copyright: copyright
coral: coral
cord: cord,cords
cordage: cordage
cordially: cordially
core: core
cork: cork,corks
corn: corn,corns
corner: corner
cornfield: cornfield,cornfields
corporeal: corporeal
corpse: corpse,corpses
correct: correct,corrected
correctly: correctly
correctness: correctness
correspondent: correspondent
corridor: corridor
corrugated: corrugated
corrupt: corrupt,corrupted
corset: corset
cosmetic: cosmetics
cost: cost,costs
costly: costly
costume: costume,costumed,costumes
costumier: costumier
cosy: cosy
cottage: cottage,cottages
cotton: cotton
couch: couched,couches
counsel: counsel
counsellor: counsellors
count: count,counted,counts
counter: counter
counteract: counteract
counterbalance: counterbalance
countless: countless
country: country
countryman: countryman,countrymen
couple: couple
courage: courage
courageous: courageous
court: court,courts
courteous: courteous
covent: covent
cover: cover,covered,covering,covers
covered: covered
covering: covering
cow: cows
cowardice: cowardice
cowardly: cowardly
cox: cox
crack: crack,cracked,cracks
crackle: crackle
craft: craft
crag: crags
cram: cram,crammed,cramming
cramp: cramp,cramping
cramped: cramped
cramping: cramping
crane: crane
crash: crash
craving: craving,cravings
crawl: crawl,crawling,crawls
creak: creaking
cream: cream
creamy: creamy
creaseless: creaseless
create: create,created,creates,creating
creation: creation,creations
creative: creative
creator: creator,creators
creature: creature,creatures
credence: credences
credit: credit,credited
credulity: credulity
credulous: credulous
creed: creed
creedless: creedless
creep: creeping
creeper: creepers
crest: crest,crests
crime: crime,crimes
crimson: crimson,crimsons
crinoline: crinolines
crisp: crisp
critic: critic,critics
critical: critical
critically: critically
criticise: criticise,criticises
criticism: criticism
crochet: crochet
cromwell: cromwell
crop: crop
cross: cross,crossed,crossing
crossing: crossing
crotchet: crotchet,crotchets
crouch: crouch,crouching
crouching: crouching
crow: crow
crowd: crowd,crowded,crowding,crowds
crowded: crowded
crown: crown,crowned
crowning: crowning
crucifixion: crucifixion,crucifixions
crude: crude
cruel: cruel
cruelty: cruelty
crumb: crumb,crumbs
crumble: crumbling
crumple: crumpled
crusaders: crusaders
crush: crush,crushed,crushing
crust: crust,crusted
crusted: crusted
crystal: crystal
cudgel: cudgelled
cue: cue
cultivate: cultivate,cultivated,cultivating
culture: culture
cumberland: cumberland
cunning: cunning
cup: cup,cups
cupid: cupid
curb: curbed,curbing
curd: curded
curdling: curdling
cure: cure,cured
curiosity: curiosities,curiosity
curious: curious
curl: curl,curling
curse: curse,cursed,curses
cursory: cursory
curtail: curtailed
curtain: curtain,curtains
curvature: curvature
curve: curve,curves
curved: curved
cushion: cushioned
custom: custom,customs
customary: customary
customer: customer,customers
cut: cut,cuts,cutting
cutlass: cutlasses
cutter: cutter
cutting: cutting
cynic: cynic,cynics
cynical: cynical
cyprus: cyprus
da: da
dab: dab,dabbing,dabs
dabble: dabble
dado: dado,dadoes
daguerreotype: daguerreotype
daily: daily
daisy: daisies,daisy
dally: dally
daltonism: daltonism
damage: damage,damaged
dame: dame
damp: damp
dan: dan
dance: dances,dancing
dancer: dancers
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dangle: dangling
dank: dank
dante: dante
dapple: dapple
daring: daring
dark: dark,darker,darks
darken: darken,darkened,darkening
darkness: darkness
dart: dart,darted,darting
darting: darting
darwinism: darwinism
dash: dash,dashed,dashes,dashing
dashy: dashy
dastardly: dastardly
daub: daubs
daughter: daughters
dauntless: dauntless
david: david
dawn: dawn,dawned,dawning
day: day,days
daylight: daylight
days: days
dazed: dazed
dazzle: dazzled
dazzling: dazzling
dead: dead
deaden: deaden,deadened
deadly: deadly
deaf: deaf
deal: deal,dealing,deals
dealer: dealer,dealers
deans: deans
death: death
deathless: deathless
debase: debased
debased: debased
debasing: debasing
debauched: debauched
debility: debility
decay: decay
deceit: deceit
deceive: deceive,deceived
december: december
decency: decency
deceptive: deceptive
decide: decide,decided
decidedly: decidedly
decipher: decipher
decision: decision
deck: deck,decked,decks
declare: declared
decline: decline
decorate: decorate,decorated
decoration: decoration,decorations
decorative: decorative
decorator: decorator
decoy: decoys
decrease: decreasing
decree: decrees
decry: decry
dedicate: dedicated
deed: deed,deeds
deep: deep,deeper,deepest
deepen: deepens
deeply: deeply
defeat: defeat
defect: defect,defects
defence: defence
defenceless: defenceless
defiance: defiance
defiant: defiant
defiantly: defiantly
deficient: deficient
defile: defile
defilement: defilements
define: define,defined
definite: definite
deform: deformed,deforming
deft: deft
defy: defied,defy
degradation: degradation
degraded: degraded
degrading: degrading
degree: degree,degrees
deify: deified
deity: deity
del: del
delay: delay
delf: delf
deliberate: deliberate
deliberation: deliberation
delicacy: delicacy
delicate: delicate
delicately: delicately
delicious: delicious
deliciously: deliciously
delight: delight,delighted
delighted: delighted
delightful: delightful
delightfully: delightfully
delirium: delirium
deliverance: deliverance
delivery: delivery
della: della
deluge: deluge
delusion: delusion,delusions
delusive: delusive
deluxe: deluxe
demand: demand,demands
demerit: demerits
demi: demi
demolish: demolish
demon: demon,demons
demoniac: demoniac
demonstrate: demonstrate,demonstrated
demoralise: demoralise,demoralising
demoralising: demoralising
den: den
denote: denoting
dense: dense,denser
density: density
denude: denuded
deny: denied,deny
depart: depart,departed,departing
department: department,departments
departure: departure
depend: depend,depended,depends
depict: depict,depicted,depicting
deplorable: deplorable
deplore: deplore,deplored,deploring
depression: depression
depth: depth
depths: depths
derby: derby
deride: deride
derision: derision
descend: descend,descended
descent: descent
description: description,descriptions
descriptive: descriptive
desert: desert,deserts
deserted: deserted
deserve: deserve,deserves
design: design,designed,designs
designer: designer
designing: designing
desire: desire,desired,desires,desiring
desirous: desirous
desolate: desolate
despair: despair
desperation: desperation
despise: despise,despised,despises
dessert: dessert
destination: destination
destiny: destinies,destiny
destroy: destroy,destroyed,destroying,destroys
destroyer: destroyers
destruction: destruction
deter: deters
deteriorate: deteriorate
determine: determine,determined
dethrone: dethroned
devastate: devastated
devastation: devastation
develop: develop,developed,developing
develope: developes
development: development
deviation: deviation
device: device,devices
devil: devil,devils
devoid: devoid
devonshire: devonshire
devote: devote,devoted,devoting
devoted: devoted
devotion: devotion
devotionalist: devotionalist
devour: devour,devoured,devouring
devourer: devourer
devout: devout
dew: dew,dews
dewdrop: dewdrops
dewy: dewy
dexterity: dexterity
dexterous: dexterous
di: di
diadem: diadems
diagonally: diagonally
diamond: diamond,diamonds
diana: diana
dick: dick
dickens: dickens
diction: diction
dido: dido
die: die,died,dies,dying
difference: difference
difficult: difficult
