abatement: abatement
ardently: ardently
argemone: argemone
argue: argued,arguing
argument: argument,arguments
arm: arm
army: army
arrange: arrange,arranged,arranges,arranging
arrangement: arrangement,arrangements
arrear: arrear
arrest: arrested
arrival: arrival
arrive: arrive,arrived,arriving
arrogance: arrogance
arrogant: arrogant
art: art,arts
artful: artful
artfully: artfully
article: article,articles
artificial: artificial
artist: artist
ascend: ascended
ascertain: ascertain,ascertaining
ashamed: ashamed
asleep: asleep
aspect: aspect
asperity: asperity
aspire: aspire
assemble: assembled
assembly: assemblies,assembly
assent: assent,assented,assents
assert: assert,asserted,asserting
assertion: assertion,assertions
assiduous: assiduous
assiduously: assiduously
assist: assist,assisted,assisting
assistance: assistance
assistant: assistant
associate: associating
assume: assume,assumed
assurance: assurance,assurances
assure: assure,assured,assures,assuring
astonish: astonish,astonished
astonished: astonished
astonishment: astonishment
atone: atone,atoned
atonement: atonement
attach: attach,attached
attachment: attachment,attachments
attack: attack,attacked,attacks
attain: attained
attempt: attempt,attempted,attempting
attend: attend,attended,attending
attendance: attendance
attendant: attendant,attendants
attention: attention,attentions
attentive: attentive
attentively: attentively
attic: attics
attitude: attitude
attorney: attorney
attract: attracted
attraction: attraction,attractions
attractiveness: attractiveness
attribute: attribute,attributed,attributing
audible: audible
audience: audience
aught: aught
augment: augment,augmented
august: august
aunt: aunt,aunts
austerity: austerity
author: author,authors
authoritative: authoritative
authority: authority
authorize: authorize,authorized,authorizing
avail: avail,availed
avarice: avarice
avenue: avenue
aversion: aversion
avoid: avoid,avoided,avoiding
avoidance: avoidance
avow: avowed
avowal: avowal
avowed: avowed
await: awaited
awake: awake,awoke
awaken: awakened
aware: aware
awe: awe
awed: awed
awful: awful
awkward: awkward
awkwardness: awkwardness
ay: ay
backgammon: backgammon
bad: bad,worse,worst
badly: badly,worse
ball: ball,balls
ballad: ballad
balls: balls
balm: balm
band: band
banish: banish,banished
bank: banks
barbara: barbara
barbarous: barbarous
barbarously: barbarously
bare: bare
barefaced: barefaced
barely: barely
barouche: barouche
bashful: bashful
basis: basis
bass: bass
bates: bates
bath: bath
bathing: bathing
battle: battle,battled
bear: bear,bearing,bears,bore,born,borne
beating: beatings
beatrix: beatrix
beauteous: beauteous
beautiful: beautiful
beauty: beauties,beauty
beaux: beaux
bed: bed
befall: befall
befriend: befriended
beg: beg,begged,begging,begs
behalf: behalf
behave: behave,behaved,behaves
behaviour: behaviour
behold: beheld,beholding
belief: belief
bell: bell
belong: belong,belonged,belonging,belongs
beloved: beloved
bench: benches
bend: bent
beneath: beneath
beneficence: beneficence
beneficial: beneficial
benefit: benefit,benefited,benefiting,benefits
benevolence: benevolence
benevolent: benevolent
bennet: bennet
bennets: bennets
bent: bent
bequeath: bequeathed
bequest: bequest
bestow: bestow,bestowed,bestowing
bet: bets
betray: betray,betrayed
bewail: bewailed
bewilder: bewildered
bewitch: bewitched
bewitching: bewitching
bid: bid,bidding
billiard: billiard
bind: bound
bird: birds
birmingham: birmingham
birth: birth
bit: bit
bite: biting
bitter: bitter,bitterest
bitterly: bitterly
bitterness: bitterness
black: black
blacken: blacken
blame: blame,blamed,blaming
blameless: blameless
blamelessness: blamelessness
blast: blasted
blemish: blemish
blenheim: blenheim
bless: bless,blessed
blessing: blessing
blind: blind,blinded,blinds
blot: blots
blow: blow,blown
blowzy: blowzy
blue: blue
blush: blush,blushed,blushing
board: board
boast: boast,boasted,boasting
body: bodies
boisterously: boisterously
boisterousness: boisterousness
bold: bold
boldly: boldly
bonnet: bonnet
book: book,books
border: bordered,bordering
borrow: borrow,borrowed
bosom: bosom,bosoms
bottle: bottle
boulanger: boulanger
bound: bounds
boundary: boundary
boundless: boundless
bountiful: bountiful
bounty: bounty
bow: bow,bowed,bowing,bows
bowl: bowl
box: box,boxes
boy: boy,boys
bracelet: bracelets
brain: brain,brains
branch: branch
breach: breach
breadth: breadth
break: break,breaking,broke,broken
breakfast: breakfast,breakfasted
breast: breast
breath: breath
breathe: breathed,breathing
breathless: breathless
breed: bred
breeding: breeding
brevity: brevity
bribe: bribe
bribery: bribery
bride: bride
bridegroom: bridegroom
bridge: bridge
bright: bright,brightest
brighten: brightened,brightening
brilliancy: brilliancy
bring: bring,bringing,brings,brought
brink: brink
britain: britain
british: british
brittle: brittle
broad: broad
broken: broken
brook: brooking
brother: brother,brothers
brotherly: brotherly
brow: brow
brown: brown
buff: buff
build: build,built
building: building
bully: bully
burlesque: burlesque
burn: burning,burnt
burst: burst
bury: burying
busily: busily
business: business
bustle: bustle
busy: busy
butcher: butcher
butler: butler
bye: bye
cake: cake
calculate: calculate,calculated
calculation: calculation
calico: calico
calling: calling
calm: calm
calmly: calmly
calmness: calmness
cambric: cambric
cambridge: cambridge
camp: camp
candid: candid
candour: candour
canvas: canvas
canvass: canvassed
capable: capable
capacity: capacity
caper: capers
capital: capital
caprice: caprice
captain: captain
captivate: captivate,captivated,captivating
captivation: captivation
card: card,cards
care: care,cared,cares,caring
careful: careful
carefully: carefully
careless: careless
carelessness: carelessness
caroline: caroline
carpet: carpets
carriage: carriage,carriages
carry: carried,carry,carrying
carter: carter
carve: carved
cassino: cassino
cast: cast
casual: casual
catastrophe: catastrophe
catch: catch,catching,caught
catherine: catherine
causa: causa
caution: caution,cautioning
cautious: cautious
cautiousness: cautiousness
cease: cease,ceased
ceaseless: ceaseless
celebrate: celebrated
celebrated: celebrated
celerity: celerity
censure: censure,censured,censuring
centre: centred
century: century
ceremonious: ceremonious
ceremony: ceremonies,ceremony
certainty: certainty
cessation: cessation
chagrin: chagrin
chair: chair
chaise: chaise
challenge: challenge
chamber: chamber
chambermaid: chambermaid
chance: chance,chanced
chancery: chancery
change: change,changed,changing
chaperon: chaperon
chapter: chapter,chapters
character: character,characters
characteristic: characteristic,characteristics
characterize: characterize
charge: charge,charged
charing: charing
charity: charity
charles: charles
charlotte: charlotte
charm: charm,charms
charming: charming
charmingly: charmingly
chary: chary
chatty: chatty
cheap: cheap
cheapside: cheapside
cheat: cheat,cheating
check: check,checked,checking
cheek: cheeks
cheer: cheering
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cheering: cheering
cherish: cherish,cherished
chestnut: chestnuts
chicken: chicken
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
chimney: chimney
chin: chin
china: china
chip: chip
choice: choice,choicest
choose: choose,chooses,choosing,chose,chosen
christening: christening
christian: christian
christmas: christmas
chronological: chronological
church: church
churchill: churchill
circle: circle,circles
circuit: circuit
circulate: circulated,circulating
circulation: circulation
circumspect: circumspect
circumspection: circumspection
circumstance: circumstance,circumstances
city: city
civil: civil
civility: civilities,civility
civilly: civilly
claim: claim,claimed,claims
clamorous: clamorous
clarke: clarke
class: class
classical: classical
cleanse: cleanse
clement: clement
clergy: clergy
clergyman: clergyman
clerical: clerical
clerk: clerk,clerks
clever: clever
climax: climax
clock: clock
close: close,closed,closer,closest
closely: closely
closet: closets
closure: closure
clothes: clothes
cloud: clouded
clue: clue
clump: clump
cluster: cluster
coach: coach
coachman: coachman
coarse: coarse
coarsely: coarsely
coarseness: coarseness
coat: coat,coats
coax: coaxed
coffee: coffee
cogent: cogent
coherent: coherent
coincide: coincide,coincided
coincidence: coincidence
cold: cold,colder,colds
coldly: coldly
collect: collect,collected,collecting
collection: collection
collins: collins
collinses: collinses
colonel: colonel
colossal: colossal
colour: colour,coloured,colouring
coloured: coloured
colouring: colouring
combination: combination
combine: combined
comedy: comedy
comer: comers
comfort: comfort,comforted,comforts
comfortable: comfortable
comfortably: comfortably
comfortless: comfortless
command: command,commanded
commencement: commencement
commend: commended
commendable: commendable
commendation: commendation,commendations
comment: comment
commerce: commerce
commiseration: commiseration
commission: commission,commissioned,commissioning
common: common,commonest
commonly: commonly
communicate: communicate,communicated
communication: communication,communications
communicative: communicative
communicativeness: communicativeness
companion: companion,companions
companionship: companionship
company: company
comparative: comparative
comparatively: comparatively
compare: compare,compared,comparing
comparison: comparison,comparisons
compass: compass
compassion: compassion
compassionate: compassionate
compatible: compatible
compensation: compensation
competent: competent
competition: competition
competitor: competitor
complacency: complacency
complain: complain,complained,complaining
complaint: complaint,complaints
complaisance: complaisance
complaisant: complaisant
complete: complete,completed
completely: completely
completeness: completeness
completion: completion
complexion: complexion
compliance: compliance
compliment: compliment,complimented,complimenting,compliments
comply: complied,comply,complying
compose: compose,composed
composedly: composedly
composition: composition
composure: composure
comprehend: comprehend,comprehended,comprehends
comprehension: comprehension
comprise: comprise,comprised
compromise: compromised
conceal: conceal,concealed,concealing,conceals
concealment: concealment
conceit: conceit
conceited: conceited
conceive: conceive
conception: conception
concern: concern,concerned,concerns
concerned: concerned
concerto: concerto
conciliate: conciliate,conciliating
conciliatory: conciliatory
concise: concise
concisely: concisely
conclude: conclude,concluded,concluding
conclusion: conclusion
concurrence: concurrence
condemn: condemn,condemned
condescend: condescend,condescended,condescends
condescendingly: condescendingly
condescension: condescension
condition: condition,conditions
conditional: conditional
conditionally: conditionally
condole: condole
condolence: condolence
conduct: conduct,conducted
confederacy: confederacy
conference: conference
confess: confess,confessed
confession: confession
confidante: confidante
confide: confide,confiding
confidence: confidence
confident: confident
confidential: confidential
confidently: confidently
confine: confined
confinement: confinement
confirm: confirm,confirmed,confirming,confirms
confirmation: confirmation
confused: confused
confusion: confusion
congenial: congenial
congratulate: congratulate,congratulated
congratulation: congratulation,congratulations
congratulatory: congratulatory
conjecture: conjecture,conjectured,conjectures,conjecturing
conjugal: conjugal
conjunction: conjunction
connect: connect,connected,connects
connection: connection,connections
connivance: connivance
connubial: connubial
conquer: conquer,conquered
conquest: conquest
conscience: conscience
conscientious: conscientious
conscientiously: conscientiously
conscious: conscious
consciously: consciously
consciousness: consciousness
consent: consent,consented,consenting
consequence: consequence,consequences
consequent: consequent
consequential: consequential
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consign: consign,consigned
consist: consist,consisted,consists
consistency: consistency
consistent: consistent
consolation: consolation
consolatory: consolatory
console: console,consoled,consoling
consoling: consoling
constancy: constancy
constant: constant
constantly: constantly
consternation: consternation
constitute: constitute
constitution: constitution
constrained: constrained
construction: construction
construe: construed,construing
consult: consult,consulted,consulting
consummate: consummate
contemplation: contemplation
contempt: contempt
contemptuously: contemptuously
content: content
contented: contented
contention: contention
contentment: contentment
contents: contents
continual: continual
continually: continually
continuance: continuance
continue: continue,continued,continuing
continued: continued
contract: contracted
contradict: contradict,contradicted
contradiction: contradictions
contrariety: contrariety
contrariwise: contrariwise
contrary: contrary
contrast: contrast,contrasted
contribute: contribute,contributed,contributes
contrivance: contrivance
contrive: contrive
contrived: contrived
controvert: controverted
convenience: convenience,conveniences
convenient: convenient
convention: convention
conversation: conversation,conversations
converse: converse,conversed,conversing
conversible: conversible
convert: convert,converting
convey: convey,conveyed,conveying
conviction: conviction
convince: convince,convinced
convinced: convinced
cook: cook,cooks
cookery: cookery
cool: cool
coolly: coolly
coppice: coppice
copse: copse
copying: copying
copyright: copyright
coquetry: coquetry
cordial: cordial
cordiality: cordiality
cordially: cordially
corner: corner
corps: corps
correct: correct
correspond: correspond
correspondence: correspondence
correspondent: correspondent,correspondents
corroborate: corroborated
corroboration: corroboration
corruption: corruption
cosmic: cosmic
cost: cost,costing
cottager: cottagers
cough: cough,coughing,coughs
count: count,counted,counting
countenance: countenance
counteract: counteract,counteracted
counterbalance: counterbalance
counterpart: counterpart
country: country
county: county
coup: coup
couple: couple,couples
courage: courage
courier: courier
court: court,courted,courting
courteous: courteous
courtesy: courtesied,courtesy
courtier: courtier
courtship: courtship
cousin: cousin,cousins
cover: cover,covered,covering
covering: covering
covey: coveys
cow: cows
coxcomb: coxcomb
cradle: cradles
cram: crammed
crayon: crayons
create: created
creation: creation
creative: creative
creatress: creatress
creature: creature,creatures
credit: credit
creditable: creditable
creditably: creditably
creditor: creditors
criminal: criminal
crisis: crisis
critic: critics
critical: critical
criticise: criticise
criticism: criticisms
cross: cross,crossed,crossing
crowd: crowd,crowded
crown: crown,crowned
cruel: cruel
cruelly: cruelly
cruelty: cruelty
crush: crushing
cucumber: cucumber
culprit: culprit
cultivation: cultivation
cunning: cunning
cup: cup
cure: cure
curiosity: curiosities,curiosity
curious: curious
curricle: curricle
curtail: curtailed
curtain: curtains
custody: custody
custom: custom
cut: cutting
cynic: cynic
cynical: cynical
cynicism: cynicism
daily: daily
damp: damp
damsel: damsel
dance: dance,danced,dances,dancing
dancing: dancing
danger: danger
dangerous: dangerous
darcy: darcy
daresay: daresay
daring: daring
dark: dark
darling: darling
dart: darting
daughter: daughter,daughters
dawdle: dawdled
dawson: dawson
day: day,days
dazzle: dazzling
dead: dead
deaden: deaden
deal: deal,dealing
dearest: dearest
dearly: dearly
death: death
debt: debt,debts
decade: decade
decamp: decamping
decease: decease
deceitful: deceitful
deceive: deceive,deceived,deceives,deceiving
decency: decency
decent: decent
deception: deception
decide: decide,decided,deciding
decidedly: decidedly
decision: decisions
decisive: decisive
deck: decked
declaration: declaration
declare: declare,declared,declares,declaring
decline: decline,declined
decorum: decorum,decorums
dedication: dedication
deduce: deduced
deem: deemed
deep: deep,deeper,deepest
deeply: deeply
default: default
defect: defect,defects
defection: defection
defective: defective
defence: defence
defend: defend,defended
defer: defer,deferred
deference: deference
defiance: defiance
deficiency: deficiency
deficient: deficient
define: defined
definition: definition
defy: defied,defy
degenerate: degenerate
degradation: degradation
degree: degree,degrees
deign: deigned
dejection: dejection
delay: delay,delayed
deliberate: deliberated
deliberately: deliberately
deliberation: deliberation
delicacy: delicacy
delicate: delicate
delicately: delicately
delicious: delicious
delight: delight,delighted,delighting,delights
delighted: delighted
delightful: delightful
delightfully: delightfully
deliver: delivered,delivering
della: della
demand: demand,demanding,demands
demean: demean
demeanour: demeanour
demureness: demureness
denial: denial
denominate: denominated
denote: denoted
denouement: denouement
deny: denied,deny,denying
depart: depart,departed
departure: departure
depend: depend,depended,depending
dependence: dependence
dependent: dependent
depict: depicting
deportment: deportment
depravity: depravity
depreciate: depreciate
depress: depressed
depressed: depressed
deprive: deprive,deprived
derange: deranged
derbyshire: derbyshire
derision: derision
derive: derive,derived,derives
descend: descended,descending
descent: descent
description: description
desert: desert,deserted,deserts
desertion: desertion
deserve: deserve,deserved,deserves,deserving
deserved: deserved
deservedly: deservedly
deserving: deserving
design: design,designed,designing,designs
designedly: designedly
desirable: desirable
desire: desire,desired,desiring
desirous: desirous
despair: despair
despaired: despaired
despatch: despatched
despatched: despatched
desperate: desperate
desperation: desperation
despicable: despicable
despicably: despicably
despise: despise,despised,despises,despising
desponding: desponding
destine: destined
destitute: destitute
destroy: destroyed
destructive: destructive
detach: detached,detaching
detached: detached
detailed: detailed
detain: detain,detained,detaining
detect: detect,detected
detection: detection
deter: deter
determination: determination
determine: determine,determined,determining
determined: determined
detest: detest,detested
detestable: detestable
develop: developing
develope: develope
development: development
device: device
devoid: devoid
devote: devote,devoted,devoting
devotee: devotees
dialogue: dialogue
diana: diana
dictate: dictate,dictated,dictates,dictating
dictatorial: dictatorial
die: die,died,dying
difference: difference,differences
differentiate: differentiated
difficult: difficult
difficulty: difficulty
diffidence: diffidence
diffident: diffident
diffuse: diffuse,diffused
diffuseness: diffuseness
dignified: dignified
dignity: dignity
digression: digressions
dilatory: dilatory
diligence: diligence
dimension: dimensions
diminution: diminution
dine: dine,dined,dines,dining
dining: dining
dinner: dinner,dinners
dinnertime: dinnertime
direct: direct,directed,directing
direction: direction,directions
dirt: dirt
dirty: dirty
disadvantage: disadvantage,disadvantages
disagreeable: disagreeable
disagreeably: disagreeably
disagreement: disagreement
disappoint: disappoint,disappointed,disappointing
disappointed: disappointed
disappointing: disappointing
disappointment: disappointment,disappointments
disapprobation: disapprobation
disapprove: disapprove
disarm: disarm
disbelieving: disbelieving
discard: discarding
discern: discern,discerning
discernible: discernible
discernment: discernment
discharge: discharge,discharged,discharging
disclaim: disclaim,disclaimed
disclose: disclose,disclosed
disclosure: disclosure
discompose: discompose,discomposed
discomposure: discomposure
disconcerted: disconcerted
discontented: discontented
discontentedness: discontentedness
discontinuance: discontinuance
discourage: discourage,discouraged
discourse: discourse,discourses
discover: discover,discovered,discovering
discovery: discovery
discredit: discredit
discreditable: discreditable
discretion: discretion
discrimination: discrimination
discuss: discuss,discussed
discussion: discussion
disdain: disdain,disdained
disengage: disengaged
disgrace: disgrace,disgracing
disgraced: disgraced
disgraceful: disgraceful
disguise: disguise,disguised
disgust: disgust
disgusted: disgusted
disgusting: disgusting
dish: dish,dishes
dishearten: disheartened
dishonest: dishonest
dishonesty: dishonesty
dishonourable: dishonourable
disinclination: disinclination
disinclined: disinclined
disinterested: disinterested
disinterestedness: disinterestedness
dislike: dislike,disliked,dislikes,disliking
dismay: dismay
dismiss: dismissed
dismission: dismission
disoblige: disobliging
dispel: dispelling
dispense: dispense
dispirited: dispirited
display: display,displayed,displaying
displease: displease,displeased
displeased: displeased
displeasure: displeasure
disposal: disposal
dispose: dispose,disposed,disposing
disposed: disposed
disposition: disposition,dispositions
disputable: disputable
dispute: dispute,disputes
disquiet: disquiet
disregard: disregarded
disrespect: disrespect
disrespectful: disrespectful
dissatisfied: dissatisfied
dissect: dissecting
dissemble: dissemble
disservice: disservice
dissipation: dissipation
dissolve: dissolved
dissuade: dissuade,dissuaded
distance: distance
distant: distant
distinct: distinct
distinction: distinction
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishing
distinguished: distinguished
distracted: distracted
distractedly: distractedly
distraction: distraction
distress: distress,distressed
distressed: distressed
distressing: distressing
distribute: distribute
distrust: distrust,distrusted
disturb: disturb,disturbed
disturbance: disturbance
disturbed: disturbed
disturber: disturbers
diversify: diversified
diversion: diversion
divert: divert,diverted
divide: divide,divided,dividing
division: division
doings: doings
doleful: doleful
domestic: domestic,domestics
doom: dooming
door: door,doors
doorway: doorway
dose: dose
double: double,doubled
doubly: doubly
doubt: doubt,doubted,doubting,doubts
doubtingly: doubtingly
doubtless: doubtless
downstairs: downstairs
dozen: dozen
drab: drab
draught: draught,draughts
draw: draw,drawing,drawn,draws,drew
drawing: drawing,drawings
dread: dread,dreaded,dreading
dreadful: dreadful
dreadfully: dreadfully
dress: dress,dressed,dresses,dressing
dressed: dressed
dressing: dressing
drily: drily
drink: drink,drinking
drive: drive,driven,driving,drove
droop: drooping
drop: drop,dropped
duchess: duchess
duck: ducks
ductility: ductility
duel: duel
duet: duets
dull: dull,dullest
dulness: dulness
dupe: dupe,duped
duplicity: duplicity
duration: duration
dutifully: dutifully
duty: duties,duty
dwell: dwell,dwelling,dwelt
dwelling: dwelling
eager: eager
eagerly: eagerly
eagerness: eagerness
ear: ear
earl: earl
earnest: earnest
earnestly: earnestly
earnestness: earnestness
earth: earth
earthly: earthly
ease: ease
easily: easily
easiness: easiness
easter: easter
easy: easier,easy
eat: ate,eat,eating
eccentric: eccentric
echo: echo
eclipse: eclipsed
economically: economically
economy: economy
ecstasy: ecstasy
edge: edge,edged
edmund: edmund
educate: educated
education: education
edward: edward
effectual: effectual
effectually: effectually
efficacy: efficacy
effort: effort,efforts
effusion: effusion,effusions
egregious: egregious
eighteenth: eighteenth
elaborate: elaborate
elapse: elapsed
elated: elated
eld: elder,eldest
elder: elder
elderly: elderly
elegance: elegance
elegant: elegant
element: element
elevate: elevate,elevated,elevating
elevated: elevated
elevation: elevation
eligibility: eligibility
eligible: eligible
eliza: eliza
elizabeth: elizabeth
elope: elope,eloped
elopement: elopement
eloping: eloping
eloquence: eloquence
eloquent: eloquent
elude: eluded
embargo: embargo
embarrassed: embarrassed
embarrassment: embarrassment
embrace: embraced,embracing
emergency: emergency
eminence: eminence
eminent: eminent
eminently: eminently
emma: emma
emotion: emotion,emotions
emphasis: emphasis
emphatic: emphatic
emphatically: emphatically
employ: employ,employed,employing
employment: employment,employments
emptiness: emptiness
enable: enable,enabled,enabling
encamp: encamped
encounter: encounter
encourage: encourage,encouraged,encouraging
encouragement: encouragement
encouraging: encouraging
encroaching: encroaching
encumbrance: encumbrance
endear: endeared
endeavor: endeavor
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endurable: endurable
endure: endure,endured,enduring
enemy: enemies,enemy
energetic: energetic
energy: energy
enforce: enforced
engage: engage,engaged,engaging
engaged: engaged
engagement: engagement,engagements
engaging: engaging
england: england
english: english
engross: engross,engrossed
engrossing: engrossing
enhance: enhance
enjoy: enjoy,enjoying
enjoyment: enjoyment,enjoyments
enlarge: enlarging
enormity: enormity
enrage: enraged
ensign: ensign
ensigncy: ensigncy
ensue: ensue,ensued,ensuing
entail: entail,entailed,entailing
enter: enter,entered,entering,enters
entertain: entertain,entertained
entertained: entertained
entertainment: entertainment
enthral: enthralling
entitle: entitled
entrain: entrain
entrance: entrance
entreat: entreat,entreated,entreating
entreaty: entreaties,entreaty
enumerate: enumerating
enumeration: enumeration
envelope: envelope
envied: envied
environs: environs
envy: envied,envy,envying
epicurean: epicurean
epithet: epithet
epsom: epsom
equal: equal,equalled,equals
equally: equally
equipage: equipage
equivalent: equivalent
equivocal: equivocal
ere: ere
err: err
errand: errand
error: error,errors
escape: escape,escaped,escaping
essence: essence
essential: essential,essentials
establish: establish,established
establishment: establishment
estate: estate,estates
esteem: esteem,esteemed
esteemed: esteemed
estimable: estimable
estimate: estimated
estimation: estimation
etiquette: etiquette
evade: evade
evening: evening,evenings
evenness: evenness
event: event,events
evident: evident
evidently: evidently
evil: evil,evils
exact: exact
exaggerate: exaggerate
exaggeration: exaggeration
exalt: exalt
examination: examination
examine: examine,examined,examining
exasperate: exasperate
exceed: exceed,exceeded,exceeding
exceedingly: exceedingly
excel: excel,excelled
excellence: excellence
excellent: excellent
exception: exception
exceptionable: exceptionable
excess: excess
excessive: excessive
excessively: excessively
exchange: exchanged
excite: excite,excited
excited: excited
exciting: exciting
exclaim: exclaim,exclaimed,exclaiming
exclamation: exclamation,exclamations
exclude: exclude
exclusion: exclusion
excusable: excusable
excuse: excuse,excused,excuses
execute: executed
execution: execution
executor: executors
exemption: exemption
exercise: exercise,exercising
exert: exert,exerted,exerting
exertion: exertion
exhaust: exhausted
exhausted: exhausted
exhibit: exhibit,exhibited,exhibiting
exhibition: exhibition
exigence: exigence
exigency: exigencies
exist: exist,existed,existing
existence: existence
expect: expect,expected,expecting,expects
expectation: expectation,expectations
expedient: expedient
expedite: expedite
expeditiously: expeditiously
expense: expense,expenses
experience: experience,experienced
explain: explain,explained,explaining
explanation: explanation,explanations
explanatory: explanatory
explicit: explicit
explicitly: explicitly
explore: explore
expose: expose,exposed,exposing
exposition: exposition
expostulation: expostulation
exposure: exposure
express: express,expressed,expressing
expression: expression,expressions
expressive: expressive
expressively: expressively
expressly: expressly
exquisite: exquisite
exquisitely: exquisitely
extend: extend,extended
extended: extended
extensive: extensive
extent: extent
extenuating: extenuating
extinguish: extinguished
extort: extort,extorted
extract: extracts
extraction: extractions
extraordinary: extraordinary
extravagance: extravagance
extravagant: extravagant
extreme: extreme
extremely: extremely
exuberance: exuberance
exuberant: exuberant
exultation: exultation
eye: eye,eyeing,eyes
eyelash: eyelashes
faced: faced
faculty: faculties,faculty
fail: fail,failed,failing
failure: failure
faint: faint,fainter
faintly: faintly
fair: fair,fairest
faithful: faithful
faithfully: faithfully
fall: fall,fallen,falling,falls,fell
false: false
falsehood: falsehood
falsely: falsely
falsification: falsification
fame: fame
familiar: familiar
familiarity: familiarity
