abandon: abandon,abandoned,abandoning
aim: aim,aimed
air: air
airing: airing
ajar: ajar
alabaster: alabaster
alacrity: alacrity
alarm: alarm,alarmed
alarmed: alarmed
alarming: alarming
alas: alas
alban: alban
albert: albert
alien: alien
alike: alike
alive: alive
allay: allay,allayed,allaying
allaying: allaying
allege: alleging
alleged: alleged
aller: aller
alleviate: alleviate,alleviated
alliance: alliance
allude: alluded,alludes
alluding: alluding
allusion: allusion,allusions
aloft: aloft
aloud: aloud
alps: alps
altar: altar,altars
alter: alter
alteration: alterations
altered: altered
alternate: alternate
alternately: alternately
altogether: altogether
amalgamation: amalgamation
amatory: amatory
amazement: amazement
amazingly: amazingly
ambassadress: ambassadress
amenable: amenable
amiability: amiability
amiable: amiable
amnesty: amnestied,amnesty
amorous: amorous
amorously: amorously
ample: ample
amuse: amuse,amused
amused: amused
amusement: amusements
amusing: amusing
ancestor: ancestors
ancestral: ancestral
anew: anew
angel: angel
angelic: angelic
anger: anger
angle: angles
angrily: angrily
angry: angry
ani: ani
animal: animal
animation: animation
ankle: ankle,ankles
ann: ann
annex: annexed
annihilate: annihilated
annihilation: annihilation
annoy: annoy,annoyed,annoys
annoyed: annoyed
annoyingly: annoyingly
annuity: annuity
annum: annum
anoint: anointed
anon: anon
anonymous: anonymous
answer: answer,answered,answering
anticipate: anticipate,anticipated,anticipating
anticipation: anticipation,anticipations
anus: anus
anxiety: anxieties,anxiety
anxious: anxious
apartment: apartment,apartments
apathy: apathy
apennines: apennines
aperture: aperture,apertures
apiece: apiece
apologise: apologised
apoplectic: apoplectic
apparent: apparent
appeal: appeal,appeals
appearance: appearance,appearances
appease: appeased
appendage: appendages
appertain: appertaining
appetising: appetising
appetite: appetite,appetites
appetizing: appetizing
applaudingly: applaudingly
apple: apple
applicable: applicable
applicant: applicants
application: application,applications
apply: applied,apply,applying
appoint: appointed
appointment: appointment
appreciation: appreciation
apprehension: apprehensions
apprentice: apprentice
apprenticeship: apprenticeship
approach: approach,approached,approaches,approaching
approachable: approachable
appropriately: appropriately
approval: approval
approve: approve,approved
approximation: approximation
apt: apt
apter: apter
aptitude: aptitude
arbour: arbour
arcana: arcana
arched: arched
ardent: ardent
ardently: ardently
ardour: ardour
argument: argument
aright: aright
arm: arm,armed,arms
armchair: armchair
armed: armed
army: army
aromatic: aromatic
arouse: arouse,aroused
arrange: arrange,arranged,arranging
arrangement: arrangement,arrangements
array: arrayed
arrest: arrested
arrival: arrival
arrive: arrive,arrived,arriving
arse: arse,arses
arsehole: arsehole
art: art
artfulness: artfulness
article: article
artificial: artificial
artistic: artistic
ascend: ascend
ascent: ascent
ashamed: ashamed
asleep: asleep
assail: assailed
assault: assault
assemble: assembled
assent: assented
assert: assert,asserted
assist: assist,assisted,assisting
assistance: assistance
assizes: assizes
assuage: assuage,assuaged
assume: assumed,assuming
assurance: assurance
assure: assure,assured,assuring
astir: astir
astonish: astonish,astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounding: astounding
astraddle: astraddle
astride: astride
asunder: asunder
asylum: asylum
attach: attach,attached
attached: attached
attachment: attachment
attack: attack,attacked,attacks
attacker: attacker
attain: attain,attained
attainment: attainments
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending
attendance: attendance
attention: attention
attentive: attentive
attentively: attentively
attic: attic
attire: attired
attitude: attitude,attitudes
attract: attract,attracted,attracting
attraction: attraction,attractions
attractive: attractive
attractiveness: attractiveness
attribute: attribute,attributed,attributing
audacity: audacity
aught: aught
augment: augment
augur: augur,augured
august: august
aunt: aunt
auntie: auntie
aureola: aureola
auspices: auspices
author: author
authority: authority
autumn: autumn
avail: avail,availed
avenge: avenge
aver: averred
average: average
avidity: avidity
avoid: avoid,avoided,avoiding
avow: avow,avowed,avowing
avowal: avowal
await: await,awaited,awaiting
awake: awake,awaking,awoke
awaken: awaken,awakened
awakening: awakening
aware: aware
awestruck: awestruck
awful: awful
awkward: awkward
awkwardly: awkwardly
awkwardness: awkwardness
babe: babe,babes
baby: baby
bacchante: bacchante
bachelor: bachelor
backless: backless
backside: backside,backsides
bad: bad,worse,worst
badly: badly
bag: bag,bags
bait: bait
baize: baize
bald: bald
ball: ball,balls
ballock: ballocks
balm: balm
balmy: balmy
bang: banging
bank: bank
baptise: baptising
bar: bar,barring
bare: bare,bared,baring
barefooted: barefooted
barn: barns
baron: barons
barouche: barouche
barrier: barrier,barriers
barrister: barrister
base: base
bashfully: bashfully
basin: basin
basket: basket
bated: bated
bath: bath,bathed
bathe: bathe
bathing: bathing
bathroom: bathroom
battle: battles
battlefield: battlefield
baulk: baulk,baulked
bawd: bawd
bawdiness: bawdiness
bawdy: bawdy
bazaar: bazaar
beam: beamed
bear: bear,bore,born,borne
bearing: bearing
beat: beat,beaten,beating,beats
beau: beau
beauteous: beauteous
beauteously: beauteously
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
beckon: beckoned
bed: bed,beds
bedclothes: bedclothes
bedding: bedding
bedew: bedewed
bedfellow: bedfellow,bedfellows
bedroom: bedroom,bedrooms
bedside: bedside
bedstead: bedstead
bedtime: bedtime
beef: beef
beer: beer
befitting: befitting
beg: beg,begged,begging
beget: begets
behave: behave,behaved
behaviour: behaviour
behold: beheld,behold
belabour: belabour,belabouring
bell: bell
belly: bellies,belly
belong: belong,belonged,belongs
beloved: beloved
belt: belt
bend: bend,bending,bent
beneath: beneath
benefactress: benefactress
beneficial: beneficial
benefit: benefit
benson: benson
bent: bent
berate: berated
berth: berth
beseech: beseeched
bespeak: bespoken
bessie: bessie
bestow: bestowed
bet: bet
betake: betake,betook
betook: betook
betray: betray,betrayed,betraying
betrayal: betrayal
bewitch: bewitching
bewitching: bewitching
biblical: biblical
bid: bade,bid
bidding: bidding
bidet: bidet
bien: bien
bigot: bigot
bigotry: bigotry
bijoux: bijoux
billing: billing
bind: bound
birch: birch,birched,birching
birching: birching
bird: bird
birmingham: birmingham
birth: birth
birthday: birthday
biscuit: biscuit,biscuits
bit: bit,bits
bite: bit
bitter: bitter
bitterly: bitterly
black: black
blackguard: blackguard
bladder: bladder,bladders
blade: blades
blame: blame,blamed
blanc: blanc
blanche: blanche
blank: blank
blanket: blanket
blaze: blaze,blazing
bleed: bleed
bleeding: bleeding,bleedings
blemish: blemish
bless: bless,blessed
blessed: blessed
blessing: blessing
blind: blind,blinds
bliss: bliss
blissful: blissful
block: blocked,blocking
blood: blood
blooded: blooded
bloody: bloody
bloom: bloom
blow: blew,blow,blown,blows
blown: blown
blue: blue
blush: blush,blushed,blushing
board: board
boarder: boarder
boast: boasting
boatswain: boatswain
boccaccio: boccaccio
bodice: bodice
bodiced: bodiced
bodily: bodily
body: bodies,body
boil: boiling
boiling: boiling
bold: bold,bolder
boldly: boldly
bolt: bolt,bolted
bond: bond,bonds
bone: bone,bones
bonne: bonne
bonnet: bonnet,bonnets
booby: booby
book: book,books
boot: boots
bordeaux: bordeaux
borgh: borgh
bosom: bosom,bosoms
bother: bother
bottle: bottle,bottles
bouche: bouche
boudoir: boudoir
bound: bound,bounded,bounding,bounds
boundlessly: boundlessly
bout: bout,bouts
bow: bows
bower: bower
box: box
boy: boy,boys
boyish: boyish
boylike: boylike
brace: braces
braid: braids
brand: brand
brass: brass
bravado: bravado
brave: brave
bravo: bravo
brawn: brawn
brawny: brawny
bray: brayed
braying: braying
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breakfast: breakfast,breakfasted
breast: breast,breasts
breath: breath
breathe: breathe,breathed,breathing
breathing: breathing
breathless: breathless
breeches: breeches
breeding: breeding
bridal: bridal
bride: bride
bridegroom: bridegroom
bridesmaid: bridesmaids
bridget: bridget
bridle: bridle
brig: brig
bright: bright
brilliancy: brilliancy
brilliant: brilliant
brine: brine
bring: bring,bringing,brings,brought
broad: broad,broadest
broadly: broadly
broken: broken
brother: brother,brothers
brougham: brougham
brown: brown
brush: brush,brushing
brute: brutes
bubby: bubbies,bubby
bud: budding
budding: budding
buff: buff
bugger: bugger,buggered,buggering,buggers
build: built
building: building
bulge: bulged,bulging
bulging: bulging
bulk: bulk
bull: bull
bum: bum,bums
bunch: bunch,bunches
bundle: bundle,bundling
bungle: bungled
burden: burden
burn: burned,burning,burnt
burning: burning
burst: burst,bursting
bursting: bursting
bury: buried
bush: bush,bushes
bushy: bushy
busily: busily
business: business
bustling: bustling
busy: busied,busy
buttock: buttock,buttocks
button: button,buttoned,buttoning
bye: bye
cab: cab
cabin: cabin
cachet: cachet
cajole: cajoled
cake: cake
calais: calais
calculate: calculating
calculated: calculated
calf: calves
callipygian: callipygian
calm: calm,calmed,calmer
calmly: calmly
cambric: cambric
cambridge: cambridge
campaign: campaign
candid: candid
candle: candle,candles
candlestick: candlestick
candour: candour
canterbury: canterbury
cap: cap
capable: capable
capacious: capacious
capacity: capacity
capital: capital,capitals
caprice: caprice,caprices
captain: captain
captivate: captivated,captivating
cara: cara
card: card,cards
care: care
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
carelessness: carelessness
caress: caress,caressed,caresses,caressing
caressing: caressing
caressingly: caressingly
cargo: cargo
carl: carl
carnal: carnal
carpenter: carpenter
carpet: carpet
carriage: carriage
carry: carried,carry,carrying
carte: carte
casanova: casanova
casse: casse
cast: cast,casting
castigation: castigation
castigator: castigator
castle: castle,castles
catalogue: catalogue
cataract: cataract
catch: catch,catching,caught
cathedral: cathedral
cauterize: cauterize
caution: caution,cautioned,cautioning
cautious: cautious
cautiousness: cautiousness
cave: cave
cavendish: cavendish
cavern: cavern
cavity: cavity
cease: cease,ceased,ceasing
cede: cede,ceded
ceiling: ceiling
celebrate: celebrate
celebrated: celebrated
celebration: celebration
celestial: celestial
cell: cell
censure: censure
centre: centre
ceremony: ceremonies,ceremony
certainty: certainties,certainty
cessation: cessation
chain: chain,chains
chair: chair,chairs
challenge: challenged
chamber: chamber,chambers
chambre: chambre
champagne: champagne
chance: chance
change: change,changed,changing
changing: changing
channel: channel
chantage: chantage
chapter: chapter
character: character,characters
characteristic: characteristic
charles: charles
charley: charley
charlie: charlie
charm: charm,charms
charmed: charmed
charming: charming
charmingly: charmingly
chaste: chaste
chastity: chastity
chat: chat
chatter: chattered
chatty: chatty
cheat: cheat
check: check,checked
cheek: cheek,cheeks
cheer: cheer,cheered
cheerful: cheerful
chemin: chemin
chemise: chemise
cheque: cheque
cherish: cherish
chess: chess
chest: chest
cheval: cheval
chic: chic
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
childishness: childishness
chilly: chilly
chime: chimed
chimney: chimney
chin: chin
chink: chink,chinks
chisel: chisel
choice: choice
choke: choke,choked,choking
cholera: cholera
choose: choosing,chose,chosen
chop: chopped
christen: christened
christmas: christmas
chubby: chubby
chum: chum
church: church
churchwarden: churchwarden
chute: chute
cigarette: cigarettes
circle: circle,circles
circuit: circuit
circumference: circumference
circumstance: circumstance,circumstances
city: city
civil: civil
clad: clad
claim: claim,claimed,claiming
clan: clan
clapping: clapping
clasp: clasp,clasping
clasped: clasped
clasping: clasping
class: class,classes
classic: classic
clean: clean
cleft: cleft
clergyman: clergyman
clerical: clerical
clever: clever
cleverly: cleverly
climate: climate
climax: climax
climb: climbing
cling: clinging,clung
clitoris: clitoris
cloak: cloak
clock: clock
close: close,closed,closer,closest,closing
closed: closed
closely: closely
closeness: closeness
closet: closet
closing: closing
cloth: cloth
clothe: clad,clothe,clothed
clothes: clothes
club: club
clung: clung
clutch: clutched,clutches,clutching
coach: coach
coal: coal,coals
coarse: coarse,coarser
coast: coast
coat: coat
coax: coax
coaxer: coaxer
cock: cock,cocks
cod: cod,cods
codpiece: codpiece
coffee: coffee
cogitate: cogitating
coincidence: coincidence
coition: coition
cold: cold,colder
coldness: coldness
collar: collar
collection: collection
college: college
colleges: colleges
colloquy: colloquy
colour: colour,coloured,colours
coloured: coloured
comb: combing
combat: combat,combats
combination: combination,combinations
combine: combined
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
coming: coming
command: command,commanded,commanding
commanding: commanding
commence: commence,commenced,commences,commencing
commencement: commencement
commission: commission
commit: commit,committed,committing
commixture: commixture
commode: commode
commodious: commodious
common: common
communicate: communicate,communicated,communicating
communication: communication
communicative: communicative
compact: compact
companion: companion,companions
company: company
comparatively: comparatively
compare: compare,compared,comparing
comparison: comparison
compel: compel,compelled
compelled: compelled
complain: complain,complained,complaining
complaint: complaint,complaints
complete: complete,completed,completing
completely: completely
completeness: completeness
completion: completion
complex: complex
complexion: complexion
compliance: compliance
complicated: complicated
complicity: complicity
compliment: compliment,complimented,compliments
comply: complied,comply,complying
comprehend: comprehend,comprehended
compress: compressed
compression: compressions
compromise: compromise,compromised
compulsion: compulsion
conceal: conceal,concealed
concealment: concealment
conceivable: conceivable
conceive: conceive,conceived
concentrate: concentrated,concentrating
concentrated: concentrated
conception: conception
concern: concerned
concerned: concerned
concert: concert
concerted: concerted
conciliate: conciliated
conclude: concluded
conclusion: conclusion
concupiscent: concupiscent
concurrence: concurrence
condemn: condemning,condemns
condescending: condescending
condescension: condescension
condition: condition,conditions
condolence: condolence
conduct: conduct,conducted,conducting
conductor: conductor
conductress: conductress
confer: confer,conferred,conferring,confers
confess: confess,confessed
confession: confession,confessions
confessor: confessor
confidant: confidant
confide: confide,confided
confidence: confidence
confident: confident
confine: confined
confinement: confinement
confirm: confirmed
conflict: conflict
conform: conform,conforming
confound: confounded
confuse: confused
confused: confused
confusedly: confusedly
confusion: confusion
congenial: congenial
congratulate: congratulate,congratulated,congratulating
congratulating: congratulating
congratulation: congratulation,congratulations
conjecture: conjecture
conjoin: conjoined
conjunction: conjunction,conjunctions
conjure: conjure
connect: connected
connected: connected
connection: connection,connections
conquer: conquering
conquest: conquest,conquests
conscious: conscious
consciousness: consciousness
consecrate: consecrate
consent: consent,consented,consenting,consents
consequence: consequence,consequences
consequent: consequent
considerable: considerable
considerably: considerably
considerate: considerate
consideration: consideration
consist: consist,consisting
consistency: consistency
consolation: consolation
console: console,consoling
consoling: consoling
conspicuous: conspicuous
constant: constant
constantly: constantly
consternation: consternation
constitute: constituted
constitution: constitution,constitutions
constitutional: constitutional
constrain: constrained
construction: construction
consult: consult,consulted
consultation: consultation
consume: consumes,consuming
consummate: consummate
contact: contact
contemplate: contemplate,contemplated,contemplating
contemplation: contemplation
content: content
contented: contented
contentment: contentment
contents: contents
contest: contest,contests
contiguous: contiguous
continent: continent
continental: continental
continual: continual
continually: continually
continuance: continuance
continuation: continuation
continue: continue,continued,continues,continuing
continuous: continuous
continuously: continuously
contortion: contortions
contract: contracted
contracting: contracting
contradiction: contradictions
contrary: contrary
contrast: contrast
contribute: contributed
contribution: contribution
contrivance: contrivance,contrivances
contrive: contrive
contrived: contrived
control: control
convenience: convenience
convenient: convenient
conveniently: conveniently
convent: convent
conventional: conventional
conversant: conversant
conversation: conversation,conversations
conversational: conversational
converse: converse,conversed,conversing
convert: converted
convey: conveyed,conveying
conveyancer: conveyancer
conviction: conviction
convince: convince,convinced
convinced: convinced
convulse: convulsed
convulsion: convulsions
convulsive: convulsive
convulsively: convulsively
coo: cooing
cooing: cooing
cook: cook
cooking: cooking
cool: cool,cooled,cooler
cooler: cooler
coolly: coolly
copious: copious
copiously: copiously
copse: copse
copulate: copulate
copulation: copulations
coquettish: coquettish
coral: coral
cord: cord
core: core
cork: cork,corked
corn: corn
corner: corner
corpse: corpse
correct: correct
correctly: correctly
correspondence: correspondence
corridor: corridor
corrugated: corrugated
corrupt: corrupt,corrupted
corset: corset
costume: costume
cottage: cottage
cotton: cotton
couch: couch,couches
cough: cough
council: council
counsel: counsel,counsels
count: count,counting
countenance: countenance
counterpane: counterpane
counterpart: counterpart
countess: countess
country: country
coup: coup,coups
couple: couple,coupled,couples,coupling
coupling: coupling,couplings
courage: courage
court: court,courting
courtyard: courtyard
cousin: cousin,cousins
cover: cover,covered,covering
covered: covered
covering: covering,coverings
coverlet: coverlet
coverture: coverture
covet: coveted
cow: cowed
coyness: coyness
cram: cram,crammed
cranny: cranny
crave: crave,craved
craving: craving,cravings
crawl: crawled
cream: cream
creamy: creamy
crease: crease,creased
create: create,created,creating
creature: creature,creatures
credit: credit,credited
creep: creeping,crept
crestfallen: crestfallen
crevice: crevice
crew: crew
crime: crime
crimped: crimped
crisis: crisis
crisp: crisped
crispness: crispness
critical: critical
crop: crop
cross: crossed,crossing
crossly: crossly
crown: crown,crowned
cruel: cruel
cruelly: cruelly
crush: crushed,crushing
crying: crying
cuckold: cuckolded
cuddle: cuddle,cuddling
cue: cue
cull: cull
culminate: culminated
culprit: culprit
cultivate: cultivate
cunning: cunning
cunny: cunny
cunt: cunt,cunts
cup: cup
cupboard: cupboard
cupid: cupid
cure: cure,cured
curiosity: curiosity
curious: curious
curiously: curiously
curl: curled,curling,curls
curly: curly
current: current
curtail: curtailed
curtain: curtains
cushion: cushion,cushions
custom: custom
cut: cut,cuts,cutting
cutting: cutting
cutty: cutty
cypher: cypher
daily: daily
dainty: dainty
dale: dale
dales: dales
dalliance: dalliance
damask: damask
dame: dame
dance: danced,dancing
dancer: dancer
danger: danger
dangerous: dangerous
danseuse: danseuse
dark: dark
darling: darling,darlings
dart: dart,darted
dash: dash,dashed
daughter: daughter,daughters
davenport: davenport
dawn: dawn,dawned
day: day,days
daylight: daylight
daytime: daytime
dazzle: dazzled,dazzling
dazzling: dazzling
dazzlingly: dazzlingly
dead: dead
deaden: deaden,deadened
deadly: deadly
deaf: deaf
deal: deal
dearest: dearest
dearie: dearie
dearly: dearly
death: death
debased: debased
debauch: debauch,debauched
debauched: debauched
debauchee: debauchees
debauchery: debauchery
decease: decease
deceive: deceive,deceived,deceives
decency: decency
deception: deception
decide: decide,decided
decidedly: decidedly
decision: decision
declare: declare,declared,declaring
decline: declined
decorate: decorated
decorously: decorously
decoy: decoy
dedicate: dedicate,dedicated
deed: deed,deeds
deem: deemed
deep: deep,deeper,deepest
deeply: deeply
defect: defect
defence: defences
defer: defer,deferred
deference: deference
deferential: deferential
defiance: defiance
define: defined
definite: definite
deflower: deflower,deflowered
degrading: degrading
degree: degree
delay: delay,delayed,delays
deliberate: deliberate
deliberately: deliberately
delicacy: delicacy
delicate: delicate
delicately: delicately
delicious: delicious
deliciously: deliciously
delight: delight,delighted,delights
delighted: delighted
delightedly: delightedly
delightful: delightful
delightfully: delightfully
delinquency: delinquencies
delinquent: delinquent
delirious: delirious
deliriously: deliriously
delirium: delirium
deliver: deliver,delivered
delivery: delivery
deluge: deluge,deluged,deluges,deluging
delusion: delusion
demand: demand,demanded,demanding,demands
demonstration: demonstration
demure: demure
demurely: demurely
denote: denoted,denoting
denounce: denounce,denouncing
dense: dense
deny: deny
depart: depart,departed
departure: departure
depend: depend
dependent: dependent
depict: depict,depicted,depicting
depository: depository
depravation: depravation
depraved: depraved
depravity: depravity
depression: depression
deprivation: deprivation
deprive: deprive,deprived,deprives
depth: depth
depths: depths
derangement: derangement
derive: derived
derogatory: derogatory
des: des
descant: descanted
descend: descend,descended,descending
descent: descent
description: description,descriptions
descriptive: descriptive
desert: deserting
deserve: deserve,deserved
deserved: deserved
design: design,designs
desirable: desirable
desire: desire,desired,desires,desiring
desirous: desirous
desist: desist
desk: desk
despair: despair
despise: despise,despised
dessert: dessert
destination: destination
destine: destined
destiny: destinies
destroy: destroy
destruction: destruction
detach: detached
detain: detain
detect: detected
detection: detection
detention: detention
determination: determination
determine: determine,determined
determined: determined
detestable: detestable
detour: detour
develop: develop,developed,developing
develope: developes
developed: developed
developement: developement
development: development
device: device
devil: devil
devise: devise
devoir: devoirs
devote: devote
devoted: devoted
devotion: devotion
devotions: devotions
devour: devour,devoured,devouring
dew: dew
dialect: dialects
dictate: dictate,dictated,dictating
diddle: diddle,diddling
die: die,died,dying
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
dignity: dignity
digress: digress,digressing
digression: digression
dilate: dilate
dilatory: dilatory
dildo: dildo,dildoes
dilemma: dilemma
dimension: dimensions
diminish: diminish,diminished,diminishing
diminished: diminished
diminution: diminution
dimple: dimple,dimples
dimpled: dimpled
dine: dine,dined,dines
dining: dining
dinner: dinner,dinners
dint: dint
direct: direct,directed,directing
direction: direction,directions
dirty: dirty,dirtying
disagreeable: disagreeable
disagreeably: disagreeably
disappear: disappeared
disappearance: disappearance
disappoint: disappoint,disappointed
disappointed: disappointed
disappointment: disappointment
discern: discern
discharge: discharge,discharged,discharges,discharging
disciple: disciple
disciplinary: disciplinary
discipline: discipline
disclose: disclosed
disconnect: disconnected
disconsolate: disconsolate
discourage: discouraged
discourse: discourse
discover: discover,discovered,discovering
discovery: discovery
discreet: discreet
discretion: discretion
discuss: discuss,discussed,discussing
discussion: discussion,discussions
disease: disease,diseases
disencumber: disencumbered
disengage: disengaged
disentangle: disentangling
disgrace: disgrace
disgust: disgust,disgusted,disgusts
dishabille: dishabille
dislodge: dislodging
dismiss: dismissed
disorder: disorder
disordered: disordered
disparity: disparity
dispense: dispense,dispensing
displace: displaced
display: display,displayed,displaying
displease: displease
displeased: displeased
disposal: disposal
dispose: disposed,disposes
disposition: disposition
disproportion: disproportion
dissatisfaction: dissatisfaction
dissimulation: dissimulation
dissolution: dissolution
dissolve: dissolved
distance: distance
distant: distant
distend: distending
distended: distended
distention: distention
distillation: distillation
distinct: distinct
distinctive: distinctive
distinctly: distinctly
distinguish: distinguish,distinguished
distinguishable: distinguishable
distinguished: distinguished
distract: distracted
distracting: distracting
distraction: distraction
distrait: distrait
distress: distress
distressed: distressed
disturb: disturb,disturbed
disturbance: disturbance
disturbed: disturbed
diversion: diversion
divest: divested
divide: divided,dividing
divine: divine,divined,divinest
divinely: divinely
division: division
divorce: divorce
docile: docile
docility: docility
doctor: doctor
doctrine: doctrine
doff: doffed
doings: doings
domain: domain
domestic: domestic,domestics
donkey: donkey
doodle: doodle
door: door,doors
dormant: dormant
dose: dose,doses
dote: dotes
doted: doted
double: double,doubled,doubles,doubling
doubly: doubly
doubt: doubt,doubted,doubts
doubtless: doubtless
douceur: douceur
dough: dough
doughy: doughy
dove: doves
dover: dover
downcast: downcast
downfall: downfall
downright: downright
downstairs: downstairs
downward: downward
downy: downy
doze: doze,dozed,dozing
dozen: dozen
drag: drag,dragged,dragging
drain: drain
dram: dram
draught: draught,draughts
draw: draw,drawing,drawn,drew
drawer: drawers
drawing: drawing,drawings
dread: dread,dreaded,dreading
dreaded: dreaded
dreadful: dreadful
dreadfully: dreadfully
dream: dream,dreamed,dreaming,dreams,dreamt
dreamy: dreamy
dreary: dreary
dress: dress,dressed,dresses,dressing
dressed: dressed
dressing: dressing
drift: drift
drink: drank,drink
drive: drive,driven,drives,driving,drove
droll: droll
droop: drooped,drooping
drooped: drooped
drop: drop,dropped,dropping,drops
dropt: dropt
drowsiness: drowsiness
drowsy: drowsy
drug: drug
dry: dried,dry
duchess: duchess
duck: duck
duet: duets
duke: duke
dull: dull
duly: duly
dumb: dumb
dummy: dummy
duration: duration
duty: duties,duty
dwell: dwell,dwelling,dwelt
dwelt: dwelt
dy: dy
eager: eager
eagerly: eagerly
eagerness: eagerness
ear: ears
earn: earned
earnest: earnest
earnestly: earnestly
earth: earth
earthquake: earthquake
ease: ease,eased
easily: easily
east: east
easy: easier,easiest,easy
eat: ate,eat,eating
ebb: ebbed
eclat: eclat
economy: economy
ecstasy: ecstasies,ecstasy
ecstatic: ecstatic
ecstatically: ecstatically
edgar: edgar
edge: edge,edged,edges
edifying: edifying
edition: edition,editions
educate: educated
education: education
educational: educational
effective: effective
effervescence: effervescence
efficacious: efficacious
efficacy: efficacy
efficiency: efficiency
efficient: efficient
effort: effort,efforts
egg: eggs
egoistical: egoistical
eighteen: eighteen
eighteenth: eighteenth
eighth: eighth
ejection: ejection
elapse: elapse,elapsed
elastic: elastic
elasticity: elasticity
elbow: elbow,elbows
eld: elder,eldest
elderly: elderly
electric: electric
electrical: electrical
elegant: elegant
element: element
elevate: elevate,elevated
elevation: elevation
eligible: eligible
eliza: eliza
ellen: ellen
elongate: elongated
elongated: elongated
eloquence: eloquence
eloquent: eloquent
emanate: emanating
embalmed: embalmed
embarrassment: embarrassment
embassy: embassy
embed: embedded
embolden: embolden,emboldened
embrace: embrace,embraced,embraces,embracing
embrocation: embrocations
embroider: embroidered
eminently: eminently
emission: emission
employ: employ,employed,employing
employment: employment
empressement: empressement
emulate: emulate
en: en
enable: enable,enabled,enables,enabling
enact: enact,enacted,enacting
enchain: enchained
enchant: enchanted
enchanted: enchanted
enchanting: enchanting
enchantingly: enchantingly
enchantment: enchantment
encircle: encircle,encircled,encircling
enclose: enclosed
encore: encore
encounter: encounter,encountered,encounters
encourage: encourage,encouraged
encouragement: encouragement
encumber: encumber
encumbrance: encumbrances
endearing: endearing
endearingly: endearingly
endearment: endearment,endearments
endeavour: endeavour,endeavoured
endow: endow,endowed
endure: endure,endured
enemy: enemies,enemy
energetic: energetic
energetically: energetically
energy: energies,energy
enfold: enfolded
enforce: enforced
enforced: enforced
engage: engage,engaged,engaging
engaged: engaged
engagement: engagement
engaging: engaging
engender: engendered,engendering
england: england
english: english
englishmen: englishmen
