abandon: abandon
toy: toy,toyed,toys
trademark: trademark
train: train,trained,trains
training: training
transcribe: transcribe
transcription: transcription
transfiguration: transfiguration
transfigure: transfigure
transform: transform,transformed
transformation: transformation
transgress: transgressed
transgression: transgressions
transmit: transmitted
transparently: transparently
trap: traps
travail: travail
treat: treat,treated
treatment: treatment
tree: tree,trees
tremble: trembling
trespass: trespasses
trial: trial,trials
tribe: tribe
tribulation: tribulation
trifle: trifle,trifled,trifles
trinity: trinity
triumph: triumph,triumphing
triumphant: triumphant
triumphantly: triumphantly
trouble: trouble,troubled,troubles
troubled: troubled
true: true,truest
trust: trust,trusted,trusting,trusts
trusted: trusted
trustful: trustful
truth: truth,truths
tumble: tumbling
tumultuous: tumultuous
turmoil: turmoil
twill: twill
type: type,types
typhoid: typhoid
ultimate: ultimate
unable: unable
unarmed: unarmed
unbelief: unbelief
unbelieving: unbelieving
uncertain: uncertain
uncertainty: uncertainties,uncertainty
unchanging: unchanging
uncharitable: uncharitable
unclean: unclean
uncleanness: uncleanness
uncommon: uncommon
uncomplaining: uncomplaining
uncompromising: uncompromising
unconditional: unconditional
uncouth: uncouth
unction: unction
underlie: underlies,underlying
understand: understand,understood
understanding: understanding
undertake: undertake
undertaking: undertaking
undisputed: undisputed
undo: undone
undue: undue
unenforceability: unenforceability
unexplained: unexplained
unfailing: unfailing
unfit: unfit
unfitness: unfitness
unfold: unfold
unforgiving: unforgiving
unfulfilled: unfulfilled
ungainsayable: ungainsayable
unheralded: unheralded
unholy: unholy
uniform: uniform
unimportant: unimportant
unintentionally: unintentionally
union: union
unite: united,uniting
united: united
unity: unity
universal: universal
universe: universe
unjustly: unjustly
unkindness: unkindness
unknown: unknown
unlawful: unlawful
unlearned: unlearned
unlikeness: unlikeness
unlink: unlink
unloving: unloving
unmarried: unmarried
unmixed: unmixed
unmoved: unmoved
unnoticed: unnoticed
unpardonable: unpardonable
unpopular: unpopular
unprogressive: unprogressive
unquenchable: unquenchable
unrepentant: unrepentant
unrequited: unrequited
unrevealed: unrevealed
unrighteousness: unrighteousness
unsanctified: unsanctified
unsaved: unsaved
unselfish: unselfish
unselfishly: unselfishly
unshaken: unshaken
unsolicited: unsolicited
unspeakable: unspeakable
unspiritual: unspiritual
unsteadiness: unsteadiness
unsteady: unsteady
untimely: untimely
untoward: untoward
untroubled: untroubled
unusually: unusually
unutterable: unutterable
unwary: unwary
unwavering: unwavering
unwilling: unwilling
unwise: unwise
unworthiness: unworthiness
update: updated
uphold: upheld,uphold,upholds
upper: upper
upright: upright
uprightness: uprightness
uprising: uprising
upward: upward
urge: urge,urged,urges,urging
urgently: urgently
user: user
usual: usual
usurp: usurp
ut: ut
utmost: utmost
utter: utter,uttered
utterly: utterly
uttermost: uttermost
vacillate: vacillating
vague: vague
vain: vain
vainglory: vainglory
vainly: vainly
valley: valley
valuable: valuable
vanilla: vanilla
vanish: vanishes,vanishing
vanity: vanity
vanquish: vanquishes
variety: variety
vast: vast
vegetable: vegetables
vein: veins
vengeance: vengeance
vent: vent
venture: venture
verbal: verbal
verily: verily
verity: verity
verse: verse
version: version
vestibule: vestibule
veteran: veteran
vex: vexed
vice: vice
vicious: vicious
victory: victory
view: view,viewed,viewing,views
vigorous: vigorous
vii: vii
viii: viii
vile: vile
village: village
vine: vine,vines
vinegar: vinegar
vineyard: vineyard,vineyards
violate: violates
violation: violation
violence: violence
violent: violent
violently: violently
virgin: virgin
virtue: virtue,virtues
virus: virus
visible: visible
vision: vision,visions
visit: visit
vital: vital
vivid: vivid
voice: voice
void: void
volition: volitions
volley: volley
volume: volume
voluntarily: voluntarily
volunteer: volunteer,volunteers
vote: votes
vouchsafe: vouchsafes
vow: vows
voyage: voyage
wag: wagged
wagon: wagon
wait: wait,waited,waiting
waiting: waiting
wake: wake,wakes,waking
waken: wakened
walk: walk,walked,walking,walks
walled: walled
wallow: wallows
war: war,warring,wars
warm: warm,warms
warn: warn,warned,warning,warns
warning: warning
warranty: warranties,warranty
warrior: warriors
wash: washed,washes
washing: washing
washington: washington
waste: waste,wastes,wasting
watch: watch
watchful: watchful
watchfulness: watchfulness
water: water,waters
wave: wave,waves
waver: wavering,wavers
wax: wax
weak: weak
weakness: weakness
wealthy: wealthy
weapon: weapons
wear: wear,wore
wearily: wearily
weariness: weariness
weary: weary
weather: weather
weed: weed,weeds
week: weeks
weep: weep,weeping,wept
weigh: weighed
weight: weight
weld: welded
welfare: welfare
wellnigh: wellnigh
wesley: wesley
west: west
wet: wet
whatsoever: whatsoever
wheel: wheel,wheels
whereof: whereof
whereunto: whereunto
wherewith: wherewith
whimper: whimper
whip: whip
whipping: whippings
whisper: whisper,whispered
whit: whit
white: white
wholehearted: wholehearted
wholesome: wholesome
wholly: wholly
whosoever: whosoever
wicked: wicked
wickedness: wickedness
wide: wide,widest
wield: wield
wife: wife
wild: wild
wilderness: wilderness
wildest: wildest
wilful: wilful
wilfully: wilfully
willed: willed
william: william
willingness: willingness
wily: wily
win: win,winning,wins
wind: wind,winds
window: windows
wine: wine
wing: winged,wings
wink: wink
winner: winner,winners
winsome: winsome
wire: wire
wireless: wireless
wisdom: wisdom
wise: wise,wiser
wisely: wisely
wit: wit
withdraw: withdraw,withdrawn
withhold: withhold,withholding
witness: witness,witnessed,witnesses,witnessing
woe: woe,woes
wolf: wolves
woman: woman,women
womb: womb
wonderful: wonderful
wonderfully: wonderfully
wondrous: wondrous
wood: woods
word: word
worker: workers
workings: workings
workman: workman,workmen
workmanship: workmanship
worldliness: worldliness
worldly: worldly
worm: worm
wormwood: wormwood
worn: worn
worship: worship,worshipped,worships
worth: worth
worthy: worthy
wouldst: wouldst
wound: wounded
wounded: wounded
wrangle: wrangling
wrath: wrath
wreck: wrecked
wrestling: wrestling
write: write,writes,writing,written,wrote
writer: writer
writing: writing
writings: writings
wrong: wrong,wronged,wrongs
xi: xi
xii: xii
xiii: xiii
xiv: xiv
xix: xix
xvi: xvi
xvii: xvii
xviii: xviii
xx: xx
xxi: xxi
xxii: xxii
xxiii: xxiii
xxv: xxv
yard: yard
yea: yea
yearn: yearns
yearning: yearning
yield: yield,yielded,yielding
yoke: yoke
york: york
youth: youth
zeal: zeal
zealous: zealous
zion: zion
