abandon: abandon
inconsistency: inconsistency
inconsistent: inconsistent
increase: increase,increased,increases,increasing
indefinite: indefinite
indemnify: indemnify
indemnity: indemnity
independently: independently
indescribably: indescribably
indian: indian
indifference: indifference
indignation: indignation
indirect: indirect
indirectly: indirectly
individual: individual,individuals
indulgence: indulgences
indwell: indwelling,indwelt
indwelling: indwelling
ineffable: ineffable
inexperienced: inexperienced
infallibility: infallibility
infancy: infancy
infant: infant
infer: infer
infinite: infinite
infinitely: infinitely
infirmity: infirmities
inflict: inflicting
influence: influence,influences
infringement: infringement
ingratitude: ingratitude
inhabitant: inhabitants
inherit: inheriting
inheritance: inheritance
iniquity: iniquities,iniquity
initial: initial
injustice: injustice,injustices
inmost: inmost
innocent: innocent
inordinate: inordinate
inquire: inquiring
inquiry: inquiry
inquisition: inquisition
inscribe: inscribed
insect: insect
insensibility: insensibility
insensible: insensible
insignificance: insignificance
inspiration: inspiration
inspire: inspire,inspired,inspires,inspiring
inspired: inspired
instance: instance
instant: instant
instantaneous: instantaneous
instantly: instantly
instinct: instinct
instruct: instruct,instructed,instructing,instructs
instruction: instruction
instructive: instructive
instrument: instruments
insult: insulted
insuperable: insuperable
integrity: integrity
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intelligently: intelligently
intend: intended
intense: intense
intention: intention,intentions
intentional: intentional
intentionally: intentionally
intercede: interceded,intercedes
intercession: intercession
intercessory: intercessory
intercourse: intercourse
interfere: interfere
interminably: interminably
intermingle: intermingled
intermittent: intermittent
internal: internal
international: international
interpret: interpreted
interval: interval
interweave: interwoven
intimately: intimately
intolerance: intolerance
intolerant: intolerant
intreat: intreat
intrench: intrenched
introduce: introduce
invalid: invalid
invalidity: invalidity
invincible: invincible
invitation: invitation
invite: invited,inviting
inwrought: inwrought
iron: iron
irregular: irregular
irreparable: irreparable
irrevocable: irrevocable
irs: irs
isaac: isaac
isaiah: isaiah
iso: iso
israel: israel
israelites: israelites
issue: issues
isthmus: isthmus
itching: itching
iv: iv
ix: ix
jailer: jailer
james: james
january: january
japanese: japanese
jaw: jaws
jealous: jealous
jealousy: jealousies
jehovah: jehovah
jelly: jelly
jeremiah: jeremiah
jerusalem: jerusalem
jesus: jesus
jew: jew
jews: jews
joan: joan
job: job
joel: joel
john: john
jonah: jonah
jonathan: jonathan
jordan: jordan
joseph: joseph
joshua: joshua
journey: journey
joy: joy,joys
joyful: joyful
joylessness: joylessness
joyous: joyous
joyously: joyously
judas: judas
judge: judge
judges: judges
judgment: judgment,judgments
judicial: judicial
july: july
jump: jump,jumped
justified: justified
justify: justified
justly: justly
keen: keen,keenest
kick: kick,kicked,kicks
kill: kill,killed,killing
killer: killers
kindle: kindles
kindly: kindly
kindness: kindness
king: king,kings
kingdom: kingdom,kingdoms
kingly: kinglier
kingship: kingship
kitchen: kitchen
kneel: knelt
knife: knife
knock: knock,knocked
knoweth: knoweth
knowledge: knowledge
laborious: laborious
labour: labour,laboured,labouring,labours
lack: lack,lacking
lad: lad
lady: lady
laggard: laggards
lake: lake
lam: lam
lamb: lamb,lambs
lamentation: lamentations
land: land
lane: lane
language: language
lash: lashes
lasting: lasting
late: late
latimer: latimer
laughable: laughable
laughter: laughter
law: law,laws
lawful: lawful
lawfully: lawfully
lawyer: lawyer
lay: laid,lay,laying,lays
lead: lead,leading,leads,led
leader: leader,leaders
leadership: leadership
leadeth: leadeth
leading: leading,leadings
league: league
lean: lean,leaning
leap: leap,leaped,leaping,leaps
learn: learn,learned,learning
learning: learning
leave: leave,leaves,leaving,left
lebanon: lebanon
lecture: lectures
left: left
legal: legal
legally: legally
leper: lepers
lesson: lesson,lessons
letter: letter,letters
level: level
liability: liability
liable: liable
liberty: liberty
library: library
license: license
licensed: licensed
lid: lids
lie: lie,lies,lying
lieu: lieu
lieutenant: lieutenant
life: life,lives
lifeless: lifeless
lifelong: lifelong
lift: lift,lifted,lifts
light: light,lighted,lights
lighten: lightening
lightness: lightness
lightning: lightning
likeness: likeness
limit: limited
limitation: limitation
limited: limited
lincoln: lincoln
link: linked,links
lion: lion,lions
lip: lips
lisp: lisped
listen: listen,listened,listening
listlessly: listlessly
literary: literary
littleness: littleness
live: live,lived,lives,living
liveth: liveth
living: living
lo: lo
load: loaded
loaf: loaves
loathsome: loathsome
locate: located
location: locations
lock: locked
lodge: lodged
lodging: lodging
log: logs
logic: logic
logically: logically
london: london
loneliness: loneliness
longing: longing
longsuffering: longsuffering
loose: loose
lord: lord
lordship: lordship
lose: lose,losing,lost
loss: loss
lost: lost
lot: lot
loud: loud
loudly: loudly
love: love,loved,loves,loving
lovely: lovely
loving: loving
lovingkindness: lovingkindness
lovingly: lovingly
lowliness: lowliness
lowly: lowly
loyal: loyal
loyalty: loyalty
luke: luke
lukewarmness: lukewarmness
lurk: lurks
lust: lust,lusts
lute: lute
luther: luther
lying: lying
machine: machine
magnet: magnet
magnetic: magnetic
magnetism: magnetism
maid: maid
mail: mailed
main: main,mains
maintain: maintain,maintained,maintaining
majesty: majesty
malachi: malachi
malaria: malaria
malice: malice
malignant: malignant
manage: managed
manger: manger
manhood: manhood
manifest: manifest,manifesting
manifestation: manifestation
manifold: manifold
mankind: mankind
manly: manly
manner: manner
manners: manners
mansioned: mansioned
mar: mar,marred
march: march
margin: margin
mark: mark,marked,marks
market: market
marquis: marquis
marriage: marriage
married: married
mart: mart
martha: martha
martyr: martyr,martyrs
martyrdom: martyrdom
marvellous: marvellous
mary: mary
mass: mass
massachusetts: massachusetts
massacre: massacre
master: master,masters
mastery: mastery
matchless: matchless
material: material
matter: matter,matters
matthew: matthew
mature: mature
maturity: maturity
maximum: maximum
meal: meal,meals
measure: measure,measured
meat: meat
meditate: meditated
meditation: meditation
medium: medium
meek: meek
meekly: meekly
meekness: meekness
meet: meet,meeting,meets,met
meeting: meeting,meetings
melody: melodies,melody
melt: melted
memory: memory
mental: mental
mention: mentioning
merchantability: merchantability
merciless: merciless
mercilessly: mercilessly
mercy: mercies,mercy
mere: mere
merit: merits
meritorious: meritorious
merry: merry
message: message,messages
messenger: messengers
messiah: messiah
metal: metal
method: method,methods
methodists: methodists
michael: michael
mid: mid
middle: middle
midnight: midnight
midst: midst
mightily: mightily
mighty: mightiest,mighty
mild: milder
mile: mile,miles
military: military
milk: milk,milking
millennium: millennium
millrace: millrace
milton: milton
mind: mind,minds
minded: minded
mingle: mingled
minister: minister,ministered,ministering,ministers
ministers: ministers
ministry: ministry
minor: minor
minute: minute,minutes
miracle: miracles
mire: mire
mirth: mirth
misdirect: misdirect
miserable: miserable
misery: miseries
misguided: misguided
mislead: misled
mission: mission,missions
missionary: missionaries,missionary
mississippi: mississippi
mist: mists
mistake: mistake,mistakes
mistaken: mistaken
mistress: mistress
misuse: misuse
mock: mock,mocked,mocking,mocks
modesty: modesty
modification: modification
modify: modified
modulate: modulating
moment: moment
momentous: momentous
monarch: monarch
monastery: monasteries
money: money
montgomery: montgomery
month: months
moody: moody
moon: moon
moral: moral
morning: morning
morrow: morrow
mortal: mortal
moses: moses
moss: moss
mother: mother
motive: motives
mould: mould
moulder: mouldered
mount: mount,mounts
mountain: mountain,mountains
mountainous: mountainous
mourn: mourn
mouth: mouth
mouthed: mouthed
mouthful: mouthful
multiplication: multiplication
multiply: multiplied,multiply
multitude: multitude,multitudes
murder: murder,murders
murmur: murmur,murmurs
music: music
musket: muskets
mutilate: mutilated
mutual: mutual
mysterious: mysterious
mystery: mystery
mystic: mystic
mythology: mythology
nail: nail,nailed
naked: naked
narrow: narrow
nathan: nathan
nation: nation,nations
national: national
natural: natural
naturally: naturally
naturalness: naturalness
nature: nature,natures
naval: naval
navy: navy
necessity: necessities,necessity
needful: needful
needless: needless
needlessly: needlessly
needy: needy
negative: negative
neglect: neglect,neglected,neglecting
negligence: negligence
neighbour: neighbour,neighbours
nervous: nervous
nest: nest
nestle: nestle,nestling
network: network
nevermore: nevermore
newsletter: newsletter
newton: newton
nick: nick
nicodemus: nicodemus
nigh: nigh
night: night,nights
noah: noah
noise: noise
noiselessly: noiselessly
noisome: noisome
noisy: noisy
nonproprietary: nonproprietary
noon: noon
north: north
note: note
notice: notice
notification: notification
notify: notified,notifies,notify
november: november
numerous: numerous
nurse: nurse,nursing
nursery: nursery
nursing: nursing
oak: oak
obedience: obedience
obedient: obedient
obediently: obediently
obey: obey,obeyed,obeying
object: object,objects
obligation: obligation,obligations
observer: observers
obsolete: obsolete
obstacle: obstacles
obstinacy: obstinacy
obstinate: obstinate
obstruct: obstruct
obstruction: obstructions
occasion: occasion
occasionally: occasionally
occupation: occupations
occupy: occupied
occur: occur
ocean: ocean,oceans
offence: offence,offences
offend: offend,offended
offer: offer,offered,offers
offering: offering
office: office,offices
officer: officer,officers
official: official
oftentimes: oftentimes
oil: oil
omission: omission
omit: omit
omnipotent: omnipotent
oneness: oneness
online: online
operation: operation
opiate: opiate
opinion: opinion
opportunity: opportunities,opportunity
oppose: oppose,opposing
opposition: opposition
oppress: oppressed
oppression: oppression
oppressive: oppressive
ordain: ordained
orderly: orderly
ordinary: ordinary
oregon: oregon
organ: organ
organic: organic
organisation: organisation
organise: organised
organize: organized
original: original
originator: originator
orphanage: orphanages
orthodox: orthodox
ounce: ounce
outcast: outcast
outdated: outdated
outer: outer
outflow: outflow
outgoing: outgoing
outing: outing
outpouring: outpouring
outward: outward
outwit: outwits
oven: oven
overcome: overcame,overcome,overcomes
overflow: overflow,overflowed,overflowing,overflows
override: override
oversight: oversight
overtake: overtake,overtaken,overtakes,overtaking,overtook
overthrow: overthrew,overthrow,overthrowing
overwhelm: overwhelm
overwhelming: overwhelming
overwork: overwork
owe: owe,owed
owner: owner
pacific: pacific
pack: packed
pail: pail
pain: pain
painful: painful
pale: pale
palm: palm
panama: panama
pang: pang
papa: papa
paper: paper,papers
paperwork: paperwork
paraclete: paraclete
paragraph: paragraph,paragraphs
paralyze: paralyzes
pardon: pardon,pardoned,pardoning
parent: parents
paris: paris
parker: parker
parrot: parrot
partaker: partakers
partner: partner,partners
partnership: partnership
party: party
pass: pass,passed,passes,passing
passage: passage,passages
passenger: passengers
passion: passion,passions
passionate: passionate
passionately: passionately
passive: passive
passover: passover
pastor: pastor,pastors
pat: patted
path: path
patience: patience
patient: patient
patiently: patiently
patriotic: patriotic
pattern: pattern
paul: paul
pay: paid,pay,paying
payment: payments
peace: peace
peaceably: peaceably
peaceful: peaceful
peacefully: peacefully
pearl: pearl
peasant: peasant
pebble: pebbles
peculiar: peculiar
peer: peers
pelt: pelt
penalty: penalties
penitence: penitence
penitent: penitent
pentecost: pentecost
pentecostal: pentecostal
penury: penury
peradventure: peradventure
perfect: perfect,perfected,perfecting
perfecting: perfecting
perfection: perfection
perfectly: perfectly
perfectness: perfectness
perform: perform,performed,performing
performance: performances
peril: peril,perils
period: periods
periodic: periodic
perish: perish,perished,perishing
permanent: permanent
permission: permission
permit: permit,permitted
perpetual: perpetual
perplex: perplex
perplexity: perplexity
persecute: persecuted
persecution: persecution,persecutions
persist: persisted
persistently: persistently
person: people,person,persons
personal: personal
personality: personality
persuade: persuaded
persuasion: persuasion
persuasive: persuasive
pessimist: pessimist
pet: pet
peter: peter
petty: petty
petulant: petulant
pharaoh: pharaoh
pharisees: pharisees
phase: phases
phil: phil
philip: philip
philippians: philippians
philistine: philistine
philistines: philistines
philosopher: philosopher
philosophise: philosophising
phrase: phrase
physical: physical
physically: physically
physician: physician
piano: piano
pick: picked
picture: picture,pictured,pictures
piece: piece
pierce: pierce,pierced,piercing
pilate: pilate
pilgrim: pilgrim
pillar: pillar
pin: pins
pipe: pipes
pit: pit
pitch: pitch
pitchy: pitchy
pitiless: pitiless
pity: pitied,pity,pitying
plague: plagues
plain: plain,plainer
plainly: plainly
plan: plan,plans
plant: plant,planted
planting: planting
plash: plash
platform: platform
plato: plato
play: play,played,playing
plea: plea
plead: plead
pleasant: pleasant
pleased: pleased
pleasing: pleasing
pleasure: pleasure
pledge: pledged
plenty: plenty
plight: plighted
pluck: plucked
plunge: plunged
ply: plying
poet: poet
pointless: pointless
poison: poison
pole: pole
polish: polish
polished: polished
political: political
pomp: pomps
poor: poor
pope: pope
popular: popular
popularity: popularity
portion: portion,portions
portrait: portrait
portray: portrayed
position: position,positions
positive: positive
possess: possess,possessed
possession: possession,possessions
possibility: possibility
post: posted,posts
posting: posting
posture: posture
potter: potter
pottery: potteries
pour: pour,poured,pours
poverty: poverty
powder: powder
power: power,powers
powerful: powerful
practical: practical
practically: practically
practise: practising
praise: praise,praised,praises,praising
pray: pray,prayed,praying,prays
prayer: prayer,prayers
prayerful: prayerful
prayerfully: prayerfully
preach: preach,preached,preaches,preaching
preacher: preacher,preachers
preaching: preaching
precede: preceded
precious: precious
precipice: precipice
precision: precision
predecessor: predecessor
preface: preface
prefer: prefer,preferring
prejudice: prejudice
preoccupy: preoccupied
preparation: preparation
preparatory: preparatory
prepare: prepare,prepared,preparing
presbyterian: presbyterian
presence: presence
presentation: presentation
preserve: preserve,preserved
press: press,pressed,pressing
pressure: pressure
prestige: prestige
presumption: presumption
pretence: pretence
pretender: pretender
prevail: prevail,prevailed
prevent: prevent
previous: previous
price: price
prick: pricked
pride: pride
priest: priest,priests
prim: prim
primary: primary
prime: primed
prince: prince
principal: principal
principally: principally
principle: principle,principles
print: print,printed,prints
prison: prison
private: private
privilege: privilege,privileges
prize: prize
probable: probable
proceed: proceed
processing: processing
procession: procession
proclaim: proclaim
proclamation: proclamation
prodigal: prodigal
produce: produce,produced,producing
production: production
profess: professes,professing
profession: profession,professions
professor: professor
profit: profit,profits
profound: profound,profoundest
programme: programme
progress: progress
prohibition: prohibition
project: project
prolong: prolongs
prominently: prominently
promise: promise,promised,promises
promising: promising
promote: promoting
promotion: promotion
prompt: prompts
prompter: prompter
promptness: promptness
pronounced: pronounced
proof: proof
proofread: proofread
proofreading: proofreading
propensity: propensity
proper: proper
properly: properly
property: property
prophecy: prophecies,prophecy
prophesy: prophesy
prophet: prophet,prophets
proportion: proportion
proprietary: proprietary
proprietorship: proprietorship
prosecute: prosecuted
proselytise: proselytising
prosper: prosper,prospers
prosperity: prosperity
protect: protect
prove: prove,proved,proves,proving
proverbs: proverbs
provide: provide,providing
providence: providence
providential: providential
province: province
provision: provision,provisions
provocation: provocations
prudence: prudence
psalm: psalm,psalms
psalmist: psalmist
public: public
publican: publicans
publish: publishing
puff: puffed
pull: pull,pulls
pulpit: pulpit
punish: punish,punished
punishment: punishment
punitive: punitive
purchase: purchase,purchases
pure: pure,purest
purgatory: purgatory
purge: purged
purification: purification
purify: purified,purifies,purifying
purifying: purifying
puritan: puritan
purity: purity
purpose: purpose,purposes
purse: purse
pursue: pursued
push: push,pushed,pushing
putty: putty
puzzle: puzzle,puzzling
puzzling: puzzling
quaint: quaint
quaker: quaker
quaking: quaking
quarrel: quarrels
quench: quench,quenched,quenches,quenching
question: question,questioned,questions
questioning: questioning,questionings
quick: quick,quicker
quicken: quicken,quickened,quickens
quicksand: quicksand
quiet: quiet
quietly: quietly
quotation: quotation,quotations
quote: quoted,quotes
rabbi: rabbi
race: race
racer: racer
rack: racked
radiance: radiance
rage: rage,raging
rail: rail
raimented: raimented
rain: rain,rained,rains
raise: raise,raised,raises
ram: ram,ramming
rank: ranks
ransack: ransacking
ransom: ransom
rapture: rapture
rapturous: rapturous
rash: rash
rationalism: rationalism
ravenous: ravenous
razor: razor
reach: reach,reached,reaches,reaching
read: read,reading,reads
readable: readable
reader: reader,readers
readiness: readiness
reading: reading
readjust: readjust
ready: ready
real: real
realise: realise,realised,realises,realising
reality: reality
realize: realizing
realm: realms
rear: rear
reason: reason,reasoned,reasons
reasonable: reasonable
reassure: reassure,reassuring
reassuring: reassuring
rebel: rebelled
rebellion: rebellion
rebellious: rebellious
rebuild: rebuild
rebuke: rebuke,rebuked
recede: recedes
receipt: receipt
receive: receive,received,receives,receiving
reckon: reckon,reckoned,reckons
reckoning: reckoning
recognise: recognised,recognising
recommend: recommend,recommended
reconcile: reconciled
record: record,recorded
recount: recounts
recover: recover
recovery: recovery
rectify: rectified
rectitude: rectitude
recur: recurring
red: red
redeem: redeemed
redeemer: redeemer
redemption: redemption
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reduce: reduced
refer: referred
reference: references
reform: reforms
refrain: refrain
refresh: refreshed,refreshes
refreshment: refreshment
refund: refund
refusal: refusal
refuse: refuse,refused,refuses,refusing
regard: regard,regarded
regeneration: regeneration
register: registered
regret: regrets,regretting
regulate: regulates,regulating
rehearsal: rehearsal
rehoboth: rehoboth
reign: reign,reigned,reigning,reigns
reinforce: reinforced,reinforces
reinforcement: reinforcement
reiterate: reiterated
reject: reject,rejected
rejection: rejection
rejoice: rejoice,rejoiced,rejoices,rejoicing
rejoicing: rejoicing
relation: relation,relations
relationship: relationship
release: release
relentless: relentless
reliance: reliance
relief: relief
religion: religion
religious: religious
relish: relish
rely: rely
remain: remain,remaining,remains
remarkable: remarkable
remedy: remedies,remedy
remember: remember,remembered,remembering
remembrance: remembrance
remission: remission
remove: remove,removed
rename: renamed
render: render
renew: renew,renewed
renewal: renewal
renounce: renounce,renouncing
rent: rent
renunciation: renunciation
repeat: repeat,repeated
repel: repel
repellent: repellent
repent: repent,repented
repentance: repentance
repine: repine,repining
replace: replace
replacement: replacement
reply: replied,replies,reply
report: report,reported,reports
represent: represent,represents
representation: representations
reproach: reproaches
reprobate: reprobates
reproduce: reproduced
reputation: reputation
request: request
require: require,required,requires
requirement: requirements
rescue: rescue
rescuer: rescuer
resemble: resembled
reservoir: reservoir
resist: resist,resisted,resisting
resistance: resistance
resistless: resistless
resolutely: resolutely
resolution: resolution
respect: respect
respectable: respectable
respond: respond,responded,responds
responsibility: responsibility
responsible: responsible
responsive: responsive
rest: rest
restore: restore,restores
restrain: restrain
restriction: restrictions
result: result
resurrection: resurrection
retain: retained
retainer: retainer
retort: retort
return: return,returned,returns
reveal: reveal,revealed,revealing,reveals
revelation: revelation,revelations
revenue: revenue
reverential: reverential
revile: reviled
revise: revised
revision: revision
revival: revival,revivals
revive: revives
revolution: revolution
reward: reward
riband: ribands
rich: rich,richest
riches: riches
richly: richly
rid: rid
ride: ride,riding,rode
righteous: righteous
righteousness: righteousness
rightly: rightly
ripe: ripe
ripen: ripening
rise: rise,risen,rising,rose
risk: risk
ritualistic: ritualistic
rival: rival
rivalry: rivalry
river: river,rivers
road: road
roar: roaring
rob: rob,robbed,robs
robber: robber
robbery: robbery
robe: robe
robust: robust
rock: rock
rocky: rocky
rolling: rolling
roman: roman,romans
roof: roof
root: root,rooted
rose: rose
rote: rote
rough: rough
roughly: roughly
rounded: rounded
rousseau: rousseau
route: routed
row: row
royalty: royalties,royalty
rub: rubbing
rugby: rugby
rugged: rugged
ruin: ruin,ruined
rule: rule,ruled,rules
rush: rushes,rushing
russian: russian
rut: rut,ruts
sabbath: sabbath
sacrament: sacraments
sacred: sacred
sacrifice: sacrifice,sacrificed,sacrifices,sacrificing
sad: sad
sadly: sadly
safe: safe,safer
safeguard: safeguarded
safely: safely
safety: safety
sail: sail
saint: saints
saith: saith
sake: sake
salaried: salaried
salt: salt
salvation: salvation
salvationist: salvationist
samaria: samaria
samaritan: samaritan
sample: sample
samuel: samuel
sanctification: sanctification
sanctified: sanctified
sanctifier: sanctifier
sanctify: sanctified,sanctifies,sanctify,sanctifying
sanctifying: sanctifying
sanctity: sanctity
sap: sap
sapphira: sapphira
saron: saron
satan: satan
satisfaction: satisfaction
satisfactory: satisfactory
satisfy: satisfies,satisfy
satisfying: satisfying
saul: saul
savagely: savagely
save: save,saved,saves,saving
saving: saving
saviour: saviour,saviours
scale: scale,scales
scar: scar
scarcely: scarcely
scatter: scattered
scene: scenes
sceptre: sceptre
schismatic: schismatic
scholar: scholars
school: school,schools
schoolmaster: schoolmaster
science: science
scientific: scientific
score: scores
scorn: scorn
scourging: scourging
scribe: scribe,scribes
scribes: scribes
scriptural: scriptural
scripture: scripture,scriptures
scrub: scrubs
sea: sea,seas
seal: sealed
seamless: seamless
sear: sears
search: search,searched,searches,searching
searcher: searcher
searching: searching
season: season,seasons
seat: seat,seated,seats
secondary: secondary
secret: secret
sectarian: sectarian
secular: secular
secure: secure,secured
security: security
seed: seed,seeds
seek: seek,seeking,seeks,sought
seeker: seeker,seekers
seldom: seldom
seleucia: seleucia
selfish: selfish
selfishly: selfishly
selfishness: selfishness
sell: sell,sells,sold
send: send,sending,sends
seneca: seneca
sense: sense
senseless: senseless
sensual: sensual
sentence: sentence,sentenced
separate: separate,separated
separation: separation,separations
september: september
seraphim: seraphims
series: series
sermon: sermon,sermons
servant: servant,servants
serve: serve
server: server
service: service
set: set,sets
settle: settles
severe: severe
shadow: shadow,shadowing,shadows
shake: shook
shakespeare: shakespeare
shalt: shalt
shame: shame
shameful: shameful
share: share,shared,sharing
sharp: sharp
sheath: sheath
sheathed: sheathed
shedding: shedding
sheep: sheep
shelter: shelters
shepherd: shepherd
shield: shield
shine: shine,shines,shining,shone
ship: ship
shipwreck: shipwreck,shipwrecks
shock: shock
shod: shod
shoot: shoot,shot
shop: shop
shore: shore
short: short
shorten: shortened
shortly: shortly
shortness: shortness
shot: shot
shoulder: shoulder,shoulders
shouldst: shouldst
shout: shout,shouts
shrink: shrank,shrink
shut: shut
sick: sick
sickness: sickness
siege: siege
sigh: sigh
sight: sight,sights
sightedness: sightedness
sign: sign,signs
silas: silas
silence: silence
silent: silent
silken: silken
silver: silver
simple: simple
simplicity: simplicity
simply: simply
simpson: simpson
sin: sin,sinned,sinning,sins
sincerity: sincerity
sinful: sinful
sing: sang,sing,singing
singing: singing
single: single
singleness: singleness
sink: sink,sinks
sinless: sinless
sinner: sinner,sinners
sinners: sinners
sir: sir
sister: sister,sisters
sit: sat,sit,sitting
sixth: sixth
sized: sized
skilfully: skilfully
skill: skill
skilled: skilled
sky: skies
slander: slander,slandered,slanders
slap: slap
slaughter: slaughter
slave: slave,slaves
slavery: slavery
slay: slain
sleep: sleep,sleeping,slept
sleepiness: sleepiness
sleepless: sleepless
slight: slighted
slip: slip
sloth: sloth
slothfulness: slothfulness
slow: slow
slowly: slowly
slowness: slowness
slum: slum,slums
slumber: slumber
smile: smile,smiles,smiling
smite: smite,smites,smiting,smitten
smooth: smooth
smote: smote
snare: snare,snared
snatch: snatch
sob: sobbed
soberly: soberly
sociable: sociable
social: social
society: society
sodom: sodom
soever: soever
soft: soft
soften: soften
softly: softly
soil: soil
soldier: soldier,soldiers
solemn: solemn
solemnly: solemnly
solicit: solicit
solicitation: solicitation
solomon: solomon
solve: solving
son: son,sons
song: song,songs
sooner: sooner
soothe: soothe,soothes
sore: sore,sores
sorely: sorely
sorrow: sorrow
sorrowing: sorrowing
soul: soul,souls
sound: sound,sounding
southern: southern
sovereign: sovereign
spare: spare
spark: spark
sparkling: sparkling
spasmodically: spasmodically
speak: spake,speak,speaking,speaks,spoke,spoken
speaking: speaking
special: special
specific: specific
spectator: spectator
speculation: speculation
speech: speech
speed: speed
spend: spend,spent
sphere: sphere
spill: spilt
spin: spinning
spire: spires
spirit: spirit,spirits
spiritless: spiritless
spiritual: spiritual
spiritually: spiritually
spite: spite
splendid: splendid
splendidly: splendidly
splendour: splendour
spoil: spoil,spoils
spontaneous: spontaneous
sportsman: sportsman
spot: spot
spread: spread
spring: spring,springing
sprinkle: sprinkle,sprinkles
square: square
stable: stables
stablish: stablish
staff: staff
stain: stain,stains
stake: stake
stalk: stalks
stammer: stammered
stand: stand,stands,stood
standard: standard
standing: standing
standpoint: standpoint
star: star
starless: starless
starry: starry
start: start
statement: statement,statements
station: stations
status: status
statute: statutes
stay: stay
steadfast: steadfast
steadfastly: steadfastly
steadfastness: steadfastness
steadily: steadily
steal: steal,stole,stolen
steel: steel
steele: steele
steer: steer
stem: stem
step: step,steps
stephen: stephen
stern: stern
steward: steward
stick: stick
stillness: stillness
sting: sting
stir: stir,stirred,stirring,stirs
stirring: stirrings
stock: stocks
stoically: stoically
stone: stone,stoned
stony: stony
stool: stool
store: store,stored
storehouse: storehouse
storm: storm,storms
stormy: stormy
story: story
stout: stoutest
straighten: straighten
straightforward: straightforward
strain: strain
strange: strange
stranger: stranger,strangers
strangle: strangled
straw: straw
stray: straying
stream: stream
street: street
strength: strength
strengthen: strengthen,strengthened,strengthening,strengthens
strengthener: strengthener
stretch: stretch,stretching
stricken: stricken
strict: strict
strictly: strictly
strife: strife
strike: strike
striking: striking
strip: stripped,strips
stripe: stripes
strive: strive,striving,strove
striving: strivings
stroke: stroke
strong: strong,stronger
struggle: struggle,struggled,struggles,struggling
stubborn: stubborn
study: studied,studies,study,studying
stultified: stultified
stumble: stumble
stumbling: stumbling
stunning: stunning
stupendous: stupendous
sty: sty
subdue: subdue,subdued
subject: subject,subjected,subjects
sublime: sublime
submission: submission
submit: submit,submitted,submitting
subordinate: subordinates
subscribe: subscribe
subsequent: subsequent
substitute: substitute,substitutes,substituting
subtle: subtle
succeed: succeeding,succeeds
success: success,successes
successful: successful
succession: succession
successor: successor
succour: succour
sudden: sudden
suddenly: suddenly
suffer: suffer,suffered,suffering
sufferer: sufferer,sufferers
suffering: suffering,sufferings
sufficiency: sufficiency
sufficient: sufficient
suggestion: suggestion
suit: suit
sum: sums
sun: sun
sunbeam: sunbeams
sunday: sunday
sunlight: sunlight
sunny: sunny
sunshine: sunshine
superhuman: superhuman
superior: superior
superiority: superiority
supplication: supplication
supply: supply
support: support,supported,supports
suppose: suppose,supposed,supposing
suppress: suppress
supreme: supreme
surely: surely
surety: surety
surface: surface
surpass: surpassing
surprise: surprise
surrender: surrender
surround: surrounded,surrounding
surroundings: surroundings
survive: survive
suspect: suspect
suspicion: suspicions
sustain: sustained,sustains
swaddle: swaddling
swallow: swallow,swallowed
swamp: swamp
swear: swear,swore,sworn
sweat: sweat
sweep: sweep,sweeps,swept
sweet: sweet,sweetest
sweetly: sweetly
sweetness: sweetness
swell: swelling
swift: swift
swiftly: swiftly
swing: swings
swish: swish
switch: switch
swollen: swollen
sword: sword
sympathise: sympathise,sympathising
sympathy: sympathy
synonymous: synonymous
tabernacle: tabernacle
table: table
tail: tail
taint: taint
talent: talents
talk: talk,talked,talking,talks
talking: talking
tame: tamed
tangible: tangible
tarry: tarry
task: task,tasks
taste: taste
tax: tax,taxes
taylor: taylor
teach: taught,teach,teaches,teaching
teachable: teachable
teacher: teacher,teachers
teaching: teaching,teachings
team: team
tear: tear,tears
tearfully: tearfully
telegram: telegram
telegraphic: telegraphic
temper: temper,tempers
temperance: temperance
tempest: tempest
temple: temple
temporal: temporal
tempt: tempted
temptation: temptation
tempting: tempting
tendency: tendency
tender: tender
tenderly: tenderly
tenderness: tenderness
tent: tents
term: term,terms
terrible: terrible
terribly: terribly
terror: terror,terrors
testament: testament
testify: testify,testifying
testimony: testimony
testing: testing
thankful: thankful
thankfulness: thankfulness
thanksgiving: thanksgiving
thee: thee
theologian: theologian
theoretical: theoretical
theory: theory
thessalonians: thessalonians
thine: thine
thirst: thirsted
thirsty: thirsty
thong: thongs
thorn: thorns
thoughtful: thoughtful
thoughtless: thoughtless
threaten: threatened
thrilling: thrilling
thrive: thrives
throat: throats
throb: throb,throbbing
throbbing: throbbing
throne: throne
throng: throng
throw: threw,throw,thrown
thrust: thrust
thwart: thwarted
thy: thy
thyself: thyself
tickle: tickle
tide: tide,tides
tiding: tidings
tim: tim
timber: timber
time: time,times
timid: timid
timidity: timidity
timothy: timothy
tiny: tiny
tithe: tithes
title: title,titles
titus: titus
tobacco: tobacco
toil: toil,toiling
token: tokens
tolerant: tolerant
ton: tons
tone: tone,tones
tong: tongs
tongue: tongue,tongues
torch: torch
torture: tortured
toss: tossed
totter: tottering
touch: touch,touched,touches
touchy: touchy
tower: tower,towering
