abandon: abandon,abandoned
belief: belief
bell: bell,bells
belong: belonged
belt: belt
bench: bench
beneath: beneath
bent: bent
bewilderment: bewilderment
binary: binary
bind: bound
biological: biological
birch: birch
bird: bird,birds
birthright: birthright
bit: bit,bits
bite: bit
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black
blacken: blacken,blackened,blackening
blackness: blackness
blank: blank
blast: blast
blaze: blaze
bleach: bleached
bleat: bleating
bleeding: bleeding
blessing: blessing
blind: blind,blinded,blinding
blindness: blindness
blink: blinking
block: block,blocked,blocks
blockhead: blockhead
blood: blood
bloody: bloody
blossom: blossom,blossoms
blot: blots
blotch: blotched
blow: blow,blown,blows
blowing: blowing
blue: blue
bluish: bluish
blunder: blundered,blundering
board: boards
bodily: bodily
body: bodies,body
boldly: boldly
bole: bole,boles
bone: bone,bones
bonfire: bonfire
book: books
boot: boot
boss: bosses
bough: bough
bow: bow,bowed
box: box
brain: brain
branch: branches
brass: brass
breach: breach
breadth: breadth
break: break,breaking,broke,broken
breaker: breakers
breath: breath
breathe: breathe,breathed,breathing
breathing: breathing
breed: breed
breeding: breeding
breeze: breeze
bright: bright,brighter
brighten: brightening
brightly: brightly
brilliancy: brilliancy
brilliant: brilliant
brilliantly: brilliantly
bring: bring,bringing,brought
brittle: brittle
broad: broad,broader
broken: broken
brontosaurus: brontosaurus
bronze: bronze
brood: brooded
brother: brother
brow: brow,brows
brown: brown
brush: brush,brushes
brute: brutes
bubble: bubbles
build: build,building,built
building: building,buildings
bulk: bulks
bullet: bullet
burn: burn,burned,burning,burnt
burning: burning
burnish: burnished
burrow: burrows
burst: burst
bush: bushes
business: business
buskin: buskins
busy: busy
butcher: butcher
butt: butt
butterfly: butterflies,butterfly
bye: bye
cab: cab,cabs
cadger: cadger
calamity: calamity
calculate: calculate,calculated
calm: calm,calmer
calmly: calmly
camera: camera
camphor: camphor
cancan: cancan
candle: candle,candles
candlestick: candlesticks
cannibal: cannibal
canopy: canopy
capable: capable
capacity: capacity
capitalist: capitalist
carbuncle: carbuncles
card: card
care: care,cared
career: career
careful: careful
carefully: carefully
caress: caressed,caresses
caricature: caricature
carnal: carnal
carnivorous: carnivorous
carpet: carpet
carpeting: carpeting
carriage: carriage
carry: carried,carry,carrying
carter: carters
cartridge: cartridges
carve: carved
carving: carving
cast: cast,casting
casual: casual
cat: cat
catastrophe: catastrophes
catch: catching,caught
cattle: cattle
cautiously: cautiously
cave: caves
cavern: cavern,caverns
cease: cease,ceased
ceiling: ceiling
cemetery: cemeteries
central: central
centre: centre
century: centuries,century
ceremony: ceremony
certainty: certainty
chain: chain
chair: chair,chairs
chamber: chamber
champagne: champagne
chance: chance,chanced,chances
change: change,changed,changing
changed: changed
channel: channelled
chap: chap,chaps
chapel: chapel
character: character
characteristic: characteristic
charge: charge,charges
charitable: charitable
charity: charities
charred: charred
chatter: chatter
check: check,checked,checks
cheek: cheek,cheeks
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cheerless: cheerless
cheerlessly: cheerlessly
chemical: chemical
chemistry: chemistry
chequered: chequered
chiefly: chiefly
child: child,children
childbearing: childbearing
childish: childish
childlike: childlike
chill: chill
chilled: chilled
chin: chin,chins
china: china
chinese: chinese
chinless: chinless
choke: choking
choose: choose,chose,chosen
christmas: christmas
chuckle: chuckle,chuckled
cicerone: cicerone
cigar: cigar
cigarette: cigarette
circle: circle,circling
circling: circling
circuit: circuit
circular: circular
circumstance: circumstances
city: city
civilisation: civilisation
civilised: civilised
civilising: civilising
clad: clad
claim: claim
clamber: clamber,clambered,clambering
clang: clang
clap: clap
clapping: clapping
clasp: clasps
class: class
clatter: clatter
claw: claws
clean: clean,cleaned
clench: clenched
clenched: clenched
clever: clever
climate: climate
climax: climax
climb: climb,climbed
climber: climbers
climbing: climbing
cling: cling,clinging,clung
clock: clock
close: close,closed,closer,closing
closely: closely
closing: closing
clothe: clad,clothed
clothes: clothes
clothing: clothing
cloud: cloud
clue: clue,clues
clumsy: clumsy
clustering: clustering
clutch: clutched,clutches,clutching
coal: coal
coat: coat
code: codes
coil: coil,coiling
cold: cold
collapse: collapsed
collect: collecting
collection: collection
colossal: colossal
colour: colour
coloured: coloured
colouring: colouring
colourless: colourless
column: columns
combe: combe
comet: comet
comfort: comfort
comfortable: comfortable
command: command
commend: commended
commerce: commerce
commercial: commercial
commit: committed
common: common
communicate: communicate
communication: communication
communism: communism
communistic: communistic
companion: companion
company: companies,company
compensation: compensation
compilation: compilation
complacency: complacency
complete: complete
completely: completely
complex: complex
compliance: compliance
complicated: complicated
comply: comply,complying
compose: composed
composite: composite
comprehend: comprehending
compress: compressed
concavity: concavity
conceive: conceive,conceived
concept: concept
concern: concern,concerned
conclude: conclude,concluded
conclusion: conclusion,conclusions
concrete: concrete
condition: condition,conditions
conductor: conductors
confess: confess
confidence: confidence
confident: confident
confirm: confirmed
confirmation: confirmation
confused: confused
confusedness: confusedness
confusing: confusing
confusion: confusion
conjuror: conjuror
connect: connect
connubial: connubial
conquest: conquest
conscious: conscious
consciousness: consciousness
consent: consented
consequence: consequence
consequential: consequential
considerable: considerable
console: consoled
constant: constant
constellation: constellations
constitute: constituted,constitutes
constitution: constitution
construct: construct
consumptive: consumptive
contact: contact
contagious: contagious
contemplation: contemplation
content: content
contented: contented
contents: contents
continually: continually
continue: continued
continuous: continuous
contour: contours
contract: contract
contrast: contrast
contribute: contributed
contribution: contributions
contrivance: contrivance
contrive: contrive
contrived: contrived
control: controlled
controvert: controvert
convenience: conveniences
convenient: convenient
conversation: conversation
conversational: conversational
convert: convert
convey: convey,conveyed,conveying
conveyance: conveyance
conviction: conviction
convince: convince
convulsively: convulsively
cooing: cooing
cool: cooling
copying: copying
copyright: copyright
coral: coral
corner: corner
corporation: corporation
correctly: correctly
correspondent: correspondent
corridor: corridor
corrode: corroded
corrugated: corrugated
corrupt: corrupt
cost: cost,costs
costume: costume
cottage: cottage
counsel: counsel
countless: countless
country: countries,country
couple: couple
courage: courage
court: court
cover: cover,covered,covering
covering: covering
crab: crab,crabs
crack: cracked
crackle: crackling
cradle: cradle
cramp: cramp
cramped: cramped
craving: cravings
crawl: crawled,crawling
creak: creak
create: created,creates,creating
creation: creation
creative: creative
creature: creature,creatures
credible: credible
credit: credit
creek: creek
creep: creeping,crept
crematoria: crematoria
crest: crest
cretaceous: cretaceous
crimson: crimson
crippling: crippling
critical: critical
crossing: crossing
crouch: crouching
crowbar: crowbar
crowd: crowd
crowded: crowded
cruelty: cruelty
crumple: crumpled
crustacea: crustacea
crystal: crystal
crystalline: crystalline
cube: cube
culminate: culminating
cultivate: cultivate
culture: culture
cunning: cunning
cupola: cupola,cupolas
curb: curbed
curiosity: curiosity
curious: curious
curiously: curiously
curly: curly
current: current
curse: cursed
curtain: curtain,curtains
curve: curve
curved: curved
cushion: cushions
customary: customary
cut: cut
cycle: cycle
daily: daily
dainty: dainty
damage: damage,damaged
damaged: damaged
damages: damages
damned: damned
damp: damp
dance: dance,danced,dancing
danger: danger,dangers
dark: dark,darker
darkle: darkling
darkling: darkling
darkness: darkness,darknesses
dart: darted,darting
darwin: darwin
dash: dash,dashed
datum: data
dawn: dawn,dawned
day: day,days
daylight: daylight
daylit: daylit
dazzle: dazzled
dead: dead
deaden: deadened
deadly: deadlier,deadly
deal: deal
death: death
decadence: decadence
decadent: decadent
decay: decay,decayed,decaying
deceive: deceived
deception: deception
deceptively: deceptively
decide: decided
decision: decision
declaration: declaration
decorate: decorated
decoration: decoration,decorations
deductible: deductible
deep: deep,deeper
deepen: deepened
deeply: deeply
deepness: deepness
deer: deer
defeat: defeated
defect: defect,defects
defective: defective
defence: defences
defend: defend
deficiency: deficiency
definable: definable
definite: definite
degeneration: degeneration
degradation: degradation
degree: degree
delay: delay
deletion: deletions
deliberately: deliberately
delicate: delicate
delicately: delicately
delicious: delicious
delight: delight
delighted: delighted
delightful: delightful
delightfully: delightfully
deliquesce: deliquesced
delivery: delivery
demand: demand
demonstrative: demonstrative
dense: dense,denser
depart: depart,departed
department: department
depend: depends
deportment: deportment
depth: depth
derelict: derelict
derivative: derivative
derive: derive,derived
descend: descend,descended,descending
descendant: descendants
descent: descent
desert: deserted
deserted: deserted
desertion: desertion
desiccated: desiccated
desire: desire,desired,desires
desolate: desolate
desolation: desolation
despair: despair
desperate: desperate
destine: destined
destiny: destinies
destroy: destroy,destroyed
detach: detach
detain: detained
determination: determination
determine: determine,determined,determines
detest: detested
develop: developed
development: developments
device: devices
devil: devil
devise: devised
devote: devoted
devotion: devotion
dewdrop: dewdrops
dexterous: dexterous
diagram: diagram
dial: dial,dials
die: die,died,dying
diet: diet
difference: difference,differences
differentiate: differentiated
differentiation: differentiation
difficult: difficult
difficulty: difficulties,difficulty
dilapidated: dilapidated
dilute: diluted
dim: dim
dimension: dimension,dimensioned,dimensions
dimensional: dimensional
diminish: diminished,diminishing
diminution: diminution
dimly: dimly
dimness: dimness
dine: dined,dining
dingy: dingy
dining: dining
dinner: dinner
direct: direct,directed
direction: direction,directions
dirt: dirt
dirty: dirty
disagreeably: disagreeably
disappear: disappear,disappeared,disappears
disappointed: disappointed
disappointing: disappointing
disappointment: disappointment
disc: disc
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discomfort: discomfort
disconcerted: disconcerted
discontinue: discontinue
discontinuous: discontinuous
discord: discord,discords
discordantly: discordantly
discover: discover,discovered
discovery: discoveries,discovery
discriminating: discriminating
discuss: discussed,discussing
disease: disease,diseases
diseases: diseases
disengage: disengaged
disgust: disgust
disgusting: disgusting
disinclination: disinclination
disjointed: disjointed
disk: disk
dismal: dismal
dismay: dismay,dismayed
dismiss: dismissed
disordered: disordered
display: display,displayed,displaying
disregard: disregard
distance: distance,distances
distant: distant
distinct: distinct
distinction: distinction
distinctly: distinctly
distinguish: distinguish
distress: distress
distressed: distressed
distressing: distressing
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: districts
distrust: distrusted
disturb: disturb
doctor: doctor
dog: dogs
doll: doll
domain: domain
dome: dome
donate: donate
donation: donation,donations
donor: donors
door: door,doors
doorway: doorway
dose: doses
dot: dotted
doubt: doubt,doubted,doubts
doubtless: doubtless
download: downloading
downpour: downpour
downstream: downstream
downward: downward
doze: dozed,dozing
dozen: dozen,dozens
drag: drag,dragging
drain: drained,drains
draught: draught
draughty: draughty
draw: draw,drawn,drew
drawing: drawing,drawings
dread: dread,dreaded
dreadful: dreadful
dream: dream,dreamed,dreaming,dreams
dresden: dresden
dress: dress,dressed
drift: drift,drifted,drifting
drink: drank
drinking: drinking
drive: drove
driver: driver
drop: drop,dropped,dropping
drove: droves
drown: drowned,drowning
dry: dried,dry
dull: dull,duller
dumb: dumb
dummy: dummies
duplicate: duplicate
duration: duration
dusk: dusk
dust: dust
dusty: dusty
duty: duty
dwarf: dwarfed
dwelling: dwelling
dwindle: dwindling
dynamite: dynamite
eager: eager
eagerly: eagerly
ear: ear,ears
earnest: earnest
earnestness: earnestness
earth: earth
earthy: earthy
ease: ease
easily: easily
east: east
eastern: eastern
eastward: eastward
easy: easier,easy
eat: eat,eating
ebb: ebb,ebbed
ebony: ebony
eccentric: eccentric
echo: echoed
eclipse: eclipse
economic: economic
economical: economical
economise: economise
eddy: eddies,eddy,eddying
eddying: eddying
edge: edge
edifice: edifice
edition: edition,editions
editor: editor
educate: educated
education: education
educational: educational
efficient: efficient
effort: effort,efforts
eggshell: eggshell
egotism: egotism
eighteen: eighteen
eke: eke,eking
elaborate: elaborate
elated: elated
elbow: elbow,elbows
elect: elect
electric: electric
electronic: electronic
electronically: electronically
element: element,elements
elude: elude,eluded
elusive: elusive
email: email
embrace: embraced
emerge: emerged
emergence: emergence
eminent: eminent
emotion: emotion,emotions
employee: employee,employees
enable: enable
encamp: encamp
encircle: encircling
encode: encoding
encounter: encounter
endlessly: endlessly
endow: endowed
endure: endure
enemy: enemies,enemy
energetic: energetic
energy: energy
engage: engaged
engaged: engaged
engagement: engagement
engine: engine
english: english
enhance: enhance
enjoy: enjoys
enormous: enormous
enormously: enormously
ensure: ensuring
enter: enter,entered
entity: entity
entry: entry
environment: environment
epilogue: epilogue
equal: equal
equip: equipped
equipment: equipment
equipped: equipped
ere: ere
erect: erected
eroticism: eroticism
error: errors
escape: escape,escaped
essay: essay
estimate: estimate
estuary: estuary
eternal: eternal
etiolated: etiolated
eureka: eureka
evening: evening
evergreen: evergreens
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil
evolution: evolution
exact: exact
examination: examination
examine: examine,examined,examining
excellent: excellent
excessive: excessive
excessively: excessively
exchange: exchange
excitement: excitement,excitements
exclaim: exclaimed
exclamation: exclamation
exclamatory: exclamatory
exclusion: exclusion
exclusive: exclusive
exclusively: exclusively
excuse: excuse
exempt: exempt
exertion: exertion
exhaust: exhausted
exhausted: exhausted
exhibit: exhibited,exhibits
exhilaration: exhilaration
exist: exist,existing,exists
existence: existence,existences
expanse: expanse
expect: expect,expected,expecting
expectation: expectation
expedition: expeditions
expend: expend
expense: expense,expenses
experience: experience
experiment: experiment
experimental: experimental
explain: explain,explained
explanation: explanation
explicit: explicit
exploration: exploration,explorations
explore: explore,explored,exploring
explosion: explosion
explosive: explosive,explosives
export: exporting
expose: exposed
exposition: exposition
expostulation: expostulations
expound: expounding
express: express
expression: expression
exquisite: exquisite
extension: extension
extensive: extensive
extensively: extensively
extent: extent
extinct: extinct
extinction: extinction
extravagant: extravagant
extreme: extreme
extremely: extremely
exuberant: exuberant
exultation: exultation
eye: eye,eyes
eyeball: eyeballs
eyelash: eyelashes
fabric: fabrics
facet: facet
facility: facilities,facility
facing: facing
factory: factories
fade: fade,faded
fail: failed
failure: failure
faint: faint,fainted,fainter,faintest,fainting
faintly: faintly
faintness: faintness
fair: fair
fall: fall,fallen,falling,fell
falter: faltering
fame: fame
familiar: familiar
family: family
fancy: fancied,fancy
fantastic: fantastic
fascination: fascination
fashion: fashion
fast: fast,faster
fastness: fastness
fate: fate
fatigue: fatigue,fatigues
fatigued: fatigued
fatted: fatted
faun: faun
favour: favoured
favourite: favourite
fear: fear,feared,fearing,fears
fearfully: fearfully
fearless: fearless
feature: feature,features
fecundity: fecundity
federal: federal
fee: fee,fees
feeble: feeble
feebleness: feebleness
feed: fed
feeding: feeding
feel: feel,feeling,feels
feeling: feeling
fellow: fellow
female: female
fence: fence
fermentation: fermentation
fern: ferns
fertile: fertile
fervent: fervent
feverish: feverish
fiction: fiction
field: field
fierce: fierce
fiercely: fiercely
fiftieth: fiftieth
fight: fight
fighting: fighting
figurative: figurative
figure: figure,figures
file: file,filed,files
filthily: filthily
financial: financial
fine: fine
finger: finger,fingers
fingernail: fingernail
finish: finish,finished
fireplace: fireplace
fireside: fireside
firewood: firewood
firmly: firmly
fish: fish,fishes
fist: fist,fists
fit: fit,fitted
fitfully: fitfully
fitness: fitness
fizz: fizzed
flag: flags
flagstone: flagstones
flake: flakes
flame: flame,flames,flaming
flap: flapped,flapping
flare: flare,flared,flaring
flash: flash,flashed
flat: flat
flatten: flattened
flaxen: flaxen
fleck: flecked
flee: fled
flesh: flesh
flicker: flicker,flickered,flickering
flight: flight
fling: flinging,flung
flirtation: flirtation
flit: flitted
float: floated
flood: flood
floor: floor
flopping: flopping
floral: floral
flourish: flourish
floury: floury
flow: flow,flowed,flowing
flower: flower,flowers
fluctuate: fluctuated,fluctuating
flung: flung
flush: flushed
flutter: fluttering
fly: flew,fly,flying
focus: focused
foliage: foliage
foliate: foliated
follow: follow
folly: folly
fond: fond
food: food
fool: fool,fools
foolish: foolish
foolishly: foolishly
foot: feet,foot
football: football
footfall: footfall
footing: footing
footnote: footnote
footprint: footprints
footsore: footsore
footstep: footsteps
forbid: forbidden,forbidding
force: force,forces,forcing
forearm: forearms
forefinger: forefinger
foremost: foremost
forest: forest
forget: forget,forgotten
forgive: forgive
fork: fork
form: form,forming,forms
format: format,formats
forthwith: forthwith
fortunate: fortunate
fossil: fossil,fossils
fossilised: fossilised
foul: foul
foundation: foundation
fours: fours
fourth: fourth
fracture: fractured
fragile: fragile
fragmentary: fragmentary
frail: frail
frame: frame,framed,frames
framework: framework
frankly: frankly
frankness: frankness
frantic: frantic
frantically: frantically
freedom: freedom
freely: freely
frenzy: frenzy
frequent: frequent,frequented
fresh: fresh,fresher
freshen: freshening
freshly: freshly
freshness: freshness
fret: fretted
fretted: fretted
friday: friday
friend: friend,friends
friendliness: friendliness
friendly: friendly
friendship: friendship
fright: fright
frightened: frightened
frightful: frightful
frightfully: frightfully
fringe: fringes
fro: fro
frugivorous: frugivorous
fruit: fruit,fruits
fullness: fullness
fumble: fumbled,fumbling
fungus: fungi
funny: funny
furiously: furiously
furnish: furnish
furnishing: furnishing
furtively: furtively
fuss: fuss
futile: futile
futility: futility
future: future
futurity: futurity
gain: gaining
gallery: galleries,gallery
game: game
gap: gap,gaps
garden: garden
garland: garland,garlanded
garment: garments
gash: gashed
gate: gates
gather: gathered,gathering
gathering: gathering
gaudy: gaudy
gaunt: gaunt
gay: gay
gazette: gazette
generation: generation,generations
gentle: gentle
gentleness: gentleness
gently: gently
genuine: genuine
geology: geology
geometrical: geometrical
geometry: geometry
germ: germ
german: german
gesticulate: gesticulated
gesture: gesture,gestures
ghastly: ghastly
ghost: ghost,ghosts
ghostly: ghostly
gibbous: gibbous
giddy: giddy
gift: gift
girdle: girdled
girlish: girlish
glad: glad
glance: glance,glanced,glancing
glare: glare,glared,glaring
glaring: glaring
glass: glass,glasses
glaze: glazed
gleam: gleam,gleaming
gleefully: gleefully
glide: glided,gliding
glimmer: glimmer,glimmering
glimpse: glimpse
glitter: glittering
globe: globes
gloriously: gloriously
glow: glow,glowed,glowing
gnat: gnats
goal: goals
god: god
gold: gold
golden: golden
govern: govern
graceful: graceful
gracefully: gracefully
gradual: gradual
gradually: gradually
granite: granite
grant: grant,granted
grape: grape
grapple: grappled
grasp: grasp,grasped,grasping
grass: grass
grate: grate
gratefully: gratefully
gratitude: gratitude
grave: grave
gravitation: gravitation
gravity: gravities
greasy: greasy
greatly: greatly
grecian: grecian
greek: greek
green: green
greenery: greenery
greenish: greenish
grey: grey,greyer
greyish: greyish
greyness: greyness
grief: grief
grieve: grieved
griffin: griffins
grimace: grimaces
grimly: grimly
grind: grind
grindstone: grindstone
grip: grip,gripped
groove: groove,grooves
grope: groping
gross: gross
grossly: grossly
grotesque: grotesque
ground: ground
grow: grew,grow,growing,grown
grunt: grunt
guess: guess,guessed,guesses
guest: guests
gulf: gulf
gun: guns
gunpowder: gunpowder
gust: gust,gusts
gusty: gusty
gutter: gutters
habit: habit,habits
habitat: habitat
habitual: habitual
haggard: haggard
hail: hail
hailstone: hailstones
hair: hair
haired: haired
hairless: hairless
hairy: hairy
halitus: halitus
hall: hall,halls
hallo: hallo
halt: halted
hammer: hammered,hammering
hand: hand,hands
handle: handle,handles
hang: hanged,hung
happen: happen,happened,happening
happily: happily
happy: happy
hard: hard,hardest
hardship: hardship
harmless: harmless
harmony: harmony
harsh: harsh
harshly: harshly
hart: hart
harvest: harvest
hastily: hastily
hastings: hastings
hasty: hasty
hatch: hatched
hatchet: hatchet
hate: hated
hateful: hateful
haul: haul
haunt: haunted
haves: haves
hawk: hawk
hawthorn: hawthorn
haze: haze
hazy: hazy
head: head,heads
headline: headlines
headlong: headlong
heal: healed
health: health
heap: heap,heaped,heaping,heaps
hear: hear,heard
hearer: hearers
heart: heart
hearthrug: hearthrug
heat: heat
heaven: heavens
heavily: heavily
heavy: heavy
hectic: hectic
hedge: hedges
heel: heel,heels
heir: heir
helpful: helpful
helpless: helpless
helplessness: helplessness
hermetically: hermetically
hesitate: hesitated,hesitating
hesitation: hesitation
hettie: hettie
hide: hidden,hide
hiding: hiding
highly: highly
hilariously: hilariously
hill: hill,hills
hillock: hillock,hillocks
hillside: hillside
hilt: hilt
hindrance: hindrances
hint: hint
hiss: hissing
hissing: hissing
historian: historian
historical: historical
history: history
hitherto: hitherto
hoax: hoax
hold: held,hold,holding,holds
holder: holder
hollow: hollow
hollowness: hollowness
homer: homer
hook: hooks
hop: hopping
hope: hope,hoped,hopes
hopeless: hopeless
hopelessly: hopelessly
horizon: horizon
horizontal: horizontal
horrible: horrible
horribly: horribly
horror: horror
horse: horse,horses
horticulture: horticulture
hospitality: hospitality
host: host,hosts
hot: hot,hotter
hour: hour,hours
house: house,housed,houses
household: household
hover: hover
huge: huge
hugely: hugely
hull: hull
hum: hum
human: human
humanity: humanity
humbug: humbug
humour: humour
hundredth: hundredth,hundredths
hunger: hunger
hungry: hungry
hurriedly: hurriedly
hurry: hurried,hurry
hurt: hurts
hush: hush
husk: husk
hypertrophied: hypertrophied
hypothesis: hypothesis
hysterical: hysterical
ice: ice
ichthyosaurus: ichthyosaurus
idea: idea,ideas
ideal: ideal,ideals
identification: identification
identify: identify
idol: idols
ignorance: ignorance
iii: iii
illuminate: illuminated
imagination: imagination
imagine: imagine,imagined,imagining
imitate: imitated,imitating
immaterial: immaterial
immemorial: immemorial
immense: immense
imminent: imminent
impart: imparted
impartiality: impartiality
impatient: impatient
impede: impeded
impend: impending
impenetrable: impenetrable
impenetrably: impenetrably
imperceptible: imperceptible
imperfect: imperfect
impetus: impetus
imply: implied
import: import
importation: importations
impose: imposed
impossible: impossible
impress: impressed
impression: impression,impressions
improper: improper
improve: improve,improved
impulse: impulse
inaccessible: inaccessible
inaccurate: inaccurate
inactive: inactive
inactivity: inactivity
inadequacy: inadequacy
inadequate: inadequate
inarticulate: inarticulate
incandescent: incandescent
incapable: incapable
incessant: incessant
inch: inch
incident: incident
incidental: incidental
inclination: inclination
incline: incline,inclined
inclined: inclined
include: include,included,includes,including
including: including
income: income
incomplete: incomplete
incomprehensible: incomprehensible
incontinently: incontinently
increase: increase,increased,increasing
incredible: incredible
incredibleness: incredibleness
incredibly: incredibly
incredulous: incredulous
incrustation: incrustation
indefinable: indefinable
indefinite: indefinite
indemnify: indemnify
indemnity: indemnity
indescribably: indescribably
indian: indian
indicative: indicative
indicator: indicators
indifferently: indifferently
indirect: indirect
indirectly: indirectly
indistinct: indistinct
indistinctly: indistinctly
individual: individual
indolent: indolent
indoors: indoors
industrial: industrial
industry: industry
inequality: inequalities
inevitable: inevitable
inevitably: inevitably
inextinguishable: inextinguishable
infer: infer,inferred
infinitely: infinitely
infirm: infirm
infirmity: infirmity
inflammable: inflammable
inflict: inflicted
influence: influence
infringement: infringement
ingenious: ingenious
ingenuity: ingenuity
inheritance: inheritance
inhuman: inhuman
initiative: initiative
ink: ink
inkling: inkling
inky: inky
innumerable: innumerable
inquire: inquired
inquiry: inquiry
inscription: inscription
insect: insects
insecurity: insecurity
insensible: insensible
insensibly: insensibly
insidious: insidious
insist: insisted
inspiration: inspiration
inspire: inspired
instability: instability
instance: instance,instances
instant: instant
instantaneous: instantaneous
instinct: instinct
instinctive: instinctive
instinctively: instinctively
institution: institution
insult: insult
intellect: intellect
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intend: intend
intense: intense,intensest
intensely: intensely
intent: intent
intention: intention
intermarriage: intermarriage
interminable: interminable
intermission: intermission
intermittent: intermittent
intermittently: intermittently
internal: internal
internally: internally
international: international
interpolate: interpolated
interpret: interpret,interpreted
interpretation: interpretation
interrogation: interrogations
interrogative: interrogative
interrupt: interrupted
interruption: interruptions
interstice: interstices
interval: interval,intervals
intervene: intervening
intervention: intervention
intimate: intimate
intimation: intimation
intolerable: intolerable
intonation: intonation
intricate: intricate
introduction: introduction
introspective: introspective
intrusion: intrusion
