abandon: abandoned
blot: blotting
blotched: blotched
blow: blow,blowing
blue: blue
blush: blush,blushing
board: board
boarding: boarding
boat: boat
body: bodies,body
boil: boil,boiled
bold: bold
bolt: bolt,bolting
bond: bond
bone: bones
bony: bony
book: book,books
boot: boots
bottle: bottles
bottled: bottled
bounce: bouncing
bound: bounding
bountiful: bountiful
bow: bow,bowed
bowl: bowl
box: box,boxes
boxer: boxer,boxers
boxes: boxes
boy: boy,boys
brain: brain
brand: brand
brave: brave
breach: breach
bread: bread
break: break,breaking,broke,broken
breaker: breaker
breakfast: breakfast
breaking: breaking
breast: breast
breath: breath
breathe: breathe
breathless: breathless
breeches: breeches
breed: bred,breed
brick: brick,bricks
bride: bride,brides
bridegroom: bridegroom,bridegrooms
bridge: bridge
bridle: bridling
bright: bright,brightest
brighten: brightened,brightening
brightly: brightly
brilliant: brilliant
bring: bring,bringing,brought
brisk: brisk
briskly: briskly
broad: broad
broken: broken
broker: broker
brood: brooding
brother: brother
brothers: brothers
brow: brow
brown: brown
bud: bud,buds
building: building
bull: bull
bumper: bumper
bunch: bunch
bungle: bungled
burden: burden
burial: burial
burly: burly
burn: burned,burnt
burning: burning
burst: burst,bursting
bury: bury
busily: busily
business: business
bustle: bustle
busy: busy
butt: butt
butter: butter
button: buttoned,buttons
bye: bye
cake: cake,cakes
calculate: calculate,calculated
caleb: caleb
calendar: calendar
calf: calves
caller: callers
calling: calling
callous: callous
calm: calm
calmness: calmness
canal: canal
canary: canary
candle: candle
candy: candied
cannon: cannon
cap: cap,caps
capacity: capacity
cape: cape
capital: capital,capitals
card: card,cards
care: care,cared,cares
carefully: carefully
caress: caressing
carriage: carriage
carrier: carrier,carriers
carry: carried,carry,carrying
cart: cart,carts
carve: carved
cash: cash
cast: cast,casting
cat: cats
catch: caught
caution: caution
cease: cease
ceiling: ceiling,ceilings
centre: centre
ceremony: ceremony
certainty: certainty
chafing: chafing
chain: chain
chair: chair,chairs
chaise: chaise
chalk: chalk
challenge: challenge,challenging
chamber: chamber
chamberlain: chamberlain
chance: chance
change: change,changed,changing
changed: changed
chapter: chapter
character: character,characters
characteristic: characteristics
charge: charge,charges
charitable: charitable
charity: charities,charity
charles: charles
charming: charming
chat: chat
cheap: cheap
check: check,checked,checks
cheek: cheek
cheer: cheer,cheered
cheerful: cheerful
cheerfulness: cheerfulness
cheery: cheery
cherish: cherish,cherished
chest: chest
chi: chi
chief: chief
chiefly: chiefly
child: child,children
chilly: chilly
chime: chime
chimney: chimney
chin: chin
chip: chip
chirp: chirp,chirped,chirping
chirrup: chirrup,chirruped
choice: choice
choke: choked
choose: choose,chose
chorus: chorus
christen: christened
christian: christians
christmas: christmas
chubby: chubby
chuck: chuck
chuckle: chuckle
church: church
churchyard: churchyard
circle: circle
circumstance: circumstance,circumstances
city: city
claim: claim
clap: clapped
clapping: clapping
clasp: clasp,clasping
clasped: clasped
class: classes
clatter: clattered
clay: clay
clean: clean
cleaver: cleavers
clench: clenched
clerk: clerk
clever: clever
clinch: clinch
cling: clung
cloak: cloak
clock: clock,clocks
close: close,closed,closer,closest
closely: closely
clot: clots
cloth: cloth
clothes: clothes
clothing: clothing
cloud: cloud,clouds
club: club
clumsy: clumsy
cluster: cluster
clutch: clutches
coach: coach
coal: coal
coarse: coarse
coat: coat
coax: coaxing
cock: cocking
code: codes
cognizance: cognizance
cold: cold
collar: collar
collection: collection
colour: colour,coloured,colours
combination: combination
comely: comely
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
comical: comical
command: commanding
commend: commend,commended
commercial: commercial
commit: commit,committed
common: common
commotion: commotion
communication: communication
compact: compact
compactness: compactness
companion: companion,companions
company: company
compare: compare,compared
comparison: comparison
compass: compass
compassionate: compassionate
compassionately: compassionately
compeer: compeers
compel: compel
competition: competition
compilation: compilation
complaint: complaints
complete: complete
completely: completely
compliance: compliance
compliment: compliments
comply: comply,complying
compose: composed
composedly: composedly
comprehend: comprehend
compress: compressed
conceal: conceal,concealing
concentrate: concentrated
concentrated: concentrated
concept: concept
concern: concern
concerned: concerned
conclude: concluded
conclusion: conclusion
concussion: concussions
condition: condition
conditioned: conditioned
condolence: condolence
conduct: conduct
confess: confess
confession: confession
confidence: confidence
confident: confident
confine: confining
confirm: confirmed
confirmation: confirmation
confound: confounded
confuse: confused
confusion: confusion
congratulation: congratulations
connect: connecting
connection: connection
connive: conniving
conscience: consciences
conscious: conscious
consciously: consciously
consciousness: consciousness
consent: consent
consequence: consequence,consequences
consequential: consequential
considerable: considerable
considerate: considerate
consideration: consideration
console: console
constancy: constancy
constant: constant
consternation: consternation
contact: contact
contemplate: contemplate
contemplation: contemplation
contempt: contempt
content: content
contented: contented
contents: contents
continue: continued
contract: contract
contradict: contradict,contradicted
contrast: contrast
contribution: contribution,contributions
contrived: contrived
control: control
contumely: contumely
convenience: convenience
convenient: convenient
conversation: conversation
converse: converse
convert: convert
convey: convey
conviction: conviction
convivial: convivial
convulsion: convulsion,convulsions
convulsive: convulsive
cook: cook,cooks
cookery: cookery
copiously: copiously
copying: copying
copyright: copyright
coquettish: coquettish
cordiality: cordiality
core: core
corner: corner,corners
corporation: corporation
correct: correct,correcting
corroborate: corroborated
corrupt: corrupt
corset: corset
cosiness: cosiness
cost: cost,costs
costume: costume
cosy: cosy
cot: cot
cottage: cottages
cotton: cotton
cough: coughed
council: councils
counsel: counsel
count: count
countenance: countenance,countenances
counterfeit: counterfeited
counterpart: counterpart
counting: counting
country: countries,country
couple: couple,couples
courage: courage
courageous: courageous
court: courting
cover: covered,covering
covering: covering
cow: cow
coy: coy
crack: crack
cracked: cracked
cracker: cracker,crackers
cradle: cradle,cradles
cram: crammed
cramped: cramped
crazy: crazy
cream: cream
create: created,creating
creation: creation
creature: creature,creatures
credit: credit
creep: crept
crevice: crevices
cribbage: cribbage
cricket: cricket,crickets
crimson: crimson,crimsoned
crisis: crisis
crisp: crisp
critical: critical
crook: crook
crop: crop
cross: crossed
crouch: crouching
crowd: crowd
crown: crown
crowning: crowning
cruel: cruel
crusty: crusty
cuckoo: cuckoo
cup: cup,cups
cupboard: cupboard
curious: curious
curly: curly
current: current
curtain: curtain
customary: customary
customer: customer
cut: cut,cuts
cymbal: cymbal
da: da
daily: daily
dainty: dainties,dainty
daisy: daisy
damage: damage,damaged
damaged: damaged
damages: damages
dame: dame
dance: dance,danced,dancing
dancing: dancing
danger: danger
dangerous: dangerous
dark: dark,darker
darken: darkened
darkly: darkly
darkness: darkness
darling: darling
darn: darned
dash: dash,dashed,dashes,dashing
datum: data
daughter: daughter,daughters
david: david
day: day,days
daytime: daytime
dead: dead
deaf: deaf
deal: deal,dealt
dearest: dearest
dearly: dearly
death: death
deathless: deathless
deceit: deceit
deceive: deceive,deceived
december: december
deception: deception,deceptions
decide: decided
decidedly: decidedly
declare: declare,declared
decline: declining
decorate: decorated
deductible: deductible
deed: deed
deem: deemed
deep: deep
deer: deer
defect: defect,defects
defective: defective
defer: defer
deference: deference
defiance: defiance
define: defined
degree: degree,degrees
dejected: dejected
delectation: delectation
deletion: deletions
delf: delf
delicacy: delicacies
delicate: delicate
delicious: delicious
delight: delight
delighted: delighted
deliver: deliver,delivered,delivering
delivery: delivery
delude: deluding
delusion: delusions
demand: demand,demanded
demolition: demolition
demon: demon
demoniacal: demoniacal
demonstration: demonstration
demonstrative: demonstrative
demure: demure
denote: denoting
deny: denied
depend: depends
depict: depicted
deplorable: deplorable
deposit: deposited
deprivation: deprivation
deprive: deprived
deputy: deputy
der: der
derivative: derivative
derive: derive,derived,deriving
descent: descent
description: description
deserve: deserve,deserving
design: design,designed
desirable: desirable
desire: desire,desired
desk: desk
desolate: desolate
desperation: desperation
despise: despised
despondent: despondent
destroy: destroy,destroyed
detach: detach
determine: determine,determined
development: development
devil: devil
devote: devoted
devoted: devoted
devotedly: devotedly
devotion: devotion
devout: devout
dexterous: dexterous
dickens: dickens
dictionary: dictionary
die: die,died
difference: differences
difficult: difficult
difficulty: difficulties,difficulty
dignified: dignified
dignity: dignity
dilate: dilated
dim: dim
dimly: dimly
dimpled: dimpled
dingy: dingy
dinner: dinner
direct: direct
direction: direction,directions
director: director
disadvantage: disadvantage
disagreeably: disagreeably
discernment: discernment
disciplinarian: disciplinarian
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclosed
discolour: discoloured
discomfiture: discomfiture
discompose: discomposed
disconcerting: disconcerting
discontented: discontented
discontinue: discontinue
discouragement: discouragement
discourse: discourse
discover: discover,discovered
discovery: discoveries
discretion: discretion
discuss: discussed
disdain: disdained
disguise: disguise,disguised
disgusted: disgusted
dish: dishes
disk: disk
dismally: dismally
dismiss: dismissed
disparity: disparity
display: display,displayed,displaying
dispose: disposed
disposition: disposition
disproportionate: disproportionate
dispute: dispute,disputing
dissipation: dissipation
distance: distance
distant: distant
distaste: distaste
distended: distended
distinct: distinct
distinction: distinction,distinctions
distraught: distraught
distress: distress
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
distrust: distrust
disturb: disturb,disturbed
disturbed: disturbed
dive: dived
divert: diverted
diviner: diviner
diving: diving
doctor: doctor
dog: dog,dogs
doleful: doleful
doll: doll,dolls
dolls: dolls
domain: domain
domestic: domestic
donate: donate
donation: donation,donations
donor: donors
door: door,doors
doorway: doorway,doorways
dot: dot,dots
dote: dote,doted
doth: doth
double: doubled
doubt: doubt
doubtless: doubtless
dove: dove
downcast: downcast
download: downloading
downward: downward
doze: dozed,dozing
dozen: dozen,dozens
drag: drag
draw: draw,drawing,drawn,drew
dread: dread
dreadful: dreadful
dreadnought: dreadnought
dream: dream,dreamed,dreams
dreamy: dreamy
dress: dress,dressed
dresser: dressers
dressing: dressing
dressmaker: dressmaker
dribble: dribble
drift: drift
drink: drank,drink,drinking
drive: drive,drove
driver: drivers
droop: drooped
drop: dropped
drown: drown
drowsily: drowsily
drum: drum,drums
drunk: drunk
drunken: drunken
dry: dried,dry,drying
dull: dull
dumb: dumb
dumpling: dumpling
dunce: dunce
dusk: dusk
dust: dust,dusted
dutch: dutch
dutchmen: dutchmen
dutiful: dutiful
duty: duty
dwell: dwelling
dwelling: dwelling
eager: eager
eagerly: eagerly
ear: ear,ears
eared: eared
earnest: earnest
earnestness: earnestness
earth: earth
earthenware: earthenware
earthly: earthly
easily: easily
east: east
easy: easy
eat: ate,eat,eating
eccentric: eccentric
echo: echoed
ecstasy: ecstasy
edition: edition,editions
educational: educational
edward: edward
effectual: effectual
effort: effort,efforts
elbow: elbow,elbows
elder: elder
elect: elect
electronic: electronic
electronically: electronically
element: element
elephant: elephants
elicit: eliciting
eligible: eligible
elm: elms
email: email
embarrassed: embarrassed
embrace: embrace,embraced
emotion: emotion,emotions
emphasise: emphasised
emphatic: emphatic
empire: empire
employ: employed
employee: employee,employees
employer: employer
emulation: emulation
enchanted: enchanted
encircle: encircled,encircling
encode: encoding
encounter: encountered
encouragement: encouragement
endearing: endearing
endearment: endearment
endeavour: endeavouring
endurance: endurance
endure: endure
enemy: enemy
energy: energy
engage: engage,engaged
engagement: engagement
english: english
enjoy: enjoy,enjoying
enjoyment: enjoyment
enlighten: enlighten
enshrine: enshrined
ensue: ensued
ensure: ensuring
entangle: entangled
enter: entered,entering
entertain: entertained
entertainment: entertainment
enthusiasm: enthusiasm
entitle: entitled
entity: entity
entwine: entwined
equal: equal
equally: equally
equipment: equipment
equivalent: equivalent
erect: erect
errand: errand
error: errors
escape: escapes
escort: escorting
especial: especial
essence: essence
establish: established
established: established
establishment: establishment,establishments
estate: estate
estimate: estimate
eternal: eternal
euclid: euclid
eve: eve
evening: evening,evenings
event: events
evident: evident
evidently: evidently
exacting: exacting
exaggerated: exaggerated
excellent: excellent
exchange: exchanged
excited: excited
excitement: excitement
exclaim: exclaimed
exclusion: exclusion
excuse: excuse
executive: executive
exempt: exempt
exertion: exertions
exhibit: exhibited,exhibiting
exist: exist,exists
existence: existence
expand: expanding
expect: expect,expected,expecting
expectancy: expectancy
expectation: expectation
expedition: expedition
expend: expend
expense: expense,expenses
expensive: expensive
experience: experience,experienced
experienced: experienced
explanation: explanation
explanatory: explanatory
export: exporting
expose: exposed
express: express,expressed,expresses
expression: expression,expressions
expressive: expressive
expressly: expressly
exquisite: exquisite
extent: extent
extinguish: extinguished
extraordinary: extraordinary
exultation: exultation
exulting: exulting
exultingly: exultingly
eye: eye,eyes
eyed: eyed
eyelash: eyelashes
faced: faced
facetiously: facetiously
facility: facility
fade: faded
fag: fag
fail: failed,failing
fain: fain
faint: faint
faintheartedness: faintheartedness
fair: fair,fairest
fairbanks: fairbanks
fairies: fairies
fairy: fairies,fairy
faithful: faithful
faithfully: faithfully
fall: fall,fallen,falling,fell
false: false
falsehood: falsehood
falter: faltered,faltering
fame: fame
familiar: familiar
family: family
fancy: fancied,fancies,fancy
fantastic: fantastic
farmer: farmers
fashion: fashion
fashionable: fashionable
fast: fast
fat: fat,fatter
fatal: fatal
fatality: fatality
fate: fate
father: father,fathers
fault: faults
favour: favour,favours
favourable: favourable
favourite: favourite
fear: fear,fears
feast: feast
feather: feather
feature: feature,features
federal: federal
fee: fee,fees
feel: feel,feeling,feels
feeling: feelings
feign: feigning
fellow: fellow
ferocity: ferocity
fervency: fervency
fervent: fervent
festival: festival
fickleness: fickleness
fictitious: fictitious
fiddle: fiddle,fiddles
fidelity: fidelity
field: fields
fielding: fielding
fiendish: fiendish
fierce: fiercer
fight: fighting
figure: figure,figures
file: file,files
filler: filler
filling: filling
finally: finally
financial: financial
fine: fine
finger: finger,fingers
finish: finish,finished
firebox: firebox
fireside: fireside
firm: firm,firmer
firmly: firmly
fish: fish
fit: fit,fits,fitted
fitness: fitness
flame: flame
flank: flanked
flannel: flannel
flare: flaring
flash: flash,flashing
flatly: flatly
fling: flinging,flings
floor: floor
flour: flour
flow: flow
flower: flower,flowers
flush: flushed
flustered: flustered
flutter: flutter,fluttering
fluttered: fluttered
fly: flies,fly,flying
flying: flying
fog: fog
foggy: foggy
fold: folds
follow: follow
folly: folly
fond: fond
fonder: fonder
fondle: fondled,fondling
foolery: foolery
foolish: foolish
foot: feet,foot,footing
footfall: footfall
force: force,forced
forefinger: forefinger
forehead: forehead
foreign: foreign
foremost: foremost
foresee: foreseen
forge: forged
forget: forget,forgets,forgot,forgotten
forgive: forgive,forgiving
forgiveness: forgiveness
fork: fork
forlorn: forlorn
form: form,formed,forms
format: format,formats
forsake: forsaken
forthwith: forthwith
fortnight: fortnight
fortune: fortune
foundation: foundation
foundling: foundling
fowl: fowls
fragment: fragment
fragrance: fragrance
frame: framed
frank: frank
frantic: frantic
fraught: fraught
freely: freely
freeze: freeze,frozen
frequently: frequently
fresh: fresh,fresher
freshly: freshly
freshness: freshness
friction: friction
friend: friend,friends
friendly: friendly
frighten: frighten,frightened
frightened: frightened
frightful: frightful
frivolity: frivolity
fro: fro
frost: frost
froward: froward
fulness: fulness
furnish: furnished
furnishing: furnishing
furniture: furniture
furrow: furrow
furtive: furtive
fury: fury
future: future
gaiety: gaiety
gain: gained
gaiter: gaiters
gallant: gallant
gallery: gallery
gambol: gambols
game: game
gape: gaping
garb: garb
garden: garden
garland: garlands
garment: garment,garments
garret: garret
gash: gashed
gasp: gasping
gather: gathered,gathering
gaudy: gaudy
gay: gay
gaze: gazed
generation: generation,generations
generous: generous
genius: genius
genteel: genteel
gentility: gentility
gentle: gentle,gentlest
gentleman: gentleman,gentlemen
gentleness: gentleness
gentlewoman: gentlewoman
gently: gently
gentry: gentry
george: george
germ: germ
giant: giant
giants: giants
giddiness: giddiness
giddy: giddy
gigantic: gigantic
girl: girl,girls
glad: glad
gladly: gladly
glance: glance,glanced,glancing
glare: glare
glass: glass
glaze: glazing
gleam: gleam,gleamed,gleaming
glee: glee
glide: glided
glimpse: glimpse,glimpses
globe: globe
gloom: gloom
glorious: glorious
glove: gloves
glow: glow
goad: goading
goal: goals
goblin: goblin
god: god
gods: gods
gold: gold
golden: golden
goodness: goodness
goose: geese,goose
gossip: gossiping
govern: govern
governor: governor
gown: gown
grace: grace
gracefully: gracefully
gracing: gracing
gracious: gracious
grade: grade
gradual: gradual
gradually: gradually
grandchild: grandchildren
grant: granted
grapple: grapple
grasp: grasp
grass: grass
grate: grate
grateful: grateful
gratefully: gratefully
gratify: gratify
gratitude: gratitude
grave: grave,graves
gravely: gravely
graze: grazed
greatly: greatly
green: green,greener,greens
gregory: gregory
grey: grey,greyer
grief: grief
grim: grim
grind: grinding
grip: grip
grope: groping
gross: gross
grotesque: grotesque
ground: ground
grow: grew,grow,growing
growl: growl
grown: grown
grudging: grudging
gruff: gruff
gruffs: gruffs
grumble: grumble,grumbled
guard: guard
guardian: guardian
guardians: guardians
guest: guest
guide: guide
guilty: guilty
gun: gun,guns
gush: gushing
ha: ha
hah: hah
hair: hair,hairs
haired: haired
hairy: hairy
hal: hal
halfpence: halfpence
halloa: halloa
halt: halting
ham: ham
hammer: hammer,hammered
hams: hams
hand: hand,hands
handed: handed
handicraft: handicraft
handle: handle,handles
handsome: handsome
handsomer: handsomer
hang: hanging,hung
happen: happen,happened,happening
happily: happily
happiness: happiness
happy: happier,happiest,happy
hard: hard,harder
hardship: hardships
hark: hark
harm: harm
harmless: harmless
harness: harness
harp: harp
harsh: harsh
hart: hart
hastily: hastily
hasty: hasty
hat: hat
hate: hate
haunted: haunted
hay: hay
haymaker: haymaker
head: head,headed
healthy: healthy
heap: heaped
hear: hear,heard,hearing
heart: heart,hearts
hearted: hearted
hearth: hearth
hearthstone: hearthstone
heartily: heartily
heartiness: heartiness
hearty: hearty
heaven: heaven
heavily: heavily
heavy: heaviest,heavy
hedge: hedges
heed: heed
heedless: heedless
heel: heel,heels
helpless: helpless
hesitate: hesitated,hesitating
heyday: heyday
hiccough: hiccoughing
hide: hide
hideous: hideous
hie: hie
hilarious: hilarious
hint: hint
hiss: hissed
hoar: hoar
hoarse: hoarse
hob: hob
hold: held,hold,holding
holden: holden
holder: holder
holiday: holiday
hollow: hollow
homage: homage
homely: homely
honest: honest
honour: honour,honouring,honours
hook: hook
hooked: hooked
hope: hope,hoped,hopes,hoping
hopeful: hopeful
hopeless: hopeless
horizontal: horizontal
horrified: horrified
horse: horse,horses
horseback: horseback
hospitality: hospitality
hotly: hotly
hour: hour,hours
house: house,houses
household: household
hover: hovering
howl: howl
hue: hue
hug: hugged
huge: huge
hull: hull
hum: hum,hummed,hums
human: human
humble: humble,humbled
humbug: humbug
humdrum: humdrum
humility: humility
humour: humour
humourist: humourist
humph: humph
hundredweight: hundredweights
hurried: hurried
hurriedly: hurriedly
hurry: hurried,hurry
husband: husband,husbands
hush: hush,hushing
hustle: hustled
ice: ice
idea: idea
identification: identification
identify: identify
identity: identity
idiot: idiot
idle: idle
idol: idol
ignorant: ignorant
iii: iii
illumine: illumined
illustrate: illustrated
illustration: illustration,illustrations
image: image,imaged,images
imaginary: imaginary
imagination: imagination
imagine: imagine,imagined
imitation: imitation
immensely: immensely
impart: imparted
impartially: impartially
impassioned: impassioned
impatient: impatient
imperfect: imperfect
imperil: imperilled
imperturbably: imperturbably
implacable: implacable
implement: implements
implicitly: implicitly
imply: implied,imply
impose: imposed
impossible: impossible
impression: impression,impressions
imprint: imprinted
improve: improve,improved
improvement: improvement
inaccurate: inaccurate
inaction: inaction
inappropriate: inappropriate
incense: incense
incessantly: incessantly
incident: incident,incidents
incidental: incidental
incite: incite
incline: inclined,inclining
include: include,included,includes,including
including: including
inclusive: inclusive
incoherently: incoherently
income: income
incomplete: incomplete
inconceivable: inconceivable
inconsistent: inconsistent
inconstancy: inconstancy
incontrovertible: incontrovertible
increase: increase,increasing
incredulity: incredulity
indefinite: indefinite
indemnify: indemnify
indemnity: indemnity
independent: independent
indescribable: indescribable
indifference: indifference
indifferent: indifferent
indignation: indignation
indigo: indigo
indirect: indirect
indirectly: indirectly
indispensable: indispensable
indistinct: indistinct
individual: individual
induce: induce
indulge: indulge
inevitable: inevitable
inexhaustible: inexhaustible
infallible: infallible
infallibly: infallibly
infant: infant,infants
infer: infer
infinite: infinite
infirmity: infirmity
influence: influence,influences
inform: informing
infringement: infringement
ingenious: ingenious
innocent: innocent
innumerable: innumerable
inquire: inquire,inquired,inquiring
inquisitively: inquisitively
inroad: inroad
insanely: insanely
inscribe: inscribed
inscription: inscription
insert: inserted
insinuate: insinuate,insinuated
insinuation: insinuations
insomuch: insomuch
inspire: inspire,inspired
inspiring: inspiring
install: installed
instance: instance
instant: instant
instantly: instantly
instinctively: instinctively
institution: institution
instruction: instruction
instrument: instrument,instruments
insult: insult
intellectual: intellectual
intend: intended,intending
intense: intense
intensify: intensifying
intent: intent
intention: intention
intently: intently
interchange: interchange
interfere: interfered
internal: internal
international: international
interpose: interposed
interpret: interpreted
interrupt: interrupt,interrupted
interval: interval,intervals
interview: interview
invalidity: invalidity
invariably: invariably
invent: invent,invented
invest: invested
invitation: invitation
invocation: invocation
involuntary: involuntary
iron: iron
irrepressible: irrepressible
irresistible: irresistible
irs: irs
iso: iso
isolate: isolated
jacks: jacks
january: january
jaw: jaw
jeffrey: jeffrey
jerk: jerked,jerking
jest: jest
jewel: jewels
jig: jig
jog: jog,jogged,jogging
john: john
joke: joke,joking
jolly: jolly
journey: journey
jovial: jovial
joy: joy,joys
joyful: joyful
judge: judge,judged,judging
judgment: judgment
juggling: juggling
jumble: jumbled
jump: jump
juncture: juncture
justice: justice
keel: keel
keen: keen
keener: keener
keg: keg
kettle: kettle
keyhole: keyhole
kick: kick,kicked,kicks
kill: kill
kindly: kindly
kindness: kindness
king: king
kiss: kiss,kissed,kissing
kitchen: kitchen,kitchens
kites: kites
knee: knees
knife: knife
knob: knob,knobs
knock: knock,knocked,knocking
knocker: knockers
knot: knot
knotty: knotty
knowledge: knowledge
knuckle: knuckle
labour: laboured,labouring
lack: lack
lady: ladies,lady
lake: lake
lamb: lamb
lamentably: lamentably
lamp: lamps
lane: lane
language: language
lank: lank
lantern: lantern,lanterns
lap: lap
lapse: lapsed
latch: latch
late: late
laugh: laugh,laughed,laughing
laughter: laughter
lavish: lavished
law: law,laws
lawyer: lawyer,lawyers
lay: laid,lay,laying
lazy: lazy
lead: lead,leading,led
leader: leader
leaf: leaf,leaves
lean: lean,leaned,leaning
leaning: leaning
leap: leap,leaping
learn: learn,learnt
leather: leather
leave: leave,leaves,leaving,left
leer: leer
left: left
leg: leg,legs
legal: legal
legally: legally
leisurely: leisurely
lender: lender
lesson: lesson
level: level
liability: liability
liable: liable
liberty: liberties,liberty
library: library
licence: licence
license: license
licensed: licensed
lid: lid
lie: lie,lies,lying
lieu: lieu
life: life,lives
lift: lift,lifted
light: light,lighted
lighting: lighting
lightly: lightly
liking: liking
limb: limbs
limit: limited
limitation: limitation
limited: limited
linen: linen
linger: linger,lingering
link: linked,linking,links
lion: lion
lip: lips
list: listed
listen: listen,listened,listening
listener: listener
literally: literally
literary: literary
live: live,lived,living
lively: liveliest,lively
living: living
loa: loa
load: loaded
loaf: loaf
locate: located
location: locations
lock: locked
lodging: lodging
lonely: lonely
loose: loose
loosely: loosely
lor: lor
