abandon: abandon,abandoned,abandoning
chimney: chimneys
chin: chin
china: china
chinamen: chinamen
chinese: chinese
choose: choose,chose,chosen
chop: chop,chopping
chord: chord,chords
christian: christians
chronometer: chronometer,chronometers
chuckle: chuckled
church: church,churches
cigar: cigars
cinnamon: cinnamon
circuit: circuit,circuits
circular: circular
circulate: circulating
circulation: circulation
circumference: circumference
circumstance: circumstance,circumstances
circus: circus
cisco: cisco
cistern: cisterns
citizen: citizens
city: cities,city
civil: civil
civilian: civilians
civilisation: civilisation
civilised: civilised
claim: claim
clamber: clambering
clamorous: clamorous
clanging: clanging
claret: claret
clasp: clasp,clasping
clasped: clasped
class: class,classes
clay: clay
clean: clean
clearing: clearings
clenched: clenched
clergyman: clergyman
clerk: clerk
clever: clever
clime: clime
cling: clung
clipper: clippers
cloak: cloak,cloaks
clock: clock,clocks
clog: clogs
close: close,closed,closing
closed: closed
closely: closely
cloth: cloth
clothe: clad,clothed
clothes: clothes
clothing: clothing
cloud: cloud,clouds
clouds: clouds
clove: clove,cloves
clown: clown,clowns
club: club,clubs
clump: clump,clumps
cluster: clusters
coach: coach,coaches
coal: coal
coast: coast,coasting,coasts
coat: coat,coats
cochin: cochin
coconut: coconut
coffee: coffee
cogitate: cogitating
coin: coin
cold: cold
coldly: coldly
coldness: coldness
collapse: collapse
collar: collar,collaring
collect: collect,collected
collection: collection
collector: collector
collision: collision,collisions
colloquy: colloquy
colonel: colonel
colonise: colonise,colonising
colony: colonies,colony
colorado: colorado
colour: colour,coloured,colours
colouring: colouring
colt: colt
columbus: columbus
column: column,columns
comb: comb
combatant: combatants
combination: combination,combinations
combine: combines
comer: comer
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
command: command,commanded,commanding,commands
commander: commander
commanding: commanding
commence: commence,commenced
commendation: commendation
commerce: commerce
commercial: commercial
commiserate: commiserate
commission: commission
commissioner: commissioner
commit: committed
common: common
communication: communication
communicative: communicative
community: community
compact: compact
compactly: compactly
companion: companion,companions
company: company
comparable: comparable
comparatively: comparatively
compare: compare
compartment: compartments
compel: compelled
complacent: complacent
complain: complained
complainant: complainants
complaint: complaint
complement: complement
complete: complete,completed
completely: completely
completion: completion
complexion: complexion,complexions
complicated: complicated
complicity: complicity
compliment: compliment,compliments
compose: compose,composed
composure: composure
comprehend: comprehend,comprehended
comprise: comprise,comprised,comprises,comprising
conceal: conceal,concealed,concealing
concede: concede
conceit: conceit
conceive: conceive
concern: concern,concerned,concerns
concert: concert
conclude: conclude,concluded
concoct: concocted
concussion: concussion
condemn: condemn,condemned
condition: condition,conditions
conduct: conduct,conducted
conductor: conductor
confer: conferring
confess: confess,confessed
confidant: confidant
confide: confide,confided
confidence: confidence,confidences
confident: confident
confidently: confidently
confine: confined
confirm: confirmed
conflict: conflict
confound: confound,confounded
confucius: confucius
confuse: confused
confused: confused
confusion: confusion
congenial: congenial
congress: congress
conjecture: conjecture,conjectured,conjectures
connect: connect,connected,connecting
connection: connection
connivance: connivance
conquer: conquer,conquering
conquest: conquest
conscience: conscience
conscientiously: conscientiously
consecrate: consecrated
consent: consented
consequence: consequences
considerable: considerable
considerably: considerably
consideration: consideration
consign: consigned
consist: consisted
console: console,consoled
conspicuous: conspicuous
conspiracy: conspiracy
constable: constable
constant: constant
constantly: constantly
construct: constructed
construction: construction
consul: consul,consuls
consulate: consulate
consult: consult,consulted,consulting
consultation: consultation
consume: consumed
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
content: content
contented: contented
contents: contents
contest: contest,contesting
continent: continent
continental: continental
continually: continually
continue: continue,continued,continuing
contortion: contortions
contour: contour
contradict: contradicted
contrary: contrary
contrast: contrast,contrasted
contribute: contributed
control: control
convenient: convenient
conversation: conversation
convey: convey
conveyance: conveyance,conveyances
conviction: conviction
convince: convinced
convinced: convinced
convulse: convulsed
convulsively: convulsively
cook: cook
cool: cool,cooled
coolie: coolies
coolly: coolly
coolness: coolness
copper: copper
copse: copse,copses
cormorant: cormorants
corn: corn
corner: corner,corners
cornice: cornices
cornwallis: cornwallis
corps: corps
corpse: corpse,corpses
correct: corrected
cosily: cosily
cosiness: cosiness
cost: cost,costs
costume: costume,costumes
cosy: cosy
cot: cots
cotton: cotton
council: council
count: count,counted,counting,counts
countenance: countenance,countenances
counter: counters
countersign: countersigned
counting: counting
country: countries,country
county: county
courage: courage
courageous: courageous
courageously: courageously
court: court
courts: courts
cousin: cousin
cover: cover,covered,covering
cow: cow
crack: crack
craft: craft
crag: crags
craggy: craggy
crane: cranes
crash: crash
cravat: cravat
crave: craved
craving: cravings
cream: cream
create: create,created
creature: creature,creatures
credit: credit
creditor: creditors
creek: creek,creeks
creep: creeping,crept
crestfallen: crestfallen
crew: crew
crime: crime
criminal: criminal
crisp: crisp
crony: crony
cross: cross,crossed,crosses,crossing
crow: crows
crowd: crowd,crowded,crowds
crown: crown,crowned
crush: crushed,crushing
crusty: crusty
cudgel: cudgelled
cultivate: cultivate,cultivated
culvert: culverts
cumbrous: cumbrous
cup: cup,cups
curiosity: curiosity
curious: curious
curiously: curiously
curl: curled
current: current,currents
curse: curse,cursed,cursing
curtain: curtain,curtains
curve: curve,curves
curved: curved
cushion: cushions
custom: custom,customs
customary: customary
customer: customers
cut: cut,cuts
cutter: cutter
cymbal: cymbals
daily: daily
dairy: dairy
dam: dam
damages: damages
damascened: damascened
dame: dames
damsel: damsel
dance: dance,danced
dancer: dancers
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dark: dark,darkest
darken: darkened,darkening
darkness: darkness
darksome: darksome
dart: darting
daughter: daughter
davenport: davenport
dawn: dawn
day: day,days
daybreak: daybreak
daylight: daylight
dazzle: dazzling
dazzling: dazzling
dead: dead
deafening: deafening
deal: deal,dealing,dealt
dealer: dealer,dealers
dearly: dearly
death: death
debtor: debtor
decamp: decamped
decanter: decanters
december: december
decide: decide,decided
decidedly: decidedly
decimus: decimus
decision: decision
deck: deck,decked,decks
declare: declared
decline: declined
declivity: declivity
decorate: decorated
decrease: decreasing
deduct: deducted
deep: deep
deepen: deepened,deepening
deeply: deeply
deer: deer
default: default
defective: defective
defend: defend,defended
defiant: defiant
defile: defiles
deflection: deflections
defy: defy
degree: degree,degrees
deign: deign
deity: deities
delay: delay,delayed,delaying,delays
deliberate: deliberate
deliberation: deliberations
delicate: delicate
delicately: delicately
delicious: delicious
delight: delight
delighted: delighted
delightful: delightful
deliver: deliver,delivered
deliverer: deliverers
delusion: delusion
demand: demand,demanded,demands
demolition: demolition
demonstrate: demonstrated,demonstrates
demonstration: demonstration
den: den,dens
denounce: denouncing
dense: dense
densely: densely
denver: denver
deny: deny
depart: depart,departed,departing,departs
departure: departure
depend: depends
depict: depicted
deposit: deposit,deposited
depot: depot
depress: depressed
depression: depression,depressions
deprive: deprive,deprived
depth: depth
depths: depths
derange: deranged
des: des
descend: descend,descended,descending,descends
descendant: descendants
description: description,descriptions
desecrator: desecrator
desert: desert,deserts
deserted: deserted
deserve: deserved
design: design,designed,designs
designate: designated
designation: designation
desire: desire,desired
desirous: desirous
desk: desk,desks
desolation: desolation
despair: despair
desperate: desperate
desperately: desperately
despicable: despicable
despise: despised
despotic: despotic
destination: destination
destine: destined
detach: detached
detached: detached
detachment: detachment
detain: detain,detained,detaining
detective: detective,detectives
detectives: detectives
determination: determination
determine: determined
determined: determined
deuce: deuce
develop: developed
deviate: deviate
deviation: deviation
devil: devil,devils
devote: devote,devoted
devoted: devoted
devotion: devotion
devour: devoured,devouring
dewdrop: dewdrops
dexterous: dexterous
diamond: diamond,diamonds
die: die,died,dies
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
dignified: dignified
dim: dim
diminish: diminished,diminishing
diminutive: diminutive
din: din
dine: dined
dining: dining
dinner: dinner
diplomatic: diplomatic
direct: direct,directed,directing
direction: direction
director: director,directors
dirty: dirty
disadvantage: disadvantage
disappear: disappear,disappeared,disappearing
disappearance: disappearance
disappoint: disappointed
disappointed: disappointed
disappointment: disappointment
disaster: disaster
disc: disc
discern: discern
discernible: discernible
discharge: discharge
disciple: disciples
disclosure: disclosure
discomfort: discomfort,discomforts
disconcert: disconcert
disconnected: disconnected
discordant: discordant
discourage: discouraged
discouraged: discouraged
discover: discovered
discovery: discovery
discuss: discussed,discussing
discussion: discussion,discussions
disdain: disdaining
disembark: disembark,disembarked
disgorges: disgorges
disguise: disguise,disguised
dish: dish,dishes
dishevelled: dishevelled
disinclined: disinclined
dismal: dismal
dismantle: dismantled
dismiss: dismissed
disorder: disorder
disordered: disordered
disorderly: disorderly
dispatch: dispatch,dispatched
dispense: dispense,dispensed
disperse: dispersed
display: displayed,displays
displease: displeases
disposal: disposal
dispose: disposed
disposition: disposition
dispute: disputed,disputes
disregard: disregard
dissipate: dissipated
distance: distance,distances
distant: distant
distil: distilled
distinct: distinct
distinction: distinctions
distinctly: distinctly
distinguish: distinguished,distinguishes
distress: distress
distribute: distributed
district: district
distrustful: distrustful
disturb: disturb,disturbed
disturbance: disturbance,disturbances
disturbing: disturbing
divan: divan
diversified: diversified
divert: diverted
divide: divide,divided,dividing
divine: divine
divinity: divinities
division: divisions
divulge: divulge
dock: docks
document: document
dodge: dodge
dog: dog,dogs
dogmatically: dogmatically
dogskin: dogskin
dollar: dollars
dome: dome
domestic: domestic,domestics
domesticate: domesticated
domesticated: domesticated
domicile: domicile
dominion: dominion
doom: doom,doomed
door: door,doors
dormitory: dormitory
dot: dotted
double: double,doubles
doubt: doubt,doubted,doubts
doubtless: doubtless
dover: dover
dozen: dozen,dozens
drag: dragging
drama: drama
draw: drawing,drawn,drew
dream: dream,dreams
dreary: dreary
dress: dress,dressed,dresses,dressing
dressed: dressed
drink: drank,drink,drinking
drinkable: drinkables
drive: drive,driven,drives,driving,drove
driver: driver
drone: droning
drop: drop,dropped
drown: drowned
drowsiness: drowsiness
drug: drug
drum: drums
drunk: drunk
drunken: drunken
drunkenness: drunkenness
dry: dried,dry
dublin: dublin
duck: ducks
duel: duel
duelling: duelling
duellist: duellists
dull: dull
dummy: dummy
dunce: dunces
dupe: dupes
durant: durant
dusk: dusk
dust: dust
dutch: dutch
dutchmen: dutchmen
duty: duties,duty
dwarf: dwarf
dwell: dwelling
dweller: dwellers
dwelling: dwelling
dwindle: dwindled
eager: eager
eagerly: eagerly
eagerness: eagerness
eagle: eagles
ear: ears
earn: earn
earnest: earnest
earnestly: earnestly
earring: earrings
earth: earth
ease: ease
easily: easily
east: east
easterly: easterly
eastern: eastern
eastward: eastward
eastwardly: eastwardly
easy: easy
eat: ate,eat,eaten
ebony: ebony
eccentric: eccentric
eccentricity: eccentricity
ecclesiastical: ecclesiastical
echo: echoed
economical: economical
eddy: eddies
edge: edge,edges
edibles: edibles
edifice: edifice
edinburgh: edinburgh
education: education
efface: effaced
effort: effort,efforts
egypt: egypt
egyptian: egyptian,egyptians
eighteen: eighteen
eightieth: eightieth
el: el
elapse: elapsed
eld: elder
elder: elder
elderly: elderly
election: election
electric: electric
elegantly: elegantly
elephant: elephant,elephants
elephanta: elephanta
elevation: elevation
elicit: elicited
elopement: elopement
elude: elude
embalmed: embalmed
embark: embark,embarked,embarking
embarrass: embarrass
embarrassed: embarrassed
embassy: embassy
embrace: embraced,embraces
embroider: embroidered
emerge: emerge,emerged
emigrant: emigrants
emit: emitting
emotion: emotion,emotions
emperor: emperor
emphasise: emphasising
empire: empire
employ: employed
employment: employment
emporium: emporium
enable: enable
encamp: encamped
encase: encase
enchant: enchanted
encircle: encircle
enclose: enclosed
enclosure: enclosure,enclosures
encounter: encountered,encounters
encroach: encroached
encrust: encrusted
encumber: encumbered
endeavour: endeavour
endure: endured
enemy: enemy
energetic: energetic
energy: energy
enfield: enfield
engage: engage,engaged,engages
engagement: engagement
engine: engine,engines
engineer: engineer,engineers
england: england
english: english
englishman: englishman,englishmen
englishmen: englishmen
enigmatical: enigmatical
enjoy: enjoy,enjoyed
enlarge: enlarged
enlighten: enlightened
enormous: enormous
enrage: enraged
enraged: enraged
enrich: enrich,enriched
ensconce: ensconced
ensue: ensued
ensure: ensure
enter: enter,entered,entering,enters
enterprise: enterprise
enterprising: enterprising
entertain: entertained
entertainer: entertainer
enthusiast: enthusiast
enthusiastic: enthusiastic
entire: entire
entitle: entitled
entomologists: entomologists
entrance: entrance
entry: entry
entwine: entwined
envelop: enveloped
enviable: enviable
epithet: epithet
equal: equal
equally: equally
equanimity: equanimity
equinox: equinox,equinoxes
equip: equipped
equipage: equipages
equipped: equipped
ere: ere
erect: erect,erected
errand: errand,errands
error: error
escapade: escapade
escape: escape,escaped,escaping
escort: escort,escorted,escorting
espouse: espoused
espy: espied,espy,espying
esquire: esquire
essay: essayed
essence: essence
establish: establish,established
establishment: establishment,establishments
esteem: esteem
estimable: estimable
estimate: estimate,estimated
eternity: eternity
eulogy: eulogies
europe: europe
european: european,europeans
evans: evans
evasion: evasion
evening: evening
event: event,events
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil
exact: exact
exactitude: exactitude
exaggerate: exaggerate
exaggerated: exaggerated
exalt: exalted,exalting
examination: examination
examine: examine,examined,examining
exasperate: exasperated
exceed: exceed,exceeding
exceedingly: exceedingly
excellent: excellent
exceptionally: exceptionally
excess: excess
excessive: excessive
excessively: excessively
exchange: exchange,exchanged
exchequer: exchequer
excite: excite
excited: excited
excitedly: excitedly
excitement: excitement
exciting: exciting
exclaim: exclaimed,exclaiming
exclamation: exclamation,exclamations
exclusive: exclusive
exclusively: exclusively
excursion: excursion
excuse: excuse,excused
execute: executed,executing
execution: execution
executioner: executioner,executioners
exercise: exercise,exercises
exertion: exertions
exhaust: exhaust,exhausted
exhausted: exhausted
exhaustless: exhaustless
exhibit: exhibit
exhibition: exhibition
exhilarate: exhilarating
exist: exist,existed,existing
existence: existence
expand: expanding
expanse: expanse
expect: expected
expectation: expectations
expedient: expedient
expend: expend,expended,expending
expense: expense,expenses
expensive: expensive
experience: experience,experienced,experiencing
experiment: experiment
expire: expired
explain: explain,explained
explanation: explanation
exploit: exploit
expose: expose,exposed
express: express,expressed,expresses,expressing
expression: expression
expressive: expressive
extend: extend,extended,extending,extends
extent: extent
exterior: exterior
extinguish: extinguished
extract: extracted
extradition: extradition
extreme: extreme
extremely: extremely
exultation: exultation
eye: eye,eyes
eyebrow: eyebrows
fabulous: fabulous
facilitate: facilitate
factory: factories
fade: faded
fahrenheit: fahrenheit
fail: fail,failed
failure: failure
fain: fain
fair: fair
faith: faith
faithful: faithful
faithfully: faithfully
fakir: fakirs
fall: fall,fallen,falling,fell
false: false
falter: faltered
familiar: familiar
familiarity: familiarity
familiarly: familiarly
family: family
famished: famished
famous: famous
famously: famously
fan: fan
fanatic: fanatics
fanatical: fanatical
fanaticism: fanaticism
fantastic: fantastic
fare: fare
farmer: farmer,farmers
farming: farming
farthing: farthing
fascinated: fascinated
fashion: fashion,fashioned
fashionably: fashionably
fast: fast,faster,fastest
fasten: fastened
fastidious: fastidious
fastness: fastnesses
fat: fat
fatal: fatal
fatally: fatally
fate: fate
father: father
fatigue: fatigue
fault: fault
favor: favors
favour: favour,favoured,favours
favourable: favourable
favoured: favoured
favourite: favourite
fear: fear,feared,fears
fearful: fearful
fearfully: fearfully
feasible: feasible
feat: feats
feather: feather,feathers
feature: feature,features
fee: fee
feed: fed,feed,feeding
feel: feel,feeling,feels
feeling: feeling
feign: feigning
fell: felled
fellah: fellahs
fellow: fellow,fellows
female: female
fermentation: fermentation
fern: ferns
ferocious: ferocious
ferocity: ferocity
ferryboat: ferryboat
fertile: fertile
fervent: fervent
festival: festival
fetch: fetch
feverish: feverish
feverishly: feverishly
fickle: fickle
field: fields
fields: fields
fierce: fierce
fiftieth: fiftieth
fight: fight,fighting,fought
figure: figure,figures
finally: finally
finance: finance
financial: financial
fine: fine,fines,finest
finger: finger,fingers
finish: finish,finished,finishing
fir: fir
fireman: fireman
fireplace: fireplace
firework: fireworks
firmly: firmly
firmness: firmness
fish: fish,fishes,fishing
fisherman: fishermen
fishing: fishing
fist: fist,fists
fit: fit,fitted
fitfully: fitfully
fitting: fittings
flag: flag,flags
flagging: flagging
flame: flame
flank: flank,flanks
flash: flash
flat: flat
flee: fled
flesh: flesh
flight: flight
float: float,floating
flock: flocked,flocks
floor: floor
flooring: flooring
flotilla: flotilla
flounder: floundered
flourish: flourished
flourishing: flourishing
flow: flowed,flows
