abandon: abandon,abandons
anatomist: anatomist
ancestor: ancestor,ancestors
anchises: anchises
anchor: anchor,anchors
ancient: ancient,ancients
anciently: anciently
andromache: andromache
anecdote: anecdotes
anew: anew
angel: angels
angelic: angelic
anger: anger
angle: angle
angler: angler
angry: angry
anguish: anguish
animal: animal,animals
animate: animate,animated,animates,animating
animated: animated
animi: animi
animosity: animosity
ankle: ankle,ankles
anne: anne
annotation: annotations
announcement: announcement
annoy: annoy
annual: annual
anoint: anoint
anomaly: anomalies,anomaly
answer: answer,answered,answering,answers
ant: ant,ants
antagonist: antagonists
antedate: antedate
antenor: antenor
antheia: antheia
antigone: antigone
antilochus: antilochus
antipathy: antipathy
antiphon: antiphon
antiquarian: antiquarian
antique: antique
antiquity: antiquities,antiquity
anton: anton
anvil: anvil,anvils
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apartment: apartment
apocryphal: apocryphal
apollo: apollo
apologue: apologue
apology: apologies
apotheosis: apotheosis
appal: appals
apparent: apparent
apparition: apparition
appeal: appeal,appealing,appeals
appearance: appearance
appease: appease,appeased,appeases
append: appended
appendix: appendix
appetite: appetite
applaud: applauding
applause: applause,applauses
apple: apple
applicable: applicable
applied: applied
apply: applied,applies,apply,applying
appoint: appoint,appointed
appreciation: appreciation
apprehension: apprehensions
apprehensive: apprehensive
approach: approach,approached,approaches,approaching
appropriately: appropriately
appropriation: appropriation
approval: approval
approve: approve,approved,approves,approving
april: april
apt: apt
arable: arable
arbiter: arbiter
arbitrary: arbitrary
arbitrate: arbitrate
arcadian: arcadian
arch: arch,arching
archaic: archaic
archbishop: archbishop
archdeacon: archdeacon
arched: arched
archer: archer,archers
archery: archery
arching: arching
architect: architect,architects
architectonic: architectonic
archive: archive
arctic: arctic
ardent: ardent
ardour: ardour
arduous: arduous
argive: argive
argos: argos
argue: argued,arguing
argument: argument,arguments
aright: aright
aristotle: aristotle
arm: arm,armed,arms
armament: armament
armed: armed
armida: armida
armipotent: armipotent
armour: armour
armourer: armourer
armoury: armoury
army: armies,army
arnold: arnold
arrange: arrange
arrangement: arrangement,arrangements
arranger: arrangers
array: array,arrays
arrears: arrears
arrest: arresting,arrests
arrival: arrival
arrive: arrived,arrives,arriving
arrogant: arrogant
arrow: arrow,arrows
art: art,arts
artemis: artemis
artful: artful
article: articles
articulate: articulate
artifice: artifice,artifices
artificial: artificial
artillery: artillery
artist: artist,artists
ascanian: ascanian
ascanius: ascanius
ascend: ascend,ascended,ascending,ascends
ascendency: ascendency
ascertain: ascertained
ascii: ascii
ascribe: ascribe,ascribed,ascribing
ash: ash,ashes
ashamed: ashamed
ashen: ashen
ashore: ashore
ashy: ashy
asia: asia
asian: asian
asiatic: asiatic
asleep: asleep
aspasia: aspasia
aspect: aspect
asperse: asperse
aspirate: aspirate
aspire: aspire,aspires,aspiring
assail: assail,assailed
assailant: assailants
assault: assault,assaults
assay: assays
assemblage: assemblage
assemble: assemble,assembled,assembles,assembling
assembly: assemblies,assembly
assent: assent,assenting,assents
assert: assert,asserted,asserts
assertion: assertion
assign: assign,assigned
assist: assist,assisted,assisting,assists
assistance: assistance
assistant: assistant,assistants
assistless: assistless
associate: associate,associates
association: association,associations
assuage: assuage,assuaged
assume: assume,assumed,assumes,assuming
assumption: assumption
assurance: assurance
assure: assure,assuring
assured: assured
assyrian: assyrian
astonish: astonish,astonished
astonishing: astonishing
astr: astr
astyanax: astyanax
asunder: asunder
atheist: atheist
athenian: athenian
athenians: athenians
athens: athens
athwart: athwart
atlas: atlas
atmospheric: atmospheric
atone: atone,atoned
atonement: atonement
atreus: atreus
attach: attached,attaches
attachment: attachments
attack: attack,attacked,attacks
attain: attain,attained,attaining
attainable: attainable
attainment: attainment,attainments
attaint: attaint
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending,attends
attendance: attendance
attendant: attendant,attendants
attention: attention
attentive: attentive
attentively: attentively
attest: attest,attested,attesting
attic: attic
attire: attire,attires
attract: attracted,attracts
attractive: attractive
attribute: attribute,attributed,attributes
audacious: audacious
audience: audience
aught: aught
augment: augment,augmented
augur: augur
augury: augury
august: august
aura: aura
aurora: aurora
ausonian: ausonian
auspices: auspices
auster: auster
austere: austere
authentic: authentic
authenticate: authenticated
authenticity: authenticity
author: author,authors
authoress: authoress
authorise: authorised
authority: authorities,authority
authorize: authorized,authorizes
authorship: authorship
autumn: autumn
autumnal: autumnal
auxiliar: auxiliar
auxiliary: auxiliary
avail: avail,avails
avarice: avarice
avenge: avenge,avenged,avenging
avenger: avenger
avenging: avenging
average: average
averse: averse
aversion: aversion
avert: avert,averted,averting
avoid: avoid,avoiding,avoids
avoir: avoir
avow: avowed
await: await,awaits
awake: awake,awaked,awakes,awaking
awaken: awaken
award: award
aware: aware
awe: awe,awed
awed: awed
awful: awful
awhile: awhile
awkward: awkward
awkwardly: awkwardly
awkwardness: awkwardness
axe: axe
axes: axes
axis: axes
axle: axle,axles
azure: azure
babe: babe,babes
bacchus: bacchus
bad: bad,worse,worst
bade: bade
baffle: baffled
baggage: baggage
bait: bait
balance: balance,balanced,balances
balanced: balanced
bald: bald
baldric: baldric
baleful: baleful
ball: ball,balls
ballad: ballad,ballads
ballast: ballast
balm: balm,balms
balmy: balmy
band: band,banded,bands
bandage: bandage
banded: banded
bane: bane
baneful: baneful
banish: banish
banishment: banishment
bank: bank,banks
banquet: banquet,banqueted,banquets
bar: bar,bars
barb: barb
barbarity: barbarities
barbarous: barbarous
barbarously: barbarously
barbed: barbed
bard: bard,bards
bare: bare,bared,bares
barely: barely
bargain: bargain
bark: bark,barked,barking,barks
barley: barley
barn: barn
barr: barr
barren: barren
barrier: barrier,barriers
barter: barter
bas: bas
base: base,based
basely: basely
baseness: baseness
bashful: bashful
basil: basil
basis: basis
bask: bask
basket: baskets
bason: bason
basso: basso
bastard: bastard,bastards
bath: bath,bathed
bathe: bathe,bathes
battalion: battalion,battalions
batter: batter
battle: battle,battles
battlement: battlement
battlements: battlements
battles: battles
bay: bay,baying
baying: baying
beach: beach
beacon: beacons
beagle: beagle
beak: beak
beaky: beaky
beam: beam,beaming,beams
beamy: beamy
bear: bear,bearing,bears,bore,born,borne
beard: beard
bearded: bearded
beardless: beardless
bearer: bearer
bearing: bearing
beast: beast
beat: beat,beaten,beating,beats
beating: beating
beauteous: beauteous
beautiful: beautiful
beautify: beautify
beauty: beauties,beauty
beck: beck
bed: bed,beds
bedew: bedew
bee: bees
beech: beech
beechen: beechen
beef: beeves
befall: befall,befalls,befell
befit: befit,befits
befriend: befriend
beg: beg,begs
beget: begat
begirt: begirt
begone: begone
begot: begot
beguile: beguiles
behalf: behalf
beheld: beheld
behest: behest,behests
behold: beheld,behold,beholding,beholds
beholder: beholders
behove: behoved
bel: bel
belch: belch
beleaguer: beleaguer
belie: belied
belief: belief
bellerophon: bellerophon
bellona: bellona
bellow: bellowing,bellows
bellowing: bellowing
belly: bellies,belly,bellying
belong: belong,belongs
belove: beloved
beloved: beloved
belt: belt,belts
bemoan: bemoan
bend: bend,bended,bending,bends,bent
bended: bended
beneath: beneath
benefactor: benefactors
beneficial: beneficial
benevolence: benevolence
benjamin: benjamin
bent: bent
bequeath: bequeath
bereave: bereaves
beseem: beseems
beset: beset
besiege: besiege,besieging
besieger: besiegers
besmear: besmear
besought: besought
bespeak: bespoke
bespeaking: bespeaking
bespoke: bespoke
bestow: bestow,bestowed,bestows
bestrew: bestrew
bestrewn: bestrewn
bestride: bestrides
bestrode: bestrode
bestrow: bestrow
betake: betake
betime: betimes
betray: betray,betrayed,betrays
betters: betters
betwixt: betwixt
beverage: beverage
bewail: bewail
beware: beware
bias: bias
bibl: bibl
bible: bible
bid: bade,bid,bidden,bids
bidden: bidden
bier: bier
billow: billow,billows
binary: binary
bind: bind,binds,bound
binding: binding
biographical: biographical
biography: biographies,biography
bird: bird,birds
birth: birth
birthright: birthright
bishop: bishop
bit: bit
bite: bit,bite,bites
bitter: bitter
bitterness: bitterness
bk: bk
bl: blest
black: black
blacken: blacken,blackening,blackens
bladder: bladder
blade: blade
blair: blair
blame: blame,blamed
blameless: blameless
blandishment: blandishment
blandishments: blandishments
blast: blast,blasted,blasts
blaze: blaze,blazed,blazes,blazing
bleak: bleak
bleat: bleating
bleed: bled,bleed,bleeding,bleeds
bleeding: bleeding
blemish: blemish
blend: blend,blended
blending: blending
bless: bless,blessed,blest
blessing: blessing,blessings
blest: blest
blind: blind
blindness: blindness
blink: blinking
bliss: bliss
blissful: blissful
bloated: bloated
block: block
blockade: blockaded
blood: blood
bloodhound: bloodhounds
bloodless: bloodless
bloodshed: bloodshed
bloody: bloodier,bloody
bloom: bloom,blooming
blossom: blossoms
blot: blots,blotted
blow: blew,blow,blown,blows
blown: blown
blue: blue
blunt: blunted,blunts
blunted: blunted
blush: blush,blushes,blushing
bluster: blustering
boar: boar,boars
board: board,boards
boast: boast,boasted,boasting,boasts
boaster: boaster
boastful: boastful
boat: boat
bode: bodes,boding
boding: boding
body: bodies,body
bog: bog
boil: boil,boiling,boils
boiling: boiling
boisterous: boisterous
bold: bold,boldest
boldly: boldly
boldness: boldness
bolt: bolt,bolts
bond: bond
bondage: bondage
bone: bone,bones
book: book,books
boon: boon
boot: boots
booty: booty
border: border,bordering,borders
bore: bore
boreal: boreal
boreas: boreas
bored: bored
borne: borne
borrow: borrow,borrowed
bosom: bosom,bosoms
boss: boss,bosses
bossy: bossy
bough: bough,boughs
bound: bound,bounded,bounding,bounds
boundless: boundless
bounteous: bounteous
bounty: bounties,bounty
bow: bow,bows
bowels: bowels
bower: bower,bowers
bowl: bowl,bowls
bowless: bowless
bowstring: bowstring
box: box
boy: boy,boys
brace: brace,braced,braces
braced: braced
bracelet: bracelets
braces: braces
braid: braids
braided: braided
brain: brain,brains
brake: brake,brakes
branch: branch,branches,branching
branching: branching
brand: brand,brands
brandish: brandish,brandishing
brass: brass
brave: brave,braved,braves,bravest
bravely: bravely
braver: braver
brawn: brawn
brawny: brawny
brazen: brazen
breach: breach
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breast: breast,breasts
breastplate: breastplate,breastplates
breath: breath
breathe: breathe,breathed,breathes,breathing
breathing: breathing
breathless: breathless
breed: bred,breed,breeds
breeze: breeze,breezes
breezy: breezy
brethren: brethren
briareus: briareus
bribe: bribe,bribed,bribes
bridal: bridal
bride: bride,brides
bridge: bridge,bridged
bridle: bridles
bright: bright,brighter,brightest
brighten: brighten,brightening,brightens
brilliant: brilliant
brim: brim,brims
brindled: brindled
bring: bring,bringing,brings,brought
brink: brink
briny: briny
briseis: briseis
brisk: brisk,brisker
bristle: bristled,bristles,bristling
bristly: bristly
british: british
brittle: brittle
broad: broad,broader,broadest
brodie: brodie
broider: broider
broil: broil
broke: broke
broken: broken
brook: brook
brother: brother,brothers
brow: brow,brows
brown: brown
bruise: bruised,bruises
brush: brush,brushing
brutal: brutal
bubble: bubbles,bubbling
buckle: buckled,buckles,buckling
buckler: buckler,bucklers
buckles: buckles
build: building,built
builder: builder
building: building
bulk: bulk
bulky: bulky
bull: bull,bulls
bullock: bullocks
bulwark: bulwark,bulwarks
bunch: bunch
buoy: buoy
burden: burden,burdens
burial: burial
burlesque: burlesque
burn: burn,burned,burning,burns
burning: burning
burns: burns
burst: burst,bursting,bursts
bursts: bursts
bury: buried,buries,bury,burying
bushy: bushy
busily: busily
business: business
bussy: bussy
busy: busied,busy
buxom: buxom
buzz: buzzing
byzantium: byzantium
cabinet: cabinet
cadence: cadence
cader: cader
cadmean: cadmean
caestus: caestus
cake: cake
calaber: calaber
calamitous: calamitous
calchas: calchas
calculate: calculate,calculated,calculating
calculation: calculations
caldron: caldron,caldrons
callianassa: callianassa
callow: callow
calm: calm
calmly: calmly
calmness: calmness
calumniate: calumniated
calydon: calydon
calypso: calypso
camilla: camilla
camp: camp,camps
campaign: campaign,campaigns
candidly: candidly
candour: candour
cane: cane
canister: canisters
canoe: canoe
canst: canst
canto: canto,cantos
canvas: canvas
cap: cap
capability: capabilities
capable: capable
capacious: capacious
capital: capital
captain: captain,captains
captious: captious
captive: captive,captives
capture: capture
car: car,cars
carcase: carcase,carcases
card: card
care: care,cares
career: career
careful: careful
carefully: carefully
careless: careless
carelessness: carelessness
caress: caress
carey: carey
carian: carian
carnage: carnage
carnivorous: carnivorous
carpet: carpet,carpets
carry: carried,carries,carry,carrying
carve: carved
cary: cary
casket: casket
casque: casque,casques
cassandra: cassandra
cast: cast,casting,casts
casting: casting
castor: castor
casual: casual
casus: casus
catalogue: catalogue
cataract: cataracts
catch: catch,caught
catholicity: catholicity
cattle: cattle
caul: cauls
cauldron: cauldron
caution: caution
cautious: cautious
cave: cave,caves
cavern: cavern,caverns
cavil: cavils
cavity: cavities
cease: cease,ceased,ceasing
cedar: cedar
ceiling: ceiling
celadon: celadon
celebrate: celebrate,celebrated,celebrating
celebrated: celebrated
celebrity: celebrity
celestial: celestial
cell: cells
celtic: celtic
cement: cemented
censure: censure,censured
censurer: censurers
centaur: centaur,centaurs
centaurs: centaurs
cento: cento
centre: centre
century: centuries,century
ceremonial: ceremonial
ceremony: ceremonies,ceremony
ceres: ceres
cession: cession
cestus: cestus
chaff: chaff
chain: chain,chains
chair: chair
chalcis: chalcis
chalcon: chalcon
chalky: chalky
challenge: challenge,challenged
chamber: chamber,chambers
champaign: champaign
champion: champion,champions
chance: chance,chanced
chancellor: chancellor
chandler: chandler
change: change,changed
channel: channel,channels
chap: chaps
chapman: chapman
character: character,characters
characteristic: characteristic,characteristics
characterize: characterized
charge: charge,charged,charges,charging
charger: charger,chargers
chariot: chariot,chariots
charioteer: charioteer,charioteers
charitable: charitable
charity: charities
charles: charles
charm: charm,charms
charmed: charmed
charming: charming
chase: chase,chased,chasing
chaser: chaser,chasers
chasing: chasing
chaste: chaste
chasten: chastened
chastise: chastised,chastises
chastisement: chastisement
chatter: chatter,chattering
chaucer: chaucer
che: che
cheat: cheat,cheats
check: check,checked,checking,checks
cheek: cheek,cheeks
cheer: cheer,cheered,cheering,cheers
cheerful: cheerful
cheerless: cheerless
cheese: cheese
cherish: cherished,cherishes
chersonese: chersonese
chest: chest,chests
chian: chian
chiding: chiding
chief: chief,chiefs
chiefly: chiefly
chiefs: chiefs
chieftain: chieftain,chieftains
child: child,children
chill: chill,chills
chimaera: chimaera
chimerical: chimerical
chin: chin
chine: chine,chines
chiron: chiron
choice: choice,choicest
choir: choir
choke: choke,choked
choler: choler
choose: choose,choosing,chose,chosen
christ: christ
christian: christian
chronicle: chronicle
chronos: chronos
church: church
cicero: cicero
cid: cid
cilician: cilician
cincture: cincture
circe: circe
circle: circle,circled,circles,circling
circlet: circlets
circling: circling
circuit: circuit
circumference: circumference
circumfuse: circumfused
circumlocution: circumlocution
circumstance: circumstance,circumstances
circumvent: circumvent
circus: circus
cistern: cistern
citadel: citadel
cithern: cithern
citizen: citizen
city: cities,city
civilized: civilized
claim: claim,claims
clamorous: clamorous
clamour: clamour,clamours
clamours: clamours
clan: clans
clang: clang,clanging
clanging: clanging
clangour: clangour,clangours
clank: clanks
clap: clap,claps
clarke: clarke
clash: clash,clashing
clasp: clasp,clasping,clasps
class: class
classic: classic
classical: classical
clatter: clatter
clattering: clattering
claw: claws
clay: clay
cleanse: cleanse,cleansed
cleansing: cleansing
clearness: clearness
cleave: cleave,cleaves,cleaving
cleft: cleft,clefts
clem: clem
cleopatra: cleopatra
clever: clever
cleverly: cleverly
cleverness: cleverness
cliff: cliff,cliffs
climate: climate
climb: climb,climbs
clime: clime,climes
cling: cling,clinging
clip: clip
clog: clogs
close: close,closed,closer,closes,closest
closely: closely
closing: closing
clot: clotted
clothe: clad,clothe,clothed
clotted: clotted
cloud: cloud,clouds
clouded: clouded
clouds: clouds
cloudy: cloudy
cloy: cloy
clung: clung
cluster: clusters
clustering: clustering
clytemnestra: clytemnestra
coagulate: coagulates
coal: coals
coan: coan
coast: coast,coasts
cock: cock
code: codes
coffer: coffer
cohort: cohorts
coin: coined
cold: cold,colder,coldest
coldly: coldly
coldness: coldness
collect: collect,collected,collecting,collects
collection: collection
collector: collector
collision: collision
collusion: collusion
colonel: colonel
colonization: colonization
colony: colony
colour: colour,colours
coloured: coloured
colouring: colouring
column: column,columns
comb: comb
combat: combat,combats
combatant: combatants
combine: combine,combined
combustion: combustion
comely: comelier,comely
comet: comet,comets
comfort: comfort,comforted
comfortable: comfortable
comfortless: comfortless
coming: comings
command: command,commanded,commanding,commands
commander: commander
commanding: commanding
commence: commence,commenced,commencing
commencement: commencement
commend: commend,commends
commendation: commendations
commentary: commentaries,commentary
commerce: commerce
commercial: commercial
commission: commission
commit: commit,commits,committed
common: common
commonly: commonly
commonwealth: commonwealth
commune: communed
communicate: communicated,communicates
communication: communication
community: community
commutual: commutual
compact: compact
compacted: compacted
companion: companion,companions
companionship: companionship
company: company
comparative: comparative
comparatively: comparatively
compare: compare,compared,compares,comparing
comparison: comparison,comparisons
compass: compass
compassion: compassion
compeer: compeer
compel: compel,compels
compeller: compeller
compelling: compelling
compensation: compensation
competent: competent
compilation: compilation
compile: compiled,compiling
compiler: compiler,compilers
complain: complain,complaining,complains
complaint: complaint,complaints
complete: complete,completed
completely: completely
completest: completest
compliance: compliance
compliant: compliant
complicated: complicated
compliment: compliment
comply: comply,complying
compose: compose,composed,composing
composition: composition,compositions
composure: composure
compound: compound,compounded
comprehend: comprehend
comprehension: comprehension
comprehensive: comprehensive
compress: compress,compressed
comprise: comprised
comrade: comrade,comrades
concave: concave
conceal: conceal,concealed,conceals
conceive: conceive,conceived
concept: concept
conception: conception
concern: concern,concerns
concerned: concerned
conclude: conclude,concluded,concludes,concluding
conclusion: conclusion
conclusive: conclusive
concubine: concubines
concur: concur,concurring
condemn: condemn,condemned,condemns
condense: condense,condensed,condensing
condescend: condescend
condition: condition,conditions
conduce: conduced
conducive: conducive
conduct: conduct,conducted,conducts
cone: cone
confederate: confederate,confederates
confer: confer,conferred,conferring,confers
conference: conference
confess: confess,confessed,confesses,confessing
confessedly: confessedly
confide: confiding
confidence: confidence
confiding: confiding
confine: confine,confined
confines: confines
confirm: confirm,confirmed,confirming,confirms
confirmation: confirmation
conflagration: conflagration
conflict: conflict,conflicting
conflicting: conflicting
conform: conform
confound: confound,confounded,confounds
confront: confronts
confucius: confucius
confuse: confused
confused: confused
confusedly: confusedly
confusion: confusion
congested: congested
conglobe: conglobing
congregate: congregated
congreve: congreve
congruity: congruity
conjecture: conjecture,conjecturing
conjoin: conjoin,conjoins
conjunction: conjunction
conjure: conjure
connect: connect,connected,connecting
connection: connection
connexion: connexion
conquer: conquer,conquered,conquering,conquers
conquering: conquering
conqueror: conqueror
conquest: conquest,conquests
conscious: conscious
consciousness: consciousness
consecrate: consecrated
consecrated: consecrated
consecution: consecution
consecutively: consecutively
consent: consent,consented,consenting,consents
consequence: consequence,consequences
consequent: consequent
consequential: consequential
conservatism: conservatism
considerable: considerable
considerably: considerably
considerate: considerate
consideration: consideration
consign: consign,consigned,consigns
consist: consist,consists
consistency: consistency
consistent: consistent
consistory: consistory
consolation: consolations
console: console
consonant: consonants
consort: consort,consorts
conspicuous: conspicuous
conspire: conspire
constancy: constancy
constant: constant
constantly: constantly
consternation: consternation
constituent: constituent
constitute: constitutes
constrain: constrain,constrains
constraint: constraint
construct: construct
construction: construction
construe: construe,construed
consult: consult,consulted,consulting,consults
consultative: consultative
consulting: consulting
consume: consume,consumed,consumes,consuming
consummate: consummate
contact: contact
contagion: contagion
contemplate: contemplate,contemplating
contemplation: contemplation
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
contend: contend,contended,contending,contends
content: content
contented: contented
contention: contention,contentions
contentious: contentious
contents: contents
contest: contest,contested,contests
contiguous: contiguous
continual: continual
continually: continually
continuation: continuation
continue: continue,continued,continues
continued: continued
continuous: continuous
contract: contract,contracted,contracting,contracts
contraction: contraction,contractions
contradict: contradicts
contradiction: contradictions
contradictory: contradictory
contradistinction: contradistinction
contrary: contrary
contrast: contrasted,contrasts
contribute: contribute,contributed
contribution: contributions
contrive: contrives,contriving
contrived: contrived
control: control,controls
controversy: controversy
controvert: controvert
contumacious: contumacious
convene: convene,convened
convenience: convenience
convenient: convenient
conventional: conventional
conversation: conversation
converse: converse,conversing
convert: convert
convex: convex
convey: convey,conveyed,conveying,conveys
conviction: conviction
convince: convince,convinced
convinced: convinced
convocation: convocations
convoke: convoked
convulsion: convulsions
cool: cool,cooler,cooling
coon: coon
coop: coop
cooper: cooper
copious: copious
copper: copper
copying: copying
copyist: copyist
copyright: copyright
cord: cord
cordage: cordage
cordial: cordial
corinth: corinth
corn: corn
corporation: corporation
corps: corps
corpse: corpse
correct: correct,corrected
correction: correction
correctly: correctly
corrects: corrects
correspondence: correspondence
correspondent: correspondent
corrupt: corrupt
corruption: corruption,corruptions
corse: corse
corses: corses
corslet: corslet,corslets
cos: cos
cost: cost,costs
costly: costly
costume: costume
cot: cot,cots
couch: couch,couches,couching
couldst: couldst
council: council,councils
counsel: counsel,counselling,counsels
counsellor: counsellor
count: count,counted
counterfeit: counterfeit
counterpoise: counterpoise
countless: countless
country: countries,country
countryman: countrymen
courage: courage
courageous: courageous
courser: courser,coursers
court: court,courted,courts
cover: cover,covered,covering,covers
covering: covering,coverings
coverlet: coverlets
covert: covert
covetous: covetous
cow: cows
coward: coward,cowards
cowardice: cowardice
cowardly: cowardly
cower: cowering
cowper: cowper
crack: crack,cracks
crackle: crackle,crackled,crackles,crackling
crackling: crackling
crag: crags
craggy: craggy
crane: cranes
cranny: crannies
crash: crash,crashing
crave: craves
crayon: crayon
cream: cream
create: create,created,creates,creating
creation: creation,creations
creature: creature
credible: credible
credit: credit
credulity: credulity
creep: creeping,creeps
crescent: crescent
crest: crest
crested: crested
creta: creta
cretan: cretan
crete: crete
crew: crew
crime: crime,crimes
crimson: crimson
crisis: crisis
critic: critic,critics
critical: critical
criticism: criticism,criticisms
criticize: criticize
crocus: crocus
crois: crois
crook: crook
crooked: crooked
crop: crops
cross: cross,crossed,crossing
crossing: crossing
crowd: crowd,crowded,crowding,crowds
crowded: crowded
crown: crown,crowns
cruel: cruel
cruelty: cruelty
crumble: crumbling
crush: crush,crushing
crux: crux
crystal: crystal
cubit: cubit,cubits
cuff: cuff
cuirass: cuirass
cuish: cuishes
cull: cull
culminate: culminating
cultivate: cultivate,cultivated,cultivating
cultivation: cultivation
cumbrous: cumbrous
cunning: cunning
cup: cup
cur: curs
curb: curb
curd: curds
cure: cure,cured,cures
cureless: cureless
curiosity: curiosities,curiosity
curious: curious
curl: curl,curling,curls
curling: curling
current: current,currents
currier: curriers
curse: curse,cursed,curses
cursed: cursed
curvature: curvature
curved: curved
custom: custom,customs
customary: customary
cut: cut,cuts
cutlass: cutlass
cybele: cybele
cycle: cycle
cyclic: cyclic
cyclus: cyclus
cynic: cynic
cynthia: cynthia
cypress: cypress
cypria: cypria
cyprian: cyprian
da: da
daedalean: daedalean
dagger: dagger
daily: daily
dainty: dainties
dale: dale,dales
damage: damage
damaged: damaged
damages: damages
dame: dame,dames
damp: damp
damsel: damsel
danae: danae
dance: dance,danced,dances
dancer: dancer,dancers
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dangling: dangling
dante: dante
dappled: dappled
dardan: dardan
dares: dares
daring: daring
dark: dark,darker
darken: darken,darkening,darkens
darkening: darkening
darkness: darkness
darksome: darksome
darling: darling
dart: dart,darting,darts
darted: darted
darts: darts
dash: dash,dashing
