aaron: aaron
ammonites: ammonites
ammonitess: ammonitess
amok: amok
amorite: amorite
amos: amos
anan: anan
ancestor: ancestors
ancient: ancient,ancients
angel: angel,angels
anger: anger
angry: angry
anguish: anguish
anim: anim
anoint: anoint,anointed,anointing
anointing: anointing
answer: answer,answered
answerable: answerable
apace: apace
ape: apes
apiece: apiece
apostle: apostle
apostles: apostles
apothecary: apothecaries,apothecary
apparel: apparel,apparelled
appearance: appearance
appease: appease
appertain: appertain,appertained
apple: apple
appoint: appoint,appointed
appointment: appointment
approach: approach,approached
apron: aprons
apt: apt
ara: ara
arab: arab
arabia: arabia
arabian: arabian,arabians
arad: arad
aramitess: aramitess
arba: arba
archer: archer,archers
ariel: ariel
ark: ark
arkite: arkite
arm: arm,armed,arms
armed: armed
armenia: armenia
armour: armour
armourbearer: armourbearer
armoury: armoury
army: armies,army
array: array,arrayed
arrogancy: arrogancy
arrow: arrow,arrows
art: art
artificer: artificer,artificers
artillery: artillery
asa: asa
asahel: asahel
asaph: asaph
ascend: ascend,ascended,ascending
ascent: ascent
ascribe: ascribe,ascribed
ash: ashes
ashamed: ashamed
asher: asher
asherites: asherites
ashtoreth: ashtoreth
ashur: ashur
asleep: asleep
asp: asps
ass: ass,asses
assay: assayed
assemble: assemble,assembled,assembling
assembly: assembly
assent: assent
assign: assigned
assurance: assurance
assure: assured
assuredly: assuredly
asswage: asswaged
assyria: assyria
assyrians: assyrians
astonish: astonished
astonished: astonished
astonishment: astonishment
astony: astonied
astray: astray
asunder: asunder
athirst: athirst
atonement: atonement,atonements
attain: attained
attendance: attendance
attent: attent
attentive: attentive
attire: attired
audience: audience
augment: augment
aul: aul
aunt: aunt
ava: ava
avenge: avenge,avenged,avenging
avenger: avenger
avenging: avenging
avoid: avoided
avouch: avouched
awake: awake,awaked,awoke
axe: axe
axis: axes
axletree: axletrees
baal: baal
baalath: baalath
baalim: baalim
babe: babe
babel: babel
babylon: babylon
babylonians: babylonians
babylonish: babylonish
backbone: backbone
backside: backside
bad: bad,worse
bade: bade
badger: badgers
badness: badness
bag: bag,bags
bake: bake,baked
bakemeat: bakemeats
baken: baken
baker: baker,bakers
balaam: balaam
balak: balak
balance: balances
bald: bald
baldness: baldness
balm: balm
bamoth: bamoth
band: band,bands
bani: bani
banish: banished
banishment: banishment
bank: bank,banks
bar: bar,bars
bare: bare,barest
barefoot: barefoot
barley: barley
barrel: barrel,barrels
barren: barren
baruch: baruch
base: base
basis: bases
basket: basket,baskets
bason: bason
bastard: bastard
bat: bat
bath: baths
bathe: bathe
batter: battered
battle: battle,battles
battlement: battlement
bay: bay
bdellium: bdellium
beam: beam,beams
bean: beans
bear: bear,bearing,bears,bore,born,borne
beard: beard,beards
bearer: bearers
bearing: bearing
beast: beast,beasts
beat: beat,beaten,beating
beautiful: beautiful
beautify: beautify
beauty: beauty
becher: becher
bed: bed,beds
bedad: bedad
bedchamber: bedchamber
bedstead: bedstead
bee: bees
beef: beeves
beer: beer
beerothite: beerothite
beetle: beetle
befall: befall,befallen,befell
beforetime: beforetime
beget: begat,beget,begotten
beggar: beggar
begotten: begotten
beguile: beguiled
behalf: behalf
behave: behave,behaved
behaviour: behaviour
behead: beheaded
beheld: beheld
behold: beheld,behold
bekah: bekah
bela: bela
belah: belah
belaites: belaites
belial: belial
bell: bell,bells
belly: belly
belong: belong,belonged,belonging
beloved: beloved
ben: ben
beneath: beneath
benefit: benefit
benjamin: benjamin
benjamite: benjamite
beno: beno
bereave: bereaved
beri: beri
berith: berith
beryl: beryl
beseech: beseech,besought
beset: beset
besiege: besiege,besieged
bestir: bestir
bestow: bestow,bestowed
bethel: bethel
bethink: bethink
bethlehem: bethlehem
bethlehemite: bethlehemite
bethuel: bethuel
betime: betimes
betray: betray
betroth: betroth,betrothed
betwixt: betwixt
bewail: bewail,bewailed
beware: beware
bezaleel: bezaleel
bible: bible
bid: bade,bid,bidden
bidding: bidding
bier: bier
bind: bind,binding,bound
binding: binding
bird: bird,birds
birth: birth
birthday: birthday
birthright: birthright
bite: bit,bitten
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black
blade: blade
blain: blains
blame: blame
blameless: blameless
blaspheme: blaspheme,blasphemed
blasphemy: blasphemy
blast: blast,blasted,blasting
blasting: blasting
bleat: bleating
blemish: blemish,blemishes
bless: bless,blessed
blessed: blessed
blessing: blessing,blessings
blind: blind
blindness: blindness
blood: blood
bloody: bloody
bloom: bloomed
blossom: blossom,blossoms
blot: blot,blotted
blow: blew,blow,blowing
blue: blue
blush: blush
board: board,boards
boast: boast
boat: boat
body: bodies,body
boil: boil,boiled,boils
boldly: boldly
boll: bolled
bolster: bolster
bolt: bolt,bolted
bond: bond,bonds
bondage: bondage
bondmaid: bondmaid,bondmaids
bondman: bondman,bondmen
bondmen: bondmen
bondservant: bondservant
bondwoman: bondwoman,bondwomen
bone: bone,bones
bonnet: bonnets
book: book
booth: booths
booty: booty
border: border,borders
bore: bored
borrow: borrow,borrowed
bosom: bosom
botch: botch
bottle: bottle,bottles
bough: bough,boughs
bound: bounds
bounty: bounty
bow: bow,bowed,bowing,bows
bowels: bowels
bowl: bowl,bowls
box: box
boy: boys
bracelet: bracelet,bracelets
brake: brake
bramble: bramble
branch: branch,branches
brand: brands
brasen: brasen
brass: brass
breach: breach,breaches
bread: bread
breadth: breadth
break: break,breaking,broken
breaking: breaking
breast: breast,breasts
breastplate: breastplate
breath: breath
breathe: breathe,breathed
breeches: breeches
breed: bred,breed
brethren: brethren
bribe: bribe,bribes
brick: brick,bricks
bridle: bridle
brier: briers
bright: bright
brightness: brightness
brim: brim
brimstone: brimstone
bring: bring,bringing,brought
bringer: bringers
bringeth: bringeth
brink: brink
broad: broad
broider: broidered
brook: brook,brooks
broth: broth
brother: brother,brothers
brown: brown
bruise: bruise,bruised
bucket: buckets
buckler: buckler,bucklers
bud: budded,buds
build: build,builded,building,built
builded: builded
builder: builders
building: building
bul: bul
bull: bulls
bullock: bullock,bullocks
bulrush: bulrushes
bulwark: bulwarks
bunch: bunch,bunches
bundle: bundle,bundles
burden: burden,burdens
burial: burial
burn: burn,burned,burning,burnt
burning: burning
bury: buried,bury,burying
bush: bush
business: business
busy: busied,busy
butler: butler,butlers
butlership: butlership
butter: butter
buttock: buttocks
buz: buz
byway: byways
byword: byword
cab: cab
cain: cain
cake: cake,cakes
calamity: calamity
calamus: calamus
caldron: caldron,caldrons
caleb: caleb
calf: calf,calves
calling: calling
camel: camel,camels
camp: camp,camped,camps
canaan: canaan
canaanite: canaanite
canaanites: canaanites
canaanitess: canaanitess
canaanitish: canaanitish
candlestick: candlestick,candlesticks
canst: canst
caphtor: caphtor
caphtorim: caphtorim
captain: captain,captains
captive: captive,captives
captivity: captivity
carbuncle: carbuncle
carcase: carcase,carcases
care: care,caring
careful: careful
carefully: carefully
careless: careless
carmel: carmel
carmelite: carmelite
carmelitess: carmelitess
carnally: carnally
carpenter: carpenters
carriage: carriage
carry: carried,carry,carrying
cart: cart
carve: carved
carving: carving,carvings
cassia: cassia
cast: cast,casting
casting: casting
castle: castle,castles
catch: catch,caught
cattle: cattle
caul: caul
causeless: causeless
causeway: causeway
cave: cave,caves
cease: cease,ceased,ceasing
cedar: cedar,cedars
ceiling: ceiling
celebrate: celebrate
cellar: cellars
censer: censer,censers
ceremony: ceremonies
certainty: certainty
certify: certified,certify
chafe: chafed
chain: chain,chains
chaldean: chaldean
chamber: chamber,chambers
chamberlain: chamberlain
chameleon: chameleon
chamoix: chamois
champaign: champaign
champion: champion
chance: chance
chancellor: chancellor
change: change,changed,changing
channel: channels
chapiter: chapiter,chapiters
chapman: chapmen
charge: charge,charged,charges
chargeable: chargeable
charger: charger,chargers
chariot: chariot,chariots
charmer: charmer
chase: chase,chased,chasing
chasten: chasten,chastened
chastise: chastise,chastised
chastisement: chastisement
checker: checker
cheek: cheek,cheeks
cheer: cheer
cheese: cheese,cheeses
cherish: cherish,cherished
cherub: cherub
chesil: chesil
chest: chest
chestnut: chestnut
chew: chew,chewed
chide: chide
chiding: chiding
chief: chief,chiefest
child: child,children
childhood: childhood
childless: childless
chilion: chilion
choice: choice
choose: choose,chose,chosen
chronicle: chronicles
chun: chun
churlish: churlish
cinnamon: cinnamon
circuit: circuit
circumcise: circumcise,circumcised,circumcising
circumcision: circumcision
circumspect: circumspect
cistern: cistern
city: cities,city
clap: clapped
clave: clave
claw: claws
clay: clay
clean: clean
cleanness: cleanness
cleanse: cleanse,cleansed
cleansing: cleansing
clearness: clearness
cleave: clave,cleave,cleaved
cleft: cleft
cliff: cliff
clift: clift
climb: climbed
close: close,closed
cloth: cloth,cloths
clothe: clad,clothe,clothed
clothes: clothes
cloud: cloud,clouds
cloudy: cloudy
clout: clouted
cloven: cloven
cluster: cluster,clusters
coal: coal,coals
coast: coast,coasts
coat: coat,coats
coffer: coffer
coffin: coffin
cold: cold
collar: collars
collection: collection
college: college
colossians: colossians
colour: colour,colours
colt: colt,colts
comely: comely
cometh: cometh
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
comforter: comforters
command: command,commanded,commanding
commandment: commandment,commandments
commend: commended
commission: commissions
commit: commit,committed
committed: committed
common: common
commonly: commonly
commune: commune,communed,communing
communication: communication
companion: companion,companions
company: companies,company
comparison: comparison
compass: compass,compassed,compassing
compassion: compassion
compel: compel,compelled
compelled: compelled
complain: complain,complained
complaint: complaint
complete: complete
composition: composition
compound: compound
conceal: conceal
conceive: conceive,conceived
conception: conception
concubine: concubine,concubines
condemn: condemn,condemned,condemning
condition: condition
conduct: conduct,conducted
conduit: conduit
coney: coney
confection: confection
confectionary: confectionaries
confederate: confederate
confer: conferred
confess: confess,confessed
confession: confession
confidence: confidence
confirm: confirm,confirmed
confiscation: confiscation
confound: confound,confounded
confusion: confusion
congeal: congealed
congratulate: congratulate
congregation: congregation
consecrate: consecrate,consecrated
consecrated: consecrated
consecration: consecration,consecrations
consent: consent,consented
conspiracy: conspiracy
conspirator: conspirators
conspire: conspired
constant: constant
constrain: constrained
consult: consulted
consulter: consulter
consume: consume,consumed,consuming
consumption: consumption
contend: contend,contended
content: content
continual: continual
continually: continually
continuance: continuance
continue: continue,continued
contrary: contrary
controversy: controversies,controversy
conversant: conversant
convey: convey
convocation: convocation,convocations
cook: cook,cooks
cool: cool
cope: coping
copper: copper
copulation: copulation
cord: cord,cords
coriander: coriander
corinthian: corinthians
cormorant: cormorant
corn: corn
corner: corner,corners
cornet: cornet,cornets
corpse: corpses
corrupt: corrupt,corrupted
corruption: corruption
corruptly: corruptly
cost: cost
costly: costly
cote: cotes
couch: couch,couched,couching
coulter: coulter,coulters
counsel: counsel,counselled
counsellor: counsellor,counsellors
count: count,counted
countenance: countenance
country: countries,country
couple: couple,coupled
coupling: coupling,couplings
courage: courage
courageous: courageous
courageously: courageously
court: court,courts
covenant: covenant,covenanted
cover: cover,covered,covering,covers
covering: covering
covert: covert
covet: covet,coveted
covetousness: covetousness
cow: cow
coz: coz
cracknel: cracknels
craftsman: craftsman,craftsmen
create: created
creature: creature
creditor: creditor
creep: creep,creeping
crimson: crimson
crooked: crooked
crop: crop
crouch: crouch
crown: crown
cruel: cruel
cruelty: cruelty
cruse: cruse
crush: crushed
crying: crying
cubit: cubit,cubits
cucumber: cucumbers
cud: cud
cumbrance: cumbrance
cunning: cunning
cup: cup,cups
cupbearer: cupbearer,cupbearers
curious: curious
current: current
curse: curse,cursed,curses,cursing
cursed: cursed
cursing: cursing
curtain: curtain,curtains
cush: cush
custody: custody
custom: custom,customs
cut: cut
cutting: cutting,cuttings
cymbal: cymbals
cyrus: cyrus
dagger: dagger
dagon: dagon
daily: daily
dainty: dainties
dale: dale
dam: dam
damage: damage
damascus: damascus
damsel: damsel,damsels
dan: dan
dance: dance,danced,dances,dancing
dancing: dancing
daniel: daniel
darius: darius
dark: dark
darken: darkened
darkish: darkish
darkness: darkness
darts: darts
dash: dash,dashed
daub: daubed
daughter: daughter,daughters
david: david
dawn: dawning
day: day,days
dead: dead
deadly: deadly
deaf: deaf
deal: deal,deals,dealt
dealings: dealings
dearth: dearth
death: death
deborah: deborah
debt: debt
decay: decay,decayed
deceitfully: deceitfully
deceive: deceive,deceived
deceiver: deceiver
decide: decided
declare: declare,declared
decline: decline,declined
decrease: decreased
decree: decree
dedan: dedan
dedicate: dedicate,dedicated,dedicating
dedicated: dedicated
dedication: dedication
deed: deed,deeds
deep: deep,deeper,deeps
deer: deer
defeat: defeat
defence: defence
defend: defend,defended
defer: deferred
defile: defile,defiled
defraud: defraud,defrauded
defy: defied,defy
degree: degree,degrees
delay: delay,delayed
delicate: delicate
delicately: delicately
delicateness: delicateness
delight: delight,delighted,delights
delighted: delighted
delilah: delilah
deliver: deliver,delivered
deliverance: deliverance
deliverer: deliverer
demand: demanded
den: dens
denounce: denounce
deny: denied,deny
depart: depart,departed,departing
deprive: deprived
depths: depths
depute: deputed
deputy: deputy
descend: descend,descended,descending
description: description
descry: descry
desert: desert
deserve: deserve
deserving: deserving
desire: desire,desired
desolate: desolate
desolation: desolation,desolations
despair: despair
despise: despise,despised
destitute: destitute
destroy: destroy,destroyed,destroying
destroyer: destroyer
destruction: destruction
detain: detain,detained
determine: determine,determined
detest: detest
deuteronomy: deuteronomy
device: device
devil: devils
devise: devise,devised
devote: devote,devoted
devoted: devoted
devour: devour,devoured,devouring
dew: dew
dial: dial
diamond: diamond
didst: didst
die: die,died,dying
difference: difference
dig: dig,digged
dignity: dignity
diligent: diligent
diligently: diligently
dim: dim
diminish: diminish,diminished
dinah: dinah
dine: dine
dip: dip,dipped
direct: direct
direction: direction
dirt: dirt
disallow: disallow,disallowed
discern: discern,discerned
discharge: discharged
discomfited: discomfited
discomfiture: discomfiture
discontented: discontented
discourage: discourage,discouraged
discover: discover,discovered
discreet: discreet
disdain: disdained
disease: disease,diseases
diseased: diseased
disguise: disguise,disguised
dish: dish,dishes
dishonour: dishonour
disinherit: disinherit
dismay: dismayed
dismayed: dismayed
dismiss: dismissed
disobedient: disobedient
disobey: disobeyed
disperse: disperse,dispersed
displease: displease,displeased
displeased: displeased
displeasure: displeasure
dispossess: dispossess,dispossessed
dispossessed: dispossessed
disquiet: disquieted
dissemble: dissembled
distant: distant
distil: distil
distinctly: distinctly
distress: distress,distressed
distressed: distressed
distribute: distribute,distributed
ditch: ditches
diver: divers
diverse: diverse
divide: divide,divided,dividing
divination: divination
divine: divine
diviner: diviners
division: division,divisions
divorce: divorced
divorced: divorced
divorcement: divorcement
doctrine: doctrine
dodo: dodo
doeg: doeg
doer: doer,doers
doest: doest
doeth: doeth
dog: dog,dogs
doings: doings
dominion: dominion
door: door,doors
dor: dor
dost: dost
doth: doth
double: double,doubled
doubt: doubt
doubtless: doubtless
dough: dough
dove: dove
downward: downward
dowry: dowry
dragon: dragon,dragons
dram: drams
draught: draught
drave: drave
draw: draw,drawing,drawn,drew
drawer: drawer,drawers
dread: dread
dreadful: dreadful
dream: dream,dreamed,dreams
dreamer: dreamer
dress: dress,dressed
dressed: dressed
dresser: dressers
drink: drank,drink,drinking
drinking: drinking
drive: drive,driven,driving,drove
driver: driver
driving: driving
dromedary: dromedaries
drop: drop,dropped
drought: drought
drove: droves
drown: drowned
drunk: drunk
drunkard: drunkard
drunken: drunken
drunkenness: drunkenness
dry: dried,dry
duke: duke,dukes
dumb: dumb
dung: dung
dungeon: dungeon
dunghill: dunghill
dust: dust
duty: duty
dwarf: dwarf
dwell: dwell,dwelled,dwelling,dwelt
dwelling: dwelling,dwellings
dwelt: dwelt
dye: dyed
eagle: eagle,eagles
ear: ear,ears
eared: eared
earing: earing
earnestly: earnestly
earring: earring,earrings
earth: earth
earthen: earthen
earthquake: earthquake
ease: ease
east: east
eastward: eastward
easy: easier
eat: eat,eaten,eating
eater: eater
eating: eating
ebenezer: ebenezer
ecclesiastes: ecclesiastes
eden: eden
edge: edge,edges
edomite: edomite
egg: eggs
egypt: egypt
egyptian: egyptian,egyptians
eighteen: eighteen
eighteenth: eighteenth
eighth: eighth
eightieth: eightieth
eker: eker
ekron: ekron
eld: eldest
elder: elder,elders
eleazar: eleazar
eleventh: eleventh
eli: eli
elihu: elihu
elijah: elijah
eliphalet: eliphalet
elisha: elisha
elishah: elishah
elkanah: elkanah
ellasar: ellasar
elon: elon
eloquent: eloquent
elul: elul
embalm: embalm,embalmed
embrace: embrace,embraced
embroider: embroider
embroiderer: embroiderer
emerald: emerald
emerod: emerods
employ: employ,employed
enam: enam
encamp: encamp,encamped,encamping
enchanter: enchanter
enchantment: enchantment,enchantments
encourage: encourage,encouraged
endamage: endamage
endow: endow
endue: endued
endure: endure
enemy: enemies,enemy
engine: engines
engrave: engrave
engraver: engraver
engraving: engravings
enjoy: enjoy,enjoyed
enlarge: enlarge,enlarged
enlighten: enlightened
enmity: enmity
enoch: enoch
enos: enos
enquire: enquire,enquired
enrich: enrich
ensign: ensign
entangle: entangled
enter: enter,entered,entering
entering: entering
entice: entice
entrance: entrance
entreat: entreated
entry: entry
environ: environ
envy: envied
ephah: ephah
ephesians: ephesians
ephod: ephod
ephraim: ephraim
ephraimite: ephraimite
ephrathite: ephrathite
epistle: epistle
equally: equally
ere: ere
erect: erected
err: err,erred
errand: errand
error: error
esau: esau
escape: escape,escaped,escaping
espouse: espoused
espy: espied,espy
establish: establish,established
establishment: establishment
estate: estate
esteem: esteemed
esther: esther
estimate: estimate
estimation: estimation,estimations
eternal: eternal
ethan: ethan
ethanim: ethanim
ether: ether
ethiopia: ethiopia
ethiopian: ethiopian,ethiopians
eunuch: eunuchs
euphrates: euphrates
eve: eve
evening: evening
eventide: eventide
everlasting: everlasting
evil: evil,evils
ewe: ewe,ewes
exact: exact,exacted
exaction: exaction
exalt: exalt,exalted
examine: examine
exceed: exceed,exceeded,exceeding
exceedingly: exceedingly
excel: excel,excelled
excellency: excellency
exchange: exchange
execute: execute,executed,executing
exempt: exempted
exile: exile
exodus: exodus
expel: expel,expelled
expense: expenses
experience: experience
expert: expert
expire: expired
expound: expound,expounded
express: expressed
expressly: expressly
extend: extended
extreme: extreme
eye: eye,eyes
eyebrow: eyebrows
eyed: eyed
ezekiel: ezekiel
ezra: ezra
fade: fade
fail: fail,failed,failing
faint: faint,fainted
fainthearted: fainthearted
faintness: faintness
fair: fair,fairer
faith: faith
faithful: faithful
faithfully: faithfully
faithfulness: faithfulness
fall: fall,fallen,falling,fell
fallow: fallow
false: false
falsehood: falsehood
falsely: falsely
fame: fame
familiar: familiar
family: families,family
famine: famine
famished: famished
famous: famous
fare: fare
fashion: fashion,fashioned
fast: fast,fasted
fasten: fasten,fastened
fasting: fasting
fat: fat,fatted
father: father,fathers
fatherless: fatherless
fatling: fatlings
fatness: fatness
fault: fault,faults
faulty: faulty
favour: favour,favoured
favourable: favourable
favoured: favoured
fear: fear,feared,fearing
fearful: fearful
feast: feast,feasts
feather: feathers
feeble: feeble,feebler
feed: fed,feed,feeding
feel: feel
feign: feign,feigned
fell: felled,felling
fellest: fellest
felloe: felloes
fellow: fellow,fellows
fellowship: fellowship
female: female
fence: fenced
ferret: ferret
ferry: ferry
fetch: fetch,fetched
fetter: fetters
fever: fever
fewness: fewness
field: field,fields
fierce: fierce,fiercer
fierceness: fierceness
fiery: fiery
fifteenth: fifteenth
fiftieth: fiftieth
fig: fig,figs
fight: fight,fighting,fought
figure: figure,figures
file: file
fillet: filleted,fillets
filthiness: filthiness
fin: fins
fine: fine
finger: finger,fingers
finish: finish,finished
fir: fir
firebrand: firebrand,firebrands
firepan: firepans
firm: firm
firmament: firmament
firstborn: firstborn
firstling: firstling,firstlings
fish: fish,fishes
fist: fist
fit: fit,fitted
flag: flags
flagon: flagon
flame: flame
flaming: flaming
flank: flanks
flat: flat
flax: flax
flay: flay,flayed
flea: flea
flee: fled,flee,fleeing
fleece: fleece
flesh: flesh
fleshhook: fleshhook
flight: flight
flint: flint
flinty: flinty
float: floats
flock: flock,flocks
flood: flood,floods
floor: floor,floors
flour: flour
flow: flowed,flowing
flower: flower,flowers
fly: flew,flies,fly,flying
foal: foal,foals
foe: foes
fold: folds
folding: folding
folk: folk
follow: follow
followeth: followeth
folly: folly
food: food
fool: fool,fools
foolish: foolish
foolishly: foolishly
foolishness: foolishness
foot: feet,foot
footman: footmen
footstool: footstool
forasmuch: forasmuch
forbare: forbare
forbear: forbear
forbid: forbad,forbid,forbidden
forbidden: forbidden
force: force,forced,forces,forcing
ford: ford,fords
forefront: forefront
forehead: forehead
foreigner: foreigner
foremost: foremost
forepart: forepart
foreskin: foreskin,foreskins
forest: forest,forests
forfeit: forfeited
forgat: forgat
forget: forget,forgot,forgotten
forgive: forgive,forgiven,forgiving
fork: forks
form: form,formed
fornication: fornication
forsake: forsake,forsaken,forsook
fort: fort,forts
forthwith: forthwith
fortieth: fortieth
fortify: fortified,fortify
fortress: fortress
foundation: foundation,foundations
founder: founder
fountain: fountain,fountains
fourfold: fourfold
fourscore: fourscore
foursquare: foursquare
fourteen: fourteen
fourteenth: fourteenth
fourth: fourth
fowl: fowl,fowls
fox: fox,foxes
frame: frame
frankincense: frankincense
fray: fray
freckled: freckled
freedom: freedom
freely: freely
freewill: freewill
fresh: fresh
fret: fret,fretting
friend: friend,friends
friendly: friendly
fringe: fringe,fringes
fro: fro
frog: frogs
frontlet: frontlets
frost: frost
froward: froward
fruit: fruit,fruits
fruitful: fruitful
frustrate: frustrate
fry: fried
fugitive: fugitive,fugitives
fulfil: fulfil,fulfilled
fulness: fulness
furiously: furiously
furnace: furnace,furnaces
furnish: furnish,furnished
furniture: furniture
fury: fury
gabbai: gabbai
gad: gad
gaddi: gaddi
gadi: gadi
gadite: gadite
gain: gain
galatians: galatians
galbanum: galbanum
galilee: galilee
gall: gall
gamaliel: gamaliel
garden: garden,gardens
garment: garment,garments
garnish: garnished
garrison: garrison,garrisons
gat: gat
gate: gate,gates
gather: gather,gathered,gathering
gathering: gathering
gaze: gaze
gazer: gazer
gederathite: gederathite
gederite: gederite
gender: gender
genealogy: genealogies,genealogy
generation: generation,generations
genesis: genesis
gentiles: gentiles
gentleness: gentleness
gently: gently
gerah: gerahs
gershom: gershom
gershon: gershon
gershonite: gershonite
geshurites: geshurites
gether: gether
ghost: ghost
giant: giant,giants
gibbar: gibbar
gibeonite: gibeonite
gideon: gideon
gift: gift,gifts
gileadite: gileadite
gird: gird,girded
girdle: girdle,girdles
girgashite: girgashite
girgasite: girgasite
girt: girt
gittite: gittite
giveth: giveth
glad: glad
gladness: gladness
glean: glean,gleaned
gleaning: gleaning
gleanings: gleanings
glede: glede
glister: glistering
glitter: glittering
glorify: glorified
glorious: glorious
gloriously: gloriously
glory: glory
glutton: glutton
goad: goad,goads
goat: goat,goats
gob: gob
god: god,gods
goddess: goddess
gods: gods
gog: gog
gold: gold
golden: golden
goldsmith: goldsmith,goldsmiths
goliath: goliath
gomer: gomer
gomorrah: gomorrah
goodliest: goodliest
goodly: goodlier,goodliest,goodly
goodness: goodness
gopher: gopher
gore: gore,gored
goshen: goshen
gospel: gospel
gourd: gourds
govern: govern
governor: governor,governors
grace: grace
gracious: gracious
graciously: graciously
grant: grant,granted
grape: grape,grapes
grass: grass
grasshopper: grasshopper,grasshoppers
grate: grate
grave: grave,graved,graves
graven: graven
graving: graving
gray: gray
greatly: greatly
greatness: greatness
greave: greaves
green: green
greenish: greenish
greet: greet
grief: grief
grieve: grieve,grieved
grievous: grievous
grind: grind,ground
groaning: groaning
grope: grope
ground: ground
grove: grove,groves
grow: grew,grow,grown
grudge: grudge
guard: guard
guest: guests
guide: guided,guiding
guile: guile
guilt: guilt
guiltiness: guiltiness
guiltless: guiltless
guilty: guilty
gur: gur
gush: gushed
gutter: gutter,gutters
habakkuk: habakkuk
habergeon: habergeon
habitation: habitation,habitations
hadst: hadst
haft: haft
hagar: hagar
haggai: haggai
hail: hail
hailstone: hailstones
hair: hair,hairs
hairy: hairy
hallow: hallow
hallowed: hallowed
halt: halt,halted
ham: ham
hamathite: hamathite
hammer: hammer
hamulites: hamulites
hand: hand,hands
handbreadth: handbreadth
handed: handed
handful: handful,handfuls
handle: handle
handmaid: handmaid,handmaids
handmaiden: handmaidens
hang: hang,hanged,hanging
hanging: hanging,hangings
hap: hap
haply: haply
happen: happen,happened
happy: happy
hard: hard
harden: harden,hardened
hare: hare
harim: harim
harlot: harlot,harlots
harm: harm
harness: harness,harnessed
harp: harp,harps
harrow: harrows
hart: hart,harts
harvest: harvest
hast: hast,hasted
haste: haste
hasted: hasted
hasten: hasten,hastened
hastily: hastily
hate: hate,hated,hating
hath: hath
hatred: hatred
haughty: haughty
haunt: haunt
hawk: hawk
hazel: hazel
head: head,heads
heal: heal,healed
health: health
heap: heap,heaps
hear: hear,heard,hearing
hearing: hearing
hearken: hearken,hearkened
heart: heart,hearts
hearted: hearted
hearth: hearth
heat: heat
heathen: heathen
heave: heave,heaved
heaven: heaven,heavens
heavens: heavens
heavily: heavily
heaviness: heaviness
heavy: heavy
hebrew: hebrew
hebrews: hebrews
hedge: hedges
heed: heed
heel: heel,heels
heifer: heifer
height: height
heir: heir
helmet: helmet,helmets
helper: helper,helpers
helve: helve
hem: hem,hems
heman: heman
henceforth: henceforth
henceforward: henceforward
herb: herb,herbs
herd: herd,herds
herdman: herdmen
herdmen: herdmen
heretofore: heretofore
heritage: heritage
heron: heron
heth: heth
hew: hew,hewed,hewn
hewer: hewer,hewers
hezekiah: hezekiah
hezron: hezron
hezronites: hezronites
hide: hidden,hide
highway: highway,highways
hill: hill,hills
hillel: hillel
hin: hin
hind: hind,hinds
hinder: hinder,hindered
hindermost: hindermost
hindmost: hindmost
hinge: hinges
hip: hip
hiram: hiram
hire: hire,hired
hiss: hiss
hissing: hissing
hit: hit
hitherto: hitherto
hittite: hittite
