abase: abasing
aloofness: aloofness
aloud: aloud
altaic: altaic
alter: alter,altered,alters
alteration: alteration
alternate: alternate
alternately: alternately
alternative: alternative
altitude: altitudes
altogether: altogether
amalgamist: amalgamist
amazed: amazed
ambergris: ambergris
ambiguity: ambiguity
ambiguous: ambiguous
ambition: ambition
ambitious: ambitious
ame: ame
america: america
ami: ami
amiable: amiable
amiss: amiss
amorous: amorous
amour: amour
ample: ample
ampler: ampler
amplitude: amplitude
amply: amply
amulet: amulet
amuse: amuse
amusement: amusement
anachronism: anachronisms
analysis: analysis
analyze: analyze,analyzing
anarchism: anarchism
anarchist: anarchist,anarchists
anarchy: anarchy
ancestor: ancestors
anchorite: anchorite,anchorites
ancient: ancient,ancients
anew: anew
angle: angles
anglomania: anglomania
angry: angry
anguish: anguish
animal: animal,animals
animalization: animalization
animate: animating
animated: animated
annealed: annealed
annex: annexed
annoy: annoyed
anonymous: anonymous
answer: answer,answers
answerable: answerable
antagonism: antagonism
antagonist: antagonists
antecedent: antecedent
anterior: anterior
anticipate: anticipate,anticipating
anticipatory: anticipatory
antidote: antidote
antinomian: antinomians
antipodal: antipodal
antipode: antipodes
antique: antique
antiquity: antiquity
antithesis: antitheses,antithesis
antithetical: antithetical
anxiety: anxieties,anxiety
apartness: apartness
ape: ape,apes
aphrodisiacal: aphrodisiacal
apostle: apostles
apostolate: apostolate
apparatus: apparatus
apparent: apparent
apparentness: apparentness
appeal: appeal,appeals
appearance: appearance,appearances
appetite: appetite
appliance: appliances
applicable: applicable
apply: applied,applies,apply,applying
appoint: appointed
appreciation: appreciation,appreciations
apprehension: apprehension
approach: approach,approaching
appropriation: appropriation
appropriator: appropriators
approval: approval
approve: approve,approved,approving
approximate: approximate
approximation: approximation
aptitude: aptitude
arbitrarily: arbitrarily
arbitrariness: arbitrariness
arbitrary: arbitrary
archaize: archaizing
architecture: architecture
archive: archive
ardent: ardent
ardour: ardour
arduously: arduously
arena: arena
argument: argument,arguments
argumentative: argumentative
ariadne: ariadne
aridity: aridity
aristocracy: aristocracy
aristocrat: aristocrats
aristocratic: aristocratic
aristophanic: aristophanic
aristotelian: aristotelian
aristotelianism: aristotelianism
arm: arm,arms
army: army
arouse: arouse,aroused,arouses
arrange: arrange,arranged,arranging
arrangement: arrangement,arrangements
arranger: arrangers
array: array
arrive: arrive,arrived,arriving
arrogance: arrogance
arrogant: arrogant
arrow: arrow
art: art,arts
artful: artful
artfulness: artfulness
arthur: arthur
article: articles
artifice: artifice,artifices
artificial: artificial
artist: artist,artists
artiste: artiste
artistic: artistic
artistical: artistical
artistry: artistry
ascend: ascending
ascendancy: ascendancy
ascetic: ascetic,ascetics
asceticism: asceticism
ascii: ascii
ascribe: ascribes
ash: ashes
ashamed: ashamed
asia: asia
asiatic: asiatic
asinine: asinine
aspect: aspect
aspire: aspire,aspires
ass: ass,asses
assailant: assailant
assent: assenting,assents
assert: assert,asserting,asserts
assertion: assertion,assertions
assign: assign,assigned
assimilate: assimilate
assimilation: assimilation
assist: assist
assistance: assistance
assistant: assistants
associate: associate
assortment: assortment
assume: assume,assumed,assumes
assurance: assurance
assure: assure
assuredly: assuredly
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astray: astray
astrology: astrology
astronomer: astronomer
astute: astute
astuteness: astuteness
atavism: atavism
atavistic: atavistic
atheism: atheism
athenian: athenian
athenians: athenians
athens: athens
atmosphere: atmosphere
atom: atom
atomism: atomism
atomistic: atomistic
atone: atone,atoned
attach: attach,attached,attaches
attachment: attachment,attachments
attack: attack,attacks
attain: attain,attained,attains
attempt: attempt,attempted,attempting,attempts
attentat: attentat
attention: attention
attentively: attentively
attenuate: attenuate,attenuated
attenuation: attenuation
attitude: attitude
attract: attract,attracted,attracts
attractive: attractive
attributable: attributable
attribute: attributed
audacious: audacious
audacity: audacity
augmentation: augmentation
auguste: auguste
augustine: augustine
austere: austere
austria: austria
author: author
authoritative: authoritative
authority: authority
authorize: authorized
auto: auto
autocratic: autocratic
autonomous: autonomous
autonomously: autonomously
autonomy: autonomy
autumn: autumn
auxiliary: auxiliaries
avail: avail
avails: avails
ave: ave
average: average
averse: averse
averseness: averseness
aversion: aversion
avidiously: avidiously
avidity: avidities
avoid: avoid,avoids
avow: avow
await: await
awake: awake
awaken: awaken,awakened,awakens
awakening: awakening
aware: aware
awe: awe
awkward: awkward
awkwardly: awkwardly
awkwardness: awkwardness
axiom: axiom
aye: aye
babel: babel
backbone: backbone
background: background,backgrounds
bacon: bacon
bad: bad,worse,worst
badly: badly
badness: badness
balance: balance
ballast: ballast
ban: banned
band: band
bandaged: bandaged
banish: banish
banner: banners
baptize: baptize
bar: barred
barbarian: barbarian,barbarians
barbaric: barbaric
barbarism: barbarism
barbarity: barbarity
barbarous: barbarous
barbed: barbed
bare: bare
bargain: bargain
bark: bark
barocco: barocco
barren: barren
barrenness: barrenness
barrow: barrow
barter: barter
base: base,based
baseness: baseness
baser: baser
basic: basic
basis: basis
bath: bath,bathed
battle: battle
bawler: bawler,bawlers
beadsman: beadsman
bear: bear,bearing,born,borne
bearing: bearing
beast: beast,beasts
beautiful: beautiful
beautify: beautified,beautifying
beauty: beauty
bed: bed
bedeck: bedecked
bedlamite: bedlamite
beer: beer
beethoven: beethoven
befool: befooled
beg: beg
begloom: begloom
beglooming: beglooming
behalf: behalf
behave: behaves
behaviour: behaviour
behold: behold,beholding
belated: belated
belief: belief,beliefs
believer: believers
belittle: belittled
bell: bell
belly: belly
belong: belong,belonged,belonging,belongs
belongings: belongings
beloved: beloved
bend: bent
beneath: beneath
beneficent: beneficent
benefit: benefit
benevolence: benevolence
benevolent: benevolent
bent: bent
benumb: benumbed
berlin: berlin
beset: beset
besotted: besotted
bestow: bestow,bestowed
bethink: bethink
betise: betise
betoken: betoken,betokens
betray: betray,betrayed,betraying,betrays
betrayer: betrayer
betwixt: betwixt
beware: beware
bias: bias
bible: bible
bid: bid,bids
bien: bien
billy: billy
binary: binary
bind: binds,bound
binding: binding
biography: biography
bird: bird,birds
birth: birth
bite: bite,bites
bitter: bitter,bitterest
bitterly: bitterly
bitterness: bitterness
bizet: bizet
black: black
blade: blade
blame: blame,blamed
bleed: bleeds
blend: blend
blender: blenders
blending: blending
bless: bless,blesses
blessed: blessed
blessedness: blessedness
blessing: blessing
blind: blind,blinding
blindness: blindness
bliss: bliss
blood: blood
blooded: blooded
bloodsucker: bloodsucker
bloody: bloody
bloom: bloom
blossom: blossomed,blossoms
blow: blow,blown,blows
blue: blue
blunder: blunder,blundering,blunders
blunt: blunt
bluntly: bluntly
blush: blushes
boast: boast
body: bodies,body
boisterous: boisterous
bold: bold
boldly: boldly
boldness: boldness
bolt: bolt,bolted
bon: bon
bond: bond
bondage: bondage
bonhomme: bonhomme
booby: boobies
book: book,books
boorish: boorish
border: border
bore: bore,bores
borrow: borrow
bosom: bosom
botch: botched
boulevardiers: boulevardiers
boundary: boundary
boundless: boundless
boundlessly: boundlessly
bounty: bounty
bourgeois: bourgeois
bourgeoise: bourgeoise
bourne: bourne
bow: bow,bowed
box: box
bracket: brackets
brahmins: brahmins
branch: branch,branches
brand: branded
brass: brass
brave: brave,bravest
bravely: bravely
bravery: bravery
breach: breach
bread: bread
break: break,breaking,breaks,broken
breakfast: breakfast
breaking: breaking
breast: breast
breath: breath
breathe: breathe
breed: bred
breeder: breeders
brewer: brewers
bridge: bridge
bright: bright,brightest
brightness: brightness
brilliant: brilliant
bring: bring,bringing,brings,brought
broad: broad
broaden: broadens
broken: broken
brooklet: brooklet
brother: brother,brothers
brotherly: brotherly
brown: brown,browns
bruise: bruised
brush: brush
brutal: brutal
brutalize: brutalizes
brutalized: brutalized
brutalizing: brutalizing
brutishness: brutishness
buddha: buddha
buddhism: buddhism
buffoon: buffoon
build: build,building,built
builder: builders
bull: bull
bullock: bullock
bungler: bunglers
burden: burden
burn: burning,burns,burnt
bury: buried
business: business
bypath: bypaths
byron: byron
caesar: caesar
caesarian: caesarian
calamity: calamity
calculable: calculable
calculate: calculate,calculated
calumniate: calumniated
calumniator: calumniators
calumny: calumny
candidly: candidly
canon: canon
canonize: canonized
capability: capabilities
capable: capable
capacity: capacities,capacity
capitalize: capitalized
capo: capo
capri: capri
captious: captious
capture: capture,captured
caput: caput
card: card,cards
cardinal: cardinal
care: care,cared
careful: careful
carefully: carefully
carefulness: carefulness
careless: careless
carelessly: carelessly
caricature: caricature,caricatures
carnival: carnival
carnivora: carnivora
carpet: carpets
carry: carried,carry,carrying
cartload: cartload
cash: cash
cask: cask
cast: cast,casts
caste: caste
casual: casual
cat: cat
catalina: catalina
catcher: catcher,catchers
categorical: categorical
category: categories,category
catholic: catholic
catholicism: catholicism
cattle: cattle
causa: causa
causal: causal
causality: causality
caution: caution
cautious: cautious
cavalier: cavaliers
cave: cave,caves
cavern: cavern
ce: ce
cease: cease,ceased,ceases
celebrate: celebrated
celebrated: celebrated
celtic: celtic
celts: celts
central: central
centre: centre,centred,centres
century: centuries,century
ceremonious: ceremonious
certainty: certainties,certainty
cessation: cessation
chain: chains
chamber: chamber
chamoix: chamois
chance: chance,chances
change: change,changed,changing
changeable: changeable
channel: channels
chant: chanted
chaos: chaos
chapter: chapter
character: character
characterise: characterised
characteristic: characteristic,characteristics
charge: charge,charges
charitable: charitable
charity: charities,charity
charles: charles
charm: charm,charms
charming: charming
chastest: chastest
cheaply: cheaply
check: check,checks
checking: checking
cheer: cheers
cheerful: cheerful
cheerfulness: cheerfulness
chemist: chemist
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
childlike: childlike
chilling: chilling
chilly: chilly
chime: chime
china: china
chinaman: chinaman
chinese: chinese
choice: choice
choke: choke
choose: choose,chosen
chosen: chosen
choses: choses
christen: christened
christian: christian,christians
christianity: christianity
chronic: chronic
church: church,churches
churlish: churlish
cicero: cicero
cicerone: cicerone
circe: circe
circle: circle
circulus: circulus
circumspection: circumspection
circumstance: circumstance,circumstances
circumstantially: circumstantially
circumvent: circumventing
citadel: citadel
cite: cited
citizen: citizen
city: city
civilization: civilization,civilizations
civilized: civilized
claim: claim,claimed,claims
clair: clair
clairvoyant: clairvoyant
class: class,classes
classic: classic
classical: classical
classification: classification
claw: claws
clay: clay
clean: cleaning
cleanliness: cleanliness
clearness: clearness
cleave: cleave
clerk: clerk
clerkess: clerkess
clever: clever
cleverly: cleverly
climate: climate
climatically: climatically
climax: climax
climbing: climbing
clime: climes
cling: clings
cloak: cloak
clock: clock
close: close,closed,closer
closed: closed
closely: closely
closing: closing
clothe: clad,clothe
cloud: cloud,clouds
clown: clown
clue: clue
clumsily: clumsily
clumsiness: clumsiness
clumsy: clumsy
coarse: coarse,coarser
coarsen: coarsened
coarseness: coarseness
coarser: coarser
cobweb: cobweb
code: codes
codger: codgers
cogent: cogent
cognition: cognition
cognizance: cognizance
coin: coined
coinage: coinage
coincide: coincide
cold: cold,colder
coldly: coldly
coldness: coldness
collect: collecting
collection: collection
collective: collective
collectively: collectively
collector: collector,collectors
colour: colour,coloured,colours
coloured: coloured
combination: combination
comedy: comedy
comfort: comfort
comfortable: comfortable
comfortably: comfortably
comforting: comforting
comical: comical
comma: commas
command: command,commanded,commanding,commands
commander: commander,commanders
commence: commence,commenced,commences,commencing
commencement: commencement
commendation: commendation
comment: comment
commerce: commerce
commercial: commercial
commit: committed
common: common,commonest
commonly: commonly
commonplace: commonplace
commonplaceness: commonplaceness
commonwealth: commonwealth
communicability: communicability
communicate: communicated,communicates,communicating
communication: communication
communicative: communicative
community: communities,community
companion: companions
company: company
compare: compare,compared,comparing
comparison: comparison
compassion: compassion
compatible: compatible
compel: compel,compelled,compels
compensation: compensation
compilation: compilation
complacency: complacency
complacently: complacently
complain: complain,complaining
complaisance: complaisance
complaisant: complaisant
complementary: complementary
complete: complete,completed
completely: completely
complex: complex
compliance: compliance
complicated: complicated
complication: complications
compliment: compliment
comply: comply,complying
compose: composed
comprehend: comprehend,comprehended,comprehends
comprehensible: comprehensible
comprehension: comprehension
comprehensive: comprehensive
comprehensiveness: comprehensiveness
compress: compressed
comprise: comprised
compromise: compromise
compulsion: compulsion
compulsorily: compulsorily
compulsory: compulsory
comte: comte
conceal: conceal,concealed,concealing,conceals
concealment: concealment
concede: conceded,concedes
conceit: conceit,conceited,conceits
conceited: conceited
conceitedness: conceitedness
conceivable: conceivable
conceive: conceive,conceived
concept: concept
conception: conception,conceptions
conceptional: conceptional
conceptual: conceptual
concern: concern,concerned,concerns
concerned: concerned
concession: concession,concessions
conciliatory: conciliatory
conclusion: conclusion,conclusions
conclusive: conclusive
concubinage: concubinage
concur: concurring
condemn: condemn,condemned,condemning,condemns
condemnation: condemnation
condition: condition,conditioned,conditions
conditioning: conditioning
conduce: conduces
conducive: conducive
conduct: conduct,conducted
confer: confers
confess: confess,confessed
confession: confession
confessor: confessors
confide: confiding
confidence: confidence
confidingness: confidingness
confinable: confinable
confine: confine,confined
confines: confines
confirm: confirmed
confirmation: confirmation
conflict: conflict
conflicting: conflicting
conformable: conformable
conformably: conformably
conformity: conformity
confound: confound,confounded,confounding,confounds
confused: confused
confusingly: confusingly
confusion: confusion
congratulate: congratulate
conjuring: conjuring
connect: connected
connection: connection
connoisseur: connoisseurs
conquer: conquering
conqueror: conqueror
conquest: conquest
conscience: conscience,consciences
conscientiousness: conscientiousness
conscious: conscious
consciousness: consciousness
consequence: consequence,consequences
consequential: consequential
conservative: conservative
conserve: conserve
considerable: considerable
considerably: considerably
considerate: considerate
consideration: consideration,considerations
consist: consist,consisted,consists
consolation: consolation
console: console
conspicuous: conspicuous
constant: constant
constantly: constantly
constellation: constellation
constitute: constitute,constituted,constitutes
constitution: constitution,constitutions
constrain: constrain,constrained,constrains
constraint: constraint,constraints
construct: constructed,constructing
contact: contact
contemn: contemning
contemplate: contemplate,contemplated
contemplation: contemplation
contemplative: contemplative
contemple: contemple
contemporary: contemporaries,contemporary
contempt: contempt
contemptible: contemptible
contemptibleness: contemptibleness
contend: contend
content: content
contentedness: contentedness
contentment: contentment
contents: contents
contiguous: contiguous
continent: continent
continual: continual
continually: continually
continue: continue,continued,continues,continuing
continuous: continuous
contract: contract
contradict: contradicts
contradiction: contradiction
contradictorily: contradictorily
contradictory: contradictory
contradistinction: contradistinction
contrariety: contrariety
contrariwise: contrariwise
contrary: contrary
contrast: contrast,contrasts
contribute: contributes
contribution: contributions
contrition: contrition
contrivance: contrivance
contrived: contrived
control: control
convenient: convenient
convent: convents
conventional: conventional
conversant: conversant
conversation: conversation,conversations
convert: convert,converting
conviction: conviction,convictions
convince: convince
convinced: convinced
convincingly: convincingly
convulse: convulsed
cook: cook,cooks
coop: cooped
copernicus: copernicus
copying: copying
copyright: copyright
cordiality: cordiality
cordially: cordially
corner: corner,corners
cornucopia: cornucopias
corporation: corporation
corporeal: corporeal
corps: corps
correct: corrected
correctly: correctly
correspond: corresponds
corrupt: corrupt,corrupted
corrupter: corrupter
corruption: corruption
cost: cost,costs
costly: costly
costume: costume,costumes
couch: couching
count: count,counted,counting,counts
countenance: countenance
counter: counter
counterfeiting: counterfeiting
counterpart: counterparts
countless: countless
country: countries,country
couple: couple
courage: courage
courageous: courageous
court: court,courts
courtesy: courtesy
cover: cover
covet: coveted
covetous: covetous
covetousness: covetousness
cowardly: cowardly
coyness: coyness
crackle: crackling
craft: craft
craftiness: craftiness
crafty: crafty
cram: crammed
crass: crass
craving: craving
craze: craze
crazy: crazy
create: create,created,creates,creating
creation: creation,creations
creative: creative
creatively: creatively
creator: creator
creature: creature,creatures
credibility: credibility
credit: credit,credited
creditably: creditably
credulous: credulous
crepuscular: crepuscular
crime: crime,crimes
criminal: criminal,criminals
cripple: cripple
crisis: crises,crisis
criterion: criterion
critic: critic,critics
critical: critical
criticism: criticism
crochet: crocheted
cromwell: cromwell
crooked: crooked
cross: cross,crossed
crowd: crowd
crown: crown
crucify: crucify
cruel: cruel
cruelly: cruelly
cruelty: cruelty
crush: crush
cult: cult
cultivate: cultivate,cultivated,cultivating
culture: culture,cultured,cultures
cultured: cultured
cumbersome: cumbersome
cunning: cunning
cupidity: cupidity
curiosity: curiosity
curious: curious
curiously: curiously
current: current
curse: curse,cursed,curses
curve: curves
custom: customs
customary: customary
cut: cut
cyclops: cyclops
cynic: cynics
cynicism: cynicism
da: da
dabble: dabbling
daily: daily
dainty: dainty
damage: damage
damaged: damaged
damages: damages
dame: dame
damp: damp,damped
dance: dance,danced
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dangerously: dangerously
dangerousness: dangerousness
dangle: dangling
dante: dante
daring: daring
dark: dark,darker
darwin: darwin
darwinists: darwinists
dash: dash
datum: data
daub: daubed
david: david
dawn: dawning
day: day,days
daylight: daylight
deadening: deadening
deadly: deadly
deaf: deaf
deal: deal,dealing,dealt
dealing: dealing
dearly: dearly
death: death
debilitate: debilitates
debility: debility
decade: decade
decadence: decadence
decay: decay,decays
deceit: deceit
deceive: deceive,deceived,deceives,deceiving
december: december
decent: decent
deception: deception,deceptions
deceptive: deceptive
decide: decide,decided
decidedly: decidedly
decision: decision,decisions
decisive: decisive
decisively: decisively
deck: deck,decked
declaration: declaration
declare: declare,declared
decline: decline,declined,declines
decoration: decoration
decrease: decreases
decree: decree,decreed
deduce: deduced,deducing
deductible: deductible
deduction: deduction
deed: deed
deem: deem,deemed
deep: deep,deeper,deepest
deepening: deepening
deeply: deeply
defame: defamed
defect: defect,defects
defective: defective
defeminising: defeminising
defeminize: defeminize
defend: defend,defended,defends
defender: defenders
defense: defense
defensive: defensive
deference: deference
defiance: defiance
defilement: defilement
define: define,defined
definite: definite
definition: definition
deftly: deftly
defy: defy
degeneracy: degeneracy
degenerate: degenerate,degenerated,degenerating
degeneration: degeneration
degrade: degraded
degree: degree,degrees
dei: dei
deify: deified
delay: delay
deletion: deletions
deliberately: deliberately
delicacy: delicacies,delicacy
delicate: delicate
delicately: delicately
delight: delight,delights
delightful: delightful
delirious: delirious
deliver: delivered
deliverance: deliverance
deliverer: deliverer
dell: dell
deluder: deluders
delusion: delusion
demand: demand,demanded,demands
demeanour: demeanour
demigod: demigod
demimonde: demimonde
democracy: democracy
democrat: democrats
democratic: democratic
democratising: democratising
demon: demons
demonstrate: demonstrated
demureness: demureness
denial: denial
deny: denied,denies,deny
depart: depart,departing
depend: depended,depending,depends
dependency: dependency
dependent: dependent,dependents
depersonalizing: depersonalizing
depraved: depraved
depravity: depravity
depreciate: depreciate
depreciation: depreciation,depreciations
depression: depression
depth: depth
depths: depths
der: der
derangement: derangement
derision: derision
derisive: derisive
derivation: derivation
derivative: derivative
derivatively: derivatively
derive: derive,derived
des: des
descartes: descartes
descend: descend,descending
descent: descent
description: description
desert: desert
deserve: deserve,deserved,deserves
designate: designate,designated
designation: designation,designations
desirability: desirability
desirable: desirable
desire: desire,desired,desires,desiring
desist: desist
desk: desk
despair: despair
despairing: despairing
despairingly: despairingly
desperateness: desperateness
desperation: desperation
despicable: despicable
despise: despise,despised,despises
despiser: despiser
destine: destined
destiny: destiny
destroy: destroy,destroyed,destroying,destroys
destruction: destruction
destructive: destructive
detach: detach
detachment: detachment
deteriorate: deteriorated,deteriorates,deteriorating
deterioration: deterioration,deteriorations
determination: determinations
determine: determine,determined,determines,determining
determined: determined
determiner: determiner
detour: detour
detractor: detractors
detriment: detriment
deus: deus
develop: develop,developed,developing,develops
developed: developed
development: development,developments
deviation: deviation,deviations
devil: devil,devils
devilry: devilry
devise: devised
devolve: devolved
devote: devote
devoted: devoted
devotion: devotion
devour: devour
dew: dew
diabolical: diabolical
diagnosis: diagnosis
dialectic: dialectic
dialectician: dialectician
dialogue: dialogues
dictate: dictate
dictator: dictator
didst: didst
die: die,dies,dying
difference: difference,differences
difficult: difficult
difficultly: difficultly
difficulty: difficulties,difficulty
diffidence: diffidence
diffident: diffident
diffuse: diffused
dig: dig
digest: digest,digests
digestion: digestion
digestive: digestive
dignity: dignity
digress: digress,digressing
dilation: dilation
dilettante: dilettante
dilettanti: dilettanti
diligence: diligence
diligent: diligent
diligently: diligently
diminish: diminished
ding: ding
dinner: dinner
dionysus: dionysus
diphthong: diphthongs
direct: direct,directed
direction: direction,directions
director: director
dirt: dirt
dirty: dirty
disagree: disagreed
disagreeable: disagreeable
disappear: disappeared
disappointed: disappointed
disappointing: disappointing
disbelief: disbelief
discern: discern
discerner: discerner
discerning: discerning
discernment: discernment
discharge: discharge,discharged
disciple: disciple,disciples
disciplinary: disciplinary
discipline: discipline,disciplining
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclose,disclosed,discloses
discloses: discloses
discomfort: discomfort
discontinue: discontinue
discord: discord
discouraged: discouraged
discourse: discourse
discover: discover,discovered,discovering,discovers
discoverer: discoverer,discoverers
discovery: discoveries,discovery
discredit: discredited
discreet: discreet
discretion: discretion
disdain: disdain
disease: disease
diseased: diseased
disenchant: disenchant
disenchantment: disenchantment
disengage: disengage
disgrace: disgrace
disguise: disguise,disguised,disguises,disguising
disgust: disgust,disgusted
dish: dish
dishonour: dishonouring
dishonourable: dishonourable
disillusion: disillusions
disillusionment: disillusionment
disintegrate: disintegrating
disintegration: disintegration
disinterested: disinterested
disinterestedly: disinterestedly
disk: disk
dislike: dislike
disorder: disorder
disorderly: disorderly
disorganization: disorganization
disparage: disparaging
dispense: dispense,dispensed,dispenses
displace: displaced
displacing: displacing
display: display,displayed,displaying,displays
displease: displeasing
displeasure: displeasure
dispose: disposes,disposing
disposed: disposed
disposition: disposition
disprove: disproved
dispute: disputed
disquiet: disquiet
disquieting: disquieting
disregard: disregard
disrespectful: disrespectful
disrespectfulness: disrespectfulness
dissatisfaction: dissatisfaction
dissatisfied: dissatisfied
dissect: dissecting
dissection: dissection
dissemble: dissemble,dissembling
dissipate: dissipating
dissolution: dissolution
dissolve: dissolved
dissuade: dissuade
distance: distance,distances
distant: distant
distasteful: distasteful
distastefulness: distastefulness
distinction: distinction,distinctions
distinctly: distinctly
distinctness: distinctness
distinguish: distinguish,distinguished,distinguishes
distinguished: distinguished
distinguishing: distinguishing
distort: distorting
distracted: distracted
distress: distress
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
distrust: distrust
distrustful: distrustful
distrustfully: distrustfully
distrustfulness: distrustfulness
disturb: disturb,disturbed,disturbing
disturbance: disturbances
disturbing: disturbing
dive: dive
diverge: diverges
divergence: divergence
divergent: divergent
diverse: diverse
diversified: diversified
diversify: diversified
divert: divert
divide: divided
divine: divine,divined,divines,divining
divinely: divinely
diviner: diviner
divining: divining
divinity: divinity
doctor: doctor,doctors
doctrine: doctrine,doctrines
documentarily: documentarily
doer: doer
doff: doffed
dog: dog,dogs
dogma: dogma
dogmatic: dogmatic
dogmatist: dogmatist,dogmatists
dogmatize: dogmatizing
doltishness: doltishness
domain: domain,domains
domestic: domestic
dominate: dominate,dominated,dominates
domination: domination
dominion: dominion
donate: donate
donation: donation,donations
dong: dong
donor: donors
doom: doomed
door: door,doors
dormant: dormant
doth: doth
double: double
doubling: doubling
doubly: doubly
doubt: doubt,doubted,doubting,doubts
doubtless: doubtless
dove: doves
download: downloading
drag: dragging,drags
dragon: dragon
drags: drags
drain: drain
drapery: drapery
draw: draw,drawn,draws
drawer: drawer,drawers
dread: dreads
dreadful: dreadful
dreadfulness: dreadfulness
dream: dream,dreamed,dreaming,dreams
dregs: dregs
dress: dress,dresses
dressing: dressing
drift: drifted
drink: drink,drinking
drive: drive,driven
drop: drop,drops
drudge: drudge
drunkard: drunkards
dry: dry
du: du
duality: duality
dub: dub
dull: dull,duller
dumbfounded: dumbfounded
dun: dun
dung: dung
dungeon: dungeons
duration: duration
dust: dust
duty: duties,duty
dwarf: dwarf,dwarfed,dwarfs
dwarfing: dwarfing
dwell: dwell,dwells
dynamite: dynamite
dynastic: dynastic
dyspepsia: dyspepsia
dyspeptic: dyspeptics
eager: eager
eagerness: eagerness
eagle: eagle
ear: ear,ears
earnest: earnest
earth: earth
earthly: earthly
ease: ease
easily: easily
east: east
easy: easier,easy
eat: eat
eccentric: eccentric
ecclesia: ecclesia
ecclesiastical: ecclesiastical
echo: echo
economic: economic
economical: economical
economizer: economizers
economy: economy
ecstasy: ecstasies
edifice: edifices
edition: edition,editions
educate: educated,educates,educating
education: education
educational: educational
educator: educator
efface: effaced
effective: effective
effectively: effectively
effeminacy: effeminacy
effeminizing: effeminizing
effort: effort,efforts
effulgence: effulgence
ego: ego
egoism: egoism,egoisms
egoist: egoist
egypt: egypt
egyptian: egyptian
eighteen: eighteen
eighteenth: eighteenth
elaborate: elaborate
elaboration: elaborations
elect: elect
electronic: electronic
electronically: electronically
elegance: elegance
elegant: elegant
element: element,elements
elevate: elevate,elevated,elevates
elevated: elevated
elevation: elevation,elevations
elicit: elicit
ella: ella
eloquence: eloquence
eloquent: eloquent
emaciated: emaciated
email: email
emancipate: emancipating
emancipation: emancipation
emasculation: emasculation
embarrassed: embarrassed
embellish: embellishes
embellishment: embellishment
embitter: embitters
embody: embodied,embody
embolden: embolden
embrace: embrace,embraces
emerge: emerged
emergence: emergence
emotion: emotion,emotions
emperor: emperor
emphasize: emphasized,emphasizes,emphasizing
emphatic: emphatic
