abandon: abandon,abandoned,abandons
appointment: appointment
appreciation: appreciation
apprehend: apprehend,apprehending
approach: approach,approached,approaches,approaching
approve: approving
approximation: approximation
april: april
apt: apt
arab: arab,arabs
arabia: arabia
arabian: arabian
arbitrarily: arbitrarily
arc: arc
arcadia: arcadia
arch: arch
arching: arching
architect: architect,architects
architectural: architectural
architecture: architecture
arctic: arctic
ardor: ardor
argument: arguments
aristocracy: aristocracy
arithmetic: arithmetic
arm: arm,armed,arms
armful: armful
army: army
arouse: aroused,arousing
arrange: arrange,arranged
arrangement: arrangement,arrangements
arrival: arrival,arrivals
arrive: arrive,arrived,arriving
arrow: arrow
arrowhead: arrowheads
arrowy: arrowy
art: art,arts
artery: artery
arthur: arthur
article: article,articles
articulation: articulation
artificer: artificer
artificial: artificial
artillery: artillery
artist: artist
artistic: artistic
ascend: ascend
ascertain: ascertain,ascertained
ascetic: ascetic
ash: ash,ashes
ashamed: ashamed
ashore: ashore
asia: asia
asiatic: asiatic
asleep: asleep
aspect: aspect
aspen: aspens
aspiration: aspirations
aspire: aspire,aspires
aspiring: aspiring
ass: ass
assert: assert,asserted,asserting,asserts
assessment: assessment
assessor: assessors
assiduously: assiduously
assign: assign,assigned
assimilate: assimilated
assist: assist,assisted
assistance: assistance
associate: associating
association: associations
associations: associations
assuage: assuage,assuaged
assume: assume,assumed
assurance: assurance
assure: assure,assured
assyria: assyria
astonish: astonish,astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astor: astor
astounding: astounding
astray: astray
astrologically: astrologically
astronomer: astronomers
astronomically: astronomically
astronomy: astronomy
athlete: athletes
athwart: athwart
atlantic: atlantic
atlantis: atlantis
atlas: atlas
atmosphere: atmosphere
atmospheric: atmospheric
atom: atoms
atone: atoning
atropos: atropos
attach: attached,attaches
attack: attacked
attain: attain,attained,attaining
attempt: attempt,attempted
attend: attend,attended
attendance: attendance
attention: attention
attitude: attitude,attitudes
attorney: attorney
attract: attract,attracted,attracts
attraction: attraction,attractions
attractive: attractive
auction: auction
audit: audited
auditor: auditor
augean: augean
auger: auger
august: august
aunt: aunts
aurora: aurora
auroral: auroral
austere: austere
austerity: austerity
austerlitz: austerlitz
australian: australians
author: author,authors
authority: authorities,authority
autumn: autumn
autumnal: autumnal
auxiliary: auxiliaries
avail: avail,avails
avarice: avarice
avast: avast
avenge: avenge,avenged,avenging
avenger: avenger
avenue: avenues
average: average
aversion: aversion
avoid: avoid,avoided,avoiding
await: await,awaited,awaiting,awaits
awake: awake,awakes,awoke
awaken: awakened,awakens
awakening: awakening
aware: aware
awe: awe
awed: awed
awful: awful
awning: awning
axe: axe
axil: axils
axis: axes
ay: ay
aye: aye
azure: azure
baboon: baboons
baby: baby
babylon: babylon
backgammon: backgammon
bacon: bacon
bad: bad,worse,worst
badge: badge
bag: bag,bags
bagdad: bagdad
baggage: baggage
bait: bait,baited
bake: bake,baked,bakes
baker: baker
baking: baking
balance: balance,balanced,balancing
bald: baldest
bale: bales
balk: balked
ball: ball,balls
balloon: balloon
baltimore: baltimore
band: bands
bandbox: bandbox
banish: banish,banished
bank: bank,banks
bankrupt: bankrupt
bankruptcy: bankruptcy
banks: banks
banner: banner
bar: bar,barred,bars
barb: barb
barbaric: barbaric
barbarous: barbarous
barber: barber
barberry: barberry
bare: bare
barefooted: barefooted
bargain: bargain
bark: bark,barked,barking,barks
barn: barn,barns
barrel: barrel,barrels
barrow: barrow,barrows
barter: barter
bartram: bartram
base: base,based
basin: basin
basis: basis
basket: basket,baskets
bass: bass
bath: bath,bathed
bathe: bathe
bather: bather
bathing: bathing
battering: battering
battle: battle,battles
bay: bay,bays
baying: baying
bayou: bayou
bayous: bayous
beach: beach,beaches
beacon: beacon,beacons
bead: beads
beam: beam,beams
bean: bean,beans
beans: beans
bear: bear,bearing,bears,bore,born,borne
beard: beard
bearer: bearers
bearing: bearing,bearings
beast: beast,beasts
beastly: beastly
beat: beat,beaten
beautiful: beautiful
beautifully: beautifully
beauty: beauty
beaux: beaux
bed: bed,bedded,beds
bedford: bedford
bedstead: bedstead,bedsteads
bee: bee,bees
beech: beech
beechen: beechen
beef: beef
beet: beets
befall: befell
befriend: befriended
beggar: beggar,beggars
beggarly: beggarly
beginner: beginners
behalf: behalf
behave: behave,behaved
behavior: behavior,behaviors
behindhand: behindhand
behold: beheld,behold,beholding,beholds
beholder: beholder
behoove: behooves
behove: behoves
belfry: belfry
belie: belies
belief: belief
bell: bell,bells
bella: bella
belle: belles
bellied: bellied
bellow: bellowing,bellows
bellum: bellum
belly: belly
belong: belong,belonged,belonging,belongs
beloved: beloved
belt: belt,belts
ben: ben
bench: bench
bencher: bencher
bend: bend,bending,bends,bent
bended: bended
bender: benders
bene: bene
beneath: beneath
benefactor: benefactor,benefactors
beneficence: beneficence
beneficent: beneficent
benefit: benefit,benefited
benevolence: benevolence
bent: bent
benvenuto: benvenuto
bequeath: bequeathed
berry: berries,berry,berrying
beseechingly: beseechingly
beset: beset
bestow: bestow,bestowed,bestows
bestower: bestower
bet: betting
betime: betimes
betray: betray,betrayed,betraying,betrays
beverage: beverage
beware: beware
bey: bey
bibber: bibbers
bible: bible,bibles
biblical: biblical
bicolor: bicolor
bid: bade
bidding: bidding
biennial: biennials
bight: bights
billow: billows
bind: bound
biography: biography
biped: biped
birch: birch,birches
bird: bird,birds
birth: birth
bison: bison
bit: bit,bits
bite: bite
biting: biting
bitter: bitter
bittern: bittern
black: black,blacks
blackberry: blackberries,blackberry
blacker: blacker
blacksmith: blacksmith
blade: blade,blades
blake: blake
blame: blame
blanch: blanched
blast: blast,blasted,blasts
bleach: bleach
bleak: bleak
bleat: bleating
bleed: bleeds
bless: bless,blessed
blessing: blessing
blind: blind,blinds
blindly: blindly
blister: blistered
bloated: bloated
block: block,blocks
blood: blood,bloods
blooded: blooded
bloodsucker: bloodsucker
bloody: bloody
bloom: bloom,blooming
blossom: blossom,blossoming,blossoms
blotting: blotting
blow: blew,blow,blowing,blown,blows
blowing: blowing
blue: blue,bluer,bluest
blueberry: blueberries,blueberry
bluebird: bluebird
blues: blues
bluish: bluish
blunder: blunder,blundering
blunt: blunt
blush: blush,blushes
blustering: blustering
board: board,boarded,boards
boarding: boarding
boast: boast,boasting
boat: boat
bodily: bodily
body: bodies,body
bog: bog,bogging,bogs
boggy: boggy
boil: boil,boiled
boiling: boiling
boisterous: boisterous
bold: bold,bolder
boldly: boldly
bole: bole
bolster: bolsters
bolt: bolt,bolted,bolts
bombay: bombay
bone: bone,bones
bonfire: bonfire
bonnet: bonnet
bony: bony
boo: boo
booby: booby
book: book,books
boom: boom,boomed,booming
booming: booming
boot: boots
bopeep: bopeep
bor: bor
border: border,borders
borderer: borderers
bore: bored,bores
borrow: borrow,borrowed
borrowing: borrowing
bose: bose
bosom: bosom
boston: boston
botanic: botanic
bother: bother
bottle: bottle,bottles
bottomless: bottomless
bottomlessness: bottomlessness
bough: bough,boughs
bounce: bounce
bound: bound,bounded,bounding,bounds
boundary: boundaries,boundary
boundless: boundless
bounteous: bounteous
bouquet: bouquet
bout: bout
bow: bow,bows
bowels: bowels
bower: bower,bowers
bowl: bowl,bowls
bowlder: bowlders
box: box,boxes
boy: boy,boys
boyhood: boyhood
brace: bracing
brag: brag
brahma: brahma
brahmin: brahmins
brain: brain,brains
brake: brakes
brakeman: brakemen
bran: bran
branch: branch,branches
brand: brands
brandy: brandy
brass: brass
brat: brat
brave: brave
bravely: bravely
bravery: bravery
brazen: brazen
bread: bread
breadstuff: breadstuffs
breadth: breadth
breadthwise: breadthwise
break: break,breaking,breaks,broke,broken
breakfast: breakfast,breakfasts
breaking: breaking
bream: bream,breams
breast: breast,breasts
breastplate: breastplate
breath: breath
breathe: breathe,breathed,breathes,breathing
breeches: breeches
breed: bred,breed
breeder: breeder
breeze: breeze,breezes
brick: brick,bricks
bridge: bridge,bridged,bridges
brier: briers
bright: bright,brighter
brighten: brighten
brightly: brightly
brightness: brightness
brilliant: brilliant
bring: bring,bringing,brings,brought
bristle: bristling
britain: britain
british: british
brittle: brittle
broad: broad,broader,broadest
broadcast: broadcast
broadway: broadway
broken: broken
broker: broker
bronze: bronze
brood: brood
brook: brook,brooks
broom: broom
brother: brother,brothers
brothers: brothers
brow: brow,brows
brown: brown
brownish: brownish
browse: browsed
browsing: browsing
brush: brush
brushy: brushy
brutal: brutal
brute: brute,brutes
brutish: brutish
bubble: bubble,bubbles
buck: buck
bucket: bucket,buckets
buckle: buckled
bud: bud,buds
budding: budding
budget: budget
buffalo: buffalo
buffet: buffet
bug: bug,bugs
build: build,builded,building,builds,built
builder: builder,builders
building: building,buildings
bulk: bulk
bull: bull
bullet: bullet
bullfrog: bullfrogs
bulrush: bulrush
bumble: bumble
bunch: bunch
bundle: bundle
bunker: bunker
buoy: buoys
buoyancy: buoyancy
buoyant: buoyant
bur: burs
burden: burden
burgher: burghers
burgoyne: burgoyne
burn: burn,burned,burning,burnt
burning: burning
burr: burrs
burrow: burrow,burrowing,burrows
burst: burst,bursting,bursts
bury: buried,buries,bury,burying
bush: bush,bushes
bushel: bushel,bushels
bushy: bushy
business: business
busk: busk
bust: bust
bustle: bustle
bustling: bustling
busy: busy
butcher: butcher,butchers
butt: butt
butter: butter
butterfly: butterflies,butterfly
buttermilk: buttermilk
buzz: buzzing
cabbage: cabbage
cabin: cabin,cabins
cable: cable
cackle: cackle,cackling
cackling: cackling
cadaverous: cadaverous
cadis: cadis
cage: caged
cake: cake,cakes
calculable: calculable
calculate: calculate,calculated
calculation: calculation
calculator: calculator,calculators
calcutta: calcutta
calf: calf,calves
california: california
caliph: caliphs
calk: calked
calling: calling
callous: callous
callow: callow
calm: calm
cambridge: cambridge
camp: camp,camped,camps
canada: canada
canadian: canadian
canal: canal
candidate: candidate,candidates
candle: candles
canine: canine
canker: canker
cannibal: cannibal,cannibals
cannon: cannon
canoe: canoe
canter: cantering
canvas: canvas
cap: cap
capable: capable
capacious: capacious
capacity: capacities,capacity
cape: cape,capes
capital: capital
captain: captain
capture: captured
car: car,cars
caravansary: caravansary
caraway: caraway
carbuncle: carbuncles
card: card,cards
care: care,cared,cares
career: career,careering
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
caribou: caribou
carlos: carlos
carmine: carmine
carnage: carnage
carnivorous: carnivorous
carol: carols
carolina: carolina
carpenter: carpenter
carpentry: carpentry
carpet: carpet,carpeted,carpets
carriage: carriage
carrier: carrier
carrion: carrion
carry: carried,carry,carrying
cart: cart,carting,carts
cartload: cartloads
carve: carve,carved
cashier: cashiered
casing: casings
cask: casks
casket: casket
cassiopeia: cassiopeia
cast: cast,casting,casts
castalian: castalian
castle: castle,castles
casual: casual
casualty: casualties
cat: cat,cats
catch: catch,catching,caught
catechism: catechism
caterpillar: caterpillar,caterpillars
catholic: catholic
cattle: cattle
causeway: causeway
cave: cave,caves
cavern: cavern
cavernous: cavernous
caviller: cavillers
caving: caving
cavity: cavities,cavity
cease: cease,ceased,ceases,ceasing
ceaseless: ceaseless
ceaselessly: ceaselessly
cedar: cedar
ceiling: ceiling
celebrate: celebrate,celebrated,celebrates,celebrating
celebrated: celebrated
celestial: celestial
cell: cell,cells
cellar: cellar,cellars
cellular: cellular
celt: celt
celtis: celtis
cement: cement,cements
cemetery: cemeteries
cent: cent,cents
centipede: centipede
central: central
centre: centre
century: centuries,century
cerasus: cerasus
cerberus: cerberus
cereal: cereal
cerealian: cerealian
ceremony: ceremonies,ceremony
ceres: ceres
certainty: certainty
cerulean: cerulean
cessation: cessation
chaff: chaff
chain: chain,chained,chains
chair: chair,chairs
chaise: chaise,chaises
chalk: chalk
chamber: chamber,chambers
champion: champion
champlain: champlain
chance: chance,chanced
change: change,changed,changing
changeable: changeable
channel: channel,channels
chant: chanted
chanticleer: chanticleer
chaos: chaos
chap: chaps
chapman: chapman
chapter: chapter
char: char
character: character,characters
characteristic: characteristic
charge: charge,charged
chariot: chariot
charitable: charitable
charity: charity
charleston: charleston
charm: charm,charmed
charming: charming
chart: chart,charts
chase: chase
chasm: chasm
chaste: chaste
chastity: chastity
chat: chat,chatted
chatter: chattering
chaucer: chaucer
che: che
cheap: cheap,cheaper,cheapest
cheaply: cheaply
cheat: cheat,cheated
check: checked
checker: checker
checkered: checkered
cheek: cheek,cheeks
cheep: cheeping
cheer: cheer,cheered,cheering,cheers
cheerful: cheerful
cheerfully: cheerfully
cheering: cheering
cheese: cheese
chemic: chemic
chemistry: chemistry
chequer: chequers
cherish: cherish,cherished
cherry: cherries,cherry
chest: chest
chestnut: chestnut,chestnuts
chew: chew,chewed
chewer: chewers
chewink: chewink
chiccory: chiccory
chickadee: chickadee,chickadees
chickaree: chickaree
chicken: chicken,chickens
chide: chiding
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
chill: chilling
chilled: chilled
chimney: chimney
chin: chin
china: china
chinamen: chinamen
chinese: chinese
chink: chinks
chip: chip,chips
chirp: chirp
chirrup: chirruped,chirruping
chisel: chisel
chivalry: chivalry
chocolate: chocolate
choice: choice,choicest
choir: choir
choke: chokes
choose: choose,chose,chosen
chop: chop,chopped,chopping
chopper: chopper
chowder: chowder
christ: christ
christen: christen
christian: christian
christianity: christianity
chronology: chronologies
chuckle: chuckle,chuckling
church: church,churches
churn: churn
cider: cider
ciderish: ciderish
cigar: cigar
cimeter: cimeter
cinder: cinders
cinderella: cinderella
cinquefoil: cinquefoil
cipher: cipher
circle: circle,circled,circles,circling
circling: circling
circuit: circuit
circular: circular
circulate: circulate,circulated,circulating
circulation: circulation,circulations
circumference: circumference
circumspection: circumspection
circumstance: circumstance,circumstances
circumstantial: circumstantial
citadel: citadel
citizen: citizen,citizens
city: cities,city
civil: civil
civility: civility
civilization: civilization
civilized: civilized
clad: clad
claim: claim,claimed,claims
clammy: clammy
clamor: clamor
clangor: clangor
clarify: clarified,clarifying
clarion: clarions
clarke: clarke
clasp: clasp
class: class,classed,classes
classic: classic,classics
claw: claws
clay: clay
clean: clean,cleaned,cleaner,cleanest,cleaning
cleanse: cleanse,cleansed
clearing: clearing
cleavage: cleavages
cleaver: cleaver
cleft: cleft
clergyman: clergyman
clerk: clerk
clever: clever
cliff: cliff,cliffs
cliffy: cliffy
climate: climate,climates
climb: climb,climbed,climbing
clime: climes
clinch: clinch,clinched
cling: cling,clinging
clock: clock,clocks
clog: clogs
close: close,closed,closer,closes,closest,closing
closely: closely
closet: closet
cloth: cloth,cloths
clothe: clad,clothe,clothed
clothes: clothes
clothing: clothing
cloud: cloud,clouds
cloudy: cloudy
clout: clout
cluck: cluck
clucking: clucking
clue: clue
clumsy: clumsy
cluster: clusters
clutch: clutched
cluttered: cluttered
coarse: coarse,coarser,coarsest
coarsely: coarsely
coast: coast
coastwise: coastwise
coat: coat,coats
cobbler: cobbler
cobs: cobs
cobweb: cobweb
cock: cock
cockerel: cockerel,cockerels
cocoa: cocoa
cod: cod
coddling: coddling
code: code
codman: codman
coeval: coeval
coffee: coffee
coffin: coffin
cognate: cognate
cohabit: cohabit
coil: coil
coin: coin,coins
coincide: coincide
coincidence: coincidence
coincident: coincident
cold: cold,colder,coldest
colic: colic
collapse: collapsed
collect: collect,collected
collection: collection
collections: collections
collectively: collectively
college: college,colleges
collins: collins
colloquy: colloquies
colonel: colonel
colony: colonies,colony
color: color,colored,colors
colorado: colorado
colored: colored
coloring: coloring
colorless: colorless
columbia: columbia
columbus: columbus
column: columns
colymbus: colymbus
comb: comb,combed
combat: combat
combatant: combatants
combine: combine,combined
combustion: combustion
comet: comet
comfort: comfort,comforts
comfortable: comfortable
comfortably: comfortably
coming: comings
comitatus: comitatus
command: command,commanded,commanding
commander: commander
commemorate: commemorate
commence: commence,commenced,commences
comment: comment
commentator: commentator
commerce: commerce
commercial: commercial
commit: commit,committed
committed: committed
committee: committee
commodious: commodious
commodity: commodities,commodity
commodore: commodore
common: common,commonest
commonly: commonly
commonness: commonness
commune: commune
communicable: communicable
communicate: communicate,communicated,communicating
communication: communication,communications
community: communities,community
compact: compact
compactly: compactly
companion: companion,companions
companionable: companionable
company: company
comparable: comparable
comparative: comparative
comparatively: comparatively
compare: compare,compared
comparison: comparison,comparisons
compass: compass
compassion: compassion
compel: compel,compelled
compeller: compeller
compensate: compensated
compensation: compensation
complacency: complacency
complacent: complacent
complain: complain,complained,complaining
complaint: complaint,complaints
complemental: complemental
complete: complete,completed
completely: completely
completeness: completeness
complex: complex
complexion: complexion
complicated: complicated
compliment: compliment,complimented
compose: compose,composed
composition: composition
compost: compost
compound: compound
comprehend: comprehend,comprehended
compromise: compromise
computation: computation
comrade: comrade,comrades
conceal: conceal,concealed,conceals
concealment: concealment
concede: concede
conceited: conceited
conceive: conceive,conceiving
concentrate: concentrated
concentrated: concentrated
concentric: concentric
conception: conceptions
concern: concern,concerned,concerns
concerned: concerned
conclude: conclude,concluded,concluding
conclusion: conclusion,conclusions
concord: concord
concur: concur,concurring
condemn: condemn,condemned
condense: condensed
condescend: condescended
condiment: condiment
condition: condition,conditioned,conditions
conduce: conduces
conduct: conduct,conducted
conductor: conductor
cone: cone,cones
confederacy: confederacy
confess: confess,confessed,confesses
confession: confessions
confidence: confidence
confident: confident
confidently: confidently
confine: confine,confined
confinement: confinement
confines: confines
confirm: confirm,confirmed
conflagration: conflagrations
conflict: conflict,conflicting
confluent: confluent
conform: conform,conforming,conforms
conformably: conformably
conformity: conformity
confound: confound,confounded
confront: confronts
confucius: confucius
confused: confused
confusion: confusion
congeal: congealed
congenial: congenial
congratulate: congratulate
congratulation: congratulation
congregate: congregate
congregation: congregation
congress: congress
conical: conical
conjecture: conjecture,conjectured,conjecturing
conjure: conjure
connect: connect,connected,connecting
connecticut: connecticut
connection: connection
conquer: conquer,conquered
consanguinity: consanguinity
conscience: conscience,consciences
conscientious: conscientious
conscious: conscious
consciously: consciously
consciousness: consciousness
consecrate: consecrate,consecrated
consecrated: consecrated
consent: consent,consented,consenting
consequence: consequence,consequences
consequent: consequent
considerable: considerable
considerably: considerably
considerate: considerate
consideration: consideration
consist: consist,consisted,consisting
consistency: consistency
consistent: consistent
consolation: consolation,consolations
console: console,consoled
conspicuous: conspicuous
conspiracy: conspiracies
conspire: conspires
constable: constables
constant: constant
constantly: constantly
constellation: constellation,constellations
constituent: constituents
constitute: constitute,constitutes
constitution: constitution,constitutions
constitutional: constitutional
constrain: constrain
construct: construct,constructed,constructing
construction: construction
consult: consulted,consulting
consultation: consultation
consume: consume,consumed,consumes
consumer: consumer
consummate: consummate
contact: contact
contagion: contagion
contemplate: contemplate,contemplated,contemplating
contemplation: contemplation,contemplations
contemporary: contemporaries,contemporary
contend: contending
content: content
contented: contented
contentedly: contentedly
contentment: contentment
contents: contents
contest: contested
contiguous: contiguous
continent: continent,continents
continual: continual
continually: continually
continuance: continuance
continue: continue,continued,continues
contract: contract,contracted,contracting
contractor: contractor
contrast: contrast
contribute: contribute,contributed
contribution: contributions
contrive: contriving
control: control
convenience: convenience,conveniences
convenient: convenient
conventicle: conventicle
convention: convention,conventions
conversant: conversant
conversation: conversation,conversations
converse: converse,conversed,conversing
convert: converted
convey: convey,conveying
conveyance: conveyance
convict: convicted
convince: convince,convinced,convinces
convinced: convinced
conviviality: conviviality
convulse: convulse
convulsion: convulsion
convulsive: convulsive
cook: cook,cooked,cooks
cookery: cookery
cooking: cooking
cool: cool,cooled,coolest
cooly: cooly
copartnership: copartnership
cope: cope
copernicus: copernicus
copious: copious
copper: copper
copse: copse
coral: coral
cord: corded,cords
corded: corded
cordial: cordials
core: core
cormorant: cormorants
corn: corn
corner: corner,corners
cornfield: cornfield,cornfields
cornice: cornice,cornices
coronet: coronet
corporal: corporal
corporation: corporation,corporations
corpse: corpse
correct: correct,corrected
correction: correction
correspondent: correspondent
corrosion: corrosion
corrugation: corrugations
corrupt: corrupt,corrupted
cortex: cortex
cosmical: cosmical
cosmogonal: cosmogonal
cosmography: cosmography
cosmopolite: cosmopolite
cosmos: cosmos
cost: cost,costs
costly: costly
costume: costume
cottage: cottage,cottages
cotton: cotton
couch: couch
cough: cough
council: council
count: count,counting
countenance: countenance,countenanced
counter: counter
counterbalance: counterbalanced
counting: counting
country: countries,country
countryman: countryman,countrymen
county: county
couple: couple
courage: courage
courageous: courageous
coursing: coursing
court: court,courts
courtier: courtier
cousin: cousin,cousins
cove: cove,coves
cover: cover,covered,covering,covers
covered: covered
coveted: coveted
cow: cow,cows
coward: cowards
cowbird: cowbirds
cower: cowers
cowhide: cowhide
crack: crack,cracked,cracking,cracks
crackling: crackling
cradle: cradle
craft: craft
crag: crag
cranberry: cranberries,cranberry
crane: cranes
crank: crank
crash: crash
crave: crave
crawl: crawl,crawling,crawls
crazy: crazy
creak: creaking
cream: cream
crease: creased
create: create,created
creation: creation,creations
creator: creator
creature: creature,creatures
credit: credit
creditor: creditors
creep: creeping,crept
crest: crest
crevice: crevice,crevices
crew: crew
crimpled: crimpled
crimson: crimson
crippled: crippled
crisis: crisis
crisp: crisp
critical: critical
critically: critically
criticism: criticism
croak: croaking
cromwell: cromwell
crooked: crooked
crop: crop,cropping,crops
cross: cross,crossed,crossing
crotchet: crotchets
crow: crow,crowing
crowd: crowd,crowded,crowding,crowds
crowded: crowded
crown: crown
crucify: crucify
crudity: crudity
cruise: cruise
crumb: crumbs
crumble: crumbled,crumbling
crusader: crusaders
crush: crushed,crushes,crushing
crust: crust
crusty: crusty
crystal: crystal,crystals
crystalline: crystalline
crystallization: crystallization
cubic: cubic
cuckoo: cuckoos
cuff: cuffs
culinary: culinary
culminate: culminates
cultivate: cultivate,cultivated,cultivating
cultivation: cultivation
cultivator: cultivator,cultivators
culture: culture
cumbrous: cumbrous
cunning: cunning
cunningly: cunningly
cup: cup,cups
cupbearer: cupbearer
cupboard: cupboard
cupreous: cupreous
cur: cur
curacy: curacy
cure: cure,cured,cures
curiosity: curiosity
curious: curious
curl: curled,curls
current: current,currents
curry: curry
curse: curse,cursed,curses
cursing: cursing
curtain: curtain,curtains
curve: curve,curves
cushion: cushion,cushions
custom: custom,customs
customer: customer,customers
cut: cut,cuts,cutting
cuticle: cuticle
cutter: cutters
cutting: cutting
cylindrically: cylindrically
cynosure: cynosure
cypress: cypress
czar: czar
dabble: dabbling
dace: dace
daily: daily
dainty: dainty
daisy: daisies
dale: dale
dam: dam,dams
damage: damage
dame: dame
damnable: damnable
dance: dance
dancing: dancing
dandelion: dandelion
danger: danger,dangers
dangerous: dangerous
dangle: dangled
dank: dank
dark: dark,darker,darkest
darken: darkened,darkening
darkness: darkness
dart: dart,darting
darwin: darwin
dash: dash,dashed,dashes,dashing
dashed: dashed
daub: daubed
daughter: daughter
daunt: daunted
david: david
davis: davis
dawn: dawn,dawning,dawns
day: day,days
daylight: daylight
dazzle: dazzled,dazzling
dazzling: dazzling
deacon: deacon
dead: dead
deadly: deadly
deaf: deaf
deal: deal,dealing
dealings: dealings
dearly: dearly
dearth: dearth
death: death
debate: debate
debauched: debauched
debt: debt
debtor: debtor
decay: decay,decayed,decaying
deceive: deceived
december: december
decent: decent
decently: decently
decide: decide,decided
decipher: decipher
decision: decision
deck: deck
declare: declare,declared,declares
decline: decline,declined
deduct: deducting
