abatement: abatement
attractive: attractive
attribute: attribute,attributing
aubin: aubin
augment: augmented
augur: augured
aunt: aunt
auspices: auspices
author: author
authoress: authoress
authority: authority
authorize: authorized
avail: avail,availed
avarice: avarice
average: average
aversion: aversion
avocation: avocations
avoid: avoid,avoided,avoiding
avowal: avowal
avowed: avowed
awake: awake,awoke
awaken: awaken,awakened
aware: aware
awe: awe
awful: awful
awfulness: awfulness
awkward: awkward
awkwardness: awkwardness
aye: aye
bachelor: bachelor
bad: bad,worse,worst
ball: ball,balls
ballroom: ballroom
balm: balm
banish: banish
banishment: banishment
bank: bank
banker: banker
bar: bars
barbarous: barbarous
barely: barely
bargain: bargain
barometer: barometer
baronet: baronet,baronets
base: based
baseball: baseball
bath: bath
bead: beads
beam: beams
bear: bear,bearing,bore,born,borne
bearer: bearer
beast: beast
beat: beat
beating: beating
beautiful: beautiful
beauty: beauty
becomingly: becomingly
bed: bed,beds
bedford: bedford
bedroom: bedroom
beechen: beechen
beetle: beetle
befall: befall
befriend: befriended
beg: beg,begged
beggar: beggar
behalf: behalf
behave: behave,behaved
behaviour: behaviour
behold: beheld,behold,beholding
belief: belief
belinda: belinda
bell: bell,bells
belle: belle
belong: belong,belonged,belonging,belongs
beloved: beloved
bench: bench
bend: bend,bent
beneath: beneath
benefactor: benefactors
benefit: benefit
benevolence: benevolence
bent: bent
bespeak: bespoke
bestow: bestow,bestowed,bestowing,bestows
betray: betray,betrayed
beware: beware
bias: biased
bid: bade,bid,bidding
bilious: bilious
billiard: billiard
bind: bound
binding: binding
biographer: biographer
bird: bird,birds
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black,blackest
blair: blair
blame: blame,blamed
blast: blast
blaze: blaze
bless: bless
blessing: blessing
blind: blinding
bliss: bliss
blockhead: blockheads
blood: blood
bloom: bloom,blooming
blow: blew,blow
blue: blue
blush: blush,blushed,blushing
board: board
boast: boast,boasted
bode: boded
body: body
bold: bold
boldly: boldly
boldness: boldness
bolt: bolt,bolts
bond: bond
bonnet: bonnet,bonnets
book: book,books
bookseller: bookseller
boot: booted
bosom: bosom
bother: bother
bottle: bottle
bound: bounded,bounding
bow: bow,bowed,bows
box: box
boy: boy,boys
brag: bragging
braid: braids
brain: brain,brains
brained: brained
bravo: bravo
breach: breach
bread: bread
breadth: breadth
break: break,breaking,broke,broken
breakfast: breakfast
breath: breath
breathe: breathe,breathing
breathless: breathless
breeches: breeches
breed: bred
breeding: breeding
breeze: breeze
brickbat: brickbat
bridge: bridge
bright: bright,brightest
brighten: brighten,brightened,brightening
brilliant: brilliant
bring: bring,bringing,brings,brought
brisk: brisker
briskly: briskly
bristol: bristol
british: british
broad: broad
brock: brock
broke: broke
broken: broken
brook: brook
brother: brother,brothers
brow: brow
brown: brown
brute: brute
buck: buck
build: build,built
building: building,buildings
burn: burn,burning
burst: burst
bush: bush
business: business
bustle: bustle
busy: busy
butler: butler
butter: butter
bye: bye
cabinet: cabinet
calculate: calculate,calculated
calculation: calculation,calculations
calling: calling
calm: calm
calmly: calmly
calmness: calmness
camilla: camilla
canary: canary
candid: candid
candle: candle
canvass: canvassed
cap: cap
capability: capability
capable: capable
capacity: capacity
cape: capes
caper: caper
capital: capital
captain: captain
captive: captive,captives
caractacus: caractacus
card: card
care: care,cared,cares,caring
career: career
careless: careless
carelessly: carelessly
caress: caressed
caricature: caricature
carpet: carpeted
carriage: carriage,carriages
carry: carried,carry,carrying
cart: carts
carve: carved
carving: carving
casement: casements
cash: cash
cast: cast
castle: castle,castles
catch: catch,catching,caught
catherine: catherine
cattle: cattle
causeless: causeless
caution: caution,cautions
cautiously: cautiously
cavity: cavity
cease: ceased,ceasing
cecilia: cecilia
cedar: cedar
celebrate: celebrated
celebrated: celebrated
celebration: celebration
celerity: celerity
cell: cell,cells
censure: censure
central: central
centre: centre
centred: centred
century: century
ceremonial: ceremonial
ceremony: ceremonies,ceremony
certainty: certainty
chair: chair,chairs
chaise: chaise,chaises
challenge: challenging
chamber: chamber,chambers
chance: chance,chanced,chances
chandler: chandler
change: change,changed
changeable: changeable
changing: changing
chap: chap
chapel: chapel
chaperon: chaperon,chaperons
chapter: chapter,chapters
character: character,characters
characteristic: characteristic
charge: charge,charging
charles: charles
charlotte: charlotte
charm: charm,charms
charming: charming
charmingly: charmingly
chat: chatting
chatter: chatter
cheap: cheap
check: check,checked
cheek: cheek,cheeks
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cherish: cherished
chest: chest,chests
chestnut: chestnut,chestnuts
chicken: chickens
chief: chief
chiefly: chiefly
child: child,children
childless: childless
chilled: chilled
chimney: chimney
china: china
choice: choice
choose: choose,chose,chosen
christian: christian,christians
christmas: christmas
church: church
cipher: cipher
circle: circle
circulate: circulating
circumstance: circumstance,circumstanced,circumstances
city: city
civil: civil
civility: civilities,civility
civilized: civilized
civilly: civilly
claim: claim,claimed,claims
clandestine: clandestine
class: class,classed
classic: classic
clause: clause
clay: clay
clean: clean,cleanest
cleanliness: cleanliness
clearness: clearness
clemency: clemency
clergyman: clergyman
clever: clever
cliff: cliff
climate: climate
cloak: cloak
clock: clock,clocks
clog: clogs
cloister: cloister,cloisters
close: close,closed,closing
closely: closely
closet: closet,closets
closing: closing
clothe: clothe
clothes: clothes
cloud: clouds
cloudy: cloudy
club: club
coachmaker: coachmaker
coachman: coachman
coarse: coarse
cobwebs: cobwebs
cocoa: cocoa
coffee: coffee
coffin: coffin
coincidence: coincidence
cold: cold
coldly: coldly
coldness: coldness
collect: collect,collected,collecting,collects
collection: collection
college: college
colour: colour,coloured
colouring: colouring
combine: combine
comedy: comedy
comfort: comfort,comforts
comfortable: comfortable
comfortably: comfortably
comforting: comforting
comfortless: comfortless
coming: coming
command: command,commanded,commanding
commendation: commendation
commerce: commerce
commiserate: commiserated,commiserating
commodious: commodious
common: common
commonly: commonly
commonplace: commonplace
communicate: communicate,communicating
communication: communication,communications
communicative: communicative
companion: companion,companions
companionship: companionship
company: company
comparative: comparative
comparatively: comparatively
compare: compare,compared,comparing
comparison: comparison
compartment: compartment
compassion: compassion
compassionately: compassionately
complacency: complacency
complacent: complacent
complacently: complacently
complain: complain
complaisance: complaisance
complete: complete,completed,completing
completely: completely
completion: completion
complexion: complexion
compliance: compliance
compliment: compliment,complimented,compliments
complimentary: complimentary
comply: complied
compose: compose
composition: composition
composure: composure
comprehend: comprehend,comprehended,comprehending
comprehension: comprehension
comprehensive: comprehensive
compression: compression
comprise: comprised
compromise: compromise
conceal: conceal,concealed,concealing
concealment: concealment
conceit: conceit
conceited: conceited
conceive: conceive,conceiving
conception: conception
concern: concern,concerned,concerns
concerned: concerned
concert: concert
conciliatory: conciliatory
conclude: conclude,concluded
concluding: concluding
conclusion: conclusion
condemnation: condemnation
condition: conditions
conducive: conducive
conduct: conduct,conducted
conductor: conductor
conference: conference
confess: confess,confessed
confession: confession
confidante: confidante
confidence: confidence
confident: confident
confidential: confidential
confine: confine,confined,confining
confinement: confinement
confirm: confirm,confirmed,confirming
confirmation: confirmation
conformity: conformity
confound: confounded
confuse: confused
confused: confused
confusion: confusion
congratulate: congratulate,congratulated,congratulating
conjecture: conjecture,conjectured,conjectures,conjecturing
connect: connected
connected: connected
connection: connection,connections
connive: connive
conquer: conquering
conscience: conscience
conscientious: conscientious
conscious: conscious
consciousness: consciousness
consent: consent,consenting
consequence: consequence,consequences
consequent: consequent
consequential: consequential
considerable: considerable
consideration: consideration,considerations
consist: consist,consisting
consistent: consistent
consistently: consistently
consolation: consolation
console: console,consoling
conspicuous: conspicuous
constant: constant
constantly: constantly
constitution: constitution
constitutional: constitutional
constrain: constrained
construct: constructed
construction: construction
consult: consult,consulted
consultation: consultation
consume: consumed
consummate: consummate
contemplate: contemplated
contemplation: contemplation
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
contend: contend
contented: contented
contentedly: contentedly
contents: contents
contest: contest
continual: continual
continually: continually
continuance: continuance
continue: continue,continued,continuing
continued: continued
contract: contract,contracted
contradict: contradict,contradicted
contradiction: contradiction,contradictions
contrary: contrary
contrast: contrast
contribute: contribute,contributed,contributes
contriver: contriver
control: control
convenience: convenience
convenient: convenient
convent: convent
conversation: conversation,conversations
converse: conversing
convert: converts
convey: convey,conveyed,conveying
convict: convicted
conviction: conviction,convictions
convince: convince,convinced
convinced: convinced
cook: cook,cooks
cool: cool
cooperate: cooperate
cope: cope
coppice: coppice
coquelicot: coquelicot
coquette: coquette
cordial: cordial
corner: corner
corporal: corporal
corporation: corporation
correctly: correctly
correspond: corresponded
correspondence: correspondence
corroborate: corroborated
cost: cost
costliness: costliness
costly: costly
cotillion: cotillion,cotillions
cottage: cottage
cotton: cotton
couch: couch
counsel: counsel,counsels
count: counted
countenance: countenance
counterbalance: counterbalance
counterpane: counterpane
counterpart: counterpart
counterpoise: counterpoise
countess: countess
countless: countless
country: country
county: counties,county
couple: couple
courage: courage
courageously: courageously
court: court,courted,courting
courteously: courteously
courtesy: courtesy
cousin: cousin,cousins
cover: cover
cowardly: cowardly
coxcomb: coxcomb
cradle: cradle
cramp: cramp
cravat: cravats
craving: craving
create: create,created,creating
creation: creation
creature: creature,creatures
credit: credit
creep: creep,creeping,crept
crescent: crescent
cricket: cricket
crime: crime,crimes
criminal: criminal
critical: critical
critique: critique
croak: croaking
cross: cross,crossed,crossing
crossing: crossing
crowd: crowd,crowded,crowds
crowded: crowded
crown: crown
cruel: cruel
cruelty: cruelty
curate: curate
curiosity: curiosity
curious: curious
curiously: curiously
curl: curl
curricle: curricle
curse: curse,cursed
cursed: cursed
curtain: curtain,curtains
curtsy: curtsied,curtsies,curtsy
custom: custom
cut: cut,cutting
dagger: dagger
daily: daily
damp: damp
dance: dance,danced,dances,dancing
dancer: dancers
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dark: dark,darker
darkness: darkness
darling: darling
dart: darted
daughter: daughter,daughters
davis: davis
day: day,days
daylight: daylight
dead: dead
deal: deal
dearest: dearest
dearly: dearly
death: death
deathlike: deathlike
debasement: debasement
debating: debating
decay: decayed,decaying
decease: decease
deceased: deceased
deceive: deceive,deceived
decency: decency
decent: decent
deception: deception
decide: decided
decidedly: decidedly
decipher: decipher
decision: decision
decisive: decisive
declaration: declaration,declarations
declare: declare,declared
decline: decline,declined
decree: decree
decry: decried,decrying
deduce: deduced
deduction: deduction
deem: deemed
deep: deep,deeper
deeply: deeply
defect: defects
defective: defective
defence: defence
defend: defend,defended
defer: deferred
deference: deference
defiance: defiance
deficiency: deficiency
definable: definable
definition: definition
defunct: defunct
defy: defy
degrading: degrading
degree: degree
deject: dejected
dejected: dejected
dejectedly: dejectedly
dejection: dejection
delay: delay,delayed,delays
delicacy: delicacy
delicate: delicate
delight: delight,delighted,delighting,delights
delighted: delighted
delightful: delightful
delightfully: delightfully
delineation: delineation
deliver: delivered
delivery: delivery
delusion: delusion
demand: demand,demanded,demanding,demands
denial: denial
deny: denied,deny
depart: departed
departure: departure
depend: depend,depended
dependence: dependence
deplore: deplored
deprive: deprived
derogatory: derogatory
descend: descend
descent: descent
description: description,descriptions
descry: descried
desert: desert,deserted
deserted: deserted
deserve: deserved
deserving: deserving
design: design,designed,designs
designedly: designedly
desirable: desirable
desire: desire,desired,desires,desiring
desirous: desirous
desk: desk
despair: despair
desperate: desperate
despise: despise,despised
despondency: despondency
desponding: desponding
destroy: destroy,destroyed,destroys
destroyer: destroyer
detach: detaching
detachment: detachment
detain: detain,detained
detect: detected
detection: detection
determination: determination
determine: determine,determined
determined: determined
detest: detest,detesting
detestable: detestable
detestation: detestation
develop: developing
development: development
devil: devil
devilish: devilish
devoir: devoirs
devolve: devolve
dexterity: dexterity
dialogue: dialogue
diamond: diamonds
dictate: dictate
diction: diction
die: die,died,dies,dying
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
diffidence: diffidence
dignified: dignified
dignify: dignifies
dignity: dignity
digression: digression
diligence: diligence
dim: dim
dimension: dimensions
dimity: dimity
dimly: dimly
dimness: dimness
dine: dine
dining: dining
dinner: dinner,dinners
direct: direct,directed,directing
direction: direction
dirt: dirt
dirty: dirty
disadvantage: disadvantage
disagreeable: disagreeable
disagreement: disagreement
disallow: disallow
disappear: disappeared
disappoint: disappoint,disappointed
disappointed: disappointed
disappointment: disappointment,disappointments
disapprobation: disapprobation
discern: discern,discerned
discerning: discerning
discernment: discernment
disclaim: disclaimed,disclaiming
disclosure: disclosure
discompose: discomposed
disconcert: disconcert
disconcerted: disconcerted
discontent: discontent
discourage: discouraged
discourse: discourse,discourses
discover: discover,discovered,discovering,discovers
discovery: discovery
discredit: discredit
discreeter: discreeter
discretion: discretion
discuss: discuss,discussing
discussion: discussion
disdain: disdain
disengage: disengage,disengaged
disgrace: disgrace,disgraced
disguise: disguise
disgust: disgust
disgusting: disgusting
dishabille: dishabille
disinterested: disinterested
disinterestedness: disinterestedness
disjointed: disjointed
dislike: dislike,disliking
dismay: dismay
dismiss: dismiss,dismissed
dismissal: dismissal
disobedience: disobedience
disoblige: disobliging
disorder: disorder,disorders
dispatch: dispatch,dispatched
disperse: disperse,dispersed
display: display,displayed
displease: displease
displeased: displeased
displeasure: displeasure
disposal: disposal
dispose: disposed
disposed: disposed
disposition: disposition,dispositions
disproportionate: disproportionate
dispute: dispute
disquisition: disquisition
disregard: disregarded
disrespectful: disrespectful
disrespectfully: disrespectfully
dissatisfaction: dissatisfaction
dissatisfied: dissatisfied
dissent: dissenting
dissipate: dissipating
dissolution: dissolution
distance: distance,distances
distant: distant
distantly: distantly
distaste: distaste
distinct: distinct
distinction: distinction
distinguish: distinguish,distinguishing
distinguished: distinguished
distract: distracts
distress: distress,distressed,distresses
distressed: distressed
distressing: distressing
distrust: distrust
disturb: disturb,disturbed
disturbance: disturbance
diversity: diversities
divide: divide,divided
divided: divided
divine: divine,divining
divinity: divinity
division: division,divisions
dog: dogs
doll: dolls
domestic: domestic
doom: doomed
door: door,doors
doorway: doorway
dormouse: dormouse
dorothy: dorothy
dote: dote,doted
double: double,doubling
doubt: doubt,doubted,doubts
doubtingly: doubtingly
downcast: downcast
downstairs: downstairs
doze: doze
dozen: dozen,dozens
draft: draft
dragoons: dragoons
draw: draw,drawing,drawn,drew
drawback: drawback
drawer: drawer,drawers
drawing: drawing
dread: dread,dreaded,dreading
dreaded: dreaded
dreadful: dreadful
dreadfully: dreadfully
dream: dream,dreamt
dreamer: dreamer
dresden: dresden
dress: dress,dressed,dresses,dressing
dressed: dressed
dressing: dressing
dressmaker: dressmaker
drink: drank,drink,drinking,drinks
drinking: drinking
drive: drive,driven,driving,drove
driver: drivers
droll: droll
drop: drop,dropped,dropping,drops
drown: drown
druggist: druggist
drunk: drunk
drunken: drunken
dry: dry
dryer: dryer
duet: duets
dull: dull,dullest
duly: duly
duodecimo: duodecimo
duplicity: duplicity
duration: duration
dust: dust
dutiful: dutiful
duty: duties,duty
dwell: dwell,dwelt
dwelling: dwelling
eager: eager
eagerly: eagerly
eagerness: eagerness
ear: ear,ears
earn: earned
earnest: earnest
earnestly: earnestly
earnestness: earnestness
ease: ease,eased
easily: easily
east: east
easy: easy
eat: ate,eat,eating
eating: eating
ebony: ebony
echo: echo,echoed
economy: economy
ecstasy: ecstasies,ecstasy
ecstatic: ecstatic
edgar: edgar
edge: edge
edifice: edifice,edifices
edition: edition
education: education
edward: edward
effort: effort,efforts
effusion: effusion,effusions
egregious: egregious
eighteen: eighteen
ejaculation: ejaculations
elapse: elapsed
elasticity: elasticity
elated: elated
elation: elation
elbow: elbow
eld: eldest
elder: elder
eleanor: eleanor
elegance: elegance
elegant: elegant
elevated: elevated
eligible: eligible
eloquence: eloquence
elucidate: elucidated
embarrassed: embarrassed
embarrassing: embarrassing
embarrassment: embarrassment
embellishment: embellishments
ember: embers
emblem: emblem
embolden: emboldened
embrace: embrace,embraced,embraces,embracing
emigrant: emigrant
emily: emily
eminence: eminence
emit: emitted
emotion: emotion,emotions
emphasis: emphasis
employ: employ,employed
employment: employment,employments
empower: empowered
enable: enable,enabled,enabling
enchant: enchanted
enclose: enclosed
enclosure: enclosure
encounter: encounter,encountering
encourage: encourage,encouraged,encouraging
encouragement: encouragement
endanger: endanger,endangered
endear: endear,endears
endearing: endearing
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endow: endowed
endowment: endowments
endurance: endurance
endure: endure
enemy: enemies,enemy
engage: engage,engaged,engaging
engagement: engagement,engagements
engaging: engaging
engagingly: engagingly
england: england
english: english
engross: engrossed
enhancement: enhancement
enjoy: enjoy,enjoyed,enjoying
enjoyment: enjoyment,enjoyments
enlighten: enlighten
enraged: enraged
ensue: ensued
ensure: ensure,ensured
enter: enter,entered,entering
entering: entering
entertain: entertain,entertained
entertained: entertained
entertaining: entertaining
entertainment: entertainment
entire: entire
entitle: entitled
entitled: entitled
entrance: entrance
entreat: entreat,entreated,entreating
entreaty: entreaties,entreaty
entree: entree
entrust: entrusted
envied: envied
environs: environs
envy: envy,envying
epitaph: epitaph
epithet: epithets
equal: equal
equally: equally
equip: equipped
equipage: equipage
equivalent: equivalent
ere: ere
erect: erect,erected
erection: erection
err: erred
errand: errand
error: error
escape: escape,escaped
escort: escort
essay: essay
essentially: essentially
establish: establish
established: established
establishment: establishment
estate: estate
esteem: esteem
estimation: estimation
eternity: eternity
eulogize: eulogized
evening: evening
event: event,events
eventful: eventful
eventually: eventually
everyday: everyday
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil,evils
exact: exact,exacted
exaggerate: exaggerated
exaggerated: exaggerated
examination: examination,examinations
examine: examine,examined,examining
exceed: exceeded
exceedingly: exceedingly
excel: excel
excellence: excellence
excellency: excellencies
excellent: excellent
excess: excess
excessive: excessive
excessively: excessively
exchange: exchange,exchanged
excite: excite,excited
excited: excited
exclaim: exclaim,exclaimed,exclaiming
exclamation: exclamation,exclamations
exclude: excluded
exclusively: exclusively
excursion: excursion
excuse: excuse,excused,excuses
exemplification: exemplification
exempt: exempt
exercise: exercise
exert: exerting
exertion: exertion
exhausted: exhausted
exhibit: exhibiting
exhibition: exhibition
exist: exist,existed
existence: existence
expatiate: expatiated
expect: expect,expected,expecting
expectation: expectation,expectations
expedient: expedient
expenditure: expenditure
expense: expense,expenses
expensively: expensively
experience: experience,experienced
experienced: experienced
experimental: experimental
expert: expert
expire: expire,expired,expires,expiring
explain: explain,explained,explaining
explanation: explanation,explanations
explicit: explicit
explore: explore,exploring
expose: expose,exposed
express: express,expressed,expressing
expression: expression,expressions
expressively: expressively
expressly: expressly
exquisite: exquisite
extend: extend
extension: extension
extensive: extensive
extent: extent
extenuation: extenuation
extinction: extinction
extinguish: extinguished
extraordinary: extraordinary
extravagance: extravagance
extravagant: extravagant
extreme: extreme
extremity: extremities
exult: exulting
exultation: exultation
exulting: exulting
eye: eye,eyes
fable: fable
facilitate: facilitate
fade: fading
fag: fag
faggot: faggot
fail: fail,failed,failing
failure: failure
faint: fainting
fair: fair,fairer
fairness: fairness
faith: faith
faithful: faithful
faithfully: faithfully
fall: fall,fallen,falling,fell
fallen: fallen
false: false
falsehood: falsehood,falsehoods
falsely: falsely
falter: faltered,faltering
familiar: familiar
familiarity: familiarity
family: families,family
famous: famous
famously: famously
fan: fan
fancy: fancied,fancies,fancy,fancying
farewell: farewell
farm: farm
farrier: farrier
farth: farthest
fashion: fashion,fashions
fashionable: fashionable
fashioned: fashioned
fast: fast,faster
fasten: fasten
fastener: fastener
fatal: fatal
fate: fate,fated
father: father
fatigue: fatigue,fatigues
fatigued: fatigued
fault: fault,faults
faultless: faultless
favour: favour,favoured
favourable: favourable
favourably: favourably
favourite: favourite
fear: fear,feared,fearing,fears
fearful: fearful
fearfully: fearfully
fearlessly: fearlessly
feather: feathers
feature: feature,features
february: february
fed: fed
feeble: feeble
feed: feeding
feel: feel,feeling,feels
feeling: feeling,feelings
feelingly: feelingly
felicity: felicities,felicity
fellow: fellow,fellows
female: female,females
fender: fender
fervent: fervent
fetch: fetch
fever: fever
feverish: feverish
fickle: fickle
fickleness: fickleness
fidelity: fidelity
fidget: fidgeted
field: field
fields: fields
fiend: fiend
fifteenth: fifteenth
figure: figure,figures
filial: filial
final: final
finale: finale
finally: finally
fine: fine,finer,finest
finery: finery
finesse: finesse
finger: finger,fingers
finish: finish,finished,finishing
fir: firs
fireplace: fireplace
firm: firm,firmer
firmly: firmly
firmness: firmness
fish: fishing
fit: fit,fitted
fitly: fitly
fitting: fitting
flat: flat
flatness: flatness
flatter: flattered
flattering: flattering
flattery: flattery
flavour: flavoured
fletcher: fletcher
flight: flight,flights
flirt: flirt,flirting,flirts
flirtation: flirtation,flirtations
floor: floor
florid: florid
flow: flow,flowing
flower: flower,flowers
fluency: fluency
flush: flushed
flutter: flutter,fluttered
fly: flew,fly
foe: foes
foggy: foggy
foible: foibles
fold: folded,folding
folding: folding
follow: follow
folly: folly
fond: fond,fondest
fonder: fonder
fondness: fondness
food: food
fool: fool
foolish: foolish
foolishly: foolishly
foolishness: foolishness
foot: foot
footing: footing
footman: footman
footstep: footsteps
forbid: forbade,forbid,forbidden
forbidden: forbidden
forborne: forborne
force: force,forced,forcing
foreboding: foreboding
foreground: foregrounds
forehand: forehand
forehead: forehead
foresee: foreseen
foresight: foresight
forest: forest,forests
forestall: forestalled
foretell: foretold
forget: forget,forgetting,forgot,forgotten
forgive: forgive,forgiven
forgiveness: forgiveness
forgo: forgo
forlorn: forlorn
form: form,formed,forming
formally: formally
formidable: formidable
fortify: fortifying
fortitude: fortitude
fortnight: fortnight
fortunate: fortunate
fortunately: fortunately
fortune: fortune
forwards: forwards
foundation: foundation
fourteen: fourteen
fourth: fourth
fowl: fowl
fox: fox
fragment: fragment
fragmented: fragmented
fragrance: fragrance
france: france
fraternal: fraternal
fraught: fraught
fray: fray
frederick: frederick
freedom: freedom
freeman: freeman
french: french
frequent: frequent,frequented
frequenter: frequenters
frequently: frequently
fresh: fresh
fret: fret,fretted,fretting
friday: friday
friend: friend,friends
friendly: friendly
friendship: friendship
frighten: frighten,frightened
frightened: frightened
frightening: frightening
frightful: frightful
frivolous: frivolous
frolic: frolic
frontispiece: frontispiece
fruit: fruit,fruits
fruitful: fruitful
fruitless: fruitless
fulfil: fulfil
fulness: fulness
fun: fun
fund: funded
funeral: funeral
funereal: funereal
furious: furious
furnish: furnished,furnishes
furnished: furnished
furniture: furniture
fury: fury
fuss: fuss
future: future
gaiety: gaieties,gaiety
gaily: gaily
gain: gain,gained,gaining
gallant: gallant,gallants
gallantry: gallantry
gallery: galleries,gallery
game: game
garden: garden,gardens
gasp: gasp
gate: gates
gather: gathered
gay: gay
gayer: gayer
gaze: gaze,gazed,gazes,gazing
generality: generality
generation: generations
generosity: generosity
generous: generous
genius: genius
genteel: genteel
gentility: gentility
gentle: gentle
gentleman: gentleman,gentlemen
gentlewoman: gentlewoman
gently: gently
genuine: genuine
george: george
giant: giant
gig: gig,gigs
gild: gilding
girl: girl,girls
glad: glad
gladly: gladly
glance: glance,glanced
glass: glass
gleam: gleam
glimmer: glimmer
glimpse: glimpse
gloom: gloom
gloomy: gloomy
glory: glory
glove: gloves
glow: glow,glowing
