abe: abed
bass: bass
battle: battle,battled
beam: beaming
bear: bear,bore,born,borne
bearer: bearers
bearing: bearing
beat: beat,beaten,beating
beautiful: beautiful
beckon: beckoned
bed: bed,beds
bedight: bedight
bedlam: bedlam
bedpost: bedpost
bedroom: bedroom
beef: beef
beer: beer
beetle: beetling
beg: begged
beggar: beggars
beguile: beguiled
behave: behave
behindhand: behindhand
behold: beheld,behold
belief: belief
belinda: belinda
bell: bell,bells
belle: belle
belly: bellied
belong: belonged,belonging
belt: belt
bend: bending,bent
beneath: beneath
benefit: benefit
benevolence: benevolence
bereft: bereft
berry: berries
beseech: beseech,beseeching,besought
bestow: bestow,bestowed
beware: beware
bewildering: bewildering
bid: bade
bide: bide
biffins: biffins
bigotry: bigotry
bilious: bilious
binary: binary
bind: bound
bird: bird,birds
bishop: bishop
bit: bit
bite: biting
bitter: bitter,bitterer
black: black
blacker: blacker
blame: blame
blank: blank
blanket: blankets
blaze: blaze,blazing
bleak: bleak
blended: blended
bless: bless,blessed
blessed: blessed
blessing: blessing,blessings
blind: blind,blinds
blindfold: blindfold
blindman: blindman
blithe: blithe
blithest: blithest
block: block
blood: blood
blooded: blooded
bloom: bloom,blooming
blot: blot
blotch: blotch
blow: blew
blue: blue
blunt: blunt
blush: blush,blushed
board: board
boarding: boarding
boast: boast,boasted
boat: boats
bob: bob
body: body
boil: boiled
boisterous: boisterous
bold: bold
boldly: boldly
bolt: bolts
bone: bone,bones
bonnet: bonnet,bonneted
book: book,books
books: books
booming: booming
boot: booted,boots
border: bordered
borough: borough
bother: bothered
bottle: bottle,bottles
bough: boughs
bound: bound,bounds
bow: bow,bowed
bowels: bowels
bowl: bowl,bowls
box: box,boxes
boy: boy,boys
boyhood: boyhood
braided: braided
bran: bran
branch: branch,branched
brandy: brandy
brave: brave
brawn: brawn
brazier: brazier
breach: breach
breadth: breadth
break: break,broke,broken
breast: breast,breasts
breath: breath
breathless: breathless
breeches: breeches
breed: bred
breezy: breezy
brew: brewing
brick: brick,bricks
bridge: bridge
bridle: bridle
brigand: brigands
bright: bright,brighter,brightest
brightness: brightness
brilliant: brilliant
brimful: brimful
bring: bring,brings,brought
brisk: brisk
briskly: briskly
bristle: bristling
britain: britain
broad: broad
broadwise: broadwise
broken: broken
broker: broker
brooch: brooch
brood: brood
brother: brother,brothers
brow: brow
browed: browed
brown: brown
brush: brushed
bubble: bubbling
buck: buck
buff: buff
build: building,built
building: building
bull: bull
bump: bumping
bunch: bunches
bundle: bundle
burdensome: burdensome
burial: burial
burn: burning,burnt
burst: burst
bury: buried,burying
business: business
bustle: bustle
busy: busy
butler: butlers
butter: butter
button: button,buttoning,buttons
bye: bye
bygone: bygone
cab: cab
cable: cable
cains: cains
cake: cake,caked,cakes
calculate: calculate,calculated
caleb: caleb
calendar: calendar
calf: calves
calico: calico
calling: calling
calm: calm
calmly: calmly
camden: camden
candle: candle,candles
candy: candied
canister: canisters
cannon: cannon
canst: canst
cap: cap
capable: capable
capacious: capacious
capacity: capacity
capital: capital
captive: captive
card: card
care: care,cared,cares,caring
carefully: carefully
carelessly: carelessly
careworn: careworn
caricature: caricature,caricatures
carol: carol
caroline: caroline
carriage: carriages
carrier: carrier,carriers
carry: carried,carry,carrying
cart: carts
carving: carving
cash: cash
cask: cask,casks
cast: cast
cat: cat
catch: catch,catching,caught
caustic: caustic
cautiously: cautiously
cavern: caverns
cease: cease,ceased
ceiling: ceiling
celebrated: celebrated
celestial: celestial
cell: cell
cellar: cellar,cellars
centre: centre
cesspool: cesspools
chafe: chafed
chain: chain,chains
chair: chair,chairs
chaise: chaise
chalk: chalked
challenge: challenge
chamber: chamber,chambers
chance: chance
change: change,changed,changing
changed: changed
channel: channels
chapel: chapel
character: character,characters
characterisation: characterisation
characteristic: characteristics
characterization: characterization
charcoal: charcoal
charge: charge,charged,charges
charitable: charitable
charity: charities,charity
charles: charles
charm: charm
charmingly: charmingly
charwoman: charwoman
chatter: chattering
cheap: cheap
cheapness: cheapness
cheat: cheats
check: check,checked,checks
cheek: cheek,cheeked
cheer: cheer
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
cheery: cheery
cheese: cheese
cherry: cherry
chestnut: chestnuts
chief: chief
child: child,children
childish: childish
chill: chill
chilling: chilling
chilly: chilly
chime: chime,chimes
chimes: chimes
chimney: chimney,chimneys
chin: chin
chink: chink,chinked
chirp: chirping
chirrup: chirrup
choice: choice
choke: choked
choose: choose,choosing,chose,chosen
chorus: chorus
christian: christian
christmas: christmas
chrysolite: chrysolite
chuckle: chuckle,chuckled
church: church,churches
churchyard: churchyard
cinnamon: cinnamon
circle: circle
city: city
claim: claim
clang: clang
clank: clanked,clanking
clap: clap,clapped
clapping: clapping
clash: clash
clasp: clasping
clasped: clasped
claw: claw
clergyman: clergyman
clerk: clerk
clever: clever
climate: climate
cling: cling,clung
clock: clock,clocks
close: close,closed
closely: closely
closet: closet
cloth: cloth
clothe: clad,clothed
clothes: clothes
cloud: cloud,clouds
cluck: clucked
clue: clue
clung: clung
cluster: clustered
clustered: clustered
clutch: clutching
coach: coach,coaches
coal: coal
coarse: coarse
coat: coat,coats
cock: cock
code: codes
coffee: coffee
coffin: coffin
coil: coil
cold: cold,colder,coldest
collapse: collapsed
collar: collar,collars
collection: collection
color: color
colour: colour
combined: combined
combustion: combustion
comedy: comedy
comely: comely
comfort: comfort,comforts
comfortable: comfortable
comforter: comforter
comic: comic
comical: comical
coming: coming
command: command
commercial: commercial
commit: committed
common: common
communicate: communicated
compactness: compactness
companion: companion,companions
company: company
competent: competent
compilation: compilation
compliance: compliance
comply: comply,complying
compose: composed
compound: compound,compounded
comprehensive: comprehensive
compress: compressed
compulsion: compulsion
conceal: concealed
concept: concept
condemn: condemn,condemned
condense: condensed
condescension: condescension
condition: condition
conducive: conducive
conduct: conduct,conducted,conducting
confer: conferred
conference: conference
confess: confess
confidence: confidence
confidential: confidential
confirm: confirmed
confirmation: confirmation
conflict: conflict
confront: confronting
confused: confused
congeal: congealed
congenial: congenial
connect: connected,connecting
conscious: conscious
consciousness: consciousness
consent: consent
consequence: consequence,consequences
consequential: consequential
considerable: considerable
consistent: consistent
consolation: consolation
conspicuous: conspicuous
constant: constant
constantly: constantly
contact: contact
contagious: contagious
content: content
contented: contented
contents: contents
continue: continued
contortion: contortions
contract: contract,contracted
contradiction: contradiction
contrary: contrary
contrast: contrasting
contribution: contributions
control: control
convenience: convenience
convenient: convenient
conversation: conversation,conversations
converse: conversed
convert: convert
convey: conveyed
convince: convinced
convinced: convinced
cook: cook,cooked,cooking,cooks
cooking: cooking
coolly: coolly
copper: copper
copying: copying
copyright: copyright
cordially: cordially
core: core
cork: cork
corner: corner,corners
corporation: corporation
corpse: corpse
correct: correct
corroborate: corroborated
corrupt: corrupt,corrupted
cost: cost,costs
cosy: cosy
couch: couch
count: count,counting
countenance: countenance
counter: counter
countess: countess
counting: counting
country: countries,country
couple: couple,couples
courage: courage
court: court,courts
cousin: cousin,cousins
cover: cover,covered,covers
covering: covering
covetous: covetous
cow: cow
crack: cracked,cracking
crackle: crackled
cram: crammed
cramp: cramp
crash: crashing
cravat: cravat
create: created,creating
creation: creation
creature: creature,creatures
credentials: credentials
credit: credit
creditor: creditor
credulity: credulity
creek: creek
creep: crept
cricket: cricket
crime: crime
cripple: cripple
crisis: crisis
crisp: crisp
critical: critical
cross: cross,crossed,crossing
crowd: crowds
crowded: crowded
crown: crown
crumb: crumb
crush: crushed
crutch: crutch
cuff: cuff,cuffs
cultivate: cultivate,cultivated
cup: cup
cupola: cupola
curiosity: curiosity
curiously: curiously
curl: curls
current: current
curtain: curtains
curtaining: curtaining
curtsy: curtsy
custard: custard
custom: custom
customer: customers
cut: cut
dainty: dainties
damage: damage,damaged
damaged: damaged
damages: damages
damascus: damascus
damp: damp
dance: dance,danced,dances
dancer: dancers
dangle: dangle,dangling
dark: dark,darker,darkest
darkness: darkness
darn: darned
dart: darting
dash: dash,dashed,dashing
datum: data
daughter: daughter,daughters
daw: daws
day: day,days
daylight: daylight
dead: dead,deadest
deafen: deafened
deal: deal,dealt
dealing: dealing
dealings: dealings
dearly: dearly
death: death
debt: debt
decanter: decanter
decay: decayed
deceased: deceased
december: december
decide: decide,decides
deck: decked
declension: declension
decorate: decorated
decrease: decrease
deductible: deductible
deed: deeds
deep: deep
defect: defect,defects
defective: defective
defenceless: defenceless
deference: deference
defiance: defiance
deftly: deftly
defy: defy
degradation: degradation
degree: degree,degrees
delay: delay
deletion: deletions
deliberate: deliberating
delicate: delicate
delicately: delicately
delicious: delicious
delight: delight,delighted
delighted: delighted
delightful: delightful
demand: demand,demanded
demeanour: demeanour
demon: demons
demurely: demurely
den: den
dense: dense
deny: deny
depart: departed
depend: depend,depends
deposit: deposit
depressed: depressed
deprive: deprive
depths: depths
der: der
derivative: derivative
derive: derive,derived
descend: descended,descending
desert: desert
deserted: deserted
deserve: deserves
design: designed
desirable: desirable
desire: desire,desired
desk: desk,desks
desolation: desolation
despairingly: despairingly
desperate: desperate
despoil: despoil
despondent: despondent
dessert: dessert
destitute: destitute
destroy: destroy
detach: detach
detain: detained
determine: determine
detestation: detestation
deuce: deuce
develop: developed
development: development
devil: devils
devote: devote
dialogue: dialogue
dick: dick
dickens: dickens
die: die,died,dies,dying
difficult: difficult
diffuse: diffuse
dig: dig
dim: dim
diminish: diminished
dimly: dimly
dimpled: dimpled
dine: dine
ding: ding
dingy: dingy
dining: dining
dinner: dinner,dinners
dip: dip
direct: direct
direction: direction,directions
director: director
dirge: dirge
dirt: dirt
dirty: dirtier,dirty
disagreeable: disagreeable
disappointed: disappointed
disclaim: disclaim,disclaimed
disclaimer: disclaimer,disclaimers
disclose: disclosed
discontinue: discontinue
discover: discover,discovered
discuss: discuss
disdain: disdaining
disease: disease
disgorge: disgorged
disgust: disgust
dish: dish,dishes
disinterested: disinterested
disjointed: disjointed
disk: disk
dislike: dislike
dismal: dismal
dismay: dismay,dismayed
dismiss: dismiss,dismissed
dismount: dismounted
disorder: disorder
dispatch: dispatched
dispel: dispelled
displace: displaced
display: display,displayed,displaying
dispose: disposed
dissolve: dissolving
distance: distance
distinct: distinct
distinctly: distinctly
distinctness: distinctness
distinguish: distinguish
distract: distracting
distress: distress
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
disturb: disturb,disturbed
disturbed: disturbed
disused: disused
dive: dive
divert: divert,diverted
dog: dog,dogs
dogged: dogged
doings: doings
doll: doll
domain: domain
domestic: domestic
dominion: dominion
donate: donate
donation: donation,donations
dong: dong
donor: donors
doom: doom,doomed
door: door,doors
doorstep: doorstep
doorway: doorway,doorways
dot: dot,dots,dotting
double: double
doubt: doubt,doubting,doubts
doubtfully: doubtfully
doubtless: doubtless
dowerless: dowerless
downcast: downcast
download: downloading
downward: downward
doyle: doyle
doze: doze
dozen: dozen
drag: drag,dragged,dragging
drape: draped
draw: draw,drawing,drawn,drew
drawer: drawers
drawing: drawings
dread: dread,dreaded
dreadful: dreadful
dreadfully: dreadfully
dream: dream,dreamed,dreaming
dreary: dreary
dress: dress,dressed,dressing
dressed: dressed
dressing: dressing
drink: drank,drink,drinks
drip: drip
drive: driven,driving,drove
droop: drooping
drop: drop,dropped,drops
drowsiness: drowsiness
drunk: drunk
drunken: drunken
dry: dry,drying
dull: dull,duller
dumb: dumb
dusky: dusky
dust: dust,dusted
dusty: dusty
dutch: dutch
dwarfish: dwarfish
dwell: dwelling
dwelling: dwellings
dwindle: dwindled
eager: eager
eagerness: eagerness
ear: ear,ears
earnest: earnest
earnestness: earnestness
earth: earth
earthly: earthly
ease: ease
easily: easily
easterly: easterly
easy: easy
eat: ate,eat,eaten
eating: eating
ebenezer: ebenezer
echo: echo,echoed,echoes
ecstasy: ecstasy
edge: edge
edition: edition,editions
educational: educational
effort: effort,efforts
eighteen: eighteen
eke: eked
elbow: elbow,elbows
elder: elder
elect: elect
electronic: electronic
electronically: electronically
elicit: elicited
eliminate: eliminate
email: email
embarrassed: embarrassed
embarrassing: embarrassing
emblem: emblem
embrace: embrace
emerge: emerged
emotion: emotion,emotions
emphatically: emphatically
employ: employed
employee: employee,employees
encode: encoding
encompass: encompass
encourage: encouraged
endeavour: endeavour,endeavoured,endeavouring
energy: energy
engage: engaged
english: english
engross: engrosses
enjoy: enjoyed
enjoyment: enjoyment
enormous: enormous
enshroud: enshrouded
ensue: ensued
ensure: ensuring
enter: enter,entered,entering
enthrone: enthroned
entity: entity
entreat: entreating
entreaty: entreaty
entry: entry
envy: envy
equal: equal
equipment: equipment
erase: erased
erect: erect
error: errors
escape: escape,escaping
escort: escorted
especial: especial
essence: essence
establish: established
establishment: establishments
esteem: esteem
eternity: eternity
eve: eve,eves
evening: evening,evenings
event: event
evergreen: evergreens
evidence: evidence
evil: evil
exaggerate: exaggerated
exaggeration: exaggeration
exalt: exalted
examine: examined
exceed: exceeded
exceedingly: exceedingly
excellent: excellent
exchange: exchange,exchanging
excite: excited
excited: excited
excitement: excitement
exclaim: exclaimed
exclusion: exclusion
exclusive: exclusive
excrescence: excrescence
excuse: excuse
execrable: execrable
executive: executive
executor: executor
exempt: exempt
exhausted: exhausted
exist: exists
expect: expect,expected,expecting
expectant: expectant
expectation: expectation
expected: expected
expend: expend,expending
expense: expense,expenses
experience: experience
explain: explain
explanation: explanation
export: exporting
expose: exposed
express: express,expressed
expression: expression
extensive: extensive
extent: extent
external: external
extinguish: extinguished
extinguisher: extinguisher
extract: extract
extraordinary: extraordinary
extravagance: extravagance
extravagant: extravagant
extreme: extremes
extremely: extremely
extremity: extremity
exult: exulted
eye: eye,eyes
eyebrow: eyebrows
faced: faced
facetious: facetious
facility: facility
factious: factious
fade: faded
fail: failed
fain: fain
faint: faint
faintly: faintly
fair: fair
fairbanks: fairbanks
faith: faith
fall: fall,fallen,falling,fell
false: false
falter: faltered,faltering
familiar: familiar
family: family
famous: famous
fan: fan
fancy: fancied,fancy,fancying
farmer: farmers
farthing: farthing
fashionable: fashionable
fashioned: fashioned
fast: fast
fasten: fastened
fat: fat
fate: fate
father: father,fathers
fathom: fathoms
fatigue: fatigues
fatness: fatness
favour: favour
fear: fear,feared
fearful: fearful
feast: feast
feather: feather
feathered: feathered
feature: feature,features
federal: federal
fee: fee,fees
feeble: feeble
feebly: feebly
feed: fed
feel: feel,feeling,feels
feeling: feeling,feelings
feign: feign
feint: feint
fellow: fellow,fellows
ferocious: ferocious
ferret: ferret
fervour: fervour
festive: festive
festivity: festivities
fetch: fetch,fetched
fetter: fettered
fezziwig: fezziwig
fictitious: fictitious
fiddler: fiddler
field: field,fields
fiercely: fiercely
fiery: fiery
fig: figs
fight: fought
figure: figure,figures
filbert: filberts
file: file,files
filth: filth
financial: financial
fine: fine,fined
finger: finger
finish: finish,finishes
fireside: fireside
firm: firm
fish: fish
fisted: fisted
fit: fit
fitness: fitness
fixedly: fixedly
flame: flame
flannel: flannel
flare: flaring
flash: flashed
flat: flat
flaunt: flaunting
flavour: flavour
flee: fled
flesh: flesh
flicker: flickering
flight: flight
fling: flung
flint: flint
float: floated,floating
flock: flocking
flood: flood
floor: floor,floors
flour: flour
flower: flowers
flowery: flowery
fluctuate: fluctuated
flush: flushed
fluttered: fluttered
fly: flew
fog: fog
foggy: foggier,foggy
fold: folded,folding,folds
folk: folks
follow: follow
follower: followers
fond: fond
fondly: fondly
fool: fool,fools
foot: feet,foot
footstool: footstool
forbear: forbear
forbearance: forbearance
forbid: forbid
force: force,forced
forehead: forehead
foreign: foreign
foremost: foremost
foreshadow: foreshadow
foretell: foretold
forfeit: forfeits
forge: forged
forget: forget,forgetting,forgotten
forgive: forgive,forgiving
forgiveness: forgiveness
fork: fork
form: form,formed,forms
formal: formal
format: format,formats
fortune: fortune,fortunes
foul: foul
foundation: foundation
founder: founder
fowls: fowls
fragment: fragment,fragments
fragrance: fragrance
frail: frail
frame: frame
frank: frank
fraught: fraught
fred: fred
freely: freely
freeze: froze,frozen
freezing: freezing
french: french
fresh: fresh,freshest
friars: friars
friday: friday
friend: friend,friends
friendly: friendly
frighten: frightened
frightful: frightful
fringe: fringe
frisk: frisked
fro: fro
frontispiece: frontispiece
frost: frost
frosty: frosty
frouzy: frouzy
frown: frowned,frowning
frozen: frozen
fruit: fruit,fruits
fruiterer: fruiterers
frying: frying
fuel: fuel
fund: fund
funeral: funeral
fur: fur
furnish: furnish,furnished
furniture: furniture
furrow: furrows
furze: furze
future: future
gaily: gaily
gain: gain,gains
gainsay: gainsay
gait: gait
gale: gale
gallantly: gallantly
gallantry: gallantry
game: game,games
gaol: gaol
gap: gaps
garden: garden
garment: garment,garments
garret: garret
gas: gas
gasp: gasping
gate: gate,gates
gateway: gateway
gather: gathered
gathering: gatherings
gay: gay,gayest
gaze: gaze,gazed
generation: generation,generations
generous: generous
genial: genial
genii: genii
genius: genius
gentle: gentle
gentleman: gentleman,gentlemen
gently: gently
george: george
ghost: ghost,ghosts
ghostly: ghostly
giant: giant,giants
giddy: giddy
gift: gift
gig: gigs
gigantic: gigantic
gill: gills
gin: gin
gird: girded
girl: girl,girls
girthed: girthed
glad: glad
gladly: gladly
gladness: gladness
gladsome: gladsome
glance: glance,glanced,glancing
glare: glared
glass: glass
glazed: glazed
gleam: gleaming
glee: glee
glide: glided
glimpse: glimpse,glimpses
glisten: glisten,glistened
glitter: glittered
globe: globe,globes
gloom: gloom
gloomy: gloomy
glorious: glorious
glory: glory
glove: gloves
glow: glow,glowing
glowing: glowing
glue: glued
gnaw: gnawed,gnawing
goal: goals
goblet: goblets
goblin: goblins
god: god
gold: gold
golden: golden
goodly: goodly
goodness: goodness
goose: geese,goose
gothic: gothic
govern: govern
government: governments
gown: gown
grace: grace
graceful: graceful
gracefully: gracefully
grade: grade
grant: granted
grape: grapes
grasp: grasp,grasping
grass: grass
grate: grate,grating
grateful: grateful
gratefully: gratefully
gratis: gratis
gratitude: gratitude
grave: grave,graves
gravely: gravely
gravy: gravy
greasy: greasy
greatly: greatly
greedy: greedy
green: green
greet: greet
gregory: gregory
grey: grey
grief: grief
grieve: grieve,grieved
grin: grinning,grins
grindstone: grindstone
gripe: griping
grocer: grocer,grocers
grocers: grocers
grog: grog
groom: groom
grope: grope,groped
gross: gross,grosser
grotesque: grotesque
ground: ground
grove: grove
grow: grew,growing,grown,grows
growl: growl,growled
growth: growth
gruel: gruel
gruff: gruff
grunt: grunted
guard: guard
guess: guess,guessed
guest: guests
guide: guiding
guilty: guilty
gush: gush
ha: ha
habit: habit
haggard: haggard
hail: hail
hair: hair
haired: haired
hall: hall
hallo: hallo
halloa: halloa
halloo: halloo
hamlet: hamlet
hammer: hammer
hand: hand,handed,hands
handful: handful
handle: handle
handsome: handsome
handsomely: handsomely
hang: hanging,hung
happen: happen,happened
happiness: happiness
happy: happier,happiest,happy
hard: hard
hardily: hardily
hardship: hardships
hark: hark
harm: harm
harmless: harmless
harp: harp
harsh: harsh
hart: hart
hast: hast
haste: haste
hasten: hastened
hat: hat,hats
hatred: hatred
haunt: haunt,haunted
haunted: haunted
head: head
health: health
heap: heap,heaped,heaps
hear: hear,heard,hearing
hearse: hearse
heart: heart,hearts
hearth: hearth
heartily: heartily
heartiness: heartiness
hearty: heartier,hearty
heat: heat,heated
heated: heated
heaven: heaven
heavenly: heavenly
heavily: heavily
heaving: heaving
heavy: heavier,heaviest,heavy
heed: heed,heeded
heighten: heightened
heir: heir
helmsman: helmsman
herd: herd
heresy: heresy
hey: hey
hidden: hidden
hide: hidden,hide
hideous: hideous
hideously: hideously
highly: highly
hinge: hinges
hint: hint,hinted
hiss: hissing
ho: ho
hoar: hoar
hoarding: hoarding
hob: hob
hold: held,hold,holding
holder: holder
hole: hole,holes
holiday: holiday,holidays
hollow: hollow
holly: holly
homage: homage
homeward: homeward
honest: honest
honour: honour,honoured
hood: hood
hooded: hooded
hook: hooks
hoop: hoop
hope: hope,hoped,hopes
hopeful: hopeful
horn: horn
horny: horny
horrible: horrible
horror: horror,horrors
horse: horse,horses
hospital: hospital
host: host
hot: hot
hour: hour,hours
house: house,houses
household: household
housekeeper: housekeepers
housemaid: housemaid
housetops: housetops
howl: howling
hug: hug,hugged
hum: hummed
human: human
humanity: humanity
humbug: humbug
humility: humility
humour: humour
humoured: humoured
hung: hung
hungry: hungry
hurrah: hurrah
hurried: hurried
hurry: hurried,hurry,hurrying
hurt: hurts
husband: husband
hush: hushed
hustle: hustled
hut: hut
ice: ice,iced
icicle: icicle,icicles
icy: icy
idea: idea
idealist: idealist
identification: identification
identify: identify
identity: identity
idiot: idiot
idle: idle
idol: idol
ignite: ignited
ignorance: ignorance
iii: iii
illustrate: illustrate,illustrated
illustration: illustrations
illustrations: illustrations
illustrator: illustrator
illustrious: illustrious
image: image
imagination: imagination
immense: immense
immortal: immortal
immovable: immovable
impatiently: impatiently
impenetrable: impenetrable
imperceptibly: imperceptibly
implore: implored
imploringly: imploringly
imply: implied
impose: imposed
impossible: impossible
impression: impression
impropriety: impropriety
improve: improve
improved: improved
improvement: improvement
impulse: impulse
inaccurate: inaccurate
inaudible: inaudible
incense: incense
incessant: incessant
inch: inch,inches
incidental: incidental
incline: inclined
inclined: inclined
include: include,included,includes,including
including: including
incoherent: incoherent
income: income
incomplete: incomplete
increase: increasing
incredible: incredible
incredulous: incredulous
indemnify: indemnify
indemnity: indemnity
indescribable: indescribable
indict: indicting
indignantly: indignantly
indirect: indirect
indirectly: indirectly
individual: individual
individually: individually
indoor: indoors
industry: industry
inexorable: inexorable
inexplicable: inexplicable
inexpressibly: inexpressibly
infamous: infamous
infancy: infancy
infant: infant
infection: infection
infernal: infernal
infinitely: infinitely
influence: influence
inform: informs
infringement: infringement
ing: ing
innocent: innocent
innumerable: innumerable
inquire: inquire,inquired
inquiry: inquiry
insect: insect
insignificant: insignificant
insist: insisted
inspection: inspection
instance: instance
instant: instant
instantaneous: instantaneous
instantly: instantly
intellectual: intellectual
intelligent: intelligent
intense: intense
intent: intent
intention: intention,intentions
intently: intently
intercede: intercedes
intercourse: intercourse
interfere: interfere
intermediate: intermediate
internal: internal
international: international
interpret: interpret,interpreted
interpretation: interpretations
interrupt: interrupted
intervention: intervention
intimation: intimation
intricate: intricate
introduce: introduce
introduction: introduction
invalidity: invalidity
investment: investments
invisible: invisible
involuntarily: involuntarily
involve: involve
iron: iron,ironed,irons
ironmongery: ironmongery
irrepressible: irrepressible
irresistible: irresistible
irresistibly: irresistibly
irresolution: irresolution
irs: irs
island: island
iso: iso
issue: issue,issued
item: item
iv: iv
ivy: ivy
jack: jack
jacob: jacob
january: january
jason: jason
jaw: jaw,jaws
jefferson: jefferson
jest: jest
jet: jet
jiffy: jiffy
jocund: jocund
joe: joe
john: john
joint: joints
joke: joke,jokes
jolly: jolly
joseph: joseph
jostle: jostled
journey: journeys
jovial: jovial
joy: joy,joys
joyful: joyful
joyously: joyously
judge: judged,judges
judgment: judgment
jug: jug
juggle: juggling
juicy: juicy
justice: justice
justify: justified
keenly: keenly
keepsake: keepsake
ken: kenned
kerchief: kerchief
key: key
keyhole: keyhole
kick: kick
kill: killed
kin: kin
kindly: kindly
kindness: kindness,kindnesses
kindred: kindred
kiss: kissed,kissing
kitchen: kitchens
kith: kith
knee: knee,knees
kneel: knelt
knife: knife
knock: knock,knocked,knocking
knocker: knocker
knot: knot,knots
knowledge: knowledge
labour: labour,laboured,labours
labourer: labourers
lace: lace
lad: lad,lads
ladder: ladders
laden: laden
lady: ladies
lake: lake
lame: lame
lamentation: lamentation
lamp: lamp,lamps
land: land,lands
lane: lane,lanes
language: language
lash: lashes
late: late
lateness: lateness
latent: latent
lath: laths
laugh: laugh,laughed,laughing,laughs
laughter: laughter
laundress: laundress
law: law,laws
lay: laid,lay,laying
lead: lead,leading,led
leaf: leaf,leaves
leafless: leafless
league: league
lean: lean,leaning
leap: leap,leaped,leaping
learn: learn,learned,learnt
leave: leave,leaving,left
ledger: ledgers
leech: leech
leg: leg,legs
legal: legal
legally: legally
legatee: legatee
legion: legion
lemon: lemons
lesson: lesson,lessons
letter: letter,letters
lettuce: lettuce
liability: liability
liable: liable
liberal: liberal
liberality: liberality
library: library
licence: licence
license: license
licensed: licensed
lid: lid
lie: lie,lies,lying
lieu: lieu
life: life,lives
lifetime: lifetime
lift: lifting
light: light,lighted,lighter,lightest
lighthouse: lighthouse
lightly: lightly
likeness: likeness
limb: limbs
limit: limited,limits
limitation: limitation
limited: limited
linen: linen
linger: linger
link: link,linked,links
lip: lip,lips
list: list,listed
listen: listen,listened,listening
listener: listeners
literally: literally
literary: literary
live: live,lived,living
livery: livery
livid: livid
loath: loath
lobster: lobster
locate: located
location: locations
lock: lock,locked
locomotive: locomotive
lofty: lofty
loiter: loiter,loitered
loll: lolling
