aaron: aaron
await: await,awaited,awaiting,awaits
awake: awake,awakes
awaken: awakens
aware: aware
awd: awd
awe: awe
awful: awful
awhile: awhile
awry: awry
ax: ax
axis: axes
axle: axle
axletree: axletree
ay: ay
aye: aye
ayre: ayre
azazel: azazel
azores: azores
azure: azure
baal: baal
baalim: baalim
babble: babble
babe: babe,babes
babel: babel
babels: babels
babylon: babylon
babylonian: babylonian
baccare: baccare
bacchus: bacchus
backside: backside
bactrian: bactrian
bad: bad,worse,worst
badly: worse
bait: bait,baited,baits
bal: bal
balaam: balaam
baleful: baleful
ball: ball
balls: balls
balm: balm
balmy: balmy
band: band,banded,bands
banded: banded
bane: bane
banish: banish
banishment: banishment
bank: bank,banks
banner: banners
banquet: banquet,banquets
baptism: baptism
baptist: baptist
baptize: baptizing
bar: bar
barbaric: barbaric
barbarous: barbarous
barbers: barbers
bard: bard,bards
bare: bare
barge: barge
bark: bark,barking
barn: barn
barons: barons
barr: barr
barren: barren
barrenness: barrenness
barricado: barricado
basan: basan
base: base,based
baser: baser
basest: basest
basis: bases,basis
basks: basks
bastard: bastards
bate: bate,bates
bath: bath,baths
bathe: bathe
bathing: bathing
battailous: battailous
battalion: battalion
battel: battel,battels
battels: battels
batter: batter
batterie: batterie
battering: battering
battery: batteries
battle: battle
battlements: battlements
bauk: bauk
baume: baume
bay: bay,bays
bea: bea
beach: beach
bead: beads
beak: beaked,beaks
beaked: beaked
beam: beam,beaming,beams
beams: beams
bear: bear,bearing,bears,bore,born,borne
beard: bearded
bearded: bearded
bearer: bearers
bearing: bearing
bears: bears
beast: beast,beasts
beasts: beasts
beat: beat,beaten
beatific: beatific
beatitude: beatitude
beauteous: beauteous
beauties: beauties
beauty: beauties,beauty
beck: beck
becks: becks
bed: bed,beds
bedew: bedew
beds: beds
bedward: bedward
bee: bee,bees
beelzebub: beelzebub
beest: beest
beeves: beeves
befall: befall,befell
befit: befit,befits
befriend: befriend
beg: beg,begged,begging
beget: beget,begot,begotten
begirt: begirt
begot: begot
begotten: begotten
behalf: behalf
beheld: beheld
behemoth: behemoth
behest: behest,behests
behests: behests
behold: beheld,behold,beholding,beholds
beholders: beholders
behoof: behoof
behoove: behooves
behove: behoves
bel: bel,bels
belated: belated
belch: belch,belching
beldam: beldam
belial: belial
belief: belief
belike: belike
bella: bella
bellerophon: bellerophon
bellona: bellona
bellow: bellow,bellowing
bells: bells
belly: bellies,belly
belong: belong,belongs
beloved: beloved
bemoan: bemoan
ben: ben
bench: bench
bend: bend,bended,bending,bends,bent
bended: bended
beneath: beneath
benediction: benediction
benefactor: benefactors
beneficence: beneficence
benefit: benefit,benefits
benevolent: benevolent
benighted: benighted
benjamins: benjamins
benjamite: benjamite
bent: bent
bereave: bereave,bereaving
bereaving: bereaving
bereft: bereft
berry: berries
beryl: beryl
beseech: beseech,beseeching,besought
beseem: beseem,beseems
beseeming: beseeming
beset: beset
besetting: besetting
besiege: besiege,besieging
besmear: besmear
besotted: besotted
besought: besought
bespake: bespake
besprent: besprent
bestial: bestial
bestir: bestir,bestirs
bestow: bestow,bestowed
bestrown: bestrown
bestuck: bestuck
betake: betake,betakes,betook
bethabara: bethabara
bethel: bethel
bethink: bethink,bethought
bethlehem: bethlehem
betide: betide,betides
betime: betimes
betook: betook
betray: betray
betwixt: betwixt
bewail: bewail,bewailing,bewails
beware: beware
bickering: bickering
bid: bid,bids
bidden: bidden
bidding: bidding
bide: bide
biding: biding
bigness: bigness
billow: billows
bin: bin
binary: binary
bind: bind,bound
bird: bird,birds
birth: birth,births
birthright: birthright
bit: bit
bite: bites
bitter: bitter
bitterly: bitterly
bitterness: bitterness
bituminous: bituminous
bl: blest
blab: blab,blabbing
black: black,blackest
blade: blade
blam: blam
blame: blame
blanc: blanc
blanch: blanch
bland: bland
blandishment: blandishment
blank: blank
blaspheme: blasphemes
blasphemous: blasphemous
blast: blast,blasted,blasting,blasts
blasting: blasting
blaze: blaze,blazing
bleak: bleak
blear: blear
bleat: bleating
bleed: bled,bleed,bleeds
blemish: blemish
bless: bless,blessed,blest
blessed: blessed
blessedness: blessedness
blessing: blessing,blessings
blest: blest
blew: blew
blind: blind,blinded
blindness: blindness
bliss: bliss
blissful: blissful
blithe: blithe
blood: blood
bloody: bloody
bloom: bloom,blooming
bloomy: bloomy
blossom: blossom,blossoms
blossoms: blossoms
blot: blot,blotted
blow: blew,blow,blowing,blown,blows
blowing: blowing
blue: blue
blunder: blunders
blush: blush,blushing
bluster: bluster
boar: boar,boars
board: board
boast: boast,boasted,boasting,boasts
boaster: boaster
boastful: boastful
bocca: bocca
boding: boding
body: bodies,body
bog: bog
bogs: bogs
boil: boiling
bold: bold,bolder,boldest
boldly: boldly
boldness: boldness
bolt: bolt,bolted
bond: bond,bonds
bondage: bondage
bondslave: bondslave
bone: bone,bones
bones: bones
bonnet: bonnet
book: book,books
boon: boon
boot: boots
bootie: bootie
border: border,bordering,borders
borders: borders
bore: bore
boreas: boreas
born: born
borrow: borrow,borrowing
borrower: borrower
bosky: bosky
bosom: bosom
bosporus: bosporus
bossy: bossy
botches: botches
bottomless: bottomless
bough: bough,boughs
boughs: boughs
boulder: boulder
boulter: boulter
bound: bound,bounds
boundless: boundless
bounteous: bounteous
bounty: bounties,bounty
bourn: bourn
bout: bout
bow: bow,bowing,bows
bowels: bowels
bower: bower
bowers: bowers
bowle: bowle
bows: bows
boy: boy
boys: boys
brace: brace
brag: brag
braid: braid,braids
brain: brain,brains
brake: brake,brakes
branch: branch,branches,branching
branching: branching
brand: brand
brandish: brandishing
brass: brass
bravery: braveries,bravery
bray: bray
brazen: brazen
breach: breach
bread: bread,breaded
breadth: breadth
break: break,breaking,breaks,broke,broken
breaker: breaker
breaking: breaking
breast: breast,breasts
breath: breath,breaths
breathe: breathe,breathed,breathes,breathing
breathing: breathing
breed: bred,breed,breeding,breeds
breeding: breeding
brest: brest
brethren: brethren
brew: brew
briar: briar
brick: brick
bridal: bridal
bride: bride
bridegroom: bridegroom
bridge: bridge,bridges,bridging
bridgewater: bridgewater
bridle: bridle
brigandine: brigandine
bright: bright,brighter,brightest
brightest: brightest
brightness: brightness
brim: brim,brimmed,brimming
brimstone: brimstone
brinded: brinded
brine: brine
bring: bring,bringing,brings,brought
brink: brink
brisk: brisk
bristle: bristles
britain: britain
british: british
brittle: brittle
bro: bro
broad: broad,broadest
broke: broke
broken: broken
brood: brood,brooding
brooding: brooding
brook: brook,brooking,brooks
brooks: brooks
brother: brother,brothers
brothers: brothers
brouze: brouze
brow: brow,brows
brown: brown
bruise: bruise
brunt: brunt
brush: brush
brutal: brutal
brute: brute
brutish: brutish
brutus: brutus
bubble: bubbles
buck: buck
bud: bud,buds
budge: budge
buffet: buffet
build: build,builded,builds,built
builder: builders
builders: builders
building: building
bulk: bulk
bull: bull
bullion: bullion
bullock: bullock
bulls: bulls
bulwark: bulwark
burden: burden
burdenous: burdenous
burgher: burgher
burial: burial
burn: burn,burning,burns,burnt
burns: burns
burnt: burnt
burr: burrs
burst: burst,bursting
burthensome: burthensome
bury: buried
bush: bush,bushes
bushie: bushie
bushing: bushing
bushy: bushy
busied: busied
business: business
bustle: bustle
busy: busied,busiest
buxom: buxom
bygone: bygone
cabin: cabin
cadence: cadence
cadmus: cadmus
caecias: caecias
caesar: caesar
calamitous: calamitous
calamity: calamities,calamity
calculate: calculate,calculated
calf: calf,calves
callow: callow
calm: calm,calmer,calmest
calmly: calmly
calumnious: calumnious
camb: camb
camball: camball
cambridge: cambridge
cambuscan: cambuscan
camel: camel
camels: camels
camp: camp
campanian: campanian
camus: camus
canaan: canaan
canaanite: canaanite
candid: candid
candle: candle
canker: canker
canon: canon,canons
canopy: canopied
canst: canst
cantar: cantar
canto: canto
canzon: canzon
canzone: canzone
cap: cap
capable: capable
capacious: capacious
capacity: capacity
caparisons: caparisons
cape: cape
caphtor: caphtor
capital: capital
capitol: capitol
capitoline: capitoline
captain: captain,captains
captive: captive
captivity: captivity
car: car
caravan: caravan
carbuncle: carbuncle
carcass: carcass,carcasses
card: card
care: care,cares
career: career,careering
careful: careful
carefull: carefull
carefully: carefully
careless: careless
carelessly: carelessly
cares: cares
caress: caresses
carmel: carmel
carnage: carnage
carnal: carnal
carnation: carnation
carol: carol
carpathian: carpathian
carpenter: carpenter
carr: carr
carriage: carriage
carrie: carrie
carrier: carrier
carry: carried,carries,carry,carrying
cart: cart
carthaginian: carthaginian
cash: cash
casket: casket
caspian: caspian
cassia: cassia
cast: cast,casting,casts
castalian: castalian
casting: casting
castle: castle
casual: casual
catalogue: catalogued
cataract: cataracts
catarrh: catarrhs
catastrophe: catastrophe
catch: catch,caught
cate: cates
cateress: cateress
catherine: catherine
caucasus: caucasus
caught: caught
caus: caus
causeless: causeless
causey: causey
caution: caution
cautious: cautious
cautiously: cautiously
cave: cave,caves
cavern: caverns
caves: caves
cavil: cavil
cease: cease,ceases,ceasing
ceaseless: ceaseless
cedar: cedar
cedars: cedars
celebrate: celebrate,celebrated
celebrated: celebrated
celestial: celestial
cell: cell,cells
celtic: celtic
censer: censer
censers: censers
censure: censure,censuring
center: center
centre: centring
centric: centric
century: century
cerastes: cerastes
cerberean: cerberean
cerberus: cerberus
ceremonies: ceremonies
ceremony: ceremony
ceres: ceres
certainty: certainty
cessation: cessation
chafe: chafe
chaff: chaff
chain: chain,chains
chaine: chaines
chaines: chaines
chains: chains
chair: chair
challenge: challenge
chalybean: chalybean
cham: cham
chamber: chamber
chambers: chambers
champain: champain
champion: champion,champions
champions: champions
chance: chance,chances
chang: chang
change: change,changed,changing
channel: channel,channels
chaos: chaos
character: character,characters
charge: charge,charges
chariot: chariot,charioting,chariots
charitable: charitable
charity: charities
charm: charm,charmed,charms
charmed: charmed
charming: charming
charms: charms
charybdis: charybdis
chase: chase
chaste: chaste
chastity: chastity
chat: chat,chatting
chaunt: chaunt,chaunting
che: che
cheap: cheap
cheat: cheat
check: check,checks
cheek: cheek,cheeks
cheer: cheer,cheers
cheerful: cheerful
chequer: chequer
chere: chere
cherish: cherish,cherishing
chersonese: chersonese
cherub: cherub
cherubic: cherubic
cherubim: cherubim
cherubs: cherubs
chest: chest
chester: chester
chew: chew,chewing
chi: chi
chide: chid,chide
chief: chief,chiefest
chiefly: chiefly
chil: chil
child: child,children
childe: childe
childhood: childhood
childish: childish
childless: childless
chill: chill
chilling: chilling
chime: chime,chiming
chimera: chimera
chimney: chimney
chin: chin
chivalry: chivalry
cho: cho
choice: choice,choicest
choicest: choicest
choose: choose,chooses,choosing,chose,chosen
choosing: choosing
choral: choral
chord: chords
chorus: chorus,choruses
chose: chose
christ: christ
christian: christian
christs: christs
chrysolite: chrysolite
church: church
chuse: chuse
cicero: cicero
cimmerian: cimmerian
cincture: cincture
cinder: cinders
cinnamon: cinnamon
circe: circe
circean: circean
circle: circle,circles,circling
circles: circles
circlet: circlet
circling: circling
circuit: circuit
circular: circular
circumcision: circumcision
circumference: circumference
circumfluous: circumfluous
circumscribe: circumscribe
circumscription: circumscription
circumspect: circumspect
circumspection: circumspection
circumstance: circumstance,circumstances
circumvent: circumvent,circumvented
cite: cite,cited
cities: cities
citron: citron
city: cities,city
civil: civil
civility: civility
clad: clad
claim: claim,claims
clamor: clamor,clamors
clamorous: clamorous
clamour: clamour,clamouring
clang: clang
clarion: clarion,clarions
clash: clash,clashing
clasp: clasp,clasping
clasping: clasping
classic: classic
clatter: clatter
clay: clay
cleansing: cleansing
cleave: cleave,cleaving
cleft: cleft
clergy: clergy
cliff: cliff,cliffs
cliffs: cliffs
climate: climate
climb: climb
climbing: climbing
clime: clime,climes
climes: climes
cling: clung
clip: clip
clo: clos
clock: clock
clod: clod,clods
clomb: clomb
clos: clos
close: close,closing
closely: closely
clot: clotted
cloth: cloth
clothe: clad
clotted: clotted
cloud: cloud,clouds
clouded: clouded
cloudless: cloudless
clouds: clouds
cloudy: cloudy
clout: clouted
cloy: cloy
cluster: clusters
coal: coal,coals
coaly: coaly
coarse: coarse
coast: coast,coasting,coasts
coasts: coasts
coat: coat,coats
cock: cock
cocytus: cocytus
code: codes
coeternal: coeternal
coffer: coffers
cogitation: cogitation
cohort: cohort,cohorts
coin: coin
coincide: coincide
col: col
cold: cold
colic: colic
collaborate: collaborated
collateral: collateral
collect: collect,collected,collecting
collection: collection
college: college
collision: collision
colonel: colonel
colour: colour,colours
colours: colours
columbus: columbus
column: column
colure: colure
comb: comb
combat: combat
combatant: combatant
combatants: combatants
combine: combines
combustible: combustible
combustion: combustion
comely: comely
comet: comet
comfort: comfort,comforts
comfortable: comfortable
comforter: comforter
comfortless: comfortless
comic: comic
coming: coming
comma: comma
command: command,commanded,commanding,commands
commander: commander
commanding: commanding
commandment: commandments
commend: commend,commended
commendation: commendations
commends: commends
comment: commenting
commentary: commentary
commercial: commercial
commercing: commercing
commiseration: commiseration
commission: commission
commit: commit,commits,committed,committing
committed: committed
committee: committee
commodiously: commodiously
common: common
commonly: commonly
commotion: commotion
commune: commune
communicable: communicable
communicate: communicated,communicating
communication: communication
communion: communion
compact: compact
companion: companion,companions
company: company
compar: compar
comparatively: comparatively
compare: compare,comparing
comparison: comparison
compass: compass,compassing
compasses: compasses
compassion: compassion
compeer: compeer,compeers
compel: compel,compels
competition: competition
compilation: compilation
complacence: complacence
complain: complain,complaining
complaint: complaint
compleat: compleat
complement: complements
complete: complete,completed
complexion: complexions
compliance: compliance
compliant: compliant
complicated: complicated
comply: comply,complying
compo: compos
compos: compos
compose: compose,composed
composition: composition
composure: composure
comprehend: comprehend
compress: compressed
compulsion: compulsion
compute: compute
comrade: comrades
comus: comus
concave: concave
conceal: conceal,concealing,conceals
conceit: conceits
conceive: conceiving
concent: concent
concept: concept
conception: conception
concern: concern,concerns
conclave: conclave
conclude: conclude,concludes
concluding: concluding
conclusion: conclusion
concoct: concoct,concocted
concoctive: concoctive
concord: concord
concours: concours
concourse: concourse
concubine: concubine
concupiscence: concupiscence
concur: concurring
condemn: condemn,condemning,condemns
condemnation: condemnation
condense: condense,condenses
condescend: condescend
condescension: condescension
condition: condition,conditions
condole: condole
condolement: condolement
conduct: conduct,conducted
cone: cone
conf: confest
confer: confer
conference: conference
confess: confess,confessing
confide: confide
confidence: confidence
confident: confident
confine: confine
confines: confines
confirm: confirm,confirmed,confirms
confirmation: confirmation
conflagrant: conflagrant
conflict: conflict,conflicting
conflux: conflux
confound: confound,confounded
confusedly: confusedly
confusion: confusion
confute: confuted
congeal: congeal
conglobe: conglobing
congo: congo
congratulant: congratulant
congregate: congregated
congregation: congregation,congregations
conjecture: conjecture,conjectured,conjectures
conjectures: conjectures
conjoin: conjoin
conjugal: conjugal
conjunction: conjunction
connatural: connatural
connexion: connexion
connive: connive,conniving
connubial: connubial
conquer: conquer,conquering
conqueror: conqueror
conquest: conquest
conscience: conscience,consciences
conscious: conscious
consecrate: consecrated
consecrated: consecrated
consent: consent,consented,consenting,consents
consequence: consequence
consequential: consequential
considerable: considerable
considerate: considerate
consist: consist,consisted,consisting,consists
consistence: consistence
consistency: consistency
consistent: consistent
consistory: consistory
consolation: consolation,consolations
consort: consort
consorted: consorted
conspicuous: conspicuous
conspiracy: conspiracy
conspire: conspire,conspiring
constancy: constancy
constant: constant
constantine: constantine
constellation: constellations
constellations: constellations
constrain: constrain,constrains
constraining: constraining
constraint: constraint,constraints
consult: consult,consulted,consulting
consultation: consultation,consultations
consulting: consulting
consume: consume,consumed,consumes
consummate: consummate
contact: contact
contagion: contagion
contagious: contagious
contemn: contemn,contemning,contemns
contemplate: contemplate
contemplation: contemplation
contemplative: contemplative
contempt: contempt,contempts
contemptible: contemptible
contemptibly: contemptibly
contemptuous: contemptuous
contend: contend,contended,contending,contends
contending: contending
content: content
contented: contented
contention: contention
contentment: contentment
contents: contents
contest: contest
contiguous: contiguous
continent: continent
continual: continual
continue: continue,continues
contract: contract,contracted
contraction: contraction
contradict: contradict,contradicting
contradiction: contradiction
contrarious: contrarious
contrary: contraries,contrary
contrast: contrast
contribute: contribute
contribution: contributions
contrite: contrite
contrition: contrition
contrive: contrive,contriving
control: control
controller: controller
controversy: controversies
convenience: convenience
convenient: convenient
conversant: conversant
conversation: conversation
converse: converse,conversing
conversion: conversion
convert: convert,converts
convex: convex
convey: convey
conveyance: conveyance
convict: convict
conviction: conviction
convince: convince
convoy: convoy
convulsion: convulsion,convulsions
cool: cool,cooling
copartner: copartner,copartners
cope: cope
copious: copious
copses: copses
copying: copying
copyright: copyright
cor: cor
coral: coral
cord: cords
cordial: cordial
cormorant: cormorant
corn: corn
corner: corner,corners
cornice: cornice
coronet: coronet
corporal: corporal
corporation: corporation
corporeal: corporeal
corps: corps
corpulence: corpulence
correct: correct,corrected,corrects
correction: correction
correspond: correspond
corrosive: corrosive
corrupt: corrupt,corrupted,corrupting,corrupts
corruption: corruption
corruptly: corruptly
corydon: corydon
cosen: cosen
cost: cost,costs
costly: costliest
cote: cote,cotes
cottage: cottage
couch: couch,couches
couchant: couchant
cough: cough
couldst: couldst
council: council
counsel: counsel,counsels
counsels: counsels
count: count,counted,counts
countenance: countenance
counterfeit: counterfeit
counterpoise: counterpoise
counterview: counterview
countess: countess
countries: countries
country: countries,country
couple: couple
courage: courage
courageous: courageous
courb: courb
court: court,courted,courts
courteous: courteous
courtesy: courtesy
courtier: courtier
courtly: courtly
courts: courts
covenant: covenant
cover: cover,covering,covers
covering: covering
covert: covert
covet: covet,coveting
coward: coward
cowslip: cowslip
cowslips: cowslips
coy: coy
coyn: coyn
crab: crab,crabbed
cradle: cradle
craft: craft
craggy: craggy
crane: crane
cranes: cranes
crank: cranks
crawl: crawls
craze: craze
cream: cream,creams
create: create,created,creating
creation: creation
creations: creations
creator: creator
creature: creature,creatures
creatures: creatures
credit: credit
credulous: credulous
creed: creed
creek: creek
creep: creep,creeping,creeps,crept
cremona: cremona
crescent: crescent
cresset: cressets
crest: crest,crested
crested: crested
crew: crew
cricket: cricket
crime: crime,crimes
cringe: cringe
crisped: crisped
critical: critical
crocodile: crocodile
crocus: crocus
croft: crofts
cromwell: cromwell
cronian: cronian
crooked: crooked
crop: crop
cross: cross
crow: crow
crowd: crowd,crowded
crown: crown,crowned,crowns
crude: crude
cruel: cruel
cruelly: cruelly
